"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Vinny Voorhees","Bloomsburg","Jr.","P","10","56.7","5","0.79"
"2","Andy Noga","East Stroudsburg","So.","P","10","56.3","5","0.80"
"3","Tim Shibuya","UC San Diego","Sr.","P","12","87.3","8","0.82"
"4","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","8","0.84"
"5","Randall Thompson","Florida Tech","Sr.","P","13","85.3","8","0.84"
"6","Tim Ponn","Charleston (WV)","Jr.","P","10","62.3","6","0.87"
"7","Steven Corbett","Post","Jr.","P","10","62.0","6","0.87"
"8","Darrin Tew","Lander","Sr.","P","16","40.7","4","0.88"
"9","Corey Witkowski","Barry","Jr.","P","13","97.0","10","0.93"
"10","Brett Hammaker","Barry","Sr.","P","14","76.3","8","0.94"
"11","Andy Fagely","Concordia-St. Paul","So.","P","7","47.3","5","0.95"
"12","Don Sandifer","Francis Marion","So.","P","12","91.7","10","0.98"
"13","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","7","0.98"
"14","Andrew Stueve","Cal St. Stanislaus","Sr.","P","11","81.3","9","1.00"
"15","Jeff Rohrbach","St. Edward's","Jr.","P","11","67.7","8","1.06"
"16","null Ferenti","Saint Rose","Fr.","-","7","41.7","5","1.08"
"17","Trey Mitchell","North Ala.","Sr.","P","12","91.7","11","1.08"
"18","Houston Taylor","S.C. Aiken","Sr.","P","15","48.7","6","1.11"
"19","Ajay Meyer","Ashland","Sr.","P","14","85.0","11","1.16"
"20","Tyler Choate","Southern Ind.","Sr.","P","10","60.7","8","1.19"
"21","Michael Ward","Western Ore.","Sr.","P","11","75.0","10","1.20"
"22","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","11","1.20"
"23","Blake Schwartz","Minn. St. Mankato","Jr.","P","10","67.3","9","1.20"
"24","Pat Lahey","Lewis","Jr.","OF","9","52.3","7","1.20"
"25","Ryan Weber","Chestnut Hill","Sr.","P","10","50.7","7","1.24"
"26","Ryan Sander","Bemidji St.","Sr.","INF","8","43.3","6","1.25"
"27","Nick Baker","Cal St. Chico","Fr.","P","11","57.7","8","1.25"
"28","Kyle Dyer","Drury","Sr.","P","11","79.0","11","1.25"
"29","Dustin Javins","Dominican (NY)","Jr.","P","11","64.0","9","1.27"
"30","Casey Yokubaitis","Cal Poly Pomona","Sr.","P","13","49.3","7","1.28"
"31","Kyle Wolfe","Lynn","Jr.","P","13","63.0","9","1.29"
"32","Keith Malanga","Concordia (NY)","Jr.","P","12","48.0","7","1.31"
"33","Carter Capps","Mount Olive","So.","P","14","89.0","13","1.31"
"34","Nick Avila","Nova Southeastern","Sr.","P","15","82.0","12","1.32"
"","Brett Macari","Fort Hays St.","Jr.","INF","18","41.0","6","1.32"
"36","Scott Lieser","St. Cloud St.","So.","P","11","40.7","6","1.33"
"37","Don Lisi","Central Mo.","Sr.","P","11","60.3","9","1.34"
"","Brandon Rohde","Central Wash.","Jr.","P","12","73.7","11","1.34"
"39","Ryan Thompson","Franklin Pierce","So.","P","10","73.0","11","1.36"
"40","Tj Estes","Anderson (SC)","So.","P","11","77.0","12","1.40"
"41","Joe Green","Assumption","Sr.","P","8","57.0","9","1.42"
"42","Michael Benjamin","North Greenville","Sr.","P","10","63.3","10","1.42"
"","Jake Millbauer","Central Wash.","Sr.","P","12","63.3","10","1.42"
"44","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","11","1.43"
"45","Wayne Richardson","Nyack","Sr.","INF","15","87.7","14","1.44"
"46","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","8","1.45"
"47","Casey Mitchell","Saint Martin's","Sr.","P","14","74.0","12","1.46"
"48","Michael McIver","Saint Martin's","Sr.","P","8","49.3","8","1.46"
"49","Josh Branstetter","Delta St.","So.","P","10","67.7","11","1.46"
"50","Josh Cagle","Stillman","Jr.","P","14","79.0","13","1.48"
"51","Joe Jablonski","Grand Valley St.","Sr.","P","10","54.0","9","1.50"
"52","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","9","1.53"
"53","Guido Knudson","UC San Diego","Sr.","P","12","82.3","14","1.53"
"","Shane Youngdale","Cal St. Dom. Hills","Sr.","P","12","82.3","14","1.53"
"55","Josh Foreman","Minn. Duluth","Sr.","P","11","47.0","8","1.53"
"56","Chuck Fontana","Molloy","Jr.","P","10","70.0","12","1.54"
"57","Mike Calzetta","Mass.-Lowell","Fr.","P","8","40.3","7","1.56"
"58","Greg Selarz","UC San Diego","Jr.","P","11","40.0","7","1.58"
"59","Nick Mishevich","Wis.-Parkside","So.","P","14","45.7","8","1.58"
"60","Doug Shields","Southern Ark.","Jr.","P","17","62.3","11","1.59"
"61","Paul Hvozdovic","Shepherd","Fr.","P","15","45.0","8","1.60"
"62","Ashton Hoffman","Newman","Jr.","P","11","44.7","8","1.61"
"63","Chad Modomo","West Va. Wesleyan","So.","P","8","44.3","8","1.63"
"64","Dan Steers","Post","Sr.","P","10","66.3","12","1.63"
"65","Cole Robison","Newberry","Fr.","P","12","71.7","13","1.63"
"66","Mark Himmelberg","Rockhurst","Jr.","P","12","54.7","10","1.65"
"67","Lucas Sanford","Cal St. San B'dino","Sr.","P","11","49.0","9","1.65"
"68","Erick Ruvalcaba","Cal Poly Pomona","So.","P","11","65.0","12","1.66"
"69","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","10","1.67"
"70","Dylan Evans","Colorado Mesa","Jr.","P","12","64.7","12","1.67"
"71","Marshall Stalvey","Saint Leo","Sr.","P","12","42.7","8","1.69"
"72","Jeremy Custer","East Central","Jr.","P","12","58.7","11","1.69"
"73","Marc Rutledge","Dowling","Jr.","P","9","53.3","10","1.69"
"74","Nick Melcher","King (TN)","Jr.","P","23","47.7","9","1.70"
"","Kodey Simon","Winona St.","Jr.","P","8","53.0","10","1.70"
"76","Eric Cordova","Benedict","Jr.","P","13","63.3","12","1.71"
"77","Joe Candelmo","Mansfield","So.","P","9","57.7","11","1.72"
"","Bobby Hopkins","Chestnut Hill","So.","P","19","57.7","11","1.72"
"79","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","10","1.72"
"80","Bryan Galligan","Stonehill","Sr.","P","9","62.7","12","1.72"
"81","Brett Garrett","Chowan","Jr.","P","17","83.3","16","1.73"
"82","Jarrett Eiskina","Truman","So.","P","9","56.7","11","1.75"
