"Rank","Name","Team","Cl","Pos","G","SF"
"1","Jake Taylor","Flagler","Jr.","1B","28","7"
"2","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","6"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","6"
"","Joel Buchko","Palm Beach Atl.","Sr.","C","26","6"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","6"
"","Sixto Guerrero","Claflin","So.","OF","25","6"
"","Sean Miller","S.C. Aiken","So.","INF","28","6"
"8","Tyler Cameron","Southern Ark.","Sr.","INF","31","5"
"","Raymond Crawford","Winston-Salem","Jr.","INF","30","5"
"","Larsen Cronkright","Northwood (MI)","---","SS","14","5"
"","Blake Eure","Chowan","So.","INF","16","5"
"","Wes Koenig","St. Edward's","Sr.","1B","29","5"
"","Alex Mata","Saint Leo","Fr.","INF","24","5"
"","Joey Miller","Concord","Sr.","1B","22","5"
"","Noel Nevarez","Tarleton St.","Jr.","OF","26","5"
"","Taylor Perez","Saint Leo","So.","INF","27","5"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","5"
"","Nate Robertson","Colorado Mesa","Jr.","INF","21","5"
"","Trey Rogers","Young Harris","Sr.","OF","29","5"
"","Zach Smith","Erskine","Jr.","INF","26","5"
"","Austin Southall","West Florida","Jr.","INF","26","5"
"","Daniel Young","Benedict","So.","3B","26","5"
"23","Steven Andrade","Cal Poly Pomona","---","3B","27","4"
"","Andrew Arteaga","Tex. A&M Int'l","---","RF","29","4"
"","Thomas Berry","Lander","So.","C","30","4"
"","Kasey Bielec","Central Wash.","Jr.","INF","21","4"
"","Austin Braddock","Ark.-Monticello","Jr.","DH","31","4"
"","Chandler Brock","Ala.-Huntsville","Jr.","OF","29","4"
"","Reed Brown","Missouri S&T","Jr.","INF","22","4"
"","Tyler Buchanan","Cal St. East Bay","Sr.","C","16","4"
"","Matt Burns","Southern Conn. St.","So.","OF","15","4"
"","Joe Camp","Concord","So.","INF","18","4"
"","Tyler Ding","Tampa","Sr.","INF","26","4"
"","Dylan Dyson","West Tex. A&M","Jr.","INF","26","4"
"","Stephen Eldridge","Ga. Southwestern","Sr.","1B","25","4"
"","C.J. Ferriggi","St. Thomas Aquinas","Sr.","P","12","4"
"","Josh Hampton","Wilmington (DE)","Sr.","3B","15","4"
"","Zacary Hawkins","Lee","Sr.","1B","30","4"
"","Drew Hercik","East Stroudsburg","So.","INF","19","4"
"","Mitch Holgate","West Ala.","So.","INF","27","4"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","4"
"","Stephen James","Ashland","Jr.","2B","19","4"
"","Kevin Kline","Dixie St.","Jr.","INF","31","4"
"","Andrew Kozak","Erskine","Jr.","OF","26","4"
"","Nick Kranick","Flagler","Jr.","INF","29","4"
"","Bill Krebs","Wingate","So.","OF","28","4"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","4"
"","Robert Latner","Albany St. (GA)","Sr.","P","30","4"
"","Zac Lenns","Francis Marion","Jr.","INF","25","4"
"","Erik Lunde","Lander","Sr.","INF","30","4"
"","Cody McKenzie","Pfeiffer","Fr.","INF","20","4"
"","Grant McKown","Florida Tech","Fr.","INF","28","4"
"","S. McWhorter","West Ga.","---","3B/1B","29","4"
"","Richard Mount","Cal St. San B'dino","Sr.","P","15","4"
"","Marcus O'Neill","Augustana (SD)","Jr.","OF","18","4"
"","Brennan Rogers","Ark.-Fort Smith","Jr.","INF","25","4"
"","Ethan Satterfield","Catawba","Sr.","OF","29","4"
"","Eric Serra","Wingate","Sr.","OF","28","4"
"","Sammy Song","Coker","Sr.","OF","28","4"
"","Zach Stone","Millersville","Sr.","OF","23","4"
"","Matt Taylor","Western Ore.","Jr.","OF","27","4"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","4"
"","D. Tyner","Angelo St.","---","DH","28","4"
"","David Weber","Northeastern St.","Sr.","OF","26","4"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","4"
"","Phillip Wilson","Central Okla.","Sr.","P","24","4"
"","Spencer Wolfe","Shepherd","Jr.","C","21","4"
"68","Mike Abraham","Eckerd","Jr.","C","23","3"
"","Kris Ayers","Arkansas Tech","Jr.","1B","25","3"
"","Max Ayoub","Neb.-Kearney","Jr.","OF","23","3"
"","Chad Balderman","Limestone","Sr.","OF","30","3"
"","Eric Barbieri","Newberry","Sr.","INF","31","3"
"","Danny Barnes","Tuskegee","Jr.","OF","22","3"
"","Zac Bellinger","Saint Rose","Jr.","1B","17","3"
"","Matt Bosse","S.C. Aiken","---","LF","27","3"
"","Carson Bowers","Columbus St.","Jr.","SS","27","3"
"","Kelvin Brito","Lincoln Memorial","---","RF","28","3"
"","Read Brown","Lenoir-Rhyne","Jr.","C","18","3"
"","Matthew Burks","Eastern N.M.","Jr.","OF","28","3"
"","Matt Calhoun","Harding","Sr.","INF","28","3"
"","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","3"
"","Hunter Choate","Angelo St.","Jr.","INF","29","3"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","3"
"","Caleb Cole","Drury","Sr.","INF","17","3"
"","Tyler Coleman","West Chester","Jr.","OF","14","3"
"","Brendan Collins","Columbus St.","Jr.","OF","32","3"
"","Paul Como","Anderson (SC)","Sr.","OF","31","3"
"","TJ Costen","S.C. Aiken","---","3B","28","3"
"","Troy Cruz","UC San Diego","So.","P","21","3"
"","Keith Curcio","Fla. Southern","Jr.","OF","29","3"
"","Marquis Curry","Francis Marion","Sr.","OF","27","3"
"","Scott DeJong","Felician","So.","1B","19","3"
"","R.J. Dennard","Armstrong","Jr.","C","26","3"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","3"
"","Anthony Dipaolo","Northwood (MI)","Jr.","OF","10","3"
"","Hunter Donaldson","Brevard","So.","P","27","3"
"","Garrett Donohoe","East Central","Jr.","INF","29","3"
"","Jimmy Dowdell","Valdosta St.","Sr.","OF","25","3"
"","Alex Dunn","Bluefield St.","So.","INF","20","3"
"","Trey Engle","Ohio Valley","Jr.","1B","15","3"
