"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Paul Valerio","Old Westbury","Jr.","OF","38","55","13"
"2","Cody Stevenson","Webster","Jr.","OF","36","49","3"
"3","Matt Newsome","Johnson & Wales (RI)","Sr.","OF","39","39","4"
"","Ryan Normoyle","Washington Col.","Sr.","SS","36","39","8"
"","Dennis Nover","St. Joseph's (L.I.)","Sr.","INF","40","39","3"
"6","Devin Arnold","Dallas","Sr.","OF","37","38","3"
"","Rob Benedict","Wesley","Sr.","INF","42","38","2"
"","Scott Kelly","TCNJ","Jr.","INF","40","38","9"
"","Kevin Smeraglio","Gwynedd-Mercy","Sr.","OF","38","38","4"
"10","David Brandt","Castleton","Sr.","INF","42","36","4"
"11","Kyle Billig","Washington-St. Louis","So.","OF","39","34","1"
"12","Tyler Heck","Union (NY)","Jr.","OF","35","33","1"
"","Tom Phillips","Stevens","Sr.","INF","32","33","1"
"14","Alvin Mata","Baruch","Sr.","OF","31","32","1"
"15","Steve Hession","Baruch","Sr.","OF","37","31","4"
"","Scott Hong","Occidental","Jr.","OF","37","31","4"
"","T.J. Houseal","Penn St.-Harrisburg","Sr.","OF","38","31","2"
"","Kyle LaVigne","Rensselaer","Sr.","OF","36","31","4"
"","Tim Mackey","Aurora","Sr.","3B","36","31","0"
"","Brian Reutter","Old Westbury","Sr.","2B","38","31","4"
"21","Chris Florack","Mary Hardin-Baylor","Jr.","OF","38","29","5"
"","Ryan Kragnes","Penn St.-Behrend","Jr.","OF","37","29","0"
"","Travis Perkins","Rhodes","Sr.","OF","39","29","3"
"24","Ben Bostick","St. John Fisher","Jr.","INF","35","28","3"
"","Josh Davidson","Aurora","Sr.","OF","31","28","6"
"26","Adam Wiley","Cazenovia","Sr.","INF","34","27","2"
"27","Esteban Meletiche","Keystone","Sr.","INF","36","26","1"
"28","W. Difede","Staten Island","Fr.","-","25","25","2"
"","Peter Krysztof","St. John Fisher","Sr.","OF","35","25","4"
"","Brett Lake","Emory","Fr.","OF","37","25","4"
"","Andrew Sterling","Dickinson","Sr.","OF","36","25","5"
"","Anthony Surber","SUNYIT","Sr.","P","37","25","4"
"33","Logan Allen","Occidental","Jr.","OF","36","24","1"
"","Jeff Schult","Western New Eng.","So.","INF","37","24","1"
"","Todd Tompkins","Becker","Jr.","C","37","24","4"
"36","Jimmy Baum","Penn St.-Altoona","Sr.","OF","37","23","3"
"","Joe Duncan","Mass. Liberal Arts","Jr.","OF","37","23","1"
"","Tim Saunders","Marietta","Sr.","SS","33","23","3"
"","J.T. Triantos","Frank. & Marsh.","Sr.","1B","39","23","2"
"40","Matt Carr","SUNY New Paltz","Jr.","OF","37","22","4"
"","Pete O'Hara","Delaware Valley","So.","OF","38","22","3"
"","Josh Perez","Mississippi Col.","Jr.","INF","42","22","3"
"","Lynden Pindling","Rhodes","Jr.","SS","42","22","2"
"","Albert Rivera","Rutgers-Camden","Jr.","OF","34","22","6"
"","Sean Ryan","Wheaton (MA)","Jr.","OF","39","22","2"
"46","Jerome Bright","Cazenovia","So.","OF","34","21","2"
"","Steve Buitkus","Salem St.","Jr.","OF","40","21","6"
"","Jake Dunn","Kenyon","Fr.","INF","37","21","1"
"","Dan Fiorito","Manhattanville","Sr.","SS","34","21","1"
"","Tad Gold","Endicott","So.","OF","39","21","2"
"","Eric Houff","Emory & Henry","Jr.","OF","37","21","3"
"","Heath Johnson","Stevenson","Jr.","OF","40","21","3"
"","Jamill Moquette","Mass.-Boston","So.","INF","30","21","3"
"","Sean Osterman","St. John Fisher","Sr.","OF","35","21","3"
"","Mike Pascarella","Roger Williams","So.","OF","37","21","1"
"","James Reyes","Johnson & Wales (RI)","Jr.","OF","38","21","2"
"","Matt Rice","North Park","Sr.","OF","37","21","3"
"","Bill Root","Salisbury","So.","OF","36","21","5"
"","Michael Sarni","Purchase St.","Jr.","INF","32","21","1"
"","Brian Shelburne","Dallas","Sr.","OF","37","21","5"
"","Devon Snow","Bridgewater (VA)","Sr.","OF","44","21","5"
"","Vernon Trice","Oglethorpe","Fr.","OF","40","21","2"
