"Rank","Name","Team","Cl","Pos","G","R"
"1","Jake Lowery","James Madison","Jr.","C","45","61"
"2","Tyler Robbins","Dallas Baptist","Sr.","INF","43","59"
"3","Jace Peterson","McNeese St.","Jr.","INF","46","58"
"4","Bryson Myles","Stephen F. Austin","Jr.","OF","43","56"
"5","Billy Burns","Mercer","Jr.","OF","45","55"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","55"
"7","Thomas Carroll","Mercer","Sr.","OF","46","53"
"","Dan Gulbransen","Jacksonville","So.","OF","42","53"
"","Dexter Kelley","Savannah St.","Sr.","OF","48","53"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","53"
"11","Marty Gantt","Col. of Charleston","Jr.","OF","45","52"
"12","Matt Leeds","Col. of Charleston","Jr.","INF","44","51"
"","Jacob Tanis","Mercer","Jr.","3B","46","51"
"14","Landon Anderson","Dallas Baptist","Jr.","OF","43","50"
"","Johnny Bladel","James Madison","So.","OF","40","50"
"","Adam Brett Walker","Jacksonville","So.","C","42","50"
"17","Derek Hamblen","Belmont","Sr.","OF","45","49"
"","Rob Kral","Col. of Charleston","Jr.","C","45","49"
"","Lee Orr","McNeese St.","Jr.","INF","46","49"
"20","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","48"
"","Trevor Kirk","UNLV","Jr.","OF","40","48"
"","Jonathan Murphy","Jacksonville","Jr.","OF","42","48"
"","Bo Reeder","East Tenn. St.","Jr.","INF","42","48"
"","Chris Taylor","Virginia","So.","INF","47","48"
"25","Scott Davis","Delaware St.","Jr.","INF","43","47"
"","David Herbek","James Madison","Sr.","SS","45","47"
"","Mikie Mahtook","LSU","Jr.","OF","45","47"
"","Steve Nikorak","Temple","Sr.","3B","41","47"
"","Mark Onorati","Manhattan","Sr.","OF","38","47"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","47"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","47"
"","Michael Seaborn","Virginia Tech","Sr.","INF","46","47"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","47"
"","Stephen Talbott","Purdue","So.","OF","43","47"
"","Mike Zunino","Florida","So.","C","44","47"
