"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Michael Hackett","Alderson-Broaddus","Jr.","INF","34","118","1","118.0"
"2","Richard Forkin","Lewis","Sr.","INF","33","126","2","63.0"
"3","Joe Wendle","West Chester","Jr.","SS","39","130","3","43.3"
"4","Logan Parker","Northwest Nazarene","So.","OF","44","154","5","30.8"
"5","Jason Simone","Mount Olive","Sr.","OF","37","150","5","30.0"
"6","Keith Morrisroe","Concord","Jr.","C","41","145","5","29.0"
"7","Tyler Splichal","Neb. Omaha","So.","INF","39","144","6","24.0"
"","Tyler Erickson","Minn. Duluth","Sr.","SS","32","120","5","24.0"
"9","Adam Cunningham","Quincy","Sr.","INF","42","141","6","23.5"
"10","Todd Rubendall","Kutztown","So.","INF","32","106","5","21.2"
"11","Jesse Daywalt","Chestnut Hill","Jr.","2B","35","127","6","21.2"
"12","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","166","8","20.8"
"13","Eric Herman","Shippensburg","Jr.","INF","48","161","8","20.1"
"14","Mike Dowd","Franklin Pierce","Jr.","C","43","160","8","20.0"
"15","Brian Hansen","St. Cloud St.","So.","OF","41","158","8","19.8"
"16","Shane Kroker","Cal St. Chico","Jr.","INF","38","135","7","19.3"
"17","Ross Easterling","Charleston (WV)","So.","SS","43","151","8","18.9"
"18","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","185","10","18.5"
"19","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","129","7","18.4"
"20","Zak Blair","Mercyhurst","So.","INF","44","164","9","18.2"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","9","18.2"
"22","Zach Stone","Millersville","So.","3B","45","145","8","18.1"
"23","Tyler Newsome","Lewis","Sr.","OF","33","89","5","17.8"
"24","Travis Cariveau","St. Cloud St.","So.","INF","36","141","8","17.6"
"25","Patrick Donahue","Tampa","Sr.","INF","43","156","9","17.3"
"26","Steven Vidaurri","Incarnate Word","Sr.","OF","47","173","10","17.3"
"27","Tj Yasuhara","Cal St. Chico","Jr.","SS","33","120","7","17.1"
"28","Chris Hardy","Bentley","Sr.","OF","37","153","9","17.0"
"29","Ivan Otsuka","San Fran. St.","Jr.","OF","39","101","6","16.8"
"30","Thomas Robulack","Newman","Sr.","INF","42","133","8","16.6"
