team_name	team_id	year	player_name	player_id	class_year	season_year	position	games	ab	runs	hits	avg	doubles	triples	hr	total_bases	slg	rbi	sb	sba	bb	so	hbp	sac_hits	sac_flies	appearances	games_started	complete_games	wins	losses	saves	shutouts	ip	hits	runs	earned_runs	bb	so	era
A&M-Corpus Christi	26172	2007	Aguayo, Randy	664965	Sr.	2006-07	Outfield	31	61	11	17	0.279	0	0	1	20	0.328	5	2	4	7	19	1	2		1	0	0	0	0	0	0	0.1	1	1	1	3	0	30.00
A&M-Corpus Christi	26172	2007	Anderson, Brian	767224	Jr.	2006-07	Pitcher	20	0	0	0		0	0	0	0		0	0	0	0	0	0	0		20	0	0	4	1	0	0	34.1	55	39	33	17	26	8.66
A&M-Corpus Christi	26172	2007	Arismendi, Gus	767227	Jr.	2006-07	Outfield	13	18	4	7	0.389	0	0	0	7	0.389	1	1	1	4	3	0	0															0.00
A&M-Corpus Christi	26172	2007	Burdine, James	458897	Sr.	2006-07	Pitcher	10	0	0	0		0	0	0	0		0	0	0	0	0	0	0		10	3	0	2	1	0	0	23.0	32	22	19	14	19	7.43
A&M-Corpus Christi	26172	2007	Carrion, Marc	767221	Jr.	2006-07	Infield	3	4	2	1	0.250	0	0	0	1	0.250	1	0	0	2	0	0	0															0.00
A&M-Corpus Christi	26172	2007	Ferdin, Roy	767222	Fr.	2006-07	Pitcher																																
A&M-Corpus Christi	26172	2007	Gerondale, Bryan	664964	Jr.	2006-07	Shortstop	54	218	43	70	0.321	14	2	8	112	0.514	42	0	1	25	27	7	0															0.00
A&M-Corpus Christi	26172	2007	Graham, Jason	578474	Sr.	2006-07	Infield	54	210	37	84	0.400	17	0	2	107	0.510	49	1	1	21	23	1	0															0.00
A&M-Corpus Christi	26172	2007	Greiner, Justin	767234	Jr.	2006-07	Catcher	8	7	2	1	0.143	0	0	0	1	0.143	1	0	0	3	1	1	0															0.00
A&M-Corpus Christi	26172	2007	Grota, Justin	767232	Jr.	2006-07	Catcher																																
A&M-Corpus Christi	26172	2007	Guttierrez, Omar	767230	Jr.	2006-07	Pitcher	16	0	0	0		0	0	0	0		0	0	0	0	0	0	0		16	13	0	3	6	1	0	78.2	97	65	62	36	59	7.09
A&M-Corpus Christi	26172	2007	Harris, Nathaniel	767229	Jr.	2006-07	Pitcher	6	0	0	0		0	0	0	0		0	0	0	0	0	0	0		6	0	0	0	1	0	0	4.2	2	2	2	8	4	3.83
A&M-Corpus Christi	26172	2007	Heaton, Daren	664949	Sr.	2006-07	Pitcher																																
A&M-Corpus Christi	26172	2007	Kourie, Jon	578473	Sr.	2006-07	Outfield	37	112	15	31	0.277	6	0	3	46	0.411	25	3	4	10	23	0	4															0.00
A&M-Corpus Christi	26172	2007	Maldonado, Trey	664966	So.	2006-07	Pitcher	22	0	0	0		0	0	0	0		0	0	0	0	0	0	0		22	0	0	0	2	7	0	28.1	21	17	15	16	27	4.77
A&M-Corpus Christi	26172	2007	Norman, Will	664955	Sr.	2006-07	Pitcher	16	0	0	0		0	0	0	0		0	0	0	0	0	0	0		16	16	6	5	8	0	0	112.1	110	71	61	43	68	4.89
A&M-Corpus Christi	26172	2007	Olivarez, Ernie	664944	So.	2006-07	Infield	23	44	10	12	0.273	2	0	0	14	0.318	3	0	0	3	7	0	1															0.00
A&M-Corpus Christi	26172	2007	Parker, Jason	767225	Fr.	2006-07	Pitcher																																
A&M-Corpus Christi	26172	2007	Parra, Martin	664951	So.	2006-07	Infield	56	182	32	56	0.308	13	0	2	75	0.412	28	2	2	19	55	3	0															0.00
A&M-Corpus Christi	26172	2007	Perez, Jacob	767236	Fr.	2006-07	Pitcher	3	0	0	0		0	0	0	0		0	0	0	0	0	0	0		3	0	0	0	0	0	0	3.0	4	3	3	2	3	9.00
A&M-Corpus Christi	26172	2007	Plumaj, Josh	578470	Sr.	2006-07	Catcher	51	181	28	48	0.265	8	0	8	80	0.442	38	0	2	10	36	4	6															0.00
A&M-Corpus Christi	26172	2007	Reyes, Jonathan	685187	So.	2006-07	Outfield	12	11	5	4	0.364	1	0	0	5	0.455	0	0	1	2	2	1	0															0.00
A&M-Corpus Christi	26172	2007	Salinas, Adrian	767233	Jr.	2006-07	Catcher	3	2	0	0		0	0	0	0		0	0	0	1	1	0	0															0.00
A&M-Corpus Christi	26172	2007	Saville, Paul	767231	Jr.	2006-07	Outfield	25	45	15	11	0.244	0	0	0	11	0.244	6	6	7	11	8	6	3															0.00
A&M-Corpus Christi	26172	2007	Sparkman, Bryant	664943	So.	2006-07	Infield	1	0	0	0		0	0	0	0		0	0	0	0	0	0	0		1	0	0	0	0	0	0	1.0	1	0	0	0	0	0.00
A&M-Corpus Christi	26172	2007	Thompson, Wes	578480	Sr.	2006-07	Pitcher	12	0	0	0		0	0	0	0		0	0	0	0	0	0	0		12	1	0	0	1	0	0	20.0	20	15	13	9	21	5.85
A&M-Corpus Christi	26172	2007	Trager, Emerson	664950	Sr.	2006-07	Pitcher	13	0	0	0		0	0	0	0		0	0	0	0	0	0	0		13	9	0	5	5	0	0	54.2	64	31	19	13	32	3.13
A&M-Corpus Christi	26172	2007	Wall, Chris	458896	Fr.	2006-07		19	0	0	0		0	0	0	0		0	0	0	0	0	0	0		19	3	0	2	1	0	0	37.0	47	33	23	16	22	5.59
A&M-Corpus Christi	26172	2007	Wall, Chris	790835	Fr.	2006-07																																	
A&M-Corpus Christi	26172	2007	Wheaton, Chase	767223	Jr.	2006-07	Outfield	51	194	49	61	0.314	12	2	6	95	0.490	32	7	10	22	33	7	6															0.00
A&M-Corpus Christi	26172	2007	Widner, Chris	767228	Jr.	2006-07	Outfield	51	190	34	61	0.321	12	2	4	89	0.468	31	3	8	15	37	7	1															0.00
A&M-Corpus Christi	26172	2007	Williams, Trae	767220	Jr.	2006-07	Infield	49	204	37	60	0.294	10	0	0	70	0.343	18	17	23	29	45	2	3															0.00
A&M-Corpus Christi	26172	2007	Williams, Chase	767237	Jr.	2006-07	Outfield	46	152	41	57	0.375	8	2	6	87	0.572	27	7	7	32	24	0	4															0.00
A&M-Corpus Christi	26172	2007	Williams, David	578466	Sr.	2006-07	Outfield	36	109	12	33	0.303	8	1	3	52	0.477	29	4	5	4	24	3	2															0.00
A&M-Corpus Christi	26172	2007	Wilson, Matt	664942	Sr.	2006-07	Pitcher	18	0	0	0		0	0	0	0		0	0	0	0	0	0	0		18	11	1	6	3	0	1	76.0	68	48	41	45	79	4.86
Abilene Christian	2	2007	Alam, Jeremiah	583412	Jr.	2006-07	Pitcher	4	0	0	0		0	0	0	0		0	0	0	0	0	0	0		4	0	0	1	0	0	0	4.0	6	4	3	1	2	6.75
Abilene Christian	2	2007	Alexander, Minor	684569	So.	2006-07	Outfield	17	25	9	4	0.160	0	0	0	4	0.160	1	1	1	3	8	0	0															0.00
Abilene Christian	2	2007	Banks, Doug	786355	Jr.	2006-07	Catcher	4	6	3	4	0.667	3	0	1	10	1.667	6	0	0	0	0	2	0															0.00
Abilene Christian	2	2007	Bishop, Reid	583407	Fr.	2006-07		3	2	1	0		0	0	0	0		0	0	0	0	2	0	0															0.00
Abilene Christian	2	2007	Bumpass, Thomas	684570	So.	2006-07	Infield	33	103	26	43	0.417	7	0	2	56	0.544	29	3	5	5	9	2	2															0.00
Abilene Christian	2	2007	Catalani, Travis	684571	So.	2006-07	Outfield	38	37	12	14	0.378	0	1	0	16	0.432	11	6	10	3	5	1	1															0.00
Abilene Christian	2	2007	Davis, Matt	786356	Jr.	2006-07	Pitcher	15	0	0	0		0	0	0	0		0	0	0	0	0	0	0		15	12	0	5	3	0	0	57.2	62	37	34	33	36	5.30
Abilene Christian	2	2007	Elkerson, Mike	786357	Jr.	2006-07	Outfield	59	195	42	65	0.333	12	3	6	101	0.518	41	4	5	10	31	5	1															0.00
