"Rank","Name","Team","Cl","Pos","G","SH"
"","Dom Schwartz","Brandeis","Fr.","INF","34","7"
"","Jake Thompson","Neb. Wesleyan","So.","INF","30","7"
"","Joseph Valvano","Marywood","Sr.","P","31","7"
"","Ryan Walker","Edgewood","Jr.","OF","36","7"
"","Chris Whitehead","Schreiner","Fr.","-","37","7"
"","Graham Wolff","Wittenberg","So.","INF","38","7"
"","Tyler Younger","Methodist","So.","INF","40","7"
"","Chris Zucchi","DeSales","So.","SS","32","7"
"115","Denis Ackermann","Stevens","Sr.","C","31","6"
"","Nic Baker","Maryville (TN)","Jr.","OF","30","6"
"","Doug Beattie","Wis.-Oshkosh","So.","OF","25","6"
"","Shane Bennett","Mississippi Col.","Sr.","INF","40","6"
"","Aaron Bowen","Hendrix","Jr.","OF","40","6"
"","Travis Bowers","Pomona-Pitzer","Fr.","-","39","6"
"","Dustin Brown","Methodist","Fr.","INF","43","6"
"","Matt Burke","North Central (IL)","Sr.","INF","28","6"
"","Mike Bush","Richard Stockton","Fr.","OF","33","6"
"","Sam Butts","St. Joseph's (ME)","So.","OF","40","6"
"","Chris Carrano","Kean","Sr.","INF","37","6"
"","Josh Chamberlin","Lancaster Bible","Sr.","2B","19","6"
"","Joshua Clark","Nichols","Sr.","INF","28","6"
"","Clayton Clever","Otterbein","Sr.","OF","35","6"
"","Kevin Coleman","Linfield","Sr.","INF","34","6"
"","Peter Culver","Randolph-Macon","Fr.","INF","35","6"
"","Kyle Davis","Allegheny","Fr.","INF","30","6"
"","Grant DeWitt","Eureka","Fr.","SS","31","6"
"","Brett Detty","Anderson (IN)","Jr.","SS","34","6"
"","Kyle DiFranco","Springfield","So.","OF","25","6"
"","Jake Dostalek","Wis.-Oshkosh","Fr.","OF","24","6"
"","Brian Durst","McMurry","Jr.","OF","38","6"
"","Garrett Flavin","Dominican (IL)","Jr.","OF","29","6"
"","Taylor Fortney","Bethany (WV)","Fr.","SS","19","6"
"","Jordan Gaither","Monmouth (IL)","So.","C","21","6"
"","Geraldo Garcia","Penn St.-Berks","So.","SS","33","6"
"","Greg Gleicher","Washington-St. Louis","So.","SS","31","6"
"","Colton Gommert","Concordia (TX)","Jr.","C","40","6"
"","Zack Graczyk","SUNY Cortland","So.","OF","32","6"
"","Dustin Green","Claremont-M-S","So.","2B","39","6"
"","Dan Gusovsky","Wheaton (MA)","So.","C","31","6"
"","Scott Hansen","Wm. Paterson","So.","OF","34","6"
"","Dan Happ","Calvin","Fr.","INF","24","6"
"","Zac Hargett","Maryville (TN)","Sr.","OF","39","6"
"","Pete Hogan","Westfield St.","Sr.","C","31","6"
"","Charlie Holland","Centre","Fr.","INF","26","6"
"","Brett Howell","Bridgewater (VA)","Sr.","INF","44","6"
"","Michael Impellittiere","Misericordia","So.","INF","24","6"
"","Joe Johnson","Wabash","Sr.","INF","40","6"
"","Joey Kavanagh","St. Mary's (MD)","Sr.","3B","34","6"
"","James Labartino","Mt. St. Vincent","Sr.","OF","37","6"
"","Dillon Landrigan","Penn St.-Berks","Fr.","C","29","6"
"","Bryn Lehman","Defiance","Jr.","INF","32","6"
"","Bryan Macomber","MIT","Jr.","INF","33","6"
"","Allen Mann","Central (IA)","So.","OF","21","6"
"","Bart Marchant","Dickinson","Sr.","OF","29","6"
"","Anthony Miller","Central (IA)","Sr.","INF","34","6"
"","Dan Mills","Albion","Fr.","INF","24","6"
"","Jack Montanile","Wm. Paterson","Jr.","OF","25","6"
"","Greg Moomaw","Otterbein","Fr.","P","31","6"
"","Alex Mullendore","Wis.-Oshkosh","Jr.","C","32","6"
"","T.J. Oliver","Roger Williams","Fr.","C","34","6"
"","Thomas Pinnola","SUNY New Paltz","So.","P","31","6"
"","Andrew Priece","TCNJ","So.","OF","31","6"
"","Kyle Pusateri","Carthage","Jr.","SS","31","6"
"","Dan Quirk","Grove City","Sr.","OF","29","6"
"","Jay Richards","Whitman","Sr.","INF","35","6"
"","Tim Rosser","Elizabethtown","Jr.","OF","26","6"
"","Mark Sargente","Mt. St. Vincent","Jr.","C","31","6"
"","Nick Scalise","Richard Stockton","Jr.","C","27","6"
"","Ben Schneiderman","Swarthmore","Sr.","OF","33","6"
"","Gabe Shivers","Emory","Sr.","OF","39","6"
"","Will Simpson","Muskingum","Fr.","OF","16","6"
