"Rank","Name","Team","Cl","Pos","G","3B"
"1","Jack Cinoman","Chicago","Jr.","OF","33","9"
"2","Sean Osterman","St. John Fisher","Sr.","OF","35","8"
"","Kyle Strawn","Adrian","Sr.","OF","30","8"
"","Tucker White","Southern Me.","Jr.","OF","31","8"
"","David Zilnicki","Farmingdale St.","Jr.","OF","35","8"
"6","Evan Agnew","Huntingdon","Jr.","OF","40","7"
"","William Bissell","Gallaudet","So.","OF","42","7"
"","Sam Fischer","Adrian","So.","OF","33","7"
"","Kyle Flagstad","St. Scholastica","Jr.","OF","31","7"
"","Tad Gold","Endicott","So.","OF","39","7"
"","Matthew Hardy","Immaculata","Jr.","INF","37","7"
"","Alex Heideman","Neb. Wesleyan","Jr.","C","37","7"
"","Dan Hrubos","Delaware Valley","Sr.","OF","39","7"
"","Clark Sims","Hendrix","Sr.","INF","42","7"
"15","Benjamin Amos","Roanoke","Sr.","INF","37","6"
"","Austin Arseneau","Phila. Biblical","So.","SS","27","6"
"","John Barrett","Frostburg St.","Sr.","OF","39","6"
"","Ben Bostick","St. John Fisher","Jr.","INF","35","6"
"","Brandon Chase","St. Joseph's (ME)","Jr.","INF","40","6"
"","Michael Daly","Baruch","Fr.","INF","37","6"
"","Kyle Davis","Piedmont","Sr.","OF","39","6"
"","Tyler Eickmeyer","Carthage","Sr.","OF","33","6"
"","Donny Fuhrhop","Blackburn","So.","OF","37","6"
"","Quinn Guest","Concordia (TX)","Sr.","C","36","6"
"","Austin Justice","Birmingham-So.","So.","INF","39","6"
"","Steve Karnyski","St. John Fisher","Sr.","INF","35","6"
"","Andy King","Hamline","Sr.","OF","36","6"
"","Shannon Mark","Chris. Newport","Sr.","OF","33","6"
"","Kyle Morrill","Keene St.","Sr.","OF","29","6"
"","Ryan Normoyle","Washington Col.","Sr.","SS","36","6"
"","Joe O'Connor","Kean","So.","INF","38","6"
"","Nate Peiffer","Albright","So.","INF","39","6"
"","Luke Pierce","Williams","Fr.","OF","33","6"
"","David Ricker","Southern Me.","Sr.","OF","31","6"
"","Sean Riley","Bridgewater St.","Jr.","2B","40","6"
"","Josh Staniscia","Wash. & Jeff.","So.","OF","31","6"
"","Cody Stevenson","Webster","Jr.","OF","36","6"
"","Todd Tompkins","Becker","Jr.","C","37","6"
"","Chase Tucker","Redlands","Sr.","SS","35","6"
"","Paul Valerio","Old Westbury","Jr.","OF","38","6"
"","Ted Williams","Earlham","So.","INF","34","6"
"42","Chris Ballester","Rutgers-Newark","Sr.","OF","39","5"
"","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","5"
"","Kyle Billig","Washington-St. Louis","So.","OF","39","5"
"","Matt Bittner","Penn St.-Behrend","Jr.","INF","37","5"
"","Drew Block","Gust. Adolphus","Jr.","INF","31","5"
"","Derek Brousseau","Lebanon Valley","Jr.","OF","38","5"
"","Andre Butler","Eastern","Sr.","OF","37","5"
"","Dante Cassano","Gwynedd-Mercy","So.","1B","38","5"
"","Forrest Chadwick","Southern Me.","So.","OF","31","5"
"","Nick Core","FDU-Florham","Jr.","OF","37","5"
"","null Dakota Dill","Sul Ross St.","Fr.","-","34","5"
"","Michael Del Buono","Lynchburg","Jr.","1B","42","5"
"","Jake Duske","Wis.-Stout","Sr.","INF","36","5"
"","Michael Dwyer","Newbury","So.","OF","33","5"
"","Dan Eichholzer","Concordia Chicago","Jr.","OF","36","5"
"","Braden Embry","Mary Hardin-Baylor","Sr.","OF","38","5"
"","Doug Farley","Thiel","Jr.","OF","35","5"
"","Adam Farris","Dallas","Jr.","OF","28","5"
"","Dylan Friend","Wis.-Whitewater","So.","OF","33","5"
"","Nick Grady","Southern Me.","Jr.","INF","31","5"
"","Eric Hansen","Allegheny","Jr.","OF","27","5"
"","Tyler Heck","Union (NY)","Jr.","OF","35","5"
"","Gabe Henriques","Lawrence","Jr.","INF","31","5"
"","Steve Hession","Baruch","Sr.","OF","37","5"
"","Devan Jones","Suffolk","So.","INF","38","5"
"","Jordan Kaufman","Dickinson","Sr.","INF","33","5"
"","Michael Kenah","Lynchburg","Jr.","SS","42","5"
"","Ricardo Lizcano","Heidelberg","Sr.","OF","37","5"
"","Santiago Morales","Wis.-Stout","Fr.","OF","33","5"
"","Joan Mustafa","Rhode Island Col.","Sr.","INF","28","5"
"","Levi Ney","Wis.-Platteville","Sr.","OF","35","5"
"","Nicholas Pasqualichio","Marywood","Sr.","OF","38","5"
"","Andrew Pezzuto","SUNY Cortland","Jr.","OF","34","5"
"","Chris Reynolds","Luther","Sr.","INF","34","5"
"","Stephen Rogers","Trinity (CT)","Jr.","INF","35","5"
"","Kyle Sasala","Waynesburg","Jr.","INF","36","5"
"","Tim Saunders","Marietta","Sr.","SS","33","5"
"","Wyatt Soderquist","Wis.-Superior","So.","OF","34","5"
"","Mitch Stefanski","Adrian","So.","INF","30","5"
"","Kennedy Tavares","CCNY","So.","INF","35","5"
"","Jay Thompson","Bridgewater (VA)","Sr.","INF","44","5"
"","Andrew Vallejo","Whittier","Sr.","OF","36","5"
"","Joseph Vila","Muhlenberg","Jr.","OF","36","5"
"","Alex Wong","Wentworth Inst.","Jr.","OF","35","5"
"","Tyler Younger","Methodist","Jr.","INF","41","5"
"","Eric Yunker","Ohio Northern","Sr.","OF","34","5"
