"Rank","Name","Team","Cl","Pos","G","R"
"1","Matt Keen","Case","So.","SS","43","64"
"2","Drew Leachman","Birmingham-So.","Sr.","INF","39","60"
"3","Cody Koback","Wis.-Stevens Point","Jr.","P","33","56"
"4","J.D. Hulse","Birmingham-So.","Sr.","OF","39","55"
"","Chad Mullins","Case","Sr.","3B","43","55"
"6","Trey Forbes","Manchester","Sr.","C","36","54"
"","Kevin Jackson","Trinity (TX)","Sr.","INF","44","54"
"","Matt Richards","Case","Jr.","OF","43","54"
"9","Bobby Doyon","Keene St.","Sr.","OF","37","53"
"10","Kyle Billig","Washington-St. Louis","Fr.","OF","43","52"
"11","Spencer Brunson","Mississippi Col.","Jr.","INF","42","51"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","51"
"","Matt Shoemaker","Chris. Newport","Jr.","INF","44","51"
"14","LeJuan Edwards","Hardin-Simmons","Sr.","OF","42","50"
"","Jeff Perillo","Mitchell","Sr.","INF","28","50"
"16","Kevin Brashears","Shenandoah","Sr.","OF","39","49"
"","Kyle Felix","Trinity (TX)","Sr.","C","44","49"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","49"
"19","Nick Boggan","Cal Lutheran","So.","INF","40","48"
"","John Phelan","Fitchburg St.","Sr.","INF","34","48"
"","Chase Tucker","Redlands","Jr.","INF","36","48"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","48"
"23","Nick Broyles","Bluffton","Jr.","OF","36","47"
"","Brian Jordan","Randolph-Macon","Jr.","OF","42","47"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","47"
"","Dan Winterstein","George Fox","Sr.","OF","35","47"
"27","Jonathan Hall","Trinity (TX)","So.","INF","35","46"
"","Brandon Hannon","Emory","Fr.","OF","42","46"
"","Steven Lindemuth","Chris. Newport","Jr.","C","44","46"
"","Jordan Marks","Louisiana Col.","Jr.","INF","43","46"
"","Bill Pace","Neumann","So.","C","35","46"
"","Matt Will","Frank. & Marsh.","Sr.","INF","38","46"
"33","Will Hawkins","Millsaps","Sr.","INF","42","45"
"","Jason Henning","Redlands","So.","INF","36","45"
"","Adam Higgins","Averett","Sr.","OF","38","45"
"","Nick Pappas","Trinity (TX)","Jr.","INF","44","45"
"","Anthony Santiago","Mitchell","Fr.","C","28","45"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","45"
"39","Mike Eaton","Southern Me.","Sr.","OF","33","44"
