"Rank","Name","Team","Cl","Pos","G","3B"
"1","Chris O'Neil","Southern N.H.","Sr.","OF","42","10"
"2","Joe Harbach","Wilmington (DE)","Jr.","OF","40","9"
"","Kenny Held","Cameron","Sr.","OF","44","9"
"4","Kevin Mager","Rollins","Jr.","INF","45","8"
"5","Stephen Carmon","S.C. Aiken","Jr.","SS","50","7"
"","Brain Laznik","Erskine","Sr.","OF","50","7"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","7"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","7"
"9","Bryant Chambliss","Tuskegee","Sr.","C","31","6"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","6"
"","Will McCord","Missouri S&T","Jr.","OF","39","6"
"","Jason Nappi","Harding","Sr.","INF","45","6"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","6"
"","Adam Shank","St. Edward's","Jr.","OF","44","6"
"","Josh Wenger","Concord","So.","INF","43","6"
"","Michael Wilson","Francis Marion","Fr.","INF","47","6"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","6"
"18","Raphael Amey","Kentucky St.","Jr.","SS","38","5"
"","Jeremy Bohnett","Harding","Fr.","OF","38","5"
"","Willis Bradwell","Morehouse","Sr.","OF","35","5"
"","Dustin Brown","Saint Leo","Jr.","OF","44","5"
"","Bryan Butcher","Morehouse","Jr.","C","41","5"
"","Trent Chapman","West Liberty","Sr.","OF","45","5"
"","Chauncey Davis","Claflin","Jr.","INF","29","5"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","5"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","5"
"","Matt Howard","Slippery Rock","Sr.","OF","44","5"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","5"
"","Colin Kish","Fla. Southern","Jr.","OF","40","5"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","5"
"","Josh McElroy","St. Mary's (TX)","Jr.","OF","47","5"
"","Dodson McPherson","Wingate","Jr.","OF","54","5"
"","Danny Miller","Minn. St. Mankato","Sr.","OF","41","5"
"","Tony Mueller","Winona St.","Jr.","OF","37","5"
"","Colby Robison","Mont. St. Billings","So.","INF","39","5"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","5"
"","Taylor Sibala","Pittsburg St.","Sr.","2B","42","5"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","5"
"","Zach Smith","Erskine","Fr.","INF","51","5"
"","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","5"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","5"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","5"
"43","Chase Barnes","Pittsburg St.","Jr.","OF","38","4"
"","Madison Beaird","Arkansas Tech","So.","OF","46","4"
"","Randy Beard","Concord","So.","OF","44","4"
"","Zak Blair","Mercyhurst","So.","INF","44","4"
"","John Bolding","Erskine","Sr.","INF","51","4"
"","Kendall Boone","West Tex. A&M","Jr.","INF","48","4"
"","Ryan Bostian","Catawba","Jr.","OF","53","4"
"","Matt Boulter","Southern N.H.","So.","SS","44","4"
"","Scott Bradbury","Rockhurst","Jr.","3B","39","4"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","4"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","4"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","4"
"","Tyler Christophel","Southwest Baptist","Jr.","INF","43","4"
"","Michael Cleary","Southern Conn. St.","So.","OF","37","4"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","4"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","4"
"","Bryan Dorsey","Southern Conn. St.","Jr.","OF","31","4"
"","Zachary Drummond","Paine","So.","OF","36","4"
"","Cameron Duncan","Tuskegee","Fr.","P","33","4"
"","Nick Fuoco","Coker","Sr.","1B","38","4"
"","Brandon Gipson","Benedict","Sr.","C","40","4"
"","David Harvey","Morehouse","Jr.","OF","37","4"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","4"
"","Miguel Hidalgo","Felician","Jr.","OF","37","4"
"","Wess Hollins","Eckerd","Sr.","OF","44","4"
"","Sheldon Howell","Fort Hays St.","Jr.","INF","31","4"
"","Mike Jackson","Stillman","Jr.","OF","41","4"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","4"
"","John Jones","Francis Marion","Jr.","OF","41","4"
"","Michael Jones-Sain","Lane","Sr.","OF","17","4"
"","Michael Levy","Dominican (NY)","Sr.","INF","38","4"
"","Jacob Mays","Concord","Jr.","P","42","4"
"","Richard McCarren","Adelphi","Sr.","OF","42","4"
"","Evan Melendez","Ashland","Sr.","OF","45","4"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","4"
"","Michael Niemann","Delta St.","Sr.","OF","46","4"
"","Cody Nix","Carson-Newman","Sr.","OF","49","4"
"","Aj Nunziato","Lander","Jr.","INF","47","4"
"","Patrick Oliver","Neb.-Kearney","Sr.","OF","38","4"
"","Cash Oliver","Tuskegee","Fr.","SS","33","4"
"","Joe Petosa","Felician","So.","OF","43","4"
"","Chase Presley","Harding","Jr.","INF","46","4"
"","German Reyes","Winston-Salem","So.","INF","47","4"
"","Eric Rodriguez","Benedict","Sr.","OF","34","4"
"","Anthony Santa","Saint Leo","Jr.","INF","43","4"
"","Jason Schlittenhardt","Dowling","Jr.","INF","38","4"
"","Kyle Shepard","Stonehill","Jr.","OF","37","4"
"","Walton Shepherd","Lenoir-Rhyne","Fr.","INF","37","4"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","4"
"","Jesse Smith","Shippensburg","Sr.","C","45","4"
"","Jordan Smith","Barton","Sr.","OF","44","4"
"","Eddie Squeri","Dowling","Sr.","INF","38","4"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","4"
"","Adam Taylor","North Greenville","So.","P","44","4"
"","Bradley Thomas","Tuskegee","Fr.","P","33","4"
"","Trevor Thorstensen","Adelphi","Sr.","OF","42","4"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","4"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","4"
"","Mike Wallace","St. Augustine's","Sr.","OF","45","4"
"","Joe Wendle","West Chester","Jr.","SS","39","4"
"","James Wong","Post","Jr.","INF","37","4"
"","Brian Yeung","Wingate","So.","INF","54","4"
"105","Andrew Ahn","St. Thomas Aquinas","Sr.","SS","43","3"
"","null Amador","Southern N.H.","Fr.","-","42","3"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","3"
"","Branfy Arias","Tusculum","Sr.","OF","46","3"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","3"
"","Peter Barrows","Bridgeport","Sr.","1B","33","3"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","3"
"","Cameron Bedard","Northwest Mo. St.","So.","INF","45","3"
"","Brian Bello","Colorado Mesa","Sr.","OF","34","3"
"","Al Benson","Limestone","Jr.","OF","52","3"
"","Nick Bergeman","Upper Iowa","Sr.","OF","44","3"
"","Ryan Bilovesky","Pittsburg St.","So.","1B","30","3"
"","Bret Blevins","Concord","Fr.","INF","40","3"
"","John Bonebrake","Newman","Sr.","INF","46","3"
