"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Stephen Johnson","St. Edward's","Jr.","P","24","33.3","16"
"2","Jonathan Perez","St. Mary's (TX)","Jr.","P","22","26.0","14"
"3","Bobby Parker","West Fla.","Jr.","P","21","26.0","13"
"","Brad Zambron","Grand Valley St.","Jr.","P","23","26.3","13"
"","Gage Daniels","Newman","Sr.","P","26","33.0","13"
"","Emilio Pagan","Belmont Abbey","Jr.","3B","63","21.3","13"
"7","Harry Dunsford","Missouri S&T","Jr.","P","20","18.3","12"
"","Ben Seabrook","North Ala.","Fr.","P","21","21.7","12"
"","Laurent Zenoni","Drury","Jr.","P","23","25.7","12"
"10","Oscar Almeida","N.M. Highlands","Jr.","P","18","30.0","11"
"","Cameron Mann","Southeastern Okla.","Jr.","C","26","53.3","11"
"","Braxton Lewis","UNC Pembroke","Sr.","P","92","32.0","11"
"13","Cameron Dullnig","Tex. A&M-Kingsville","Sr.","2B","15","20.3","10"
"","Mike Botelho","Cal St. Chico","Jr.","P","18","20.7","10"
"","Brian Thompson","Quincy","Sr.","P","20","20.0","10"
"","Tony York","UC San Diego","Sr.","P","21","27.0","10"
"","Brett Loeding","Northern Ky.","Jr.","P","29","81.0","10"
"18","Nick Sutherland","Minn. St. Mankato","Sr.","P","17","26.3","9"
"","Kody Kibler","Shippensburg","Sr.","P","19","20.7","9"
"","Justin Thomas","Southern Ark.","Jr.","P","21","30.3","9"
"","Michael Weatherly","Angelo St.","Jr.","P","23","31.3","9"
"","Kyle Thompson","Ark.-Fort Smith","Sr.","P","25","29.0","9"
"","Max Rusch","Flagler","Sr.","P","98","47.3","9"
"24","Derek Benham","Colorado Mesa","Sr.","P","15","17.0","8"
"","Adrian Dominguez","Southwestern Okla.","Sr.","P","15","21.0","8"
"","Billy Hurley","Wayne St. (MI)","Sr.","P","15","14.0","8"
"","Chris Saroff","Indianapolis","Sr.","P","15","18.7","8"
"","Alex Williams","Findlay","Fr.","P","15","15.7","8"
"","Harold Zosel","Cal St. Monterey Bay","Sr.","P","17","20.7","8"
"","Mark Jarrett","Grand Canyon","Jr.","P","18","26.7","8"
"","Edward Trovato","Hawaii Pacific","Jr.","P","18","43.3","8"
"","Nate Carter","Fla. Southern","So.","P","19","19.3","8"
"","A.J. Turnier","Southern Conn. St.","So.","P","34","16.3","8"
"","Jordan Oncay","Wilmington (DE)","Sr.","OF","60","21.0","8"
"35","Tyler Sturkie","Newberry","Jr.","P","13","11.3","7"
"","Corey Lakatos","Charleston (WV)","So.","P","15","11.3","7"
"","Brett Macari","Fort Hays St.","Sr.","INF","15","23.3","7"
"","Austin Mock","Indiana (PA)","Fr.","INF","17","18.3","7"
"","John-Austin Shepard","Tusculum","So.","P","18","28.7","7"
"","T.J. Mullins","Barry","Sr.","P","19","30.0","7"
"","Preston Packrall","Tampa","Jr.","P","20","32.0","7"
"","Cody Barrett","Ala.-Huntsville","Jr.","P","21","37.3","7"
"","Joshua Karr","Wingate","Sr.","INF","23","23.3","7"
"","Jordan Butcher","West Virginia St.","Jr.","P","24","36.0","7"
"","Kevin Carroll","Le Moyne","Jr.","P","37","14.0","7"
"","Wes Rich","Montevallo","Sr.","P","70","29.3","7"
"","Joe Depool","St. Thomas Aquinas","Jr.","OF","71","27.3","7"
"","Matt LaMothe","Georgia College","Jr.","P","76","34.0","7"
"49","Carlos Maese","West Tex. A&M","Jr.","P","11","13.0","6"
"","Tyler Horst","Millersville","Sr.","P","14","17.0","6"
"","Chris Stein","West Va. Wesleyan","Jr.","P","14","24.7","6"
"","Evan Stobbs","Tampa","Sr.","P","15","27.7","6"
"","Jason Henderson","Kutztown","So.","P","16","22.3","6"
"","Travis Unthank","Central Mo.","Sr.","P","16","26.7","6"
"","Jake Jones","Mo. Western St.","So.","P","17","22.0","6"
"","Bronson Smith","Harding","So.","P","17","27.7","6"
"","Daniel Zapata","Dixie St.","Sr.","P","17","22.3","6"
"","Britt Robertshaw","Tarleton St.","Jr.","P","18","30.7","6"
"","Andre Colon","Lynn","Jr.","P","19","27.0","6"
"","Jeremy White","West Ala.","Jr.","P","19","23.3","6"
"","Kris Morris","Hillsdale","Sr.","P","20","23.0","6"
"","Roldan Ochoa","Northeastern St.","Sr.","P","20","30.3","6"
"","Hunter Aronson","Regis (CO)","Jr.","P","21","34.0","6"
"","Andrew Gallant","Shepherd","Sr.","P","25","54.7","6"
"","Jeffrey Stoner","Francis Marion","So.","P","29","68.3","6"
"","Tom Bammann","Dowling","So.","P","45","22.0","6"
"","James Farrington","St. Anselm","Jr.","P","47","20.0","6"
"","Ross Davis","Lander","Sr.","P","49","42.0","6"
"","Mathew Facendo","Felician","Fr.","P","54","21.0","6"
"","Craig Bolton","Pfeiffer","Fr.","P","60","22.0","6"
"","Matt Abramowitz","Adelphi","So.","P","69","23.0","6"
"","Zack Hula","Georgia College","Jr.","P","81","41.3","6"
"","Kit Carter","Erskine","Jr.","P","103","45.3","6"
"74","Jonathan Finnegan","Arkansas Tech","Jr.","INF","6","4.3","5"
"","Jordan Coons","Central Mo.","Sr.","INF","7","8.0","5"
"","Steven Schils","Florida Tech","Jr.","P","10","9.7","5"
"","Ian MacDougall","Western Ore.","Sr.","P","12","21.0","5"
"","Kyle Asher","Lincoln Memorial","Fr.","P","13","11.3","5"
"","Drew Hicks","Lewis","Sr.","P","13","14.3","5"
"","Erik Lamka","Ohio Dominican","Sr.","P","14","18.7","5"
"","Ryan Beck","East Stroudsburg","Sr.","P","17","33.7","5"
"","Brett Ivey","West Ala.","Jr.","P","18","27.7","5"
"","Landon Wahl","Gannon","Sr.","P","19","62.0","5"
"","Doug Fox","Lake Erie","Jr.","P","21","31.3","5"
"","Tony Hearell","Mars Hill","Sr.","P","21","38.3","5"
"","Heath Stuckey","East Central","Sr.","P","22","23.3","5"
"","Will Zuspan","Concord","So.","P","22","33.0","5"
"","Eric Kamp","Bloomfield","Jr.","P","25","71.3","5"
"","James Mannara","Florida Tech","Jr.","P","25","46.3","5"
"","Zac Treece","Ouachita Baptist","Sr.","P","25","51.7","5"
"","Alex Powers","Southern N.H.","So.","P","36","23.0","5"
"","Edward Byrne","Pace","Jr.","P","40","33.0","5"
"","Peter Jay","New Haven","Jr.","P","42","19.0","5"
"","Chase Gilreath","Columbus St.","So.","P","59","33.3","5"
"95","Josh Pond","Cal St. San B'dino","Sr.","P","9","4.0","4"
"","Justin Drzewicki","Saginaw Valley","Jr.","P","12","14.0","4"
"","Bennett Hixson","Brevard","Fr.","C","12","19.3","4"
"","Ty Jacobs","Metro St.","Sr.","SS","12","15.7","4"
"","Bobby Ragasa","Mont. St. Billings","Jr.","P","12","28.0","4"
"","Matthew Davidson","Southern Ind.","Jr.","P","13","17.3","4"
"","Michael Garber","Sonoma St.","Jr.","P","13","22.0","4"
"","Sean McDonald","Northwest Nazarene","Sr.","OF","14","55.0","4"
"","Brandon Hardin","Delta St.","Sr.","P","16","23.3","4"
"","Branden Petrangelo","San Fran. St.","Sr.","P","16","69.7","4"
"","Mauricio Rodriguez","Nova Southeastern","Sr.","P","17","37.0","4"
"","Andy Young","Mansfield","Sr.","P","17","67.3","4"
"","Joe Miller","Minn.-Crookston","Fr.","P","18","34.0","4"
"","Chris Villa","Tex. A&M Int'l","Sr.","P","18","18.0","4"
"","Evan Hart","Chowan","Fr.","P","19","50.3","4"
"","Aaron Kleekamp","Cameron","Sr.","P","19","22.3","4"
"","Jon-Michael Davis","Christian Bros.","Sr.","P","20","44.3","4"
"","Blake Edmonson","Lenoir-Rhyne","Sr.","P","20","32.7","4"
"","Jon Murphy","Seton Hill","Sr.","P","20","27.3","4"
"","Josh Stone","Abilene Christian","Jr.","P","20","48.7","4"
"","Justin Strohmeier","Bellarmine","Sr.","P","25","31.3","4"
"","Anthony Zapulla","C.W. Post","Jr.","P","26","13.0","4"
"","Jarrott Hooks","Francis Marion","Sr.","P","44","53.0","4"
"","Brett Julian","Merrimack","Jr.","P","44","33.0","4"
"","Nicholas Kevlin","Dominican (NY)","Fr.","P","57","21.3","4"
"","Taylor Grover","S.C. Aiken","So.","P","71","18.3","4"
"","Jake Padgett","S.C. Aiken","So.","P","74","15.0","4"
"122","Robbie Rocamora","Northern St.","So.","3B","10","41.3","3"
"","Jake Tuck","Central Okla.","So.","P","11","22.0","3"
"","Dylan Shoemaker","Southwest Minn. St.","Jr.","P","12","11.7","3"
"","Josh Spears","Harding","Fr.","P","12","15.7","3"
"","Dustin Baisdon","Cal St. Stanislaus","Fr.","P","13","15.7","3"
"","Corby McGlauflin","Southwest Minn. St.","Jr.","P","13","20.3","3"
"","Cedar Morgan","Cal St. L.A.","Jr.","P","13","19.3","3"
"","Cole Hanson","Upper Iowa","Sr.","P","14","22.3","3"
"","Travis Famias","Mary","Fr.","P","16","20.3","3"
"","Zach Weinandt","Augustana (SD)","Sr.","P","16","27.7","3"
"","Jerad Barth","Wayne St. (NE)","Jr.","P","17","30.7","3"
"","Josh Gratsch","Urbana","Jr.","P","19","17.7","3"
"","Jacob Valenzuela","Cal St. L.A.","Sr.","P","19","20.0","3"
"","Anthony Gotelli","Cal St. Stanislaus","Jr.","P","20","38.0","3"
"","Tyler Hibbs","Francis Marion","Jr.","INF","20","15.3","3"
"","Gabriel Martinez","East Central","Jr.","P","22","39.7","3"
"","Erik Lambe","Le Moyne","Sr.","P","29","31.0","3"
"","Beau Batchelor","Merrimack","Jr.","P","33","23.0","3"
"","Dallas Nunes","Mass.-Lowell","Sr.","P","34","48.0","3"
