"Rank","Name","Team","Cl","Pos","G","R"
"1","Rashad Ingram","St. Augustine's","Sr.","INF","54","72"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","72"
"3","Chase Larsson","Cameron","Jr.","OF","44","71"
"4","Kenny Held","Cameron","Sr.","OF","44","67"
"5","Dodson McPherson","Wingate","Jr.","OF","54","65"
"6","William Smalls","Albany St. (GA)","Jr.","SS","52","60"
"","Michael Wilson","Francis Marion","Fr.","INF","47","60"
"8","Nick DeBiasse","Central Mo.","Sr.","INF","46","59"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","59"
"10","Drew Dwelly","Barry","Sr.","3B","50","58"
"","Michael Niemann","Delta St.","Sr.","OF","46","58"
"12","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","57"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","57"
"","Michael Knox","Mount Olive","Jr.","DH","46","57"
"15","Kendall Boone","West Tex. A&M","Jr.","INF","48","56"
"","Chase Presley","Harding","Jr.","INF","46","56"
"17","Trey Buck","Southern Ark.","Jr.","SS","45","55"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","55"
"","Corbin Williams","Albany St. (GA)","So.","2B","43","55"
"20","Michael Bueker","Mars Hill","Jr.","INF","48","54"
"","John Couch","Lincoln Memorial","Sr.","INF","51","54"
"","Josh Dawson","Cameron","Jr.","INF","44","54"
"","Zach Krueger","Metro St.","Sr.","OF","39","54"
"24","Eric Dorton","West Tex. A&M","Fr.","OF","48","53"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","53"
"","Garrett Yatch","Grand Valley St.","Fr.","INF","38","53"
"27","David Fox","Metro St.","Sr.","OF","40","51"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","51"
"29","Dion Bryant","Stillman","Jr.","OF","41","50"
"","Alexi Colon","Tusculum","Jr.","OF","50","50"
"","Sean Cotten","Tusculum","Sr.","C","50","50"
"","Brandon Gipson","Benedict","Sr.","C","40","50"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","50"
"","Rusty Smith","Mars Hill","Sr.","OF","49","50"
"","Zach Smith","Erskine","Fr.","INF","51","50"
"36","Rolando Bonner","Tusculum","Sr.","OF","43","49"
"","Stuart Drew","West Ga.","Jr.","2B","48","49"
"","Chris Dula","Catawba","Fr.","3B","53","49"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","49"
"","Courtney Kelley","Miles","So.","OF","38","49"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","49"
"","Greg Pron","West Fla.","Sr.","OF","48","49"
"","Michael Schmidt","North Ala.","Jr.","INF","44","49"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","49"
"","Shawn Ward","Georgia College","Sr.","OF","49","49"
"","Brian Yeung","Wingate","So.","INF","54","49"
"47","John Bolding","Erskine","Sr.","INF","51","48"
"","Zach Cohen","Angelo St.","Jr.","INF","47","48"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","48"
"","Ryan Faison","Mount Olive","Sr.","INF","46","48"
"","Shayne Houck","Kutztown","Jr.","INF","39","48"
"","Will Miller","West Tex. A&M","Sr.","OF","47","48"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","48"
"54","Casey Allison","Wingate","Jr.","OF","54","47"
"","Khatim Butler","Elizabeth City St.","Sr.","P","40","47"
"","Ladarrius Cole","West Ala.","Jr.","OF","41","47"
"","Jess Cooper","West Tex. A&M","Jr.","INF","46","47"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","47"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","47"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","47"
"","Josh Hohn","Catawba","Sr.","C","51","47"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","47"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","47"
"64","Ryan Bostian","Catawba","Jr.","OF","53","46"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","46"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","46"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","46"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","46"
"","Taye Larry","West Fla.","Jr.","OF","47","46"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","46"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","46"
"","Ryan McCormick","Millersville","Sr.","SS","45","46"
"","Keith Morrisroe","Concord","Jr.","C","41","46"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","46"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","46"
"","Cale Rogers","Wingate","Sr.","OF","54","46"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","46"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","46"
"","Chris Vazquez","Wingate","Jr.","SS","52","46"
"80","Madison Beaird","Arkansas Tech","So.","OF","46","45"
"","David Christy","Limestone","Sr.","2B","52","45"
"","Josh Cyr","North Ala.","So.","INF","44","45"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","45"
"","Collin Elmore","St. Edward's","Jr.","INF","42","45"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","45"
"","Tanner Funk","Georgia College","Jr.","SS","50","45"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","45"
"","Nate Hewes","Augustana (SD)","So.","INF","43","45"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","45"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","45"
"","Dustin Lawley","West Fla.","Sr.","OF","48","45"
"","Brain Laznik","Erskine","Sr.","OF","50","45"
"","Kevin Mager","Rollins","Jr.","INF","45","45"
"","Jared Mothershed","North Ala.","Sr.","OF","43","45"
"","Richard Pirkle","Georgia College","Sr.","C","50","45"
"","Blake Stroth","North Ala.","Sr.","INF","42","45"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","45"
"","Casey Winckowski","Erskine","Sr.","INF","51","45"
"","Ty Windall","Northwest Nazarene","Sr.","OF","44","45"
"","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","45"
"","Josh Young","Georgia College","Jr.","OF","49","45"
"102","Cody Baker","Lincoln Memorial","So.","OF","51","44"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","44"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","44"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","44"
"","Nick Erminio","Seton Hill","Jr.","INF","37","44"
"","Dean Green","Barry","Sr.","1B","50","44"
"","Josh Huggins","West Fla.","Jr.","3B","47","44"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","44"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","44"
"","Jonathan Keppler","Mercyhurst","Sr.","INF","44","44"
"","Landan McCall","Tarleton St.","So.","SS","43","44"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","44"
"","Jason Nappi","Harding","Sr.","INF","45","44"
"","Matt Roohan","Incarnate Word","Sr.","INF","47","44"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","44"
"","Mike Williams","Newman","Sr.","INF","46","44"
"118","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","43"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","43"
"","Chris Casazza","Tarleton St.","Sr.","INF","45","43"
"","J Cox","Virginia St.","Fr.","-","46","43"
"","Patrick Donahue","Tampa","Sr.","INF","43","43"
"","John Duran","Ga. Southwestern","So.","INF","46","43"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","43"
"","Christian Glisson","Valdosta St.","Jr.","C","44","43"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","43"
"","Joe Maloney","Limestone","Jr.","C","52","43"
"","Ryan Moore","Chowan","Fr.","P","50","43"
"","Kyle Saul","UC San Diego","Sr.","C","45","43"
"","Robert Skinner","Lander","Sr.","INF","49","43"
"131","Tyler Bair","Grand Canyon","Sr.","OF","47","42"
"","Ryan Brnovich","Saint Leo","So.","INF","45","42"
"","Corey Cowan","Newman","Jr.","INF","47","42"
"","Alex Frederick","Armstrong","Jr.","SS","46","42"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","42"
"","David Longmore","Newman","Jr.","OF","46","42"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","42"
"","Dylan Schuch","St. Edward's","Sr.","OF","43","42"
"","Logan Williams","Southern Ark.","Sr.","3B","44","42"
"140","Tyler Anthony","Central Mo.","Sr.","OF","46","41"
"","Mike August","Millersville","Jr.","SS","45","41"
"","Randy Beard","Concord","So.","OF","44","41"
"","Kellen Bozeman","Delta St.","Sr.","DH","46","41"
"","Brandon Brewer","West Fla.","Sr.","SS","48","41"
"","Tucker Brown","Central Okla.","Jr.","INF","43","41"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","41"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","41"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","41"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","41"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","41"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","41"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","41"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","41"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","41"
"","Paul Young","Grand Valley St.","Sr.","OF","39","41"
"156","Bryce Baugh","West Tex. A&M","Jr.","INF","45","40"
"","Joey Bristyan","Grand Canyon","Jr.","OF","45","40"
"","Jarius Brown","Stillman","Fr.","OF","41","40"
"","Josh Catalano","Chowan","Fr.","INF","47","40"
"","Patrick Chamberlain","Stillman","So.","C","39","40"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","40"
"","Adrian English","Barry","Fr.","INF","50","40"
"","Brian Giles","North Greenville","Sr.","P","44","40"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","40"
"","Mike Jackson","Stillman","Jr.","OF","41","40"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","40"
"","Taylor Johnson","St. Edward's","So.","2B","44","40"
"","Brandon Mack","Chowan","So.","INF","50","40"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","40"
"","Gavin Meyer","Quincy","So.","OF","44","40"
"","Nathan Minnich","Shepherd","Jr.","1B","33","40"
"","Aaron Oliver","Abilene Christian","Sr.","OF","33","40"
"","Heath Peterson","Montevallo","Jr.","1B","43","40"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","40"
"","Eric Rodriguez","Benedict","Sr.","OF","34","40"
"","Brian Simone","West Ala.","Sr.","OF","41","40"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","40"
"","Troy Snitker","North Ga.","Jr.","C","49","40"
