"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Derek Fulmer","North Greenville","Sr.","P","53","204","85"
"2","Geno Escalante","Mount Olive","Jr.","C","48","195","84"
"","Aaron Guinn","Tusculum","Sr.","1B","54","212","84"
"4","Cody Coffman","Tusculum","Sr.","INF","54","201","82"
"5","A Jones","Winston-Salem","Fr.","-","50","173","81"
"6","Brett Moreland","Flagler","Jr.","C","49","208","80"
"7","Brian Yeung","Wingate","Jr.","INF","55","218","79"
"8","Kevin Blue","Central Okla.","Sr.","INF","48","192","78"
"","P Martin","Winston-Salem","Fr.","-","50","193","78"
"","German Reyes","Winston-Salem","Jr.","INF","47","173","78"
"11","Casey Allison","Wingate","Sr.","OF","55","219","77"
"","Josh Haley","UNC Pembroke","Sr.","OF","49","197","77"
"","Michael Pomeroy","Grand Canyon","Jr.","OF","48","181","77"
"","Ethan Satterfield","Catawba","So.","OF","52","189","77"
"","Zach Taylor","Armstrong","Jr.","OF","48","205","77"
"16","null Joey Belviso","Mars Hill","Fr.","-","48","188","76"
"17","Will Fulmer","Montevallo","So.","INF","49","204","75"
"","Jacob Karr","Wingate","Sr.","INF","55","228","75"
"","Cade Stallings","Tusculum","Jr.","INF","54","201","75"
"","Allen Staton","North Greenville","Fr.","P","53","191","75"
"21","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","182","74"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","183","74"
"23","Tyler Adams","Upper Iowa","So.","OF","42","171","73"
"","Aj Nunziato","Lander","Sr.","INF","48","197","73"
"25","Stephen Carmon","S.C. Aiken","Sr.","SS","49","202","71"
"","Tanner Funk","Georgia College","Sr.","SS","48","196","71"
"","Billy Smith","West Virginia St.","Jr.","OF","45","170","71"
"28","Ty Barkell","S.C. Aiken","Fr.","1B","49","195","70"
"","Dion Bryant","Stillman","Sr.","OF","44","187","70"
"","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","184","70"
"","Dodson McPherson","Wingate","Sr.","OF","55","212","70"
"","Derek Mendoza","Grand Canyon","Jr.","INF","46","164","70"
"","Lee Neumann","Angelo St.","Jr.","OF","50","176","70"
"","Jacob Rogers","Mount Olive","Sr.","3B","48","169","70"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","180","70"
"","Toby Semler","Angelo St.","Sr.","INF","50","188","70"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","187","70"
"38","Brendan Costantino","Seton Hill","So.","INF","49","178","69"
"","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","69"
"","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","173","69"
"","Garrett Furr","Catawba","Jr.","DH","53","211","69"
"","Brock McCallister","Francis Marion","Sr.","INF","47","200","69"
"","Sean McDonald","Northwest Nazarene","Sr.","OF","45","186","69"
"","Coty Pate","Mars Hill","Sr.","INF","42","167","69"
"","Eric Renegar","Brevard","Jr.","INF","48","182","69"
"46","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","68"
"","Anthony Boza","Lynn","Sr.","1B","43","164","68"
"","Jarius Brown","Stillman","Sr.","OF","44","163","68"
"","Ryan Busboom","Fort Hays St.","Jr.","INF","44","168","68"
"","Christian Glisson","Valdosta St.","Sr.","C","42","162","68"
"","Michael Hughey","Limestone","Jr.","SS","42","171","68"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","68"
"","Josh Miller","S.C. Aiken","Jr.","C","46","183","68"
"","Nathan Minnich","Shepherd","Sr.","1B","46","136","68"
"","Cameron Scott","Columbus St.","Jr.","2B","50","199","68"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","189","68"
"","Paul Winterbottom","Stillman","Fr.","INF","43","162","68"
"58","Ryan Abernathy","Northwest Mo. St.","So.","OF","39","162","67"
"","Jos Catalano","Chowan","Fr.","-","48","170","67"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","162","67"
"","Lukas Graves","Tusculum","Sr.","OF","53","205","67"
"","Shane Latshaw","Mercyhurst","Sr.","OF","48","175","67"
"","Heath Peterson","Montevallo","Sr.","1B","49","194","67"
"","Billy Richard","St. Mary's (TX)","Jr.","OF","49","183","67"
"","Thomas Spitz","Wingate","Fr.","OF","55","225","67"
"","Danny Susdorf","UC San Diego","Jr.","OF","44","176","67"
"67","Markus Duckworth","North Greenville","Sr.","OF","51","198","66"
"","Cam Kneeland","Mass.-Lowell","Sr.","INF","43","176","66"
"","Luis Quinones","Eastern N.M.","Jr.","OF","46","176","66"
"","Michael Schmidt","North Ala.","Sr.","INF","50","179","66"
"","Brett Teschner","Columbus St.","Jr.","C","49","187","66"
"","Jake Warner","Pitt.-Johnstown","So.","C","48","168","66"
"","Jordan White","Ky. Wesleyan","Sr.","OF","45","168","66"
"74","Nick Aranas","S.C. Aiken","Sr.","3B","48","181","65"
"","Kendall Boone","West Tex. A&M","Sr.","INF","46","176","65"
"","Tucker Brown","Central Okla.","Sr.","INF","47","177","65"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","160","65"
"","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","65"
"","B Harrison","Winston-Salem","Fr.","-","48","184","65"
"","Garrett Tuck","UC San Diego","So.","SS","48","177","65"
"81","Jermaine Berry","Mount Olive","Jr.","3B","42","164","64"
"","Chuck Duarte","Abilene Christian","Jr.","INF","50","169","64"
"","Jordan Erisman","North Ga.","Sr.","INF","48","214","64"
"","Blake Gentry","Southeastern Okla.","Sr.","OF","46","173","64"
"","Cody Maas","Georgia College","Jr.","C","47","188","64"
"","Tarron Robinson","Brevard","Fr.","C","49","179","64"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","169","64"
"","Will Tankersley","S.C. Aiken","Fr.","OF","45","165","64"
"89","Tommy Barnes","Neb.-Kearney","Jr.","1B","43","159","63"
"","Bret Blevins","Concord","So.","INF","48","170","63"
"","Mike Bolling","Lewis","Sr.","OF","46","172","63"
"","Scott Bradbury","Rockhurst","Sr.","3B","42","170","63"
"","Antonio Callaway","Mount Olive","Sr.","OF","48","179","63"
"","Brad Clement","Northern Ky.","Jr.","INF","46","174","63"
"","Eric Dawson","Emporia St.","Jr.","INF","41","158","63"
"","Travis Echols","Georgia College","Jr.","3B","48","197","63"
