"Rank","Name","Team","Cl","Pos","G","3B"
"1","Chase Tucker","Redlands","Jr.","INF","36","10"
"2","Andrew Dana","Dubuque","So.","INF","32","8"
"","Kyle Davis","Piedmont","Jr.","OF","38","8"
"","Geoff Lang","Penn St.-Behrend","Sr.","OF","30","8"
"","Wes Meadows","Otterbein","So.","3B","36","8"
"","Mathieu Vallieres","Neumann","Sr.","OF","26","8"
"7","Cody Koback","Wis.-Stevens Point","Jr.","P","33","7"
"","Tony Rogers","Hamline","Sr.","OF","30","7"
"","Matt Thompson","McMurry","Jr.","1B","41","7"
"","Nick Travelyn","Suffolk","Sr.","OF","39","7"
"11","Chris Ballester","Rutgers-Newark","Jr.","OF","37","6"
"","Thomas Butler","Farmingdale St.","Jr.","C","24","6"
"","Jason Cohen","DePauw","So.","INF","40","6"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","6"
"","Joe Falcone","Staten Island","Fr.","OF","27","6"
"","Matt Forgatch","Denison","Sr.","3B","36","6"
"","Jordan Hammontree","Howard Payne","Jr.","OF","34","6"
"","Chris Harpine","East. Mennonite","Sr.","OF","36","6"
"","Kevin Knack","SUNY Oneonta","Jr.","INF","35","6"
"","Alvin Mata","Baruch","Jr.","OF","36","6"
"","Colin Sitarz","Endicott","Jr.","OF","40","6"
"","Joseph Vila","Muhlenberg","So.","OF","36","6"
"23","Sam Alexander","Case","Jr.","OF","42","5"
"","Matt Anthonis","Western New Eng.","So.","OF","37","5"
"","Joe Aul","Saint Vincent","Sr.","INF","35","5"
"","Nick Broyles","Bluffton","Jr.","OF","36","5"
"","A.J. Flores","Wm. Paterson","Fr.","OF","38","5"
"","Jeff Forgerson","Hendrix","Sr.","INF","41","5"
"","Mike Hustava","Saint Vincent","Jr.","1B","30","5"
"","Daniel Iturrey","Emory","So.","OF","35","5"
"","Dave Johnson","Simpson","Sr.","INF","32","5"
"","Stephen Maier","Williams","Jr.","OF","29","5"
"","Alex Meadow","Wesleyan (CT)","Jr.","INF","34","5"
"","Mike Moran","Wm. Paterson","Sr.","OF","37","5"
"","Nolan Neuschaefer","Baldwin-Wallace","So.","OF","32","5"
"","David Northup","Southern Vt.","So.","P","28","5"
"","James Parr","Chapman","So.","INF","34","5"
"","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","5"
"","Mike Pereslucha","Allegheny","Sr.","P","29","5"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","5"
"","Tim Saunders","Marietta","Jr.","OF","32","5"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","5"
"","Drue Vernon","Chris. Newport","Sr.","DH","38","5"
"","Ben Ward","St. John Fisher","Jr.","C","30","5"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","5"
"46","Will Baine","Middlebury","Jr.","SS","24","4"
"","Jimmy Baum","Penn St.-Altoona","Jr.","OF","34","4"
"","William Bissell","Gallaudet","Fr.","OF","42","4"
"","Bruce Brown","Daniel Webster","Sr.","INF","27","4"
"","Tyler Case","Buena Vista","Sr.","OF","33","4"
"","Forrest Chadwick","Southern Me.","Fr.","INF","32","4"
"","Hayden Chick","Texas-Tyler","Jr.","C","39","4"
"","Tom Clarke","Rutgers-Camden","Sr.","OF","36","4"
"","Matthew Clawson","Newbury","So.","OF","33","4"
"","Matt Cox","Puget Sound","Jr.","OF","33","4"
"","Travis Crump","Ferrum","Sr.","OF","34","4"
"","Steven Davis","Louisiana Col.","Sr.","INF","42","4"
"","Tom DeAngelis","Widener","Sr.","OF","34","4"
"","Brandyn Delgado","Cal Lutheran","Jr.","OF","33","4"
"","Andrew Dewing","Eastern Conn. St.","Sr.","1B","27","4"
"","Mike Foley","Aurora","So.","INF","33","4"
"","Zack Galasso","Saint Vincent","Jr.","OF","36","4"
"","Drew Golz","Wheaton (IL)","Jr.","OF","34","4"
"","Matt Hancock","Ramapo","So.","C","36","4"
"","Brian Henry","Keystone","Sr.","C","33","4"
"","Adam Higgins","Averett","Sr.","OF","38","4"
"","Devan Jones","Suffolk","Fr.","INF","39","4"
"","Nick Kanutsu","Medaille","Jr.","INF","31","4"
"","Matt Keen","Case","So.","SS","43","4"
"","Trevor Koons","Cal Lutheran","So.","INF","36","4"
"","Tripp Lancaster","Methodist","Sr.","OF","44","4"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","4"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","4"
"","Shaun Marshall","Wis.-Superior","Jr.","2B","28","4"
"","Ryan Miller","Wheaton (IL)","Jr.","SS","35","4"
"","Nate Newman","Misericordia","Sr.","INF","35","4"
"","Trace Norton","Mt. St. Joseph","Sr.","OF","37","4"
"","Robert Rashid","Lawrence","Sr.","OF","29","4"
"","Bill Root","Salisbury","Fr.","OF","35","4"
"","Josef Schaetzle","Old Westbury","Sr.","DH","41","4"
"","Daniel Sexton","Caltech","Jr.","C","27","4"
"","Nick Skala","Concordia Chicago","Jr.","C","33","4"
"","Leon Stimpson","Alvernia","So.","OF","31","4"
"","Cody Sukalski","Gust. Adolphus","Sr.","INF","29","4"
"","Joshua Sullivan","Lasell","Jr.","INF","34","4"
"","Greg Suryn","Grinnell","Sr.","OF","27","4"
"","Dustin Tarlow","Stevenson","Sr.","OF","39","4"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","4"
"","Kyle Weiss","Wesleyan (CT)","Jr.","OF","34","4"
"","Tucker White","Southern Me.","So.","OF","29","4"
"","Herbie Williams","Hampden-Sydney","Sr.","OF","39","4"
"92","Chris Alberto","Western Conn. St.","So.","INF","32","3"
"","Anthony Amedei","Aurora","Sr.","2B","33","3"
"","John Apostolo","Mitchell","Jr.","P","25","3"
"","Andy Athans","North Park","Sr.","OF","35","3"
"","Joe Balowski","Eastern Conn. St.","So.","3B","29","3"
"","Nick Bean","WPI","Jr.","SS","33","3"
"","Connor Bierfeldt","Western Conn. St.","So.","P","29","3"
"","Kyle Billig","Washington-St. Louis","Fr.","OF","43","3"
"","Brad Blum","Buena Vista","Sr.","INF","33","3"
"","Jesse Bongartz","Dominican (IL)","Sr.","INF","27","3"
"","Andrew Bosma","Calvin","Sr.","INF","34","3"
"","Shawn Bramble","Phila. Biblical","Jr.","P","28","3"
"","Evan Brockmeier","Marietta","So.","P","30","3"
"","Spencer Brown","Principia","Sr.","SS","26","3"
"","Steve Buitkus","Salem St.","So.","OF","32","3"
"","Scott Buniak","Oswego St.","Fr.","OF","32","3"
"","Jeff Butera","Haverford","Sr.","OF","38","3"
"","Pierce Byrd","New England Col.","Fr.","INF","28","3"
"","Alex Caghan","Rochester (NY)","Jr.","OF","32","3"
"","Desmond Cato","Wheaton (IL)","Fr.","OF","29","3"
"","Will Chen","Macalester","Sr.","OF","30","3"
"","Patrick Christopher","McDaniel","So.","OF","32","3"
"","Nick Cifelli","TCNJ","So.","INF","33","3"
"","Tyler Clark","N.C. Wesleyan","So.","C","38","3"
"","Tanner Coggins","Wabash","Sr.","INF","41","3"
"","Ben Cok","Calvin","So.","INF","34","3"
"","Bob Cook","Amherst","So.","INF","28","3"
"","Ryan Crandall","Monmouth (IL)","So.","INF","27","3"
"","Tyler Crandell","Simpson","So.","INF","32","3"
"","Brandon Cruz","Farmingdale St.","Sr.","SS","27","3"
"","Justin Danser","Albright","Sr.","3B","32","3"
"","Michael Dean","Newbury","Jr.","C","34","3"
"","Mike Decembrino","Wash. & Lee","Jr.","OF","31","3"
"","Tyler Dillinger","Bethany (WV)","Sr.","OF","28","3"
"","John Doering","Transylvania","So.","OF","27","3"
"","Mark Donahue","Purchase St.","Jr.","OF","30","3"
"","Bobby Doyon","Keene St.","Sr.","OF","37","3"
"","Dylan Early","Trinity (TX)","Sr.","OF","33","3"
"","Mike Eaton","Southern Me.","Sr.","OF","33","3"
"","Derrek Etsell","Neumann","Jr.","OF","31","3"
"","Joshua Ferreira","Bridgewater St.","Jr.","OF","34","3"
"","Greg Ferrell","Mount Union","Sr.","OF","25","3"
"","Mike Fignar","King's (PA)","Sr.","OF","34","3"
"","Stephen Fisher","Elms","So.","OF","34","3"
"","Kyle Flagstad","St. Scholastica","So.","OF","21","3"
"","George Flores","Lehman","Jr.","C","19","3"
"","Matt Francis","Rochester (NY)","Sr.","OF","30","3"
"","Zach Frentsos","Ohio Wesleyan","Sr.","OF","38","3"
"","Kevin Galvin","Colby","Fr.","INF","22","3"
"","Ben Gardner","DePauw","Sr.","INF","38","3"
"","Nick Gentili","Pomona-Pitzer","So.","OF","36","3"
"","Joe Giaimo","Wesleyan (CT)","Sr.","1B","33","3"
"","Brian Giebel","Wis.-Stout","Sr.","OF","32","3"
"","Tad Gold","Endicott","Fr.","OF","39","3"
