"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","135","67","53","2","1","0","0.639"
"2","Todd Tompkins","Becker","Jr.","C","37","111","55","33","4","1","0","0.617"
"3","Derek Smith","Pitt.-Bradford","Jr.","INF","32","108","57","13","2","3","0","0.571"
"4","Austin Davis","Gettysburg","So.","INF","27","91","45","15","0","0","1","0.566"
"5","Dave Zubia","Moravian","Sr.","INF","38","135","61","21","13","1","0","0.559"
"6","Carter Franz","St. Lawrence","Jr.","-","33","124","57","26","3","1","2","0.558"
"7","David Kinney","Clarkson","Sr.","INF","35","122","60","10","9","2","0","0.552"
"8","Tim LoCastro","Ithaca","So.","SS","24","85","38","7","14","1","2","0.551"
"9","Tommy Kramer","Bethany Lutheran","Sr.","INF","29","95","38","25","7","0","3","0.551"
"10","Matt Consiglio","Mass.-Boston","Jr.","SS","30","96","38","23","10","1","3","0.546"
"11","Joey Semler","SUNY Maritime","Jr.","C","33","104","43","27","5","3","0","0.540"
"12","Adam Derner","Wm. Paterson","Sr.","1B","40","135","57","30","8","4","1","0.537"
"13","Jeremy Zoll","Haverford","Sr.","C","29","103","47","19","2","3","0","0.535"
"14","Andrew DeLuca","Adrian","Jr.","OF","31","89","36","16","10","1","4","0.534"
"15","Kyle Strawn","Adrian","Sr.","OF","30","91","42","12","4","2","1","0.532"
"16","Matthew Hardy","Immaculata","Jr.","INF","37","125","54","25","3","2","0","0.529"
"17","Nick Beall","Shenandoah","Jr.","OF","37","125","53","31","2","5","1","0.528"
"18","Alan Cheatham","Principia","Sr.","3B","34","119","52","17","7","2","0","0.524"
"19","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","109","52","14","1","4","1","0.523"
"20","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","139","57","18","16","1","0","0.523"
"21","Dan Allen","Stevens","So.","P","35","100","35","35","4","3","0","0.521"
"22","Kyle Flagstad","St. Scholastica","Jr.","OF","31","96","42","15","5","3","0","0.521"
"23","Peter Krysztof","St. John Fisher","Sr.","OF","35","121","52","21","3","1","13","0.521"
"24","Josh Sharpe","Mt. St. Vincent","So.","OF","33","105","39","30","8","5","1","0.520"
"25","Jordan Stephans","Carroll (WI)","Jr.","INF","23","78","30","16","7","1","2","0.520"
"26","Matt Hancock","Ramapo","Jr.","C","34","109","45","26","2","4","1","0.518"
"27","Brendan Scioscia","Waynesburg","Sr.","C","37","117","48","25","5","4","1","0.517"
"28","Mark Vlaskamp","Hendrix","Sr.","INF","41","130","43","28","23","1","3","0.516"
"29","John Adornetto","SUNY Cortland","Jr.","SS","38","118","47","26","8","5","3","0.516"
"","Daniel Iturrey","Emory","Jr.","OF","37","112","39","39","3","3","0","0.516"
"31","Terry Davis","Illinois Col.","Sr.","OF","33","117","53","16","2","3","1","0.514"
"32","Matt Glassman","Stevens","Sr.","1B","32","110","44","21","7","2","1","0.514"
"33","Jordan Powers","St. Norbert","Sr.","OF","29","103","34","32","7","0","7","0.514"
"","Walt Roman","Rochester Inst.","So.","INF","35","106","39","13","21","2","0","0.514"
"35","Dave Jacob","Ramapo","Jr.","OF","39","151","65","21","7","2","3","0.514"
"36","Matt Rice","North Park","Sr.","OF","37","125","51","15","13","1","0","0.513"
"37","Corey Marchant","Manchester","Jr.","INF","37","144","62","20","5","1","0","0.512"
"38","David Kennett","Thomas More","Jr.","SS","36","145","60","25","4","0","1","0.511"
"39","Chase Brown","Texas-Dallas","Sr.","OF","43","160","66","20","13","1","2","0.510"
"40","Rich Pecoraro","St. Joseph's (L.I.)","Sr.","1B","39","122","51","25","1","3","1","0.510"
"41","Nick Connor","Thomas More","Fr.","OF","35","121","47","28","4","2","5","0.510"
"42","Andrew Vallejo","Whittier","Sr.","OF","36","149","65","21","1","0","0","0.509"
"43","Trey Such","Methodist","Sr.","C","41","129","47","38","3","3","6","0.509"
"44","Matt Rowley","Bethel (MN)","Jr.","OF","34","120","53","14","2","0","0","0.507"
"45","T.J. Laible","Mt. St. Vincent","Sr.","OF","31","106","36","21","16","1","0","0.507"
"46","Ryan Kragnes","Penn St.-Behrend","Jr.","OF","37","122","46","25","8","1","5","0.506"
"47","Jake Chaplin","Haverford","Sr.","1B","38","144","57","22","12","2","2","0.506"
"48","Bryan Gill","Nichols","Jr.","INF","30","67","15","28","11","1","1","0.505"
"49","Matt Busse","Carroll (WI)","Sr.","INF","29","104","44","13","5","1","1","0.504"
"50","Gabe Klein","Hamilton","Jr.","OF","32","94","33","26","5","2","0","0.504"
