"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Chase Larsson","Cameron","Jr.","OF","44","167","180"
"2","Kenny Held","Cameron","Sr.","OF","44","167","170"
"3","Brian Yeung","Wingate","So.","INF","54","238","168"
"4","Dodson McPherson","Wingate","Jr.","OF","54","222","166"
"5","Dean Green","Barry","Sr.","1B","50","184","149"
"6","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","146"
"7","William Smalls","Albany St. (GA)","Jr.","SS","52","181","141"
"8","Michael Knox","Mount Olive","Jr.","DH","46","160","139"
"9","Zach Smith","Erskine","Fr.","INF","51","206","135"
"10","Chris Dula","Catawba","Fr.","3B","53","200","129"
"11","Kendall Boone","West Tex. A&M","Jr.","INF","48","177","128"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","171","128"
"13","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","127"
"14","Jordan Easom","West Tex. A&M","Jr.","OF","49","178","125"
"15","Jess Cooper","West Tex. A&M","Jr.","INF","46","160","122"
"","Drew Dwelly","Barry","Sr.","3B","50","223","122"
"","Matt Roohan","Incarnate Word","Sr.","INF","47","184","122"
"18","Joe Maloney","Limestone","Jr.","C","52","185","121"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","162","121"
"","Greg Pron","West Fla.","Sr.","OF","48","168","121"
"21","Dillon Hazlett","Emporia St.","Sr.","INF","45","174","119"
"22","Logan Williams","Southern Ark.","Sr.","3B","44","170","118"
"23","John Bolding","Erskine","Sr.","INF","51","207","116"
"24","Stephen Carmon","S.C. Aiken","Jr.","SS","50","193","115"
"25","Shawn Ward","Georgia College","Sr.","OF","49","189","114"
"26","Alexi Colon","Tusculum","Jr.","OF","50","181","113"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","152","113"
"28","Kevin Mager","Rollins","Jr.","INF","45","176","112"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","166","112"
"30","Josh Haley","UNC Pembroke","Jr.","OF","48","191","111"
"31","Casey Allison","Wingate","Jr.","OF","54","213","110"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","185","110"
"33","Robert Kelly","St. Anselm","So.","1B","44","160","108"
"","Jason Nappi","Harding","Sr.","INF","45","149","108"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","156","108"
"36","Jonathon Dalton","Carson-Newman","Sr.","OF","50","173","107"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","172","107"
"38","William Calhoun","Abilene Christian","Sr.","DH","47","181","106"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","150","106"
"","Adam Shank","St. Edward's","Jr.","OF","44","168","106"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","145","106"
"42","Kellen Bozeman","Delta St.","Sr.","DH","46","175","105"
"","John Couch","Lincoln Memorial","Sr.","INF","51","192","105"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","166","105"
"","Heath Peterson","Montevallo","Jr.","1B","43","173","105"
"","Chase Presley","Harding","Jr.","INF","46","183","105"
"","Mike Williams","Newman","Sr.","INF","46","175","105"
"48","John Roberts","Armstrong","Jr.","C","46","198","104"
"","John Willner","Valdosta St.","Sr.","OF","47","182","104"
"50","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","153","103"
"51","Sean Cotten","Tusculum","Sr.","C","50","174","102"
"","Tanner Funk","Georgia College","Jr.","SS","50","196","102"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","179","102"
"","Adam Taylor","North Greenville","So.","P","44","167","102"
"","Casey Winckowski","Erskine","Sr.","INF","51","189","102"
"56","Michael Bueker","Mars Hill","Jr.","INF","48","210","101"
"","Garrett Furr","Catawba","So.","DH","50","193","101"
"","Dustin Lawley","West Fla.","Sr.","OF","48","184","101"
"59","K.C. Clabough","Florida Tech","Jr.","INF","47","173","100"
"","Josh Dawson","Cameron","Jr.","INF","44","168","100"
"","Andy Marinelli","West Ga.","Fr.","-","48","169","100"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","159","100"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","192","100"
"","Erick Sanderson","Anderson (SC)","So.","P","49","181","100"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","160","100"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","173","100"
"67","J.L. Buchanan","Colo. Christian","Sr.","1B","47","187","99"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","99"
