"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Josh Logan","Seton Hill","Sr.","OF","46","18","1"
"","Rich Maccarone","C.W. Post","So.","INF","41","18","5"
"","Casey Maloney","Armstrong","Jr.","OF","48","18","3"
"","Lucas Matecki","Mo.-St. Louis","Jr.","OF","40","18","0"
"","Emilio Pagan","Belmont Abbey","Jr.","3B","51","18","3"
"","Andrew Rodriguez","West Fla.","Jr.","OF","43","18","2"
"","Dustin Saulmon","West Fla.","Jr.","OF","45","18","1"
"","Eric Weiss","Columbus St.","Sr.","OF","44","18","2"
"126","Dustin Aguilar","Tex. A&M-Kingsville","So.","OF","36","17","3"
"","Peter Bako","Southeastern Okla.","Sr.","OF","39","17","4"
"","Zak Blair","Mercyhurst","Jr.","INF","34","17","2"
"","Xavier Bonilla","Dominican (NY)","Sr.","OF","44","17","7"
"","Andrew Brauer","Lewis","Sr.","OF","46","17","5"
"","Sean Craig","Dowling","Jr.","INF","37","17","2"
"","Cory Elasik","Lynn","Jr.","C","40","17","1"
"","Garrett Hardey","Tarleton St.","Sr.","1B","42","17","2"
"","Chris Knott","East Stroudsburg","So.","OF","46","17","5"
"","Nick LaCroix","Franklin Pierce","Jr.","OF","45","17","5"
"","Lamar Lewis","Benedict","Sr.","P","28","17","2"
"","Josh McElroy","St. Mary's (TX)","Sr.","OF","49","17","5"
"","Cody Montz","Kutztown","Sr.","INF","41","17","0"
"","Ariel Polanco","St. Augustine's","Jr.","INF","36","17","2"
"","James Roche","Franklin Pierce","Sr.","OF","45","17","6"
"","Ethan Satterfield","Catawba","So.","OF","52","17","4"
"","Matt Toth","Lake Erie","Sr.","OF","42","17","6"
"","Ivan Vieitez","Lenoir-Rhyne","Fr.","OF","49","17","4"
"","Jerico Weitzel","Clarion","Sr.","SS","40","17","3"
"145","David Amberson","Western Ore.","Jr.","OF","34","16","2"
"","Nicholas Barbalato","St. Thomas Aquinas","Sr.","OF","45","16","4"
"","Madison Beaird","Arkansas Tech","Jr.","OF","49","16","2"
"","Stephen Bellantoni","S.C. Aiken","Sr.","OF","43","16","3"
"","Michael Cleary","Southern Conn. St.","Jr.","OF","42","16","2"
"","Jordan Coons","Central Mo.","Sr.","INF","44","16","0"
"","Kevin Davis","Benedict","Fr.","INF","31","16","7"
"","Chris Duncan","West Ala.","Sr.","OF","41","16","1"
"","Bobby Egeberg","Colorado Mines","Jr.","OF","36","16","3"
"","Greg Hamrock","East Central","Jr.","INF","47","16","1"
"","Sterling James","St. Augustine's","---","OF","41","16","2"
"","Sam Kidd","Delta St.","Jr.","OF","46","16","2"
"","Brent Malham","Southern Ind.","Sr.","INF","41","16","3"
"","Matt Maringer","Indianapolis","Sr.","OF","45","16","3"
"","Michael McCoy","Mo. Southern St.","Jr.","INF","46","16","2"
"","Mike Nadratowski","Grand Valley St.","Fr.","OF","42","16","5"
"","Lee Neumann","Angelo St.","Jr.","OF","50","16","7"
"","Chase Presley","Harding","Sr.","INF","49","16","2"
"","Kevin Rufus","Newberry","Sr.","OF","37","16","5"
"","Benjamin Schroeder","Kentucky St.","Fr.","-","33","16","6"
"","Tanner Vinson","Newman","Jr.","OF","44","16","0"
"166","William Buford","Tuskegee","Jr.","P","43","15","3"
"","Dan Capra","Eckerd","Sr.","OF","43","15","3"
"","Jay Carter","Clark Atlanta","Jr.","OF","33","15","4"
"","Matthew Ciraco","Le Moyne","Sr.","OF","36","15","4"
"","Alexi Colon","Tusculum","Sr.","OF","54","15","5"
"","Garrett Cook","King (TN)","So.","OF","40","15","6"
"","Joe Crane","Chestnut Hill","Jr.","INF","40","15","5"
"","Chris Dula","Catawba","So.","3B","44","15","0"
"","Keith Herring","C.W. Post","Jr.","INF","40","15","5"
"","Kevin Jones","LeMoyne-Owen","Fr.","OF","17","15","3"
"","Ryan Kaczmarkski","Southern Ind.","Sr.","INF","45","15","1"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","15","3"
"","Jp LaMunyon","North Ala.","Sr.","3B","44","15","5"
"","Alex Latchum","Chestnut Hill","Sr.","OF","39","15","2"
"","Mike McLaughlin","Chestnut Hill","Fr.","OF","38","15","3"
"","Kyle Meadows","Southwestern Okla.","Sr.","OF","37","15","1"
"","Josh Miller","S.C. Aiken","Jr.","C","46","15","1"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","15","2"
"","Chris Newcomb","Saint Leo","So.","OF","40","15","4"
"","Marc Overstreet","Valdosta St.","Sr.","INF","42","15","1"
"","Tim Ravel","Bloomsburg","So.","2B","45","15","4"
"","Colby Robison","Mont. St. Billings","Jr.","INF","32","15","0"
"","Drew Ryan","Urbana","So.","3B","43","15","2"
"","Caleb Shore","Belmont Abbey","Sr.","OF","51","15","3"
"","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","15","3"
"","Ryan Veltre","Dowling","So.","INF","41","15","3"
"","Damarlo Williams","Clark Atlanta","Fr.","SS","27","15","3"
"","Dustin Zielaskiewicz","Findlay","Sr.","OF","41","15","1"
"194","Andrew Abreu","Dowling","So.","INF","37","14","4"
"","Nick Adams","Rollins","Sr.","INF","43","14","3"
"","Tyler Adams","Upper Iowa","So.","OF","42","14","3"
"","Jos Catalano","Chowan","Fr.","-","48","14","6"
"","Oliver Christensen","Dominican (NY)","Fr.","INF","45","14","1"
"","Geoff DeGroot","Mass.-Lowell","Fr.","SS","43","14","5"
"","Evan Gallagher","East Stroudsburg","Sr.","SS","45","14","3"
"","Logan Gillis","Bentley","Jr.","INF","46","14","3"
"","Bj Janney","Wilmington (DE)","Jr.","INF","27","14","1"
"","Austin Kaiser","Colorado Mesa","So.","OF","26","14","1"
"","Courtney Kelley","Miles","Jr.","OF","38","14","3"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","14","3"
"","Zak Larkin","Truman","Fr.","SS","44","14","3"
"","Brandon Mack","Chowan","Fr.","-","49","14","3"
"","Justin Manci","Cal St. Stanislaus","Sr.","INF","45","14","6"
"","Will McCord","Missouri S&T","Sr.","OF","38","14","2"
"","Jon Minucci","Southern N.H.","Jr.","OF","48","14","3"
"","Brandan O'Brien","Southern N.H.","So.","OF","46","14","3"
"","Justin Pearson","Ala.-Huntsville","Jr.","OF","44","14","4"
"","Kyle Petty","California (PA)","Jr.","P","48","14","3"
"","Tyler Richburg","West Ala.","Jr.","OF","47","14","8"
"","Vince Smarrelli","Bloomsburg","So.","INF","45","14","3"
"","Corey Stonelake","Wis.-Parkside","Sr.","OF","42","14","3"
"","Champ Stuart","Brevard","So.","OF","42","14","3"
"","Adam Ussery","Henderson St.","Sr.","INF","42","14","4"
"","Derrick Walls","Incarnate Word","So.","OF","39","14","3"
"","Jon Wandling","Ky. Wesleyan","So.","P","42","14","3"
"","Andrew Wolfe","Tarleton St.","Sr.","OF","39","14","2"
