"Rank","Name","Team","Cl","Pos","G","BB"
"1","Michael Conforto","Oregon St.","Jr.","OF","24","28"
"","Saige Jenco","Virginia Tech","Fr.","OF","21","28"
"3","Justin Gonzalez","Florida St.","Sr.","INF","23","27"
"4","Grant Massey","Lipscomb","Jr.","INF","25","23"
"5","Casey Grayson","Houston","Sr.","1B","23","22"
"","Nash Knight","Dallas Baptist","Jr.","INF","23","22"
"","Mike Korte","Lipscomb","Jr.","INF","25","22"
"","Lawton Langford","Baylor","Sr.","INF","23","22"
"","Wes Rea","Mississippi St.","Jr.","1B","26","22"
"","Evan Stephens","Wake Forest","Sr.","OF","25","22"
"","DJ Stewart","Florida St.","So.","OF","23","22"
"12","Richard Amion","Alabama St.","Jr.","OF","29","21"
"","Mitchell Gunsolus","Gonzaga","Jr.","INF","22","21"
"","Brooks Marlow","Texas","Jr.","2B","25","21"
"","Aaron Nardone","Delaware St.","Sr.","OF","19","21"
"","Michael Paulson","New Mexico St.","Sr.","OF","23","21"
"","Mark Payton","Texas","Sr.","OF","25","21"
"","Melvin Rodriguez","Jackson St.","---","3B","24","21"
"","Daniel Salters","Dallas Baptist","So.","C","23","21"
"","Jude Vidrine","Lamar","Sr.","OF","25","21"
"21","Leon Byrd","Rice","So.","OF","25","20"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","20"
"","Tyler Hibbert","FIU","Sr.","OF","24","20"
"","Max Kuhn","Kentucky","Jr.","INF","24","20"
"","Seth Neely","Wofford","Sr.","INF","24","20"
"","Mike Papi","Virginia","Jr.","OF","22","20"
"","A.J. Reed","Kentucky","Jr.","P","24","20"
"","Zach Stephens","Tennessee Tech","Sr.","1B","24","20"
"29","Drew Adams","Lipscomb","Sr.","OF","25","19"
"","K.J. Alexander","Dallas Baptist","Sr.","C","21","19"
"","Tim Arakawa","Oklahoma St.","Jr.","INF","24","19"
"","Alex Caruso","St. John's (NY)","So.","OF","22","19"
"","Tyler Gregory","James Madison","Sr.","OF","22","19"
"","Ryan Lowe","Davidson","Jr.","INF","20","19"
"","Mark Lumpa","Duke","Sr.","OF","24","19"
"","Garrett Mattlage","Texas St.","Jr.","INF","23","19"
"","Michael Medina","New Mexico St.","Sr.","OF","23","19"
"","Danny Pardo","Campbell","Fr.","OF","24","19"
"","Ryan Seiz","Liberty","Jr.","INF","25","19"
"","Ty Stetson","Murray St.","Sr.","OF","21","19"
"","Kane Sweeney","Morehead St.","Jr.","INF","23","19"
"","Luke Tendler","N.C. A&T","Sr.","OF","23","19"
"","Keaton Wright","SIU Edwardsville","Fr.","INF","21","19"
"44","Kent Blackstone","New Mexico St.","So.","INF","23","18"
"","James Coates","Penn St.","So.","OF","22","18"
"","Eric Gutierrez","Texas Tech","So.","INF","26","18"
"","Nick Lacik","Liberty","Sr.","OF","25","18"
"","Landon Lassiter","North Carolina","So.","SS","23","18"
"","Jordan McDonald","UNC Greensboro","Jr.","INF","21","18"
"","Daniel Miles","Tennessee Tech","Sr.","3B","24","18"
"","Brian Mundell","Cal Poly","So.","C","23","18"
"","Tyler Olivet","San Jose St.","So.","INF","23","18"
"","Dansby Swanson","Vanderbilt","So.","INF","25","18"
"","Kyle Teaf","South Fla.","Jr.","INF","23","18"
"","Bo Thompson","Citadel","Jr.","INF","24","18"
"","John Michael Twichell","Texas-Arlington","Sr.","INF","24","18"
"","Josh Vidales","Houston","So.","INF","23","18"
"","Nelson Ward","Georgia","Jr.","INF","25","18"
"","Scott Wilcox","Western Ky.","Sr.","INF","24","18"
"60","Craig Aikin","Oklahoma","So.","OF","25","17"
"","Ryan Cleveland","Ga. Southern","Fr.","INF","24","17"
"","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","17"
"","Zach Fisher","Towson","Sr.","3B","20","17"
"","Spencer Gaa","Bradley","Fr.","INF","19","17"
"","Victor Garcia Jr.","Tex.-Pan American","Fr.","1B","25","17"
"","Michael Hurwitz","Illinois","Jr.","INF","21","17"
"","Conor Keniry","Wake Forest","Sr.","INF","25","17"
"","Ross Kivett","Kansas St.","Sr.","INF","23","17"
"","Pat MacKenzie","Central Mich.","Jr.","INF","23","17"
"","Vimael Machin","VCU","Jr.","INF","23","17"
"","Ben Morgan","Ga. Southern","Sr.","INF","25","17"
"","Trever Morrison","Oregon St.","Fr.","INF","24","17"
"","Einar Muniz","Alabama St.","Jr.","INF","29","17"
"","John Nogowski","Florida St.","Jr.","1B","23","17"
"","Alex Perez","Virginia Tech","Jr.","INF","22","17"
"","Brody Russell","Fresno St.","So.","OF","23","17"
"","Tanner Stanley","Richmond","So.","OF","21","17"
"","Matt Tenaglia","James Madison","Sr.","1B","21","17"
"","Babe Thomas","Winthrop","Fr.","C","24","17"
"","Blake Trahan","La.-Lafayette","So.","INF","24","17"
"","Jake Welch","Southern Ill.","Sr.","INF","22","17"
"82","Caleb Adams","La.-Lafayette","Jr.","OF","23","16"
"","Eric Brenk","Wofford","Sr.","INF","24","16"
"","Hunter Cole","Georgia","Jr.","OF","25","16"
"","Vince Conde","Vanderbilt","Jr.","INF","25","16"
"","Jacob Cronenworth","Michigan","So.","INF","24","16"
"","Chase Daughdrill","Northwestern St.","Jr.","INF","22","16"
"","Jesus Garcia","Tex.-Pan American","Jr.","INF","26","16"
"","Aramis Garcia","FIU","Jr.","C","24","16"
"","Rolando Gautier","Austin Peay","Sr.","OF","22","16"
"","Zach Gibbons","Arizona","So.","OF","26","16"
"","Justin Glass","Cincinnati","Sr.","OF","22","16"
"","David Hall","Troy","Jr.","OF","22","16"
"","Ian Happ","Cincinnati","So.","INF","22","16"
"","Connor Jones","Villanova","Sr.","OF","21","16"
"","Cody Jones","TCU","Jr.","OF","23","16"
"","Scott Kingery","Arizona","So.","INF","26","16"
"","Ryan Lindemuth","William & Mary","---","2B","22","16"
"","Greg McCall","Texas-Arlington","Sr.","C","22","16"
"","Jordan Negrini","Old Dominion","Sr.","INF","24","16"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","16"
"","Al Robbins","South Dakota St.","Jr.","INF","22","16"
"","John Sansone","Florida St.","So.","INF","23","16"
