"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","John Lightbody","Richard Stockton","Sr.","P","18","19.3","13"
"","Andy Lowe","Heidelberg","Sr.","P","24","45.0","13"
"3","Matt Collins","Piedmont","Sr.","P","32","42.0","12"
"4","Mark Morales","Maryville (TN)","Sr.","P","21","25.0","10"
"","Byron Minnich","Cal Lutheran","Jr.","P","24","40.0","10"
"6","Kyle Longernecker","Moravian","Jr.","P","15","23.3","9"
"","Jared Millner","Lynchburg","Jr.","P","18","19.7","9"
"","Shane Parks","Ohio Northern","So.","P","19","30.7","9"
"","Shaun Slattery","Worcester St.","So.","P","19","26.3","9"
"","Kyle Lindquist","Marietta","Jr.","INF","20","30.0","9"
"11","Ryan Iverson","Wis.-Stevens Point","Jr.","P","14","30.0","8"
"","Danny Niehaus","Transylvania","Jr.","P","15","17.7","8"
"","Ryan Grant","Wheaton (MA)","Fr.","P","17","17.0","8"
"","Joe Marchitelli","TCNJ","Sr.","P","18","21.7","8"
"","Austin Rohrbach","Alvernia","Sr.","P","18","22.7","8"
"","Matt Rupert","Wittenberg","Jr.","P","19","29.0","8"
"","Mike Bitanga","Emory","So.","P","24","40.7","8"
"","Ryan Fleishmann","Chris. Newport","So.","P","24","31.0","8"
"19","Tyler Hixson","Coe","Fr.","P","11","13.7","7"
"","Ian Edwards","Bowdoin","Jr.","P","12","12.3","7"
"","John O'Hara","Rowan","Sr.","P","12","12.0","7"
"","Matthew Karabin","Misericordia","So.","P","15","22.0","7"
"","Ramsey Walker","Swarthmore","So.","P","15","20.0","7"
"","Matt Larangera","Rutgers-Newark","So.","OF","16","21.0","7"
"","Taylor Fallon","Whittier","Jr.","P","18","24.3","7"
"","Tyler Vieira","Coast Guard","So.","P","18","21.3","7"
"","James Simmons","Hardin-Simmons","Jr.","P","20","42.7","7"
"28","Deen Colman","McMurry","Jr.","INF","11","18.3","6"
"","Zach Lauersdorf","Wis.-La Crosse","Jr.","P","14","36.0","6"
"","Rich Lizotte","Daniel Webster","So.","SS","14","16.3","6"
"","Ed Bernstein","Tufts","Sr.","P","15","21.7","6"
"","Tyler Fugate","Wooster","Sr.","P","16","32.0","6"
"","Clay Jones","Birmingham-So.","Sr.","OF","17","27.3","6"
"","Tyler Pogmore","Roger Williams","Fr.","P","17","22.3","6"
"","Daniel Wolfe","Pacific (OR)","Sr.","P","17","21.3","6"
"","Mike Lawlor","Western New Eng.","Jr.","P","20","23.3","6"
"","Drew Baldwin","Salisbury","Sr.","P","21","29.7","6"
"","Kyle Scallion","Shenandoah","Jr.","P","22","34.0","6"
"39","Brad Kubis","Bethany (WV)","So.","INF","7","7.0","5"
"","Ethan Yeager","Westminster (PA)","Jr.","INF","7","5.7","5"
"","Robert Bengivengo","Albertus Magnus","Sr.","SS","8","7.7","5"
"","Nate Rost","Wartburg","Sr.","P","10","14.0","5"
"","Derek Alex","Keystone","Jr.","P","11","12.7","5"
"","Kevin Moritz","Westminster (MO)","So.","P","11","17.3","5"
"","Connor Lenz","Edgewood","So.","P","12","12.3","5"
"","Jake Nicholson","Rockford","Jr.","INF","12","20.0","5"
"","Kris Edwards","St. Thomas (MN)","Sr.","P","13","46.3","5"
"","Adam Hoyt","Centre","So.","P","13","21.3","5"
"","Chris Laudati","FDU-Florham","Jr.","P","13","12.0","5"
"","Jeremy Spalding","Trine","Fr.","-","13","15.0","5"
"","Cody Christian","Sul Ross St.","Jr.","P","14","19.3","5"
"","Matthew Cornwell","Oglethorpe","Sr.","INF","14","40.7","5"
"","Marc Hanna","Catholic","Fr.","P","14","14.7","5"
"","Bryant Hernandez","Concordia (TX)","Sr.","P","14","12.7","5"
"","Erik Klimoff","Neumann","So.","P","15","19.7","5"
"","Troy Mrkvicka","Wis.-Oshkosh","Jr.","P","15","47.3","5"
"","Erik Olson","St. Olaf","Sr.","P","15","19.3","5"
"","Ryan Harrison","Huntingdon","Sr.","P","16","31.0","5"
"","Josiah Martin","Augustana (IL)","Jr.","P","16","25.7","5"
"","Mark Siebel","Wilkes","Jr.","P","16","27.0","5"
"","James Stone","Buena Vista","Jr.","P","16","20.3","5"
"","Chris Tyson","SUNY Oneonta","Jr.","P","16","29.0","5"
"","Chris DePalma","Johnson & Wales (RI)","Jr.","INF","17","26.0","5"
"","Brandon Sega","Ohio Wesleyan","So.","P","17","41.3","5"
"","Brooks Belter","Occidental","Sr.","P","19","31.0","5"
"","Phil Brua","Oberlin","Sr.","P","20","51.7","5"
"","Hunter Chandler","Rhodes","Sr.","P","22","61.0","5"
"","Chris Moyer","Averett","So.","P","22","61.0","5"
"","Rusty White","Methodist","Jr.","P","25","32.0","5"
"70","Chris Fries","Rutgers-Camden","Fr.","P","7","8.0","4"
"","Kevin McQuade","Purchase St.","Jr.","P","7","8.0","4"
"","Jake Nystrom","St. Scholastica","So.","P","7","12.0","4"
"","Hank Akard","Rose-Hulman","Fr.","SS","8","10.7","4"
"","Tyler Herman","North Central (IL)","Jr.","P","8","16.0","4"
"","Luis Martinez","Gwynedd-Mercy","Fr.","P","8","10.0","4"
"","Braydon LaFramboise","Olivet","Sr.","OF","9","11.0","4"
"","Mitch Lochen","Carthage","So.","P","9","18.3","4"
"","Jon Tenley","Baldwin-Wallace","So.","P","9","8.7","4"
"","Pat Conlin","Concordia Chicago","So.","P","10","13.7","4"
"","Jeff Dilorenzo","Becker","Jr.","P","10","15.0","4"
"","Joey Long","Saint John's (MN)","So.","INF","10","17.3","4"
"","Tom Nagy","SUNY Cortland","Jr.","P","10","11.7","4"
"","T.J. Pierce","Ripon","Jr.","P","10","13.3","4"
"","Jared Van Hoon","Pacific (OR)","Jr.","INF","10","21.7","4"
"","Aaron Bushur","Beloit","So.","P","11","21.7","4"
"","Sam Heintzman","Presentation","Jr.","2B","12","27.3","4"
"","Anthony Osorio","SUNYIT","Jr.","P","12","15.0","4"
"","Lucas Skul","Monmouth (IL)","Fr.","P","12","32.3","4"
"","Mark Tachibana","Chapman","So.","P","12","17.3","4"
"","Wick Eisenberg","St. Mary's (MD)","So.","P","13","32.3","4"
"","Ben Goldberg","Trinity (CT)","So.","P","13","20.7","4"
"","John McNeil","Ramapo","So.","C","13","29.0","4"
"","Pat Nicholson","Brandeis","Sr.","C","13","34.0","4"
"","Sam Sifferlin","Capital","Fr.","P","13","25.0","4"
"","Adam Sullivan","Rochester (NY)","So.","P","13","16.3","4"
"","Patrick Falkoff","Haverford","Fr.","P","14","27.0","4"
"","Ryan Frost","Pacific Lutheran","Jr.","INF","14","33.7","4"
"","Daniel Heefner","Mass.-Boston","So.","3B","14","36.3","4"
"","Parker Johnson","Willamette","So.","P","14","24.7","4"
"","Michael Manfro","Greensboro","Sr.","P","14","24.7","4"
"","Spencer Radabaugh","Loras","Sr.","INF","14","17.3","4"
"","Ben Sealy","Juniata","Sr.","2B","14","11.7","4"
"","Corey Vogt","Keene St.","Sr.","P","14","19.0","4"
"","Mike Bozzi","Haverford","Jr.","P","15","19.0","4"
"","Ben Longton","N.C. Wesleyan","Fr.","P","15","22.3","4"
"","Britton Quayle","Frostburg St.","Sr.","P","15","42.3","4"
