"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Alex Haines","Seton Hill","So.","P","14","59.7","95","14.32"
"2","Derek Hansen","Augustana (SD)","Jr.","INF","10","55.7","88","14.22"
"3","Jj Jankowski","Catawba","Sr.","P","17","90.3","126","12.56"
"4","Chris Zbin","Southern Conn. St.","Sr.","P","10","56.0","77","12.38"
"5","Joey Cuda","Eckerd","Sr.","P","13","78.3","105","12.07"
"6","Nolan Snell","Colorado Mesa","Jr.","P","12","76.3","102","12.03"
"7","Timothy Flight","Southern N.H.","Jr.","P","11","79.3","106","12.03"
"8","Adam Brown","Dowling","Jr.","P","10","41.0","54","11.85"
"9","Josh McElwee","Newberry","Sr.","P","12","74.0","97","11.80"
"10","Brian Ellington","West Fla.","Jr.","P","13","55.0","72","11.78"
"11","Brad Duffy","Mercyhurst","Sr.","P","11","55.3","71","11.56"
"12","Kyle Grana","Bellarmine","Jr.","P","14","56.3","71","11.35"
"13","Kelly Holt","S.C. Aiken","Jr.","P","16","61.3","77","11.31"
"14","Shawn Kale","Lynn","Sr.","P","13","79.0","99","11.28"
"15","Brian Ernst","East Stroudsburg","Jr.","1B","11","47.3","58","11.04"
"16","Brandon Miller","Lander","Jr.","P","14","52.0","63","10.90"
"17","Michael Jordan","Benedict","Sr.","INF","10","44.0","53","10.84"
"18","Matt Stalcup","Pittsburg St.","Jr.","P","13","70.0","84","10.80"
"19","Dylan Boss","Incarnate Word","Fr.","P","14","50.3","60","10.74"
"20","Chase Pickering","West Virginia St.","Sr.","P","12","64.7","77","10.71"
"21","Zach Jeney","Slippery Rock","Sr.","P","10","59.7","71","10.70"
"22","Mark Kuzma","Le Moyne","Sr.","P","9","64.0","76","10.69"
"23","Jamie Treml","Wilmington (DE)","So.","P","29","63.0","74","10.57"
"24","Tyler Badamo","Dowling","So.","P","10","64.0","75","10.55"
"25","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","82","10.54"
"26","Donovan Drake","Indianapolis","Sr.","P","9","61.7","72","10.50"
"27","Kyle Schepel","Grand Valley St.","Sr.","P","11","63.7","74","10.46"
"28","Derek Beasley","S.C. Aiken","So.","P","21","64.0","74","10.41"
"29","Chad Boughner","North Ala.","Jr.","P","13","92.0","104","10.17"
"30","Kevin McGowan","Franklin Pierce","So.","P","21","54.0","61","10.17"
"31","Stephen Cooke","Indiana (PA)","Jr.","P","10","64.3","72","10.08"
"32","Lee Stoppelman","Central Mo.","Sr.","P","10","59.0","66","10.07"
"33","Brad Monroe","Southern N.H.","Sr.","P","11","76.0","85","10.07"
"34","Scott Cole","Southern Ind.","Sr.","P","12","59.7","66","9.95"
"35","Matt Briner","Colo. Christian","Jr.","P","11","50.0","55","9.90"
"36","Tyler Ockuly","Minn. St. Mankato","So.","P","9","43.7","48","9.89"
"37","Ben Rawding","Mercyhurst","Jr.","P","12","67.7","74","9.84"
"38","Taylor Gregory","Stillman","Jr.","P","17","54.0","59","9.83"
"39","Harmen Sidhu","Sonoma St.","Jr.","P","10","52.3","57","9.81"
"40","Stephen Paladino","Felician","So.","P","44","47.0","51","9.77"
"41","Pete Whittingslow","Valdosta St.","Jr.","P","10","56.3","61","9.75"
"42","Jeffrey Stoner","Francis Marion","So.","P","29","68.3","74","9.75"
"43","Zac Treece","Ouachita Baptist","Sr.","P","25","51.7","56","9.75"
"44","Chris Chojnowski","St. Joseph's (IN)","Sr.","P","15","45.3","49","9.74"
"45","Levi Lewis","Southeastern Okla.","Jr.","P","20","50.0","54","9.72"
"46","John Healy","St. Anselm","Sr.","P","11","78.0","84","9.69"
"47","Trevor Walch","Northeastern St.","Jr.","P","16","57.7","62","9.67"
"48","Brian Dudzinski","Felician","Sr.","P","22","64.3","69","9.66"
"49","Zach Leitten","Mercyhurst","Sr.","P","10","55.0","59","9.65"
"50","Zak Anstine","Arkansas Tech","Jr.","P","14","61.7","66","9.63"
"51","Kyle Shepard","Stonehill","Sr.","OF","9","45.3","48","9.54"
"52","Cory Baker","Grand Valley St.","Sr.","P","11","57.7","61","9.51"
"53","Vladimir Camacho","Franklin Pierce","Jr.","P","22","47.3","50","9.51"
"","Jason Wilson","Western Ore.","Sr.","P","10","47.3","50","9.51"
"55","Joshua Nervis","Sonoma St.","Sr.","P","11","58.7","62","9.51"
"56","Mark Sappington","Rockhurst","Jr.","P","13","72.0","76","9.50"
"57","Bryce Bellin","Minn. St. Mankato","So.","1B","12","50.3","53","9.48"
"","Craig Gourley","Caldwell","Sr.","P","14","50.3","53","9.48"
"59","Rob Finneran","Bentley","Sr.","P","11","72.3","76","9.46"
"60","Carl O'Neal","St. Mary's (TX)","Jr.","P","14","80.0","84","9.45"
"61","Dallas Ponder","Tex. A&M-Kingsville","So.","P","11","46.7","49","9.44"
"62","Jason Lembo","Molloy","Sr.","P","11","62.0","65","9.44"
"63","Zach Botjer","Ashland","Jr.","P","18","69.7","73","9.43"
"64","Troy Neiman","Cal St. Chico","Jr.","P","9","49.0","51","9.37"
"","Cody Stiles","Nova Southeastern","Fr.","P","10","49.0","51","9.37"
"66","Kenny Marshall","Ark.-Monticello","Jr.","P","13","63.7","66","9.32"
"67","Brandon Marris","Southeastern Okla.","Jr.","P","14","79.3","82","9.31"
"68","Marc Gomez","Incarnate Word","Sr.","P","11","57.3","59","9.27"
"","Mike Saunders","Saginaw Valley","Jr.","P","8","57.3","59","9.27"
"70","Ryan Gibbard","Lynn","Jr.","P","12","69.0","71","9.26"
"71","Thomas Lee","Sonoma St.","Sr.","P","12","71.0","73","9.25"
"72","Keith Moyer","East Stroudsburg","So.","P","15","46.7","48","9.25"
"73","Tyler Kincaid","Fairmont St.","Jr.","P","11","56.7","58","9.21"
"74","Ethan Bader","Armstrong","So.","P","24","96.0","98","9.19"
"75","Justin DeLong","Wilmington (DE)","So.","P","14","50.0","51","9.18"
"76","William Landsheft","Drury","So.","P","10","60.0","61","9.15"
"77","Eric Aschley","Mercyhurst","Sr.","P","11","64.0","65","9.14"
"78","Ryan Santhon","Cal St. L.A.","Jr.","P","11","68.0","69","9.13"
"79","Tyler Vails","Stillman","So.","P","20","53.3","54","9.12"
"80","Justin Bartley","Miles","Fr.","3B","11","52.0","52","9.00"
"","Bryce Miller","Cal St. East Bay","Sr.","P","10","68.0","68","9.00"
"","Rene Solis","St. Mary's (TX)","So.","P","13","93.0","93","9.00"
"","Bryan Tuttle","Pfeiffer","Jr.","P","13","83.0","83","9.00"
"84","Spencer Jordan","Francis Marion","Jr.","P","13","81.3","81","8.97"
"85","Sean Bierman","Tampa","Sr.","P","13","74.3","74","8.96"
"86","Derek Zielinski","Le Moyne","Jr.","P","11","73.3","73","8.96"
"87","Skye Severns","St. Mary's (TX)","Sr.","P","13","75.7","75","8.92"
"88","Ben Kincaid","Minn. St. Mankato","Sr.","P","10","55.7","55","8.89"
"89","Josh Tols","Rockhurst","Jr.","P","15","67.0","66","8.87"
"90","Logan Birr","St. Cloud St.","Sr.","P","14","65.0","64","8.86"
"91","Chris Thomas","Lander","Jr.","P","15","80.3","79","8.85"
"92","Preston Zachrich","Findlay","Jr.","P","9","52.3","51","8.78"
"93","Jason Boyer","Florida Tech","Jr.","P","13","80.0","78","8.78"
"94","James Mannara","Florida Tech","Jr.","P","25","46.3","45","8.75"
"95","Chris Pabisch","Adelphi","Sr.","P","49","44.3","43","8.74"
"96","Andrew Gallant","Shepherd","Sr.","P","25","54.7","53","8.72"
"97","Adam Kramer","Concordia-St. Paul","So.","P","10","53.7","52","8.72"
"98","Barry Meeks","West Ala.","Jr.","P","13","84.7","82","8.71"
"99","Brad Nasis","St. Edward's","So.","P","15","61.0","59","8.70"
"100","Nick Lomascolo","Catawba","Jr.","P","16","81.0","78","8.67"
"101","Dustin Javins","Dominican (NY)","Sr.","P","16","52.0","50","8.65"
"102","Aaron Newcomb","Delta St.","Sr.","P","11","81.3","78","8.63"
"103","Landon Beck","Anderson (SC)","Fr.","P","18","62.7","60","8.61"
"104","Cameron Mann","Southeastern Okla.","Jr.","C","26","53.3","51","8.61"
"105","Danny Brown","Flagler","Fr.","INF","27","66.0","63","8.59"
"106","Brady Wager","Grand Canyon","Jr.","P","12","78.0","74","8.54"
"107","Marc Rutledge","Dowling","Sr.","P","14","73.3","69","8.47"
"108","Donny Medlinger","Cal St. Monterey Bay","Sr.","P","11","61.7","58","8.46"
"109","Ryan Westover","Ouachita Baptist","Sr.","P","15","83.0","78","8.46"
"110","Brett Loeding","Northern Ky.","Jr.","P","29","81.0","76","8.44"
"111","Ryan Garman","Grand Valley St.","Sr.","P","11","58.7","55","8.43"
"112","Pete Perez","Tarleton St.","Jr.","P","14","73.7","69","8.43"
"113","Joe Perrotta","Lynn","Jr.","P","20","47.0","44","8.43"
"114","Rick Reyna","Angelo St.","Sr.","P","12","61.0","57","8.41"
"115","Ryan Leach","Franklin Pierce","So.","P","13","60.0","56","8.40"
"","Grady Wood","Western Ore.","Sr.","P","10","75.0","70","8.40"
"117","Matt Marotta","St. Thomas Aquinas","Sr.","P","27","64.3","60","8.40"
"118","Ben Lemke","Concordia-St. Paul","Sr.","P","12","49.3","46","8.40"
"119","Craig Goodman","Tusculum","Sr.","P","12","86.0","80","8.37"
"120","Bo Budkevics","C.W. Post","Jr.","P","16","68.0","63","8.34"
"121","Thomas McLeod","S.C. Aiken","Sr.","C","31","58.3","54","8.34"
"122","Ryan Lally","Wilmington (DE)","Sr.","P","20","44.3","41","8.33"
"123","Brian Hutchings","Mont. St. Billings","Sr.","P","8","43.3","40","8.31"
"124","James Rhodes","Cameron","Sr.","P","16","63.0","58","8.29"
"125","Justin Taylor","California (PA)","Fr.","P","11","50.0","46","8.28"
"126","Zach Lebarron","Southern N.H.","Sr.","P","15","61.0","56","8.26"
"127","Matthew Flowers","Morehouse","Fr.","INF","11","64.3","59","8.26"
"128","Mike Mudron","Cal St. San B'dino","Jr.","P","11","55.7","51","8.24"
"129","Jonathan Kies","Palm Beach Atl.","Jr.","P","13","43.7","40","8.24"
"130","Colton Mitchell","Delta St.","Jr.","P","13","74.3","68","8.24"
"131","Adam Beach","Lake Erie","Jr.","P","11","61.3","56","8.22"
"132","Eric Shuford","Pfeiffer","Sr.","P","29","72.3","66","8.22"
"133","Gabriel Asakura","Cal St. L.A.","Sr.","P","11","62.7","57","8.18"
"","Jordan Delorenzo","West Fla.","Fr.","P","16","55.0","50","8.18"
"","Tripp Staley","Davis & Elkins","Jr.","P","12","51.7","47","8.18"
"136","Kyle Oney","Alderson-Broaddus","Sr.","P","12","68.3","62","8.17"
"137","Brandon Rohde","Central Wash.","Sr.","P","10","49.7","45","8.15"
"138","Jordan Kraus","Wheeling Jesuit","Jr.","P","9","45.3","41","8.15"
"139","Neil Pezzullo","Pace","Jr.","P","24","66.3","60","8.14"
"140","Todd Hughson","Lander","Sr.","P","17","71.0","64","8.11"
"141","Mike Guinane","Georgia College","Jr.","P","12","81.0","73","8.11"
"142","Dylan Evans","Colorado Mesa","Sr.","P","12","60.0","54","8.10"
"","Chuck Fontana","Molloy","Sr.","P","10","60.0","54","8.10"
"144","Zeb Sneed","Northwest Nazarene","Jr.","P","13","59.0","53","8.08"
"145","Josh Cagle","Stillman","Sr.","P","15","87.0","78","8.07"
"146","Jordan Liette","Tiffin","Sr.","P","14","62.7","56","8.04"
"147","Dana Wright","Ala.-Huntsville","Jr.","P","16","65.0","58","8.03"
"148","Nik Jurado","Mo. Western St.","Sr.","P","11","73.3","65","7.98"
"149","Jonathan Armold","Flagler","Sr.","P","12","70.0","62","7.97"
"150","Scott Lieser","St. Cloud St.","Jr.","P","14","68.0","60","7.94"
"151","Kyle Fischer","St. Cloud St.","So.","P","11","55.7","49","7.92"
"152","David Francis","Southwestern Okla.","Sr.","P","10","46.7","41","7.90"
"153","Christian Hicks","Lenoir-Rhyne","Jr.","P","14","51.3","45","7.89"
"154","Jeremiah Struble","Colorado St.-Pueblo","Jr.","P","11","65.0","57","7.89"
"155","Justin Kuks","West Tex. A&M","Sr.","P","11","69.7","61","7.88"
"156","Phil Bray","Bemidji St.","Jr.","P","13","64.0","56","7.88"
"157","Lou Trivino","Slippery Rock","So.","P","11","68.7","60","7.86"
"158","Cory Rhodes","King (TN)","So.","P","13","85.0","74","7.84"
"159","Nick Polsinelli","Saint Rose","Sr.","P","10","46.0","40","7.83"
"","Taylor Smith","Rollins","Jr.","P","11","66.7","58","7.83"
"","James Stone","C.W. Post","Sr.","P","11","46.0","40","7.83"
"162","Tyler Toyfair","Mass.-Lowell","Sr.","P","15","61.0","53","7.82"
"163","Jake Stephens","West Fla.","Jr.","P","12","62.3","54","7.80"
"164","Kevin Bosson","Cal Poly Pomona","Jr.","P","11","68.3","59","7.77"
"165","Jon Wandling","Ky. Wesleyan","So.","P","11","70.7","61","7.77"
"166","Drew Provence","North Greenville","Sr.","P","12","80.0","69","7.76"
"167","Dan McMahon","USciences","Jr.","P","16","88.3","76","7.75"
"168","Brett Ash","Washburn","Jr.","P","9","57.0","49","7.74"
"","Jack Crawford","Franklin Pierce","Sr.","P","10","57.0","49","7.74"
"170","Cody Currul","Miles","Fr.","P","12","47.7","41","7.74"
"171","Matt Fuglesang","Fla. Southern","Jr.","P","8","44.3","38","7.72"
"172","Jordan Herrera","Abilene Christian","Jr.","P","14","58.3","50","7.72"
"","Jon Jones","Fla. Southern","Sr.","P","12","58.3","50","7.72"
"174","Blake Brodie","Ark.-Fort Smith","So.","P","12","46.7","40","7.71"
"175","Andrew Hyde","Notre Dame (OH)","Sr.","P","10","58.7","50","7.67"
"176","Ryan Woodring","North Greenville","So.","P","14","89.3","76","7.66"
"177","Nathan Bunch","St. Joseph's (IN)","Jr.","P","11","57.7","49","7.64"
"178","Jorge Perez","Grand Canyon","Fr.","P","11","54.3","46","7.62"
"179","Adam Satanoff","Winston-Salem","Sr.","P","11","56.7","48","7.62"
"180","Brandyn Bell","Cal St. East Bay","Sr.","P","10","52.0","44","7.62"
"181","Josh Branstetter","Delta St.","Jr.","P","12","86.3","73","7.61"
"182","Don Sandifer","Francis Marion","Jr.","P","27","47.3","40","7.61"
"183","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","82","7.61"
"184","Nate Cudney","Belmont Abbey","Sr.","P","23","71.0","60","7.61"
"185","Philip Forbis","Bellarmine","Jr.","P","12","53.3","45","7.60"
"186","Michael Tamburino","Pace","Jr.","P","10","78.3","66","7.59"
"187","Chris Armstrong","Carson-Newman","Jr.","P","15","70.0","59","7.59"
"188","George Brandecker","Pittsburg St.","Fr.","P","14","46.3","39","7.58"
"189","Brad Schnelle","Seton Hill","So.","P","11","52.3","44","7.57"
"190","Ed Kohout","Le Moyne","Sr.","P","13","62.0","52","7.55"
"191","John Wenker","Winona St.","Sr.","P","9","49.0","41","7.53"
"192","Garrett Carpenter","Colorado Mesa","Jr.","P","11","64.7","54","7.51"
"193","Mike Howard","Rollins","Sr.","P","16","48.0","40","7.50"
"194","Joe Carnavale","Merrimack","Fr.","P","10","61.3","51","7.49"
"195","Eric Cooper","St. Thomas Aquinas","So.","P","13","49.3","41","7.48"
"","John Jeanes","Post","Jr.","P","12","49.3","41","7.48"
"197","Jake Guengerich","Fla. Southern","Sr.","P","14","43.3","36","7.48"
"198","Jon Fees","Pitt.-Johnstown","So.","P","14","54.3","45","7.46"
"199","Jacob Ricossa","Tex. Permian Basin","Jr.","OF","16","70.0","58","7.46"
"200","N Coleman","Sioux Falls","Fr.","-","10","48.3","40","7.45"
"","Ben O'Bryan","Cal St. East Bay","So.","P","11","48.3","40","7.45"
