"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Ben Klimesh","Trinity (TX)","Sr.","P","15","97.7","12","2","0.857"
"2","Jack Barkley","Texas-Tyler","So.","INF","12","72.7","10","0","1.000"
"","Steve Maher","St. Thomas (MN)","So.","P","10","61.3","10","0","1.000"
"","Evan Robaczewski","Misericordia","Jr.","P","10","62.7","10","0","1.000"
"5","Justin D'Amato","St. John Fisher","So.","P","11","61.7","9","0","1.000"
"","Matt Kerr","Salem St.","Sr.","P","12","57.0","9","0","1.000"
"","Ray Angelucci","SUNY Cortland","Jr.","P","10","59.3","9","1","0.900"
"","Russ Gilliam","Neumann","Jr.","P","14","71.3","9","1","0.900"
"","Miles Nordgren","Birmingham-So.","So.","P","18","52.7","9","1","0.900"
"","Marvin Prestridge","Texas-Dallas","Sr.","P","12","80.0","9","1","0.900"
"","James Bardenett","Brockport","Jr.","P","12","69.7","9","2","0.818"
"","Michael Byers","Dallas","Jr.","P","18","58.3","9","2","0.818"
"","Tyler Erickson","Castleton","Sr.","P","11","89.0","9","2","0.818"
"","Steve Kuligowski","North Park","Sr.","P","12","73.3","9","2","0.818"
"","Nick Meerson","Macalester","Sr.","P","12","65.7","9","2","0.818"
"","Ben Oviatt","Waynesburg","Sr.","P","11","77.0","9","2","0.818"
"","Ryan Schwenn","Whittier","Sr.","P","13","96.7","9","3","0.750"
"18","Robert Garrett","Lynchburg","Sr.","P","12","78.3","8","0","1.000"
"","Jamie Hora","Case","Jr.","P","12","62.7","8","0","1.000"
"","Ryan Lucero","Trinity (TX)","Jr.","P","11","68.7","8","0","1.000"
"","Brandon Miller","Lynchburg","Fr.","P","18","66.0","8","0","1.000"
"","Paul Piccirillo","St. Joseph's (Brkln)","Jr.","P","9","64.3","8","0","1.000"
"","Chad Rafferty","St. Joseph's (ME)","Jr.","P","9","51.3","8","0","1.000"
"","Austin Blaski","Marietta","Sr.","P","13","70.7","8","1","0.889"
"","Connor Dillman","Emory","Fr.","P","11","66.7","8","1","0.889"
"","Brad Fogle","Mount Union","So.","C","11","56.3","8","1","0.889"
"","Jason Fryman","Adrian","Sr.","P","9","61.0","8","1","0.889"
"","Drew Golz","Wheaton (IL)","Sr.","OF","9","75.3","8","1","0.889"
"","Pat Lemmo","Ithaca","Jr.","P","12","74.7","8","1","0.889"
"","Ryan Mestnik","Augsburg","Fr.","P","12","55.7","8","1","0.889"
"","Blaine O'Brien","Keystone","Sr.","P","9","58.0","8","1","0.889"
"","David Trushel","Wash. & Jeff.","Sr.","P","9","63.0","8","1","0.889"
"","Kevin Caldwell","Piedmont","Jr.","P","12","82.7","8","2","0.800"
"","Rob Dittrick","Pacific (OR)","Jr.","P","11","76.0","8","2","0.800"
"","Brian Gasser","Marietta","Sr.","P","11","56.3","8","2","0.800"
