"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Casey Cannon","Le Moyne","Jr.","P","15","56.3","27","4.32"
"2","Matt Marotta","St. Thomas Aquinas","Sr.","P","27","64.3","36","5.04"
"3","Derek Hansen","Augustana (SD)","Jr.","INF","10","55.7","32","5.17"
"4","Jack Crawford","Franklin Pierce","Sr.","P","10","57.0","33","5.21"
"5","Zach Jeney","Slippery Rock","Sr.","P","10","59.7","35","5.28"
"6","Grady Wood","Western Ore.","Sr.","P","10","75.0","44","5.28"
"7","Kyle Schepel","Grand Valley St.","Sr.","P","11","63.7","39","5.51"
"8","Donovan Drake","Indianapolis","Sr.","P","9","61.7","38","5.54"
"9","Kyle Grana","Bellarmine","Jr.","P","14","56.3","35","5.60"
"10","Logan Birr","St. Cloud St.","Sr.","P","14","65.0","41","5.68"
"11","Rene Solis","St. Mary's (TX)","So.","P","13","93.0","59","5.71"
"12","Brian Dudzinski","Felician","Sr.","P","22","64.3","41","5.74"
"13","Michael Tamburino","Pace","Jr.","P","10","78.3","50","5.75"
"14","Cody Stiles","Nova Southeastern","Fr.","P","10","49.0","32","5.88"
"15","Neil Pezzullo","Pace","Jr.","P","24","66.3","44","5.97"
"16","Jeff Owen","Cal St. Monterey Bay","Fr.","P","11","58.3","39","6.02"
"17","Junior Mendez","Southern N.H.","So.","P","14","75.3","51","6.10"
"18","Danny Brown","Flagler","Fr.","INF","27","66.0","45","6.14"
"19","Collin Stinogel","Minn. Duluth","Sr.","P","10","57.0","39","6.16"
"20","Carl O'Neal","St. Mary's (TX)","Jr.","P","14","80.0","55","6.19"
"21","Zach Leitten","Mercyhurst","Sr.","P","10","55.0","38","6.22"
"22","John Healy","St. Anselm","Sr.","P","11","78.0","54","6.23"
"23","Mike Mudron","Cal St. San B'dino","Jr.","P","11","55.7","39","6.30"
"24","Taylor Smith","Rollins","Jr.","P","11","66.7","47","6.34"
"25","D.J. Stinsman","Felician","Sr.","P","26","59.3","42","6.37"
"26","Tony Acierno","Wheeling Jesuit","So.","P","10","42.3","30","6.38"
"27","Brad Monroe","Southern N.H.","Sr.","P","11","76.0","54","6.39"
"28","Zak Anstine","Arkansas Tech","Jr.","P","14","61.7","44","6.42"
"29","Mike Saunders","Saginaw Valley","Jr.","P","8","57.3","41","6.44"
"30","Ryan Leach","Franklin Pierce","So.","P","13","60.0","43","6.45"
"31","Matthew Reck","Hillsdale","Jr.","P","12","47.3","34","6.47"
"32","David Hatt","Wilmington (DE)","Jr.","P","21","65.3","47","6.48"
"33","Matt Wing","Bridgeport","Jr.","C","12","50.0","36","6.48"
"34","Tyler Toyfair","Mass.-Lowell","Sr.","P","15","61.0","44","6.49"
"35","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","70","6.49"
"36","Mark Sappington","Rockhurst","Jr.","P","13","72.0","52","6.50"
"37","Chad Boughner","North Ala.","Jr.","P","13","92.0","67","6.55"
"38","Rob Finneran","Bentley","Sr.","P","11","72.3","53","6.60"
"39","Mark Kuzma","Le Moyne","Sr.","P","9","64.0","47","6.61"
"40","Dan McMahon","USciences","Jr.","P","16","88.3","65","6.63"
"41","Drew Provence","North Greenville","Sr.","P","12","80.0","59","6.64"
"42","Kenny Marshall","Ark.-Monticello","Jr.","P","13","63.7","47","6.64"
"43","Vladimir Camacho","Franklin Pierce","Jr.","P","22","47.3","35","6.66"
"44","Derek Moczygemba","St. Mary's (TX)","Jr.","P","10","59.3","44","6.68"
"45","Matt Dillon","Mount Olive","Jr.","P","23","70.0","52","6.69"
"46","Brian Kilway","Lake Erie","So.","P","9","53.7","40","6.70"
"47","Pete Perez","Tarleton St.","Jr.","P","14","73.7","55","6.72"
"","Hayden Shirley","Harding","Jr.","P","12","60.3","45","6.72"
"49","Ryan Garman","Grand Valley St.","Sr.","P","11","58.7","44","6.75"
"50","Nicholas Christopher","Virginia St.","Fr.","P","9","52.0","39","6.75"
"51","Scott Cole","Southern Ind.","Sr.","P","12","59.7","45","6.78"
"52","Troy Neiman","Cal St. Chico","Jr.","P","9","49.0","37","6.80"
"","Shawn Riesgraf","St. Cloud St.","Jr.","P","13","49.0","37","6.80"
"54","Pat Simone","New Haven","So.","P","9","41.0","31","6.80"
"55","Timothy Flight","Southern N.H.","Jr.","P","11","79.3","60","6.81"
"56","James Baune","Southern Ark.","So.","P","12","68.7","52","6.81"
"57","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","53","6.81"
"58","Ed Kohout","Le Moyne","Sr.","P","13","62.0","47","6.82"
"59","Justin DeLong","Wilmington (DE)","So.","P","14","50.0","38","6.84"
"60","Jamie Treml","Wilmington (DE)","So.","P","29","63.0","48","6.86"
"61","Brett Loeding","Northern Ky.","Jr.","P","29","81.0","62","6.89"
"62","Matt Tobin","Gannon","Fr.","P","9","47.0","36","6.89"
"63","Will Corkum","Saint Michael's","Fr.","P","8","43.0","33","6.91"
"64","Brenden Gillies","Wheeling Jesuit","Sr.","P","13","46.7","36","6.94"
"65","Lou Trivino","Slippery Rock","So.","P","11","68.7","53","6.94"
"66","Chase Pickering","West Virginia St.","Sr.","P","12","64.7","50","6.96"
"67","James Taylor","Southeastern Okla.","Sr.","P","13","53.0","41","6.96"
"68","Zach Botjer","Ashland","Jr.","P","18","69.7","54","6.97"
"69","Sam Meloy","Ark.-Fort Smith","Jr.","P","13","77.3","60","6.99"
"70","Aaron Adams","West Va. Wesleyan","Jr.","P","15","91.3","71","7.00"
"71","Andrew Hyde","Notre Dame (OH)","Sr.","P","10","58.7","46","7.05"
"72","Chris Thomas","Lander","Jr.","P","15","80.3","63","7.06"
"73","Kevin Rogers","Valdosta St.","Sr.","P","11","71.3","56","7.07"
"74","Zach Lebarron","Southern N.H.","Sr.","P","15","61.0","48","7.08"
"75","Anthony Figliolia","Rollins","Jr.","P","12","66.0","52","7.09"
"76","Blake Brodie","Ark.-Fort Smith","So.","P","12","46.7","37","7.13"
"77","Dominick Ruscitti","Kutztown","Sr.","P","10","56.7","45","7.14"
"78","Michael Jordan","Benedict","Sr.","INF","10","44.0","35","7.16"
"79","Chet Godfrey","Felician","Fr.","P","33","64.0","51","7.17"
"80","Cory Baker","Grand Valley St.","Sr.","P","11","57.7","46","7.18"
"81","Jeremy Butler","Mo.-St. Louis","Sr.","SS","8","60.0","48","7.20"
"","Luis Nova","Bloomfield","Jr.","P","14","60.0","48","7.20"
"83","Barry Meeks","West Ala.","Jr.","P","13","84.7","68","7.23"
"84","Harmen Sidhu","Sonoma St.","Jr.","P","10","52.3","42","7.23"
"85","Mike Nicks","Wis.-Parkside","Sr.","P","10","69.7","56","7.23"
"86","John Walton","Benedict","Sr.","P","13","56.0","45","7.23"
"87","Brandon Simmons","Mo. Western St.","Jr.","P","12","78.3","63","7.24"
"88","Adam Brown","Dowling","Jr.","P","10","41.0","33","7.24"
"89","Colton Mitchell","Delta St.","Jr.","P","13","74.3","60","7.27"
"90","Justin Bartley","Miles","Fr.","3B","11","52.0","42","7.27"
"91","S Wells","Winston-Salem","Fr.","-","10","54.3","44","7.29"
"92","John Jeanes","Post","Jr.","P","12","49.3","40","7.30"
"93","Lee Stoppelman","Central Mo.","Sr.","P","10","59.0","48","7.32"
"94","Cutler Ruby","Post","Sr.","P","14","65.0","53","7.34"
"95","Ryan Woodring","North Greenville","So.","P","14","89.3","73","7.36"
"96","Marc Rutledge","Dowling","Sr.","P","14","73.3","60","7.37"
"97","Bo Budkevics","C.W. Post","Jr.","P","16","68.0","56","7.41"
"98","Tyler Harris","St. Edward's","Sr.","P","14","73.7","61","7.45"
"99","Jarrott Hooks","Francis Marion","Sr.","P","44","53.0","44","7.47"
"100","Manolo Mendoza","Tex. A&M Int'l","Fr.","P","13","49.3","41","7.48"
"101","Derek Zielinski","Le Moyne","Jr.","P","11","73.3","61","7.49"
"102","Brandon Marris","Southeastern Okla.","Jr.","P","14","79.3","66","7.49"
"103","Michael Murray","Hawaii Pacific","Jr.","P","12","87.7","73","7.49"
"104","Darryl White","Claflin","Jr.","P","9","66.0","55","7.50"
"105","Sean Bierman","Tampa","Sr.","P","13","74.3","62","7.51"
"106","Brad Nasis","St. Edward's","So.","P","15","61.0","51","7.52"
"107","Mike Dedrick","Dixie St.","Jr.","P","13","75.3","63","7.53"
"108","Kyle Shepard","Stonehill","Sr.","OF","9","45.3","38","7.55"
"109","Bobby Hopkins","Chestnut Hill","Jr.","P","14","75.0","63","7.56"
"110","Erick Ruvalcaba","Cal Poly Pomona","Jr.","P","12","94.0","79","7.56"
"111","Jon Jones","Fla. Southern","Sr.","P","12","58.3","49","7.56"
"112","Andrew Gallant","Shepherd","Sr.","P","25","54.7","46","7.57"
"113","Joey Cuda","Eckerd","Sr.","P","13","78.3","66","7.59"
"114","Kyle Fischer","St. Cloud St.","So.","P","11","55.7","47","7.59"
"","Brooks Rothschild","Millersville","Sr.","P","11","55.7","47","7.59"
"116","Tyler Ockuly","Minn. St. Mankato","So.","P","9","43.7","37","7.62"
"117","Kevin Collinge","Post","Jr.","P","22","54.3","46","7.62"
"118","Francesco Scudiero","Bloomfield","Fr.","P","17","59.0","50","7.63"
"119","James Stone","C.W. Post","Sr.","P","11","46.0","39","7.63"
"120","Craig Goodman","Tusculum","Sr.","P","12","86.0","73","7.64"
"121","Benjamin Weil","Valdosta St.","Jr.","P","31","57.7","49","7.64"
"122","Bryan Carr","Saint Rose","Fr.","P","19","42.3","36","7.66"
"","Zac Treece","Ouachita Baptist","Sr.","P","25","51.7","44","7.66"
"124","Josh McElwee","Newberry","Sr.","P","12","74.0","63","7.66"
"125","Caleb Whiteley","Dominican (NY)","Jr.","P","11","55.0","47","7.69"
"126","Chris Zbin","Southern Conn. St.","Sr.","P","10","56.0","48","7.71"
"127","Todd Hughson","Lander","Sr.","P","17","71.0","61","7.73"
"128","Shawn Kale","Lynn","Sr.","P","13","79.0","68","7.75"
"129","Gabriel Asakura","Cal St. L.A.","Sr.","P","11","62.7","54","7.75"
"130","Cameron Mann","Southeastern Okla.","Jr.","C","26","53.3","46","7.77"
"131","Doug Shields","Southern Ark.","Sr.","P","12","89.0","77","7.79"
"132","Brandon Miller","Lander","Jr.","P","14","52.0","45","7.79"
"133","Bryan Tuttle","Pfeiffer","Jr.","P","13","83.0","72","7.81"
"134","Ryan Santhon","Cal St. L.A.","Jr.","P","11","68.0","59","7.81"
"135","Josh White","Limestone","Sr.","P","20","70.3","61","7.81"
"136","Brett Sullivan","Seton Hill","Fr.","P","12","61.0","53","7.82"
"137","Micah Kellogg","Flagler","Sr.","P","25","56.3","49","7.83"
"138","Kevin McGowan","Franklin Pierce","So.","P","21","54.0","47","7.83"
"139","Stephen Cooke","Indiana (PA)","Jr.","P","10","64.3","56","7.84"
"140","Ben Rawding","Mercyhurst","Jr.","P","12","67.7","59","7.84"
"141","Eric Cooper","St. Thomas Aquinas","So.","P","13","49.3","43","7.85"
"142","Alex Pierse","Wayne St. (MI)","Jr.","P","8","44.7","39","7.85"
"143","Edgar Lopez","Central Okla.","Jr.","INF","13","76.7","67","7.86"
"144","Bryan Greig","Mercy","Fr.","DH","12","50.3","44","7.87"
"145","Kevin Earlie","Nyack","Sr.","INF","18","82.3","72","7.87"
"146","Casey Jacobson","Augustana (SD)","Sr.","P","13","69.7","61","7.88"
"147","Bret Garrett","Chowan","Fr.","-","14","81.0","71","7.89"
"148","Jake Moser","Mount Olive","Sr.","P","13","90.0","79","7.90"
"149","John Bryant","Tuskegee","Fr.","P","10","46.7","41","7.90"
"","Dallas Ponder","Tex. A&M-Kingsville","So.","P","11","46.7","41","7.90"
"151","Jacob Furr","Newman","So.","P","12","60.3","53","7.91"
"152","Kelly Holt","S.C. Aiken","Jr.","P","16","61.3","54","7.93"
"153","Tyler Kincaid","Fairmont St.","Jr.","P","11","56.7","50","7.94"
"","Adam Satanoff","Winston-Salem","Sr.","P","11","56.7","50","7.94"
"155","Scott Lieser","St. Cloud St.","Jr.","P","14","68.0","60","7.94"
"","Max Schonfeld","Molloy","So.","P","11","68.0","60","7.94"
"157","Josh Cagle","Stillman","Sr.","P","15","87.0","77","7.97"
"158","Nick Umberger","Shippensburg","Sr.","P","13","72.3","64","7.97"
"159","Aaron Newcomb","Delta St.","Sr.","P","11","81.3","72","7.97"
"","Lucas Waddell","Harding","Jr.","P","12","81.3","72","7.97"
"161","Rick Teasley","Saint Leo","Jr.","P","12","67.7","60","7.98"
"162","John Melville","New Haven","So.","P","10","44.0","39","7.98"
"163","Aaron Vaughn","Northwest Nazarene","So.","P","20","47.3","42","7.99"
"164","Taylor Gregory","Stillman","Jr.","P","17","54.0","48","8.00"
"","Luis Mendoza","Bloomfield","Sr.","P","8","54.0","48","8.00"
"166","Cody Greibling","Mo. Southern St.","Sr.","P","13","82.0","73","8.01"
"167","Donny Medlinger","Cal St. Monterey Bay","Sr.","P","11","61.7","55","8.02"
"168","Ben O'Shea","Tampa","Jr.","P","13","83.0","74","8.02"
"169","Sean Hayden","St. Anselm","Sr.","P","12","65.0","58","8.03"
"","Chris Pfau","Lincoln (MO)","Sr.","P","11","65.0","58","8.03"
"171","Jacob Beauchamp","North Ga.","Fr.","P","29","67.0","60","8.06"
"172","Jj Jankowski","Catawba","Sr.","P","17","90.3","81","8.07"
"173","Zeb Sneed","Northwest Nazarene","Jr.","P","13","59.0","53","8.08"
"174","Drew Dades","Columbus St.","Sr.","P","22","60.0","54","8.10"
"","Chuck Fontana","Molloy","Sr.","P","10","60.0","54","8.10"
"176","Joe Gunkel","West Chester","So.","P","8","52.0","47","8.13"
"177","Brad Duffy","Mercyhurst","Sr.","P","11","55.3","50","8.14"
"178","Zach Smith","Mount Olive","Jr.","P","14","76.3","69","8.14"
"179","Jon Wandling","Ky. Wesleyan","So.","P","11","70.7","64","8.15"
"180","Ryan Goodbrand","UC San Diego","Jr.","P","12","77.3","70","8.15"
"181","Kevin Youst","Barry","Jr.","P","12","78.3","71","8.16"
"182","Mike Herrmann","Rollins","Sr.","P","18","57.3","52","8.17"
"183","Spencer Jordan","Francis Marion","Jr.","P","13","81.3","74","8.19"
"184","Josh Tols","Rockhurst","Jr.","P","15","67.0","61","8.19"
"185","Jason Sterrett","Bellarmine","Jr.","P","17","56.0","51","8.20"
"186","Fred Breidenbach","West Chester","So.","P","8","45.0","41","8.20"
"187","Skye Severns","St. Mary's (TX)","Sr.","P","13","75.7","69","8.20"
"188","Ben Brown","Tampa","Jr.","P","10","49.3","45","8.22"
"189","Trent Speaker","Washburn","---","OF","10","42.7","39","8.22"
"190","Harvey Martin","Minn. St. Mankato","Jr.","OF","10","58.0","53","8.22"
"191","Matt Stalcup","Pittsburg St.","Jr.","P","13","70.0","64","8.23"
"192","Bryce Bellin","Minn. St. Mankato","So.","1B","12","50.3","46","8.23"
"193","Josh Branstetter","Delta St.","Jr.","P","12","86.3","79","8.24"
"194","Rocco Cundari","Southern Conn. St.","So.","P","14","75.3","69","8.25"
"195","Nolan Snell","Colorado Mesa","Jr.","P","12","76.3","70","8.26"
"196","Brad Schnelle","Seton Hill","So.","P","11","52.3","48","8.26"
"197","Kurtis Schuyler","Central Mo.","So.","P","10","58.7","54","8.28"
"198","Mike Aquilino","New Haven","Sr.","P","8","50.0","46","8.28"
"","Dylan Wall","Augusta St.","Jr.","P","16","50.0","46","8.28"
"200","Ryan Milewski","S.C. Aiken","Jr.","P","19","66.3","61","8.28"
