"Rank","Name","Team","Cl","Pos","G","SF"
"1","Wilmy Marrero","Southern U.","Jr.","INF","40","10"
"2","David Herbek","James Madison","Sr.","SS","45","9"
"","Byron McKoy","Temple","Sr.","OF","41","9"
"4","Jett Bandy","Arizona","Jr.","C","43","7"
"","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","7"
"","Johnny Bladel","James Madison","So.","OF","40","7"
"","Jayce Boyd","Florida St.","So.","1B","44","7"
"","Tyler Bream","Liberty","Jr.","3B","45","7"
"","Tom Conley","Massachusetts","Jr.","C","35","7"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","7"
"","Alan Denman","Campbell","Sr.","INF","42","7"
"","Riley Good","UTSA","Fr.","OF","45","7"
"","John Hogan","Austin Peay","So.","1B","41","7"
"","Logan Kirkland","South Ala.","Fr.","2B","42","7"
"","Ryan Lashley","Stetson","So.","INF","40","7"
"","Stephen Notaro","Western Caro.","Sr.","C","37","7"
"","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","7"
"","George Springer","Connecticut","Jr.","OF","45","7"
"19","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","6"
"","Eldred Barnett","Grambling","Jr.","OF","40","6"
"","Torsten Boss","Michigan St.","So.","INF","40","6"
"","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","6"
"","Steve Cochrane","Ga. Southern","Sr.","INF","44","6"
"","Trevor Edwards","UNC Greensboro","Jr.","C","41","6"
"","Kyle Farmer","Georgia","So.","INF","45","6"
"","Taylor Featherston","TCU","Jr.","SS","44","6"
"","Steve Galella","Rider","Sr.","INF","40","6"
"","Patrick Gamblin","Winthrop","So.","OF","42","6"
"","Bobby Glover","Dayton","Jr.","OF","43","6"
"","Juluis Green","Savannah St.","Jr.","INF","45","6"
"","Jonathan Griffin","UCF","Sr.","INF","44","6"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","6"
"","Frazier Hall","Southern U.","Sr.","INF","41","6"
"","Mason Heyne","Rider","Sr.","1B","40","6"
"","Chuck Howard","New Mexico St.","Sr.","C","35","6"
"","Terrell Jones","Texas Southern","Sr.","INF","42","6"
"","Jason King","Kansas St.","Jr.","INF","43","6"
"","Stephen Marino","Stony Brook","Sr.","INF","40","6"
"","Drew Martinez","Memphis","Jr.","OF","44","6"
"","Nick Natoli","Towson","Sr.","SS","41","6"
"","Austin Nola","LSU","Jr.","INF","45","6"
"","Clint Ourso","Southern U.","Jr.","C","30","6"
"","William Piwnica-Worms","Duke","Jr.","OF","46","6"
"","Kevin Quaranto","Siena","Sr.","1B","44","6"
"","Jared Reaves","Alabama","Jr.","INF","47","6"
"","Kenneth Rowan","Alcorn St.","Sr.","OF","36","6"
"","Michael Seaborn","Virginia Tech","Sr.","INF","46","6"
"","Barrett Serrato","Purdue","Jr.","INF","43","6"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","6"
"","Sam Sivilotti","Milwaukee","Sr.","OF","38","6"
"","Matt Tenaglia","James Madison","So.","1B","45","6"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","6"
"","Landis Ware","Baylor","Sr.","INF","43","6"
"54","Nik Balog","San Francisco","Jr.","INF","44","5"
"","Jeremy Baltz","St. John's (NY)","So.","OF","39","5"
"","Andrew Barry","Holy Cross","Fr.","INF","48","5"
"","Royce Bolinger","Gonzaga","Jr.","OF","38","5"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","5"
"","Ryan Bridges","Purdue","Jr.","INF","27","5"
"","Brian Burton","Canisius","Sr.","1B","41","5"
"","Eric Cain","South Dakota St.","Jr.","SS","39","5"
"","Ben Carhart","Stetson","Jr.","INF","44","5"
"","Caleb Clowers","La.-Monroe","Jr.","INF","43","5"
"","Chris Cook","George Mason","So.","INF","43","5"
"","Johnny Coy","Wichita St.","So.","INF","46","5"
"","Tony Crudo","Northern Colo.","Jr.","INF","41","5"
"","Pat Dameron","Delaware","Sr.","INF","43","5"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","5"
"","Clay Duncan","Bowling Green","Sr.","INF","38","5"
"","Kurt Farmer","Nebraska","So.","1B","45","5"
"","Matt Fenster","Lafayette","Sr.","INF","37","5"
"","Cody Fick","Evansville","Sr.","INF","39","5"
"","Mike Fish","Siena","So.","OF","34","5"
"","Pat Fitzgerald","Towson","Fr.","2B","37","5"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","5"
"","Nolan Fontana","Florida","So.","INF","43","5"
"","John Frost","UAB","So.","INF","43","5"
"","Brad Gschwind","Miami (OH)","Sr.","INF","42","5"
"","Kenny Hatcher","Dallas Baptist","Jr.","INF","43","5"
"","Jon Hedges","Indiana St.","Jr.","INF","40","5"
"","Sal Hernandez","Prairie View","Sr.","INF","38","5"
"","John Hicks","Virginia","Jr.","C","47","5"
"","Parker Hipp","New Mexico St.","So.","C","38","5"
"","Paul Hoenecke","Milwaukee","Jr.","INF","40","5"
"","Jeff Holm","Michigan St.","Sr.","1B","40","5"
"","Jason Houston","UALR","Sr.","2B","42","5"
"","Jimmy Howick","Jacksonville","Jr.","INF","40","5"
"","Ryan Huck","Western Ky.","So.","INF","41","5"
"","Ryan Hutson","UTSA","Sr.","INF","29","5"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","5"
"","T.J. Jones","Cincinnati","Jr.","OF","24","5"
