"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"","Tyler York","Tampa","Jr.","C","22","56","20","11","5","0","0","0.500"
"58","Jon Phillips","Southern Ark.","Jr.","INF","31","117","46","19","5","0","3","0.496"
"59","Nick Howell","Trevecca Nazarene","Sr.","OF","25","98","41","14","3","2","1","0.496"
"","William Townsend","Southern Ark.","So.","OF","31","91","32","20","6","0","6","0.496"
"61","Stephen Dezzi","Tampa","Jr.","OF","29","94","40","11","4","2","0","0.495"
"62","Luke Slentz","Tarleton St.","Sr.","INF","26","73","24","20","4","0","3","0.495"
"63","Jason Shaul","Mary","Jr.","3B","16","54","19","9","7","1","0","0.493"
"64","Julian Sobin","Southern Conn. St.","Jr.","INF","15","52","17","15","2","0","1","0.493"
"65","Cliff Brantley","Adelphi","Jr.","OF","15","58","27","4","0","1","0","0.492"
"","Graeme Zaparzynski","Slippery Rock","Sr.","INF","17","50","20","7","4","2","2","0.492"
"67","Sean Keady","Bentley","Sr.","OF","13","48","17","13","0","0","0","0.492"
"68","Matt Calhoun","Harding","Sr.","INF","28","89","36","15","3","3","0","0.491"
"","Anthony Fanelli","Seton Hill","So.","C","18","43","15","7","5","0","2","0.491"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","87","34","14","6","3","2","0.491"
"71","Mike Reed","Valdosta St.","Jr.","SS","25","87","34","13","6","2","3","0.491"
"72","Jon Castro","Wilmington (DE)","Jr.","OF","12","40","15","8","1","0","3","0.490"
"73","Johnathon Cruz","Dowling","Jr.","OF","19","77","32","8","3","0","0","0.489"
"74","Sal Giardina","Lynn","Sr.","3B","29","98","36","19","5","1","1","0.488"
"75","Austin Mascorro","Colorado St.-Pueblo","Jr.","INF","19","68","27","10","2","0","0","0.488"
"76","Ransom LaLonde","St. Edward's","Sr.","INF","28","90","33","7","15","1","3","0.487"
"","Alex Lang","Ark.-Monticello","Sr.","INF","28","82","25","18","12","1","7","0.487"
"78","Jack Morrow","Young Harris","Sr.","C","31","118","43","28","1","1","0","0.486"
"","Joe Pantano","Mercyhurst","Sr.","INF","16","57","19","12","5","0","1","0.486"
"80","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","54","15","2","1","0","0.486"
"81","Chase Williams","Miles","So.","C","24","96","41","3","9","1","0","0.486"
"82","Fran Whitten","Saint Leo","Sr.","P","27","84","33","9","9","3","1","0.486"
"83","Thomas Berry","Lander","So.","C","30","96","29","27","11","4","1","0.486"
"84","Rich Baerga","St. Thomas Aquinas","Jr.","OF","15","60","26","4","2","0","0","0.485"
"","Matthew Chavez","N.M. Highlands","Jr.","INF","22","58","24","8","0","0","2","0.485"
"86","Kevin Toon","Mont. St. Billings","So.","INF","19","55","23","7","1","1","2","0.484"
"87","Erik Lunde","Lander","Sr.","INF","30","121","46","19","9","4","0","0.484"
"88","Matt Wilson","Shepherd","Jr.","OF","17","52","23","1","5","2","0","0.483"
"89","Enmanuel Lopez","Urbana","So.","OF","9","26","11","1","2","0","0","0.483"
"","Josh Swirchak","Wilmington (DE)","Jr.","SS","14","48","18","8","2","0","3","0.483"
"91","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","100","42","10","2","0","2","0.482"
"92","Sean Murphy","Maryville (MO)","So.","OF","16","44","17","8","0","0","0","0.481"
"93","Austin Botts","Lock Haven","Jr.","C","17","62","25","10","1","2","0","0.480"
"","Anthony Tomasone","Mercyhurst","Sr.","OF","15","37","11","7","6","0","1","0.480"
"95","Nick Thimesch","Drury","Sr.","OF","17","65","30","4","1","3","0","0.479"
"96","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","79","30","15","1","1","2","0.479"
"97","Frank Crinella","Merrimack","So.","INF","15","61","24","8","2","0","0","0.479"
"98","E. Schanzenb","Mansfield","---","3B","15","48","13","13","6","0","0","0.478"
"99","Carlos Leal","Delta St.","Sr.","C","21","72","27","9","6","1","2","0.477"
"100","Mike Perry","Bridgeport","Jr.","INF","18","51","18","10","3","1","0","0.477"
