"Rank","Name","Team","Cl","Pos","G","R"
"1","Spencer Wiles","Hampden-Sydney","Jr.","OF","25","35"
"2","Brandon Hannon","Emory","Sr.","OF","24","34"
"3","Collin Radack","Hendrix","Sr.","OF","22","33"
"4","Brett Lake","Emory","Jr.","OF","25","31"
"","Connor Moore","Trinity (TX)","So.","INF","23","31"
"","Wes Peacock","Emory","Jr.","OF","25","31"
"7","Mark Carlson","Dallas","Sr.","INF","26","30"
"","Pete Grasso","Salisbury","Fr.","INF","19","30"
"9","Johnny Campos","Sul Ross St.","So.","2B","22","29"
"","Kyle Hayman","Salisbury","Jr.","OF","19","29"
"","K.J. Stark","Mary Hardin-Baylor","Jr.","OF","19","29"
"","Dusty Tyson","Berry","So.","OF","21","29"
"13","Michael Paul","Shenandoah","Jr.","P","18","28"
"14","Pat Hirschberg","Trinity (TX)","Sr.","OF","23","27"
"15","Ramsey Abushala","Cal Lutheran","So.","OF","21","26"
"","Kerrigan Cain","Case","Jr.","INF","16","26"
"","Trammell DeJarnett","Huntingdon","Sr.","OF","24","26"
"","Andrew Gronski","Case","Jr.","INF","16","26"
"","John Macon Smith","Guilford","Sr.","OF","22","26"
"","Josh Vasquez","Sul Ross St.","Jr.","SS","22","26"
"21","Billy Arens","Shenandoah","Fr.","P","18","25"
"","Julian Barzilli","Whittier","Sr.","3B","20","25"
"","Tanner Nishioka","Pomona-Pitzer","Fr.","OF","22","25"
"","Joe Stabb","Heidelberg","Sr.","INF","17","25"
"","Alex Thornton","Dallas","Sr.","OF","26","25"
"26","Ozzy Braff","Whitman","So.","INF","25","24"
"","Nathan Chamberlin","Hampden-Sydney","Sr.","3B","22","24"
"","Justin Cox","Ferrum","Sr.","OF","21","24"
"","Lincoln Evans","Lynchburg","Jr.","OF","18","24"
"","Derek Hug","Heidelberg","So.","OF","17","24"
"","Wil Parsons","Lynchburg","Jr.","2B","18","24"
"","Brett Sutyrk","Va. Wesleyan","Sr.","INF","23","24"
