team_name|team_id|year|player_name|player_id|class_year|season_year|position|games|ab|runs|hits|avg|doubles|triples|hr|total_bases|slg|rbi|sb|sba|bb|so|hbp|sac_hits|sac_flies|appearances|games_started|complete_games|wins|losses|saves|shutouts|ip|hits|runs|earned_runs|bb|so|era
Buffalo|86|2008|Agustin, Brad|688336|Jr.|2007-08|Shortstop||||||||||||||||||||||||||||||||
Buffalo|86|2008|Anderson, Zach|688337|Jr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|20|7|1|3|8|0|0|57.1|90|54|46|22|49|7.23
Buffalo|86|2008|Bhan, Shivam|782301|So.|2007-08|Third Base|46|147|21|36|0.245|7|2|1|50|0.340|18|6|7|21|33|0|2|3|3|0|0|0|1|0|0|4.0|7|13|11|8|2|24.75
Buffalo|86|2008|Blair, Trevor|874852|So.|2007-08|Second Base|15|16|4|5|0.313|0|0|0|5|0.313|1|3|3|0|5|0|0|0||||||||||||||0.00
Buffalo|86|2008|Castro, Chris|874857|So.|2007-08|Catcher|5|4|0|1|0.250|0|0|0|1|0.250|0|0|0|0|1|0|0|0||||||||||||||0.00
Buffalo|86|2008|Ciesla, Chris|566434|Jr.|2007-08|Pitcher|51|205|26|63|0.307|10|0|3|82|0.400|33|2|4|11|34|0|1|2|5|2|0|0|0|0|0|16.0|20|13|11|7|5|6.19
Buffalo|86|2008|Flynn, Eric|688339|Jr.|2007-08|Outfield|31|82|10|18|0.220|6|1|1|29|0.354|5|1|2|10|34|2|0|0||||||||||||||0.00
Buffalo|86|2008|Folli, E.J.|566435|Sr.|2007-08|Outfield|33|76|16|20|0.263|2|0|1|25|0.329|7|1|3|8|11|3|2|1||||||||||||||0.00
Buffalo|86|2008|Francis, Dan|688340|Jr.|2007-08|Pitcher|1|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|16|5|0|1|5|0|0|39.0|65|52|47|25|18|10.85
Buffalo|86|2008|Fuller, Tony|782304|Sr.|2007-08|Infield|18|42|5|10|0.238|1|1|0|13|0.310|5|0|0|2|12|1|1|0||||||||||||||0.00
Buffalo|86|2008|Geltz, Steve|688341|Jr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|14|0|0|1|1|6|0|21.1|16|5|4|10|30|1.69
Buffalo|86|2008|Hains, Jeffrey|782315|So.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|18|10|1|2|8|0|0|72.2|80|52|47|29|28|5.82
Buffalo|86|2008|Karstedt, Charlie|782322|So.|2007-08|Outfield|35|93|11|25|0.269|9|1|1|39|0.419|17|0|0|6|21|1|0|3||||||||||||||0.00
Buffalo|86|2008|Kline, Eric|874854|Fr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|7.1|13|10|9|8|7|11.10
Buffalo|86|2008|Kurtz, Tony|566440|Sr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|3|1|0|0|0|0|0|8.0|12|9|9|3|4|10.13
Buffalo|86|2008|Mancini, Rob|874853|Jr.|2007-08|Catcher|36|117|10|32|0.274|5|0|3|46|0.393|19|3|3|9|15|2|0|1||||||||||||||0.00
Buffalo|86|2008|McCall, Kevin|874856|Fr.|2007-08|Infield|27|76|11|17|0.224|1|0|0|18|0.237|5|0|0|13|21|2|2|0|1|0|0|0|0|0|0|0.0|0|0|0|0|0|0.00
Buffalo|86|2008|Mye, Chaz|874855|So.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|15|7|0|1|4|0|0|53.2|60|44|35|25|30|5.87
Buffalo|86|2008|Oliveri, Rick|566431|Sr.|2007-08|Catcher|33|98|14|27|0.276|5|0|2|38|0.388|16|1|2|18|17|1|1|0||||||||||||||0.00
Buffalo|86|2008|Piazza, James|688345|Jr.|2007-08|Pitcher|1|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|16|0|0|2|0|0|0|24.0|27|33|24|27|24|9.00
Buffalo|86|2008|Pizzuto, Bobby|782296|So.|2007-08|Outfield|34|95|10|15|0.158|1|1|1|21|0.221|11|8|11|11|29|3|0|0||||||||||||||0.00
Buffalo|86|2008|Randazzo, Brian|874849|Jr.|2007-08|Second Base|49|186|26|56|0.301|8|1|3|75|0.403|23|8|9|23|20|3|4|0||||||||||||||0.00
Buffalo|86|2008|Reinstein, Jesse|874851|Fr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|17|7|0|1|5|0|0|45.0|58|33|30|24|41|6.00
Buffalo|86|2008|Rosenbeck, Jacob|688346|Jr.|2007-08|Shortstop|45|162|28|43|0.265|10|1|3|64|0.395|22|1|2|26|30|4|2|0||||||||||||||0.00
Buffalo|86|2008|Skonieczski, Adam|782295|So.|2007-08|Outfield|41|145|19|41|0.283|6|1|3|58|0.400|19|1|5|16|26|4|4|1||||||||||||||0.00
Buffalo|86|2008|Stangroom, Mike|874850|Jr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|14|9|1|2|4|0|0|67.2|65|36|23|21|49|3.06
Buffalo|86|2008|Tourangeau, Mark|489391|Sr.|2007-08|Pitcher|0|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|4|4|0|1|2|0|0|13.0|20|19|13|15|10|9.00
Buffalo|86|2008|Walczak, Nick|782298|Sr.|2007-08|First Base|52|182|32|50|0.275|11|0|6|79|0.434|23|2|3|25|39|11|1|0||||||||||||||0.00
Methodist|412|2008|Andrade, Josh|680824|So.|2007-08|Pitcher|16|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|16|0|0|2|0|1|0|19.1|17|16|11|17|12|5.13
Methodist|412|2008|Betterly, Phillip|769991|Jr.|2007-08|Catcher|17|30|7|9|0.300|0|0|1|12|0.400|7|2|2|5|2|2|1|0||||||||||||||0.00
Methodist|412|2008|Bisplinghoff, Elliot|680829|Jr.|2007-08|Pitcher|12|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|12|11|0|4|2|0|0|52.1|60|41|30|30|42|5.16
Methodist|412|2008|Britt, Tre'|875132|Fr.|2007-08|Pitcher|8|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|8|0|0|1|1|0|0|11.1|18|20|12|3|8|9.56
Methodist|412|2008|Carter, Michael|588117|Sr.|2007-08|Third Base|44|146|31|42|0.288|4|0|0|46|0.315|17|14|16|20|15|3|15|2|1|0|0|0|0|0|0|1.0|0|0|0|1|0|0.00
Methodist|412|2008|Cates, Chase|588118|Sr.|2007-08|Pitcher|2|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|3.0|6|4|4|3|4|12.00
Methodist|412|2008|Davis, Brad|329023|Jr.|2007-08|Outfield|44|158|40|50|0.316|6|1|2|64|0.405|32|9|9|15|21|6|11|5||||||||||||||0.00
Methodist|412|2008|Eudy, Kyle|588122|Sr.|2007-08|Second Base|41|120|25|32|0.267|6|0|1|41|0.342|14|2|2|29|23|7|8|1||||||||||||||0.00
Methodist|412|2008|Evans, Jacob|875131|Fr.|2007-08|Pitcher|8|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|8|1|0|0|2|0|0|13.1|21|14|5|9|13|3.38
Methodist|412|2008|Geisinger, Fred|769997|So.|2007-08|Pitcher|14|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|14|7|2|4|4|0|0|75.1|91|45|41|21|30|4.90
Methodist|412|2008|Halpin, Brian|769996|So.|2007-08|Infield|40|135|23|36|0.267|11|0|3|56|0.415|28|4|7|15|14|1|6|5||||||||||||||0.00
Methodist|412|2008|Inghram, Brian|875133|Fr.|2007-08|Infield|26|60|8|16|0.267|2|0|0|18|0.300|13|6|6|14|15|4|0|1||||||||||||||0.00
Methodist|412|2008|Jordan, Landon|769989|So.|2007-08|Pitcher|14|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|14|10|0|4|1|0|0|56.2|56|29|25|18|46|3.97
Methodist|412|2008|Kelly, Kurt|680834|Jr.|2007-08|Pitcher||||||||||||||||||||||||||||||||
Methodist|412|2008|Kisah, Robert|588124|Sr.|2007-08|Pitcher|21|0|0|0||0|0|0|0||0|0|0|0|0|0|0|0|21|2|0|3|2|5|0|49.0|45|31|20|19|42|3.67
Methodist|412|2008|Kivett, Seth|769992|So.|2007-08|Infield|44|167|44|60|0.359|11|0|13|110|0.659|47|4|7|40|29|5|0|0||||||||||||||0.00
Methodist|412|2008|Lancaster, Tripp|875130|Fr.|2007-08|Outfield|31|82|20|23|0.280|1|0|0|24|0.293|20|8|9|8|13|2|2|1||||||||||||||0.00
Methodist|412|2008|Locklear, Kenly|875136|Jr.|2007-08|Catcher|41|167|32|55|0.329|6|0|2|67|0.401|23|8|9|9|18|3|7|0||||||||||||||0.00
Methodist|412|2008|Martin, Spencer|875135|Jr.|2007-08|Pitcher||||||||||||||||||||||||||||||||
Methodist|412|2008|Newsome, Blake|769990|Sr.|2007-08|Infield|6|10|1|2|0.200|1|0|0|3|0.300|1|0|0|0|1|0|0|0||||||||||||||0.00
