"Rank","Name","Team","Cl","Pos","G","R"
"1","Patrick Grady","Lander","Sr.","OF","30","52"
"2","Jay Gonzalez","Mount Olive","Sr.","OF","30","46"
"3","Bradon Reitano","Mount Olive","Sr.","SS","29","40"
"4","Connor Lewis","Lander","Sr.","INF","30","39"
"5","Drew Cole","UNC Pembroke","Jr.","INF","30","38"
"6","Tyler Cameron","Southern Ark.","Sr.","INF","31","37"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","37"
"","Erik Lunde","Lander","Sr.","INF","30","37"
"","Tyler Moore","S.C. Aiken","So.","OF","27","37"
"10","Kody Belcher","S.C. Aiken","---","CF","27","36"
"","Brendan Collins","Columbus St.","Jr.","OF","32","36"
"","Trey Drewery","Tusculum","Sr.","OF","29","36"
"","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","36"
"","Will Fulmer","Montevallo","Sr.","INF","30","36"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","36"
"16","Connor Obrochta","Tampa","Sr.","OF","27","35"
"17","Daniel Bick","Georgia College","Sr.","INF","25","34"
"","Andrew Kozak","Erskine","Jr.","OF","26","34"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","34"
"","Josh Rudnik","Young Harris","Sr.","P","31","34"
"21","Andrew Brodbeck","Flagler","Jr.","INF","29","33"
"","TJ Costen","S.C. Aiken","---","3B","28","33"
"","Jackson Slaid","Montevallo","Sr.","C","30","33"
"","Fernando Tanaka","Stillman","Jr.","INF","29","33"
"25","Blake Edwards","Columbus St.","So.","2B","32","32"
"","Nick Kranick","Flagler","Jr.","INF","29","32"
"","Phillip Wilson","Central Okla.","Sr.","P","24","32"
"28","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","31"
"","Weston Lawing","Lander","Jr.","OF","29","31"
"","Mike Reed","Valdosta St.","Jr.","SS","25","31"
"31","Andrew Bartlett","Florida Tech","Sr.","INF","29","30"
"","Thomas Berry","Lander","So.","C","30","30"
"","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","30"
"","Garrett Cook","King (TN)","Sr.","OF","33","30"
"","KJ McAllister","Limestone","Sr.","SS","30","30"
"36","Deandre Allen","Mount Olive","Jr.","2B","30","29"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","29"
"","Lel Clemmons","Winston-Salem","---","CF","31","29"
"","Heath Comerford","Tusculum","---","1B","26","29"
"","Jared Lupo","Mo. Southern St.","Jr.","INF","25","29"
"","Blair Moore","California Baptist","Sr.","INF","28","29"
"","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","29"
"","Jake Sandlin","Georgia College","Jr.","INF","25","29"
"","Jake Taylor","Flagler","Jr.","1B","28","29"
"45","Clay Ardeeser","Georgia College","Jr.","INF","24","28"
"","Shane Billings","Wingate","Fr.","2B","28","28"
"","JC Cardenas","Barry","So.","SS","27","28"
"","Andy Crowley","California Baptist","Jr.","OF","28","28"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","28"
"","Matthew Fears","Valdosta St.","Sr.","INF","25","28"
"","Blake Houston","Catawba","Jr.","OF","29","28"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","28"
"","Scott Miller","Lincoln Memorial","Jr.","INF","30","28"
