"Rank","Name","Team","Cl","Pos","G","HR"
"1","Andrew Thole","Thomas More","Jr.","1B","28","14"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","14"
"3","Kevin Callahan","Ill. Wesleyan","So.","1B","34","13"
"","Kyle Felix","Trinity (TX)","Sr.","C","44","13"
"5","John Holm","Wabash","Jr.","INF","39","12"
"","T.C. Lee","Willamette","Sr.","OF","40","12"
"","Brendan Pilger","Oglethorpe","Sr.","OF","42","12"
"","Trey Such","Methodist","Jr.","C","44","12"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","12"
"10","Clint DeHaven","Shenandoah","Sr.","OF","35","11"
"","Mike Eaton","Southern Me.","Sr.","OF","33","11"
"","Max Stepan","Willamette","Sr.","C","39","11"
"13","Brandon Benton","Mississippi Col.","Sr.","OF","37","10"
"","Nick Boggan","Cal Lutheran","So.","INF","40","10"
"","Spencer Brunson","Mississippi Col.","Jr.","INF","42","10"
"","Kevin Kloewer","Buena Vista","Sr.","C","33","10"
"","Jordan Marks","Louisiana Col.","Jr.","INF","43","10"
"","Nick Skala","Concordia Chicago","Jr.","C","33","10"
"","Chris Sweeney","King's (PA)","So.","OF","34","10"
"20","Dave Ahern","Babson","Sr.","P","38","9"
"","John Apostolo","Mitchell","Jr.","P","25","9"
"","Cole Bixenman","Linfield","Sr.","C","37","9"
"","Zach Deutscher","North Park","Sr.","C","35","9"
"","Ty Foster","Manchester","Sr.","INF","36","9"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","9"
"","Zachary Small","Johns Hopkins","Jr.","C","32","9"
"","Nick Stoia","Franklin","So.","INF","34","9"
"","Andy Vega","Keystone","Sr.","OF","32","9"
"29","Nick Broyles","Bluffton","Jr.","OF","36","8"
"","Anthony Defilippo","Waynesburg","Sr.","INF","35","8"
"","Bobby Doyon","Keene St.","Sr.","OF","37","8"
"","Nick Fluegge","Worcester St.","Sr.","INF","32","8"
"","Josh Fredrick","Mary Hardin-Baylor","Jr.","INF","38","8"
"","Johnny Gavrel","Southwestern (TX)","So.","INF","30","8"
"","Ben Gresh","Ursinus","Jr.","OF","33","8"
"","Will Hawkins","Millsaps","Sr.","INF","42","8"
"","Alex Hess","Eureka","Sr.","C","33","8"
"","Connor Madden","Chris. Newport","Jr.","INF","44","8"
"","Trey Martin","Wheaton (IL)","So.","3B","35","8"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","8"
"","Chad Mullins","Case","Sr.","3B","43","8"
"","Patrick Riebsame","Emory","Sr.","OF","42","8"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","8"
"","Matt Shoemaker","Chris. Newport","Jr.","INF","44","8"
"","Jesse Sikorski","Johns Hopkins","Sr.","OF","35","8"
"","Clayton Truex","Linfield","So.","INF","37","8"
"","Joe Turek","North Central (IL)","Jr.","1B","24","8"
"","Eric Wolak","Gordon","Jr.","OF","32","8"
"","Drew Zuckerman","Transylvania","Sr.","C","29","8"
"50","Ben Butler","Howard Payne","So.","1B","32","7"
"","Nick Clifton","Texas-Tyler","Sr.","1B","39","7"
"","Trey Forbes","Manchester","Sr.","C","36","7"
"","Matt Grieb","Catholic","Jr.","OF","38","7"
"","Brian Henry","Keystone","Sr.","C","33","7"
"","Steve Karnyski","St. John Fisher","Jr.","INF","29","7"
"","Esteban Meletiche","Keystone","Jr.","INF","34","7"
"","Angus Neary","Wilkes","Jr.","INF","35","7"
"","Nate Newman","Misericordia","Sr.","INF","35","7"
"","Nick Pappas","Trinity (TX)","Jr.","INF","44","7"
"","Dan Sieracki","Widener","Jr.","P","35","7"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","7"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","7"
"","Ryan Yezak","East Tex. Baptist","Sr.","INF","40","7"
"","Justin Zeller","Wheaton (IL)","Jr.","OF","36","7"
"65","Brandan Adams","FDU-Florham","Fr.","INF","31","6"
"","Dave Alexander","Fitchburg St.","Sr.","OF","32","6"
"","John Barrett","Frostburg St.","Jr.","OF","36","6"
"","Tyler Bennett","Salisbury","Jr.","C","32","6"
"","Shane Bennett","Mississippi Col.","Sr.","INF","40","6"
