"Rank","Name","Team","Cl","Pos","G","R"
"1","Kyle Billig","Washington-St. Louis","So.","OF","39","56"
"2","Greg Bates","Keene St.","Jr.","INF","34","54"
"","Aaron McCain","Texas-Tyler","Sr.","INF","43","54"
"4","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","53"
"","Richard Palase","Lynchburg","Sr.","SS","42","53"
"","Clark Sims","Hendrix","Sr.","INF","42","53"
"7","Rob Benedict","Wesley","Sr.","INF","42","52"
"","Ryan Gibbons","Wm. Paterson","Jr.","OF","40","52"
"","Dave Zubia","Moravian","Sr.","INF","38","52"
"10","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","51"
"","Paul Valerio","Old Westbury","Jr.","OF","38","51"
"12","Dave Jacob","Ramapo","Jr.","OF","39","50"
"","Tim Mackey","Aurora","Sr.","3B","36","50"
"","Brian Reutter","Old Westbury","Sr.","2B","38","50"
"","Todd Tompkins","Becker","Jr.","C","37","50"
"16","Sean Riley","Bridgewater St.","Jr.","2B","40","49"
"","Tim Saunders","Marietta","Sr.","SS","33","49"
"18","Dan Fiorito","Manhattanville","Sr.","SS","34","48"
"","David Kennett","Thomas More","Jr.","SS","36","48"
"","Cody Stevenson","Webster","Jr.","OF","36","48"
"21","Ryan Adams","Aurora","Sr.","OF","37","47"
"","Steve Karnyski","St. John Fisher","Sr.","INF","35","47"
"","Drew Leonard","Millsaps","Sr.","INF","44","47"
"","Pete O'Hara","Delaware Valley","So.","OF","38","47"
"","Jeff Schult","Western New Eng.","So.","INF","37","47"
"","Jacob Starnes","Texas-Dallas","Sr.","INF","43","47"
"","Andrew Vallejo","Whittier","Sr.","OF","36","47"
"28","Jon Carlson","Wesley","Jr.","OF","42","46"
"","Dominick Courcy","Pacific Lutheran","So.","OF","34","46"
"","A.J. Flores","Wm. Paterson","So.","OF","40","46"
"","Stephen Gates","Millsaps","Jr.","INF","44","46"
"","Travis Perkins","Rhodes","Sr.","OF","39","46"
"33","Nicko Burnett","Swarthmore","So.","OF","37","45"
"","Drew Golz","Wheaton (IL)","Sr.","OF","37","45"
"","Steve Hession","Baruch","Sr.","OF","37","45"
"","Ryan Kragnes","Penn St.-Behrend","Jr.","OF","37","45"
"","Kevin Smeraglio","Gwynedd-Mercy","Sr.","OF","38","45"
"","John Macon Smith","Guilford","So.","INF","41","45"
"39","Spencer Brunson","Mississippi Col.","Sr.","INF","40","44"
"","Andre Butler","Eastern","Sr.","OF","37","44"
"","Jake Chaplin","Haverford","Sr.","1B","38","44"
"","Timothy Mierzwa","Catholic","Sr.","INF","39","44"
"","Dennis Nover","St. Joseph's (L.I.)","Sr.","INF","40","44"
"","Bryan Palmero","St. Lawrence","So.","-","33","44"
"","Nicholas Pasqualichio","Marywood","Sr.","OF","38","44"
"","Tyler Pfeffer","Whitworth","So.","INF","40","44"
"47","William Bissell","Gallaudet","So.","OF","42","43"
"","William Chapman","Gallaudet","Sr.","OF","41","43"
"","Brock Gates","Pacific Lutheran","Sr.","INF","37","43"
"","Corey Marchant","Manchester","Jr.","INF","37","43"
"","Alvin Mata","Baruch","Sr.","OF","31","43"
"","Ethan Moser","DeSales","Sr.","OF","38","43"
"","Cory Nelson","Shenandoah","Sr.","3B","40","43"
"","Kyle Neverman","Johns Hopkins","Jr.","INF","39","43"
"","Ryan Normoyle","Washington Col.","Sr.","SS","36","43"
"","Anthony Orsano","Old Westbury","Sr.","C","39","43"
"","Chris Sweeney","King's (PA)","Jr.","OF","34","43"
