"Rank","Name","Team","Cl","Pos","G","HR"
"1","Connor Lewis","Lander","Sr.","INF","30","12"
"2","Josh Coker","Lincoln Memorial","Sr.","P","30","11"
"3","Nathan Galliford","Anderson (SC)","Jr.","OF","31","9"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","9"
"","Jackson Slaid","Montevallo","Sr.","C","30","9"
"6","Matt Bosse","S.C. Aiken","---","LF","27","8"
"","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","8"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","8"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","8"
"","Jake Taylor","Flagler","Jr.","1B","28","8"
"","T.J. Wharton","Catawba","Jr.","C","28","8"
"","Phillip Wilson","Central Okla.","Sr.","P","24","8"
"13","Dustin Averett","Columbus St.","Jr.","C","32","7"
"","Chad Balderman","Limestone","Sr.","OF","30","7"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","7"
"","Kelvin Brito","Lincoln Memorial","---","RF","28","7"
"","Garrett Cook","King (TN)","Sr.","OF","33","7"
"","Patrick Grady","Lander","Sr.","OF","30","7"
"","Bryant Hayman","Valdosta St.","Jr.","C","25","7"
"","Matt Johnson","Central Okla.","Sr.","INF","23","7"
"","Blake Massey","Ala.-Huntsville","Sr.","INF","29","7"
"","Morgan McCasland","N.M. Highlands","Jr.","C","22","7"
"","Adam Moore","Young Harris","Sr.","P","31","7"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","7"
"25","Bo Ausmus","Carson-Newman","Jr.","SS","32","6"
"","Nick Baldelli-Boggs","Stillman","Fr.","P","25","6"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","6"
"","Austin Braddock","Ark.-Monticello","Jr.","DH","31","6"
"","Jordan Brower","Azusa Pacific","Jr.","1B","22","6"
"","TJ Costen","S.C. Aiken","---","3B","28","6"
"","Erik Lunde","Lander","Sr.","INF","30","6"
"","Jack Morrow","Young Harris","Sr.","C","31","6"
"","Colby Painter","Lander","Jr.","INF","24","6"
"","Zach Smith","Erskine","Jr.","INF","26","6"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","6"
"","Nick Tindall","Tampa","Jr.","C","28","6"
"37","Austin Allen","Florida Tech","So.","C","29","5"
"","David Armendariz","Cal Poly Pomona","---","LF","26","5"
"","Giancarlo Brugnoni","Grand Valley St.","Sr.","INF","18","5"
"","Patrick Castleberry","Arkansas Tech","Jr.","C","28","5"
"","Trey Cochran","Tex. Permian Basin","Sr.","INF","26","5"
"","Andre Collum Jr.","Benedict","Jr.","OF","26","5"
"","Steven Cooper","Anderson (SC)","So.","INF","31","5"
"","Blake Cooper","Eastern N.M.","Jr.","INF","26","5"
"","Kevin Czarnecki","Fort Hays St.","Jr.","INF","22","5"
"","R.J. Dennard","Armstrong","Jr.","C","26","5"
"","Stephen Dezzi","Tampa","Jr.","OF","29","5"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","5"
"","Cody Fox","Carson-Newman","Jr.","OF","31","5"
"","Logan Galliher","Erskine","Jr.","OF","26","5"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","5"
"","Wes Koenig","St. Edward's","Sr.","1B","29","5"
"","Pat Kregeloh","Shippensburg","Sr.","3B","17","5"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","5"
"","Weston Lawing","Lander","Jr.","OF","29","5"
"","Kevin Lenik","Hawaii Pacific","---","RF","21","5"
"","Joey Miller","Concord","Sr.","1B","22","5"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","5"
"","Carver Rademacher","Southern Ark.","So.","1B","31","5"
"","Graham Ramos","Lander","Sr.","INF","29","5"
"","Josh Rudnik","Young Harris","Sr.","P","31","5"
"","Jake Schader","Mo. Western St.","Sr.","C","22","5"
