"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Brian Rauh","Chapman","So.","P","11","82.3","106"
"2","Ben Klimesh","Trinity (TX)","Jr.","P","16","81.3","102"
"3","Chad Sherman","Texas-Tyler","Sr.","P","11","72.7","95"
"4","David Colvin","Pomona-Pitzer","Sr.","P","13","94.3","94"
"","Derek Johnson","Redlands","Sr.","P","14","90.0","94"
"6","Brendan Close","Moravian","Jr.","P","10","71.7","91"
"","Greg Ross","Frostburg St.","Sr.","P","13","76.0","91"
"8","Alex Sunderland","Claremont-M-S","Sr.","SS","14","89.3","82"
"9","Sean White","Dickinson","Jr.","P","12","75.3","80"
"10","Chris Greiner","Salisbury","Sr.","P","12","81.3","78"
"11","Kyle Hart","Redlands","So.","P","15","78.3","76"
"12","Chris Chismar","SUNY New Paltz","So.","P","9","54.7","75"
"","Mark Larini","La Verne","Sr.","INF","14","83.3","75"
"","Garrett Methvin","LeTourneau","So.","P","9","63.7","75"
"","Adam Painter","Earlham","Sr.","P","14","75.3","75"
"16","Max Knowles","N.C. Wesleyan","Sr.","P","12","81.7","74"
"","Ryan Taylor","Gettysburg","So.","P","10","74.3","74"
"","Brad Watson","Wartburg","Sr.","P","11","74.0","74"
"","Scott Williams","Wis.-Stevens Point","Sr.","P","10","68.3","74"
"20","Ben Hughes","St. Olaf","Jr.","P","9","50.7","73"
"","Curtis Mallery","Manchester","Sr.","P","11","66.7","73"
"","Greg Van Sickler","Shenandoah","Sr.","P","12","80.3","73"
"23","Matt Dunford","Medaille","Sr.","P","13","63.3","72"
"","Pat Gale","Staten Island","Sr.","P","8","52.0","72"
"","Pedro Maldonado","Concordia (TX)","Sr.","OF","12","72.3","72"
"26","Derek Dallas","Texas-Dallas","So.","P","12","92.3","71"
"","Tyler Erickson","Castleton","Jr.","P","11","62.0","71"
"","Jason Pankau","Ill. Wesleyan","Sr.","P","10","64.0","71"
"29","Greg Ball","Principia","Jr.","P","13","67.0","70"
"","Dusty Black","Piedmont","Sr.","P","15","76.3","70"
"","Matt Collins","Piedmont","Sr.","P","32","42.0","70"
"","Brian Cubero","Lehman","Jr.","P","12","57.3","70"
"","Ryan Domschot","Adrian","Sr.","P","9","57.3","70"
"","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","70"
"35","Jackson Baker","Rhodes","So.","P","14","63.3","69"
"","Matt Baudino","La Verne","Sr.","P","14","67.3","69"
"","Marvin Prestridge","Texas-Dallas","Jr.","P","12","77.0","69"
"","Aaron Schuldt","SUNY Cortland","Jr.","P","8","53.7","69"
"","Kyle Smith","Brockport","Sr.","P","9","67.3","69"
"","David Ulrich","Claremont-M-S","Jr.","P","14","88.0","69"
"41","John Apostolo","Mitchell","Jr.","P","11","56.0","68"
"","Austin Carden","Rhodes","Jr.","P","14","80.3","68"
"","Joel Pulliam","Central (IA)","Jr.","P","10","67.0","68"
"44","Mike Cieszko","Rensselaer","Sr.","INF","11","56.3","67"
"","Justin D'Amato","St. John Fisher","Fr.","P","10","57.0","67"
"","Chris Phelan","Farmingdale St.","Jr.","P","11","69.7","67"
"","Ross Pomerantz","Occidental","Sr.","P","14","77.7","67"
"","Travis Thome","Messiah","Sr.","P","11","69.3","67"
"49","Rob Dittrick","Pacific (OR)","So.","P","11","87.7","66"
"","Gary Gerhardt","Saint Vincent","So.","P","11","60.3","66"
"","Russell Gilliam","Neumann","So.","P","10","52.0","66"
"","Brad Orosey","Texas Lutheran","Jr.","P","12","72.7","66"
"","Derrick Pankow","Concordia (WI)","Sr.","P","10","60.7","66"
"","Cory Popham","Occidental","So.","P","14","84.3","66"
"","Matt Regan","Juniata","Jr.","P","9","57.0","66"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","11","63.0","66"
"57","Steve Oehlschlaeger","Eastern Nazarene","Sr.","P","9","52.0","65"
"","Zach Rafferty","Anna Maria","Sr.","P","10","45.3","65"
"59","Tre' Britt","Methodist","Sr.","P","17","100.0","64"
"","Jesus Izarra","Baruch","Jr.","P","14","68.7","64"
"","Andrew Swart","Wabash","Jr.","P","16","78.7","64"
"","Scott Wall","Pacific Lutheran","Sr.","P","11","75.3","64"
"","Mark Williams","Marietta","Sr.","P","14","49.7","64"
"64","Curtis Arsi","Rowan","Jr.","P","9","57.3","63"
"","Sam Briend","Oglethorpe","Sr.","P","15","60.7","63"
"","Kevin Chandler","Bridgewater (VA)","Jr.","P","13","75.0","63"
"","James Dalton","Mass.-Boston","Jr.","P","9","56.3","63"
"","Chuck Nicholas","Alvernia","Sr.","P","10","60.0","63"
"","Brian Ranta","George Fox","Jr.","P","12","84.3","63"
