"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","135","133","0.985"
"2","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","109","97","0.890"
"3","Terry Davis","Illinois Col.","Sr.","OF","33","117","102","0.872"
"4","Derek Smith","Pitt.-Bradford","Jr.","INF","32","108","90","0.833"
"5","Adam Derner","Wm. Paterson","Sr.","1B","40","135","112","0.830"
"6","Kyle Strawn","Adrian","Sr.","OF","30","91","75","0.824"
"7","Todd Tompkins","Becker","Jr.","C","37","111","91","0.820"
"8","Frank Difilippo","Lancaster Bible","Jr.","INF","28","88","72","0.818"
"9","Paul Greco","Lancaster Bible","Sr.","INF","31","113","92","0.814"
"10","John Macon Smith","Guilford","So.","INF","41","155","123","0.794"
"11","Sean Riley","Bridgewater St.","Jr.","2B","40","147","115","0.782"
"12","Matthew Hardy","Immaculata","Jr.","INF","37","125","97","0.776"
"13","Kyle Flagstad","St. Scholastica","Jr.","OF","31","96","74","0.771"
"14","James Campbell","Pomona-Pitzer","Sr.","INF","30","117","90","0.769"
"15","Corey Marchant","Manchester","Jr.","INF","37","144","110","0.764"
"16","Ethan Moser","DeSales","Sr.","OF","38","132","99","0.750"
"17","Tyler Pfeffer","Whitworth","So.","INF","40","163","122","0.748"
"18","Kenny Durling","Misericordia","Jr.","OF","38","138","103","0.746"
"","Chris Sweeney","King's (PA)","Jr.","OF","34","138","103","0.746"
"20","Dan Fiorito","Manhattanville","Sr.","SS","34","130","96","0.738"
"","Michael Tucker","Anderson (IN)","Sr.","C","37","130","96","0.738"
"22","Alex Heideman","Neb. Wesleyan","Jr.","C","37","118","86","0.729"
"23","Mitchell Rowan","Willamette","Jr.","OF","35","114","82","0.719"
"24","Trey Martin","Wheaton (IL)","Jr.","3B","37","147","105","0.714"
"25","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","139","99","0.712"
"26","Tony Prescott","Stevenson","Sr.","DH","42","154","109","0.708"
"27","Bryan Colish","Pitt.-Greensburg","Sr.","INF","37","126","89","0.706"
"28","David Kinney","Clarkson","Sr.","INF","35","122","86","0.705"
"29","Carter Franz","St. Lawrence","Jr.","-","33","124","87","0.702"
"30","Chase Brown","Texas-Dallas","Sr.","OF","43","160","112","0.700"
"31","William Bissell","Gallaudet","So.","OF","42","142","99","0.697"
"32","Tucker White","Southern Me.","Jr.","OF","31","122","85","0.697"
"33","Matt Bittner","Penn St.-Behrend","Jr.","INF","37","135","94","0.696"
"34","Jordan Walton","Randolph-Macon","Sr.","1B","39","159","110","0.692"
"35","Matt Rowley","Bethel (MN)","Jr.","OF","34","120","83","0.692"
"36","Andrew Vallejo","Whittier","Sr.","OF","36","149","103","0.691"
"37","Kevin Callahan","Ill. Wesleyan","Jr.","1B","35","128","88","0.688"
"38","Jon Schlemmer","Saint Mary's (MN)","So.","1B","29","85","58","0.682"
"39","Brandon Chase","St. Joseph's (ME)","Jr.","INF","40","116","79","0.681"
"40","Jake Duske","Wis.-Stout","Sr.","INF","36","124","84","0.677"
"41","Caleb Weaver","Knox","Jr.","INF","26","102","69","0.676"
"42","Josh Staniscia","Wash. & Jeff.","So.","OF","31","111","75","0.676"
"43","Jack Cinoman","Chicago","Jr.","OF","33","126","85","0.675"
"44","Mike Nodzenski","Grinnell","Sr.","C","28","101","68","0.673"
"45","Mike Cappiello","Plymouth St.","Sr.","1B","30","104","70","0.673"
"46","Brian Mauro","DeSales","Jr.","C","38","133","89","0.669"
"","Tim Saunders","Marietta","Sr.","SS","33","133","89","0.669"
"48","Nicholas Pasqualichio","Marywood","Sr.","OF","38","136","91","0.669"
"49","Jimmy Baum","Penn St.-Altoona","Sr.","OF","37","129","86","0.667"
"","Colin McCarthy","Catholic","Fr.","1B","31","93","62","0.667"
