"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Tyler Bigler","Morehead St.","Jr.","INF","21","15"
"2","Joel Atkinson","Northwestern St.","Jr.","INF","22","14"
"","Chris Cook","George Mason","Sr.","INF","21","14"
"4","Kyle Convissar","Maryland","Sr.","INF","14","12"
"","Jon Crucitti","Army","Sr.","OF","20","12"
"","Alex Jensen","Army","Jr.","INF","20","12"
"","Zack Lee","N.C. Central","Sr.","INF","23","12"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","12"
"","Blake Sipe","Radford","Sr.","OF","23","12"
"","Elijah Trail","Campbell","Sr.","INF","25","12"
"11","Steven Leonard","Campbell","So.","C","21","11"
"","Jacob McNamara","Ill.-Chicago","Sr.","C","16","11"
"13","Kevin Cron","TCU","Jr.","INF","23","10"
"","Drew Ferguson","Belmont","Jr.","OF","23","10"
"","Andrew Godbold","Southeastern La.","Jr.","OF","23","10"
"","Tyler Langley","Central Ark.","So.","OF","22","10"
"","Tyler Leffler","Bradley","So.","INF","19","10"
"","Ryan Lindemuth","William & Mary","---","2B","22","10"
"","Ryan Prinzing","UAB","Sr.","OF","25","10"
"","Becker Sankey","Liberty","Jr.","C","18","10"
"","John Sansone","Florida St.","So.","INF","23","10"
"","Aaron Scoville","Radford","Sr.","OF","22","10"
"","Bryce Taylor","Jackson St.","Sr.","OF","25","10"
"","Bo Thompson","Citadel","Jr.","INF","24","10"
"","Mike Wesolowski","Dallas Baptist","Sr.","INF","23","10"
"26","Brian Anderson","Arkansas","Jr.","INF","21","9"
"","Michael Bozarth","Saint Louis","So.","OF","21","9"
"","Brian Carroll","UCLA","Sr.","OF","22","9"
"","Richard Carthon","Tulane","So.","OF","23","9"
"","Terence Connelly","UNC Wilmington","So.","INF","21","9"
"","Jordan Devencenzi","Nevada","Jr.","C","22","9"
"","Eric Hsieh","Yale","Jr.","P","15","9"
"","Aaron Huesman","Dayton","So.","INF","21","9"
"","Jimmy Luppens","Canisius","Sr.","1B","21","9"
"","Mark McCants","Army","Jr.","OF","20","9"
"","Devin Pearson","California","So.","OF","22","9"
"","Thomas Peter","Western Ky.","So.","INF","24","9"
"","Kade Scivicque","LSU","Jr.","C","23","9"
"","Wayne Stanley","Lamar","Jr.","INF","22","9"
"","Woody Woodward","UC Santa Barbara","Jr.","OF","20","9"
"41","Max Beermann","Villanova","So.","1B","21","8"
"","Michael Bernal","Arkansas","So.","INF","18","8"
"","Cole Bieser","Southeast Mo. St.","Sr.","OF","23","8"
"","Braden Bishop","Washington","So.","OF","22","8"
"","Chase Compton","La.-Lafayette","Sr.","1B","22","8"
"","Jace Conrad","La.-Lafayette","Jr.","2B","24","8"
"","Jameson Fisher","Southeastern La.","So.","C","23","8"
