"Rank","Name","Team","Cl","Pos","G","BB"
"1","Matt Will","Frank. & Marsh.","Sr.","INF","38","41"
"2","Matt Connors","Rutgers-Newark","Sr.","2B","36","39"
"3","Brandon Hannon","Emory","Fr.","OF","42","37"
"","Kevin O'Connor","Emory","Jr.","2B","43","37"
"5","Steven Davis","Louisiana Col.","Sr.","INF","42","36"
"","Trey Such","Methodist","Jr.","C","44","36"
"7","Kevin Jackson","Trinity (TX)","Sr.","INF","44","35"
"","Matt Richards","Case","Jr.","OF","43","35"
"9","Sam Hill","Birmingham-So.","Sr.","C","38","34"
"","Andrew Jett","Westminster (MO)","Sr.","OF","34","34"
"","Lynden Pindling","Rhodes","So.","SS","44","34"
"12","Jeff Brothers","Oglethorpe","So.","C","40","33"
"","Kyle Cyprysiak","Maryville (TN)","Sr.","INF","40","33"
"","Brian Inghram","Methodist","Sr.","INF","44","33"
"","Jordan Marks","Louisiana Col.","Jr.","INF","43","33"
"16","Brian Jordan","Randolph-Macon","Jr.","OF","42","32"
"","Shannon Mark","Chris. Newport","Jr.","OF","39","32"
"","Chad Polak","Dominican (IL)","Sr.","INF","36","32"
"19","Chris Maguire","Husson","Sr.","1B","41","31"
"","John Martinez","Juniata","Sr.","OF","37","31"
"","James Parr","Chapman","So.","INF","34","31"
"","Mike Taylor","Western New Eng.","Jr.","1B","39","31"
"23","Rick Gehman","Immaculata","Sr.","INF","28","30"
"","Chris Martin","Hampden-Sydney","Sr.","SS","40","30"
"","Brendan Pilger","Oglethorpe","Sr.","OF","42","30"
"26","Ryan Adams","Aurora","Jr.","OF","31","29"
"","Dan Gleiberman","Whittier","Sr.","3B","38","29"
"","Travis Jonasson","Babson","Jr.","INF","38","29"
"","Chad Mullins","Case","Sr.","3B","43","29"
"30","Kevin Brashears","Shenandoah","Sr.","OF","39","28"
"","Kevin Callahan","Ill. Wesleyan","So.","1B","34","28"
"","Ben Davidson","Gordon","So.","P","35","28"
"","LeJuan Edwards","Hardin-Simmons","Sr.","OF","42","28"
"","Bryan Higginbotham","Birmingham-So.","Sr.","INF","38","28"
"","Chris Kucher","Babson","So.","INF","38","28"
"","Shawn Lovette","Methodist","Sr.","INF","44","28"
"","Michael Murphy","TCNJ","So.","OF","35","28"
"","Anthony Porcaro","Marian (WI)","Jr.","C","29","28"
"","Prateek Thaman","St. Joseph's (L.I.)","Jr.","OF","35","28"
