"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Derek Dixon","George Fox","Sr.","1B","23","94","71"
"2","Brett Lake","Emory","Jr.","OF","25","103","70"
"3","Andrew Gronski","Case","Jr.","INF","16","73","68"
"4","Julian Barzilli","Whittier","Sr.","3B","20","72","66"
"5","Tanner Nishioka","Pomona-Pitzer","Fr.","OF","22","92","62"
"6","Spencer Wiles","Hampden-Sydney","Jr.","OF","25","91","61"
"7","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","38","59"
"","Adam Posey","East. Mennonite","Sr.","P","23","96","59"
"","Corey Wallace","Guilford","Sr.","INF","21","87","59"
"10","Simon Rosenbaum","Pomona-Pitzer","So.","P","21","72","58"
"","Billy Steel","Chris. Newport","Sr.","INF","18","70","58"
"12","Mark Carlson","Dallas","Sr.","INF","26","92","56"
"","Pat Hirschberg","Trinity (TX)","Sr.","OF","23","88","56"
"","Derek Hug","Heidelberg","So.","OF","17","71","56"
"","Collin Radack","Hendrix","Sr.","OF","22","97","56"
"16","Michael Paul","Shenandoah","Jr.","P","18","71","55"
"17","Aaron Cohen","Whitman","Sr.","P","25","102","53"
"18","Connor Hancock","Redlands","Jr.","OF","25","99","52"
"","Wes Peacock","Emory","Jr.","OF","25","96","52"
"20","Josh Vasquez","Sul Ross St.","Jr.","SS","22","89","51"
"21","Jeff Gray","Hampden-Sydney","Jr.","1B","24","94","50"
"","Patrick Kulick","Oglethorpe","Jr.","P","20","76","50"
"","Trevor Oldham","Heidelberg","Jr.","INF","17","68","50"
"24","Mark Saatzer","Chapman","Sr.","INF","21","83","49"
"","Christopher Scalisi","Redlands","Fr.","OF","25","95","49"
"","John Macon Smith","Guilford","Sr.","OF","22","80","49"
"","Chase Valdez","Schreiner","Sr.","C","27","99","49"
"28","Scott Matthews","Washington Col.","Jr.","OF","16","59","48"
"","Scott Windler","Franklin","Sr.","OF","16","59","48"
"","Jack Witte","Claremont-M-S","So.","INF","24","93","48"
