"Rank","Name","Team","Cl","Pos","G","2B"
"1","Jason Krizan","Dallas Baptist","Sr.","OF","43","30"
"2","William Carmona","Stony Brook","So.","INF","40","23"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","23"
"4","James Brooks","Utah","Jr.","INF","37","22"
"","C.J. Cron","Utah","Jr.","C","37","22"
"6","Cody Asche","Nebraska","Jr.","3B","44","21"
"","James Beck","Iona","Jr.","1B","40","21"
"","Chadd Krist","California","Jr.","C","40","21"
"","Chris O'Brien","Wichita St.","Jr.","C","47","21"
"10","Joey DeBernardis","Penn St.","Jr.","1B","41","20"
"","Lee Orr","McNeese St.","Jr.","INF","46","20"
"","D.J. Peterson","New Mexico","Fr.","3B","45","20"
"","Jeremy Schaffer","Tulane","Jr.","C","44","20"
"","George Springer","Connecticut","Jr.","OF","45","20"
"15","Adam Bryant","Troy","Sr.","INF","44","19"
"","Ryan Fuller","Connecticut","Jr.","INF","42","19"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","19"
"","Matt Koch","Loyola Marymount","Jr.","C","41","19"
"","Zack Kometani","San Diego","Jr.","C","41","19"
"","L.J. Mazzilli","Connecticut","So.","INF","44","19"
"","Steve Nikorak","Temple","Sr.","3B","41","19"
"","Devon Travis","Florida St.","So.","2B","44","19"
"23","Alex Bast","Air Force","So.","C","44","18"
"","Saxon Butler","Samford","Jr.","INF","45","18"
"","Pat Dameron","Delaware","Sr.","INF","43","18"
"","Nolan Earley","South Ala.","So.","OF","42","18"
"","Jacob Esch","Georgia Tech","Jr.","P","45","18"
"","Tyler Hannah","Troy","Jr.","INF","44","18"
"","Austin Heaps","Utah Valley","Jr.","OF","38","18"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","18"
"","Matt Pace","Ark.-Pine Bluff","Sr.","3B","41","18"
"","Adrian Perez","Temple","Sr.","SS","41","18"
"","Alex Staehely","Creighton","So.","INF","41","18"
"","Adam Brett Walker","Jacksonville","So.","C","42","18"
"35","Ryan Aguayo","New Mexico St.","Sr.","INF","44","17"
"","Chris Benson","Utah Valley","Sr.","OF","38","17"
"","Matt Carvutto","Pacific","Sr.","P","39","17"
"","Phillip Chapman","Memphis","Sr.","C","43","17"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","17"
"","Scott Davis","Delaware St.","Jr.","INF","43","17"
"","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","17"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","17"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","17"
"","C.J. Gillman","Dayton","Jr.","INF","44","17"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","17"
"","David Herbek","James Madison","Sr.","SS","45","17"
"","John Hicks","Virginia","Jr.","C","47","17"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","17"
"","Matt Igara","Western Ill.","Jr.","OF","44","17"
"","Travis Isaak","Murray St.","Jr.","INF","40","17"
"","Mark Micowski","Georgia St.","Sr.","OF","46","17"
"","Nick Rickles","Stetson","Jr.","C","44","17"
"","Sam Russell","Central Mich.","Jr.","OF","44","17"
"","Chris Wychock","Towson","Sr.","3B","41","17"
"55","Chris Andreas","Sam Houston St.","Sr.","OF","46","16"
"","Steve Antolik","High Point","Sr.","OF","44","16"
"","Chris Baker","Old Dominion","Jr.","C","41","16"
"","Alex Baldock","Buffalo","So.","INF","38","16"
