"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Rashad Ingram","St. Augustine's","Sr.","INF","54","80","7"
"2","Khatim Butler","Elizabeth City St.","Sr.","P","40","47","2"
"3","Caleb Saggus","Augusta St.","Jr.","OF","47","45","10"
"","Corbin Williams","Albany St. (GA)","So.","2B","43","45","2"
"5","Brandon Gipson","Benedict","Sr.","C","40","42","6"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","42","2"
"7","Pierce Joseph","St. Augustine's","Sr.","OF","54","40","4"
"8","Dillon Hazlett","Emporia St.","Sr.","INF","45","37","1"
"","Christopher Miller","Benedict","Sr.","OF","38","37","7"
"","Ty Windall","Northwest Nazarene","Sr.","OF","44","37","1"
"11","Raphael Amey","Kentucky St.","Jr.","SS","38","35","8"
"","Stuart Drew","West Ga.","Jr.","2B","48","35","3"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","35","4"
"14","Stephen Carmon","S.C. Aiken","Jr.","SS","50","33","3"
"15","Omar Velazquez","Adelphi","Sr.","OF","42","31","4"
"16","Josh Young","Georgia College","Jr.","OF","49","30","7"
"17","Mike Bolling","Lewis","Jr.","OF","30","28","4"
"","Ryan McCormick","Millersville","Sr.","SS","45","28","2"
"19","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","27","4"
"","Sean Keady","Bentley","Fr.","OF","35","27","3"
"","Courtney Kelley","Miles","So.","OF","38","27","8"
"","Eddie Mathis","Albany St. (GA)","Jr.","OF","39","27","4"
"23","Carlos Guzman","Molloy","Fr.","OF","45","26","7"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","26","2"
"","Nate Hewes","Augustana (SD)","So.","INF","43","26","1"
"26","Andrew Elke","Saint Martin's","Sr.","OF","47","25","3"
"","Alberto Johnson","Shaw","Fr.","INF","45","25","5"
"","Greg Pron","West Fla.","Sr.","OF","48","25","3"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","25","4"
"30","K.C. Clabough","Florida Tech","Jr.","INF","47","24","3"
"","Dustin Lawley","West Fla.","Sr.","OF","48","24","5"
"","Gavin Meyer","Quincy","So.","OF","44","24","3"
"","Howard Spencer","Virginia St.","Jr.","OF","39","24","0"
"34","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","23","3"
"","Jarius Brown","Stillman","Fr.","OF","41","23","5"
"","Evan King","California (PA)","So.","INF","43","23","5"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","23","1"
"","Michael White","Stonehill","Jr.","OF","43","23","2"
"39","Jason Berrios","Concordia (NY)","Jr.","OF","34","22","8"
"","Ryan Brnovich","Saint Leo","So.","INF","45","22","2"
"","Ryan Brockett","New Haven","Jr.","SS","37","22","3"
"","Troy Handza","California (PA)","Jr.","OF","44","22","1"
"","David Harvey","Morehouse","Jr.","OF","37","22","1"
"","F. Johnson","Shaw","Fr.","-","45","22","0"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","22","5"
"","Michael Niemann","Delta St.","Sr.","OF","46","22","5"
"","Frank Salerno","St. Thomas Aquinas","So.","INF","41","22","2"
"","Michael Schmidt","North Ala.","Jr.","INF","44","22","5"
"","Dylan Schuch","St. Edward's","Sr.","OF","43","22","4"
"50","Dion Bryant","Stillman","Jr.","OF","41","21","3"
"","Matt Cmiel","Ill.-Springfield","Fr.","OF","38","21","3"
"","Ladarrius Cole","West Ala.","Jr.","OF","41","21","0"
"","Josh Cox","Virginia St.","Jr.","INF","38","21","2"
"","Chauncey Davis","Claflin","Jr.","INF","29","21","2"
"","Justin Gibson","East Central","Jr.","INF","42","21","8"
"","Brian Giles","North Greenville","Sr.","P","44","21","3"
"","Joe Harbach","Wilmington (DE)","Jr.","OF","40","21","2"
"","Michael Jordan","Benedict","Jr.","INF","34","21","4"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","21","7"
"","Aaron Oliver","Abilene Christian","Sr.","OF","33","21","2"
"","Seth Tressler","Mansfield","So.","2B","35","21","3"
"","Brett Wright","West Ga.","So.","OF","46","21","6"
"63","Justin Blinn","Southern Ind.","Sr.","OF","45","20","4"
"","Hunter Boehme","Pfeiffer","Sr.","OF","45","20","4"
"","Michael Bueker","Mars Hill","Jr.","INF","48","20","3"
"","Jeremiah Gandy","Shaw","Fr.","OF","47","20","3"
"","Rico Garcia","Bluefield St.","Jr.","INF","35","20","3"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","20","2"
"","Taye Larry","West Fla.","Jr.","OF","47","20","7"
"","Collin Martindale","Felician","Fr.","OF","46","20","2"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","20","0"
"","Ryan Wides","Indianapolis","So.","OF","43","20","6"
"73","Nick Adams","Rollins","Jr.","INF","46","19","3"
"","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","19","1"
"","Randy Beard","Concord","So.","OF","44","19","2"
"","Antonio Clark","Valdosta St.","Sr.","OF","42","19","3"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","19","8"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","19","5"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","19","5"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","19","3"
"","Jack Heary","New Haven","So.","OF","36","19","3"
"","Taylor Johnson","St. Edward's","So.","2B","44","19","1"
"","Anthony Jones","Miles","So.","2B","34","19","3"
"","Mike Knipe","Chestnut Hill","Sr.","1B","35","19","6"
"","Jacob White","Emporia St.","Sr.","SS","40","19","3"
"86","Steven Alexander","LeMoyne-Owen","Fr.","-","26","18","2"
"","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","18","2"
"","null Bryant-28","Benedict","Fr.","-","24","18","6"
"","Andre Dixon","Morehouse","Sr.","P","31","18","1"
"","Nick Erminio","Seton Hill","Jr.","INF","37","18","3"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","18","5"
"","Chris Fox","Florida Tech","Sr.","OF","42","18","1"
"","Bryce Gerhardt","Abilene Christian","So.","OF","36","18","5"
"","Terrence Gray","Newberry","Sr.","OF","43","18","3"
"","George Hajjar","Felician","Jr.","OF","44","18","3"
"","Matt McAllester","Ashland","Sr.","2B","45","18","5"
"","Blake Stroth","North Ala.","Sr.","INF","42","18","4"
"","William Thomas","Benedict","Sr.","OF","28","18","3"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","18","4"
"","Selwyn Young","Benedict","Sr.","SS","39","18","3"
"101","Jared Allen","Ga. Southwestern","Sr.","INF","48","17","5"
"","Matt Ammons","Coker","Sr.","2B","43","17","2"
"","Braden Box","Colorado Mesa","So.","INF","34","17","4"
"","Trey Buck","Southern Ark.","Jr.","SS","45","17","5"
"","Adam Connell","Hillsdale","Sr.","INF","42","17","2"
"","Gus Fernandez","Florida Tech","Sr.","INF","39","17","2"
"","Evan Gallagher","East Stroudsburg","Jr.","SS","39","17","2"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","17","5"
"","Kyle Harpster","Gannon","Jr.","OF","38","17","2"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","17","2"
"","Michael Levy","Dominican (NY)","Sr.","INF","38","17","7"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","17","2"
"","Jared Mothershed","North Ala.","Sr.","OF","43","17","2"
"","Nick Nardacci","Stonehill","Sr.","2B","43","17","4"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","17","5"
"","Logan Parker","Northwest Nazarene","So.","OF","44","17","2"
"","Jason Reitenbach","Findlay","Sr.","INF","43","17","4"
"","C.J. Stabler","King (TN)","Sr.","INF","41","17","3"
"119","Chris Amate","American Int'l","So.","INF","31","16","5"
"","Nicholas Barbalato","St. Thomas Aquinas","Jr.","OF","41","16","3"
"","Kyle Baskett","Saint Martin's","Sr.","OF","42","16","5"
"","Willis Bradwell","Morehouse","Sr.","OF","35","16","1"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","16","4"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","16","1"
"","Ethan Chapman","Cal St. San B'dino","So.","OF","42","16","3"
"","Sean Cotten","Tusculum","Sr.","C","50","16","2"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","16","10"
"","Wess Hollins","Eckerd","Sr.","OF","44","16","3"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","16","3"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","16","1"
"","Garret Keenan","Saint Rose","Sr.","OF","41","16","4"
"","Alex Latchum","Chestnut Hill","Jr.","2B","35","16","5"
"","Landan McCall","Tarleton St.","So.","SS","43","16","2"
