"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","J.J. Franco","Brown","Sr.","INF","9","34","0","0.0"
"2","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","1","75.0"
"3","Bobby Ison","Charleston So.","Jr.","OF","25","102","2","51.0"
"4","Ryan Raslowsky","Cal St. Northridge","Jr.","INF","22","81","2","40.5"
"5","Deion Tansel","Toledo","So.","INF","20","76","2","38.0"
"6","Cole Lankford","Texas A&M","Jr.","C","24","99","3","33.0"
"7","Kewby Meyer","Nevada","Jr.","INF","23","97","3","32.3"
"8","Zachary Brigham","Savannah St.","Jr.","3B","23","64","2","32.0"
"9","Chesny Young","Mercer","Jr.","3B","23","95","3","31.7"
"10","Mac James","Oklahoma","Jr.","C","24","88","3","29.3"
"11","Brad Fieger","Miami (FL)","Sr.","1B","23","86","3","28.7"
"12","Vince Corbi","UMBC","Jr.","INF","15","56","2","28.0"
"13","Alex Klonowski","Northern Ill.","Sr.","INF","22","82","3","27.3"
"14","Conner Hale","LSU","Jr.","INF","24","81","3","27.0"
"","Blair Beck","Kansas","Jr.","OF","20","54","2","27.0"
"16","Adam Young","UC Davis","Sr.","INF","17","50","2","25.0"
"17","T.J. Sutton","Kent St.","Sr.","OF","20","74","3","24.7"
"18","Mark McCants","Army","Jr.","OF","20","73","3","24.3"
"19","Mike Small","Richmond","Sr.","INF","21","72","3","24.0"
"","Pat Wilson","Milwaukee","Sr.","1B","12","48","2","24.0"
"21","Chris Robinson","Morehead St.","Jr.","C","23","93","4","23.3"
"22","Brad Elwood","Charlotte","Jr.","INF","19","69","3","23.0"
"23","Spencer Angelis","High Point","Jr.","C","23","90","4","22.5"
"","Matt Hall","Cornell","Jr.","C","12","45","2","22.5"
"25","Marc Sredojevic","Brown","Fr.","INF","8","22","1","22.0"
"26","Derek Gallello","Charlotte","Jr.","INF","19","63","3","21.0"
"27","Jacob McNamara","Ill.-Chicago","Sr.","C","16","62","3","20.7"
"","Ryan Quinn","Cincinnati","Sr.","INF","21","62","3","20.7"
"29","Jordan Devencenzi","Nevada","Jr.","C","22","82","4","20.5"
"","Roger Diaz","Grambling","Jr.","C","22","82","4","20.5"
"31","Ka'Ai Tom","Kentucky","So.","OF","18","61","3","20.3"
"32","Brandon Paul","Presbyterian","Sr.","C","25","101","5","20.2"
"33","Tyler Lawrence","Murray St.","Fr.","C","21","80","4","20.0"
"","Dan Olinger","Minnesota","Sr.","1B","16","60","3","20.0"
"35","Ryan Xepoleas","George Washington","Jr.","OF","20","77","4","19.3"
"36","Tate Matheny","Missouri St.","So.","OF","18","76","4","19.0"
"","Payden Cawley Lamb","Gonzaga","Sr.","OF","17","57","3","19.0"
"","DJ Miller","Delaware St.","Sr.","INF","17","57","3","19.0"
"39","Kaeo Aliviado","Hawaii","Jr.","OF","24","94","5","18.8"
"","Wood Myers","North Carolina","Fr.","INF","23","94","5","18.8"
"41","Trenton Brooks","Nevada","Fr.","P","20","56","3","18.7"
"42","Drew Weeks","North Florida","Jr.","OF","23","93","5","18.6"
"43","Dan Walsh","Miami (OH)","Sr.","INF","19","74","4","18.5"
"44","Pat Kelly","Nebraska","Jr.","INF","22","92","5","18.4"
"45","Mark Tatera","Minnesota","Jr.","INF","20","73","4","18.3"
"46","Stryker Brown","Ga. Southern","Sr.","INF","25","90","5","18.0"
"","Ben Moore","Alabama","Jr.","OF","23","90","5","18.0"
"48","Trent Higginbothem","North Florida","Jr.","3B","23","89","5","17.8"
"","Kevin Nutter","William & Mary","Sr.","OF","21","89","5","17.8"
"50","Dalton DiNatale","Arizona St.","So.","INF","21","71","4","17.8"
"51","Chris Hoo","Cal Poly","Sr.","C","23","70","4","17.5"
"","John Rooney","Siena","Sr.","OF","20","70","4","17.5"
"53","Colt Atwood","Sam Houston St.","Jr.","OF","24","104","6","17.3"
"54","Willie Calhoun","Arizona","Fr.","INF","20","69","4","17.3"
"","Mike Escanilla","UMES","So.","INF","18","69","4","17.3"
"56","Eric Hsieh","Yale","Jr.","P","15","51","3","17.0"
"57","Kyler Holder","San Diego","So.","SS","23","84","5","16.8"
"","Parks Jordan","North Carolina","Sr.","OF","23","84","5","16.8"
"59","Brian Ruditys","Quinnipiac","Jr.","OF","18","50","3","16.7"
"60","Chase Shelton","Charleston So.","Jr.","1B","25","99","6","16.5"
"61","Travis Blue","Navy","Fr.","INF","23","82","5","16.4"
"","Patrick Mazeika","Stetson","So.","1B","24","82","5","16.4"
"63","Waldyvan Estrada","Alabama St.","Jr.","OF","28","98","6","16.3"
"","Kyle Gallegos","San Jose St.","Sr.","C","25","98","6","16.3"
"65","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","81","5","16.2"
"66","Griff Gordon","Jacksonville St.","Sr.","OF","23","97","6","16.2"
"","Brett Sullivan","Pacific","So.","SS","26","97","6","16.2"
"68","Jordan Ebert","Auburn","So.","INF","24","80","5","16.0"
"69","Robby Sunderman","Dayton","Sr.","INF","21","79","5","15.8"
"70","Justin Bridgman","Nevada","Fr.","INF","22","63","4","15.8"
"","Nicolas Osuna","Cal St. Northridge","So.","INF","18","63","4","15.8"
"","Brady Sheetz","Hartford","Jr.","INF","17","63","4","15.8"
"73","Austin Anderson","Ole Miss","Sr.","INF","25","94","6","15.7"
"","Chris Coia","Radford","So.","INF","23","94","6","15.7"
"","Zach Houchins","East Carolina","Sr.","3B","24","94","6","15.7"
"76","Vinny Siena","UConn","So.","INF","19","78","5","15.6"
"77","Mike Warren","UTSA","Sr.","1B","24","93","6","15.5"
"","Robby Rinn","Bryant","So.","1B","18","62","4","15.5"
"79","Brett Balkan","Cal St. Northridge","Sr.","INF","22","77","5","15.4"
"","David Del Grande","Sacramento St.","Sr.","OF","23","77","5","15.4"
"81","Casey Turgeon","Florida","Jr.","INF","24","92","6","15.3"
"82","Peter Maris","UC Santa Barbara","Jr.","INF","20","76","5","15.2"
"","Jon McAllister","LIU Brooklyn","Jr.","OF","18","76","5","15.2"
"84","Vincent Jackson","Tennessee","So.","OF","23","75","5","15.0"
"","Cameron Berra","Eastern Ill.","Sr.","INF","21","60","4","15.0"
"","Jake Hernandez","Southern California","Sr.","C","20","60","4","15.0"
"","Matt Weckerle","NJIT","Sr.","OF","12","45","3","15.0"
"88","Anthony Azar","Sam Houston St.","Sr.","C","22","89","6","14.8"
"","Robert McIntosh","UNC Asheville","Sr.","INF","22","89","6","14.8"
"90","Pat Fitzgerald","Towson","Sr.","2B","20","74","5","14.8"
"91","Gus Craig","Columbia","Jr.","OF","17","59","4","14.8"
"","Tyler Zupcic","Appalachian St.","Sr.","OF","17","59","4","14.8"
"93","Landon Curry","Indiana St.","Jr.","OF","20","88","6","14.7"
"","Curtis Jones","Houston Baptist","Jr.","INF","20","88","6","14.7"
"95","Scott Heelan","Northwestern","Jr.","C","17","73","5","14.6"
"","Derek Odell","TCU","Jr.","INF","20","73","5","14.6"
"97","Jake Barrios","Texas Tech","Sr.","INF","26","102","7","14.6"
"98","Aaron Barnett","Pepperdine","Fr.","C","23","87","6","14.5"
"","Andrew Kubuski","Bowling Green","Sr.","OF","16","58","4","14.5"
"","Ryan Messex","Western Ky.","Jr.","C","21","58","4","14.5"
"101","Chris Manning","Valparaiso","Sr.","OF","18","72","5","14.4"
"","Daniel Pinero","Virginia","Fr.","INF","22","72","5","14.4"
"103","Garrett Boulware","Clemson","Jr.","C","23","86","6","14.3"
"","Zack Lee","N.C. Central","Sr.","INF","23","86","6","14.3"
"105","Mike Brosseau","Oakland","So.","INF","14","57","4","14.3"
"106","Cameron Newell","UC Santa Barbara","Jr.","OF","20","71","5","14.2"
"107","Zach Zarzour","Tennessee Tech","Sr.","2B","24","99","7","14.1"
"108","Joe Bamford","Monmouth","Sr.","OF","17","56","4","14.0"
"","Richard Rodriguez","Delaware St.","Fr.","INF","16","42","3","14.0"
"110","Aaron Hernandez","Kansas","Jr.","INF","24","83","6","13.8"
"","Dane McDermott","High Point","Jr.","INF","23","83","6","13.8"
"","Jacob Valdez","San Jose St.","Sr.","INF","22","83","6","13.8"
"113","Nick Crescenzo","Rider","Sr.","OF","19","69","5","13.8"
"","Cole Peragine","Stony Brook","Jr.","INF","18","69","5","13.8"
"115","Tyon Ore","Norfolk St.","Sr.","OF","18","55","4","13.8"
"116","Dalton Britt","Liberty","So.","INF","25","96","7","13.7"
"","Joey Cujas","VCU","Sr.","INF","23","96","7","13.7"
"118","Greg Harrison","Furman","Sr.","1B","24","95","7","13.6"
"119","James Cantu","McNeese St.","Jr.","OF","20","81","6","13.5"
"","Brandon Tierney","A&M-Corpus Christi","Sr.","INF","24","81","6","13.5"
"","Mike Alexander","Delaware St.","Sr.","P","16","54","4","13.5"
"","John Giakas","Fairleigh Dickinson","So.","C","16","54","4","13.5"
"123","Tyler Bocock","Stetson","Jr.","INF","24","94","7","13.4"
"","Jordan Lee","A&M-Corpus Christi","Jr.","OF","25","94","7","13.4"
"125","Andrew Benintendi","Arkansas","Fr.","OF","20","67","5","13.4"
"126","Edwin Gomez","Northwestern St.","Sr.","OF","21","80","6","13.3"
"","Jonathan Coco","New Orleans","Jr.","INF","15","40","3","13.3"
"128","Richard Carter","Coastal Caro.","So.","1B","19","66","5","13.2"
"","David Hamlett","Coppin St.","Jr.","INF","18","66","5","13.2"
"130","Connor Lloyd","McNeese St.","Jr.","INF","19","79","6","13.2"
"","Connor Lyons","Northeastern","Sr.","OF","19","79","6","13.2"
"132","Hector Lorenzana","Oklahoma","Sr.","INF","25","91","7","13.0"
"","Kevin Swick","Southern California","Sr.","C","22","91","7","13.0"
"134","Troy Black","Maine","Sr.","INF","24","103","8","12.9"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","103","8","12.9"
"136","Brendon Sanger","Fla. Atlantic","So.","INF","24","90","7","12.9"
"","Tim Zier","San Diego St.","Sr.","INF","23","90","7","12.9"
"138","Chris Clare","High Point","Fr.","INF","21","77","6","12.8"
"139","Derek Hannahs","Indiana St.","Jr.","INF","20","64","5","12.8"
"140","Alex Tomasovich","Charleston So.","Sr.","INF","25","102","8","12.8"
"","Austin Jarvis","Bradley","Sr.","C","15","51","4","12.8"
"142","Alex Bregman","LSU","So.","INF","25","89","7","12.7"
"143","Brian Bien","Bowling Green","Jr.","INF","21","76","6","12.7"
"","Anthony Cheky","Michigan St.","Jr.","OF","20","76","6","12.7"
"","Patrick Ervin","North Florida","So.","INF","22","76","6","12.7"
"","Danny Murphy","Saint Louis","Jr.","OF","22","76","6","12.7"
"","T.J. Nichting","Charlotte","Fr.","INF","20","76","6","12.7"
"","Tim McKay","Lehigh","Jr.","C","13","38","3","12.7"
"149","Andrew Guillotte","McNeese St.","Jr.","OF","22","101","8","12.6"
"150","Austin Hulsey","Alabama A&M","So.","INF","23","88","7","12.6"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","88","7","12.6"
"152","Keith Cormier","Nicholls St.","Sr.","OF","25","100","8","12.5"
"","Joey Pankake","South Carolina","Jr.","INF","20","75","6","12.5"
"154","Jace Conrad","La.-Lafayette","Jr.","2B","24","87","7","12.4"
"155","Kyle Wernicki","Virginia Tech","Jr.","OF","22","62","5","12.4"
"156","Devyn Bolasky","UC Riverside","Jr.","OF","20","86","7","12.3"
"157","Nate Irving","Virginia","Jr.","C","18","49","4","12.3"
"158","Ryan Sebra","Jacksonville St.","Jr.","INF","22","73","6","12.2"
"159","Austin Fisher","Kansas St.","Jr.","INF","23","85","7","12.1"
"","Michael Pritchard","Nebraska","Sr.","OF","21","85","7","12.1"
"","Francisco Tellez","UC Riverside","So.","1B","20","85","7","12.1"
"","Josh Vidales","Houston","So.","INF","23","85","7","12.1"
"163","Jay Baum","Clemson","Jr.","INF","23","84","7","12.0"
"","Peter Bowles","Towson","Jr.","OF","20","72","6","12.0"
"","Josh Goossen-Brown","San Diego","Sr.","OF","21","60","5","12.0"
"","Matthew Cianci","Fordham","Jr.","OF","16","48","4","12.0"
"167","Brennon Lund","BYU","Fr.","OF","24","107","9","11.9"
"168","Carter Burgess","Sam Houston St.","Jr.","P","24","95","8","11.9"
"169","Branden Cogswell","Virginia","Jr.","INF","22","83","7","11.9"
"","Nick Dawson","Southern Miss.","So.","INF","24","83","7","11.9"
"","Tyler Filliben","Samford","Jr.","INF","22","83","7","11.9"
"","Nick Newell","Morehead St.","Jr.","OF","21","83","7","11.9"
"173","Andrew Knizner","North Carolina St.","Fr.","3B","19","71","6","11.8"
"174","Austin Slater","Stanford","Jr.","INF","16","59","5","11.8"
"175","Trevor Marino","VCU","Sr.","INF","23","82","7","11.7"
"176","Matt Dickason","Longwood","Sr.","INF","25","105","9","11.7"
"","Josh Martinez","Houston Baptist","Jr.","INF","18","70","6","11.7"
"","Andrew Widell","Charleston So.","Jr.","C","22","70","6","11.7"
"179","Seth Heck","Mississippi St.","Jr.","INF","20","58","5","11.6"
"180","Kal Simmons","Kennesaw St.","So.","SS","27","115","10","11.5"
"","Drew Hayes","Navy","So.","INF","23","69","6","11.5"
"","Tyler Qualls","Louisiana Tech","Sr.","C","19","69","6","11.5"
"183","Billy Fleming","West Virginia","Jr.","2B","19","80","7","11.4"
"","Tyler Spoon","Arkansas","So.","OF","21","80","7","11.4"
"185","Landon Cray","Seattle","So.","OF","17","57","5","11.4"
"186","Tyler Wampler","Indiana St.","Sr.","INF","19","68","6","11.3"
"187","Will Albertson","Campbell","So.","C","24","79","7","11.3"
"","Logan Farrar","VCU","Fr.","INF","23","79","7","11.3"
"189","Richard Gonzalez","Alabama St.","Jr.","C","24","90","8","11.3"
"","Nick Regnier","Central Mich.","Jr.","OF","23","90","8","11.3"
"","Boomer White","TCU","So.","C","23","90","8","11.3"
