"Rank","Name","Team","Cl","Pos","G","BB"
"1","Tanner Waite","New Mexico St.","Sr.","OF","43","52"
"2","Brendan Norton","La Salle","Sr.","INF","41","51"
"3","Sherman Johnson","Florida St.","Sr.","3B","43","49"
"4","Forrestt Allday","Central Ark.","Jr.","OF","40","48"
"5","D.J. Hicks","UCF","Jr.","1B","45","45"
"","Richie Shaffer","Clemson","Jr.","INF","45","45"
"","Chris Wolfe","Grambling","Sr.","INF","41","45"
"8","Malcolm White","IPFW","So.","OF","44","44"
"","Shane Zimmer","Canisius","So.","OF","43","44"
"10","Parker Hipp","New Mexico St.","Jr.","C","43","43"
"","Jared King","Virginia","Sr.","INF","45","43"
"","Ty Stetson","Murray St.","So.","OF","44","43"
"13","Stephen McGee","Florida St.","Jr.","C","43","42"
"14","Myles Parma","UALR","Jr.","C","42","41"
"15","Jamodrick McGruder","Texas Tech","Jr.","INF","45","40"
"16","Ben Magsig","Eastern Mich.","Sr.","INF","41","39"
"","James Ramsey","Florida St.","Sr.","OF","43","39"
"18","Evan Boyd","Mercer","Jr.","SS","47","37"
"","Adam Frazier","Mississippi St.","So.","INF","44","37"
"","Matt Lowenstein","Loyola Marymount","Jr.","OF","39","37"
"21","Pat Blair","Wake Forest","Jr.","INF","45","36"
"","Daniel Cortes","Army","Fr.","OF","45","36"
"","Jensen Painter","Ohio","Sr.","OF","43","36"
"","Brandon Trinkwon","UC Santa Barbara","So.","INF","42","36"
"","Scott Wilcox","Western Ky.","So.","INF","44","36"
"26","Ryan Cypret","Ohio St.","Jr.","INF","44","35"
"","Joel Klock","Niagara","So.","P","40","35"
"28","Mitchel Brennan","Stetson","Jr.","OF","43","34"
"","Brandyn Crutcher","Alabama A&M","Fr.","OF","47","34"
"","Chad Hinshaw","Illinois St.","Jr.","OF","38","34"
"","Logan Pierce","Troy","Jr.","INF","44","34"
"","Sean Potkay","Tulane","Jr.","INF","38","34"
"33","Isaac Ballou","Marshall","Jr.","OF","43","33"
"","Kody Campbell","Southeast Mo. St.","Sr.","INF","45","33"
"","Nolan Fontana","Florida","Jr.","INF","44","33"
"","Chaz Frank","North Carolina","Jr.","OF","42","33"
"","Jared Hammer","Hofstra","Jr.","1B","42","33"
"","Spiker Helms","Missouri St.","Sr.","OF","45","33"
"","Jabari Henry","FIU","Jr.","OF","39","33"
"","Wade Hinkle","Kansas St.","Sr.","INF","42","33"
"","David Lee","Bethune-Cookman","Jr.","OF","45","33"
"","Matt Reynolds","Arkansas","Jr.","INF","43","33"
"","Ronnie Richardson","UCF","Jr.","OF","44","33"
"","Tim Swatek","Fordham","So.","P","45","33"
"","Tim Wetzel","Ohio St.","So.","OF","42","33"
"46","Michael Blanchard","Austin Peay","Sr.","OF","43","32"
"","Brandon Boudreaux","Tulane","Jr.","OF","44","32"
"","Eric Cain","South Dakota St.","Sr.","SS","42","32"
"","Pat Gelwicks","Butler","Jr.","1B","44","32"
"","Bryan Karraker","New Mexico St.","Sr.","OF","42","32"
"","David Lyon","Kent St.","Sr.","C","42","32"
"","Mike McQuillan","Iowa","Sr.","2B","39","32"
"","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","32"
"","Brad Moss","Samford","Sr.","C","44","32"
"","Max Muncy","Baylor","Jr.","1B","46","32"
"","Jeremy Schaffer","Tulane","Sr.","C","44","32"
"","Brent Seifert","Missouri St.","Sr.","INF","45","32"
"","Stephen Ventimilia","Hawaii","Fr.","INF","43","32"
"","Christian Walker","South Carolina","Jr.","INF","44","32"
"","Ryan Yamane","Northern Colo.","Fr.","INF","39","32"
"61","Pablo Bermudez","FIU","Sr.","OF","42","31"
"","Jimmy Brenneman","Campbell","Sr.","OF","45","31"
"","Zack Helgeson","George Mason","Sr.","1B","47","31"
"","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","31"
"","Tanner Mathis","Ole Miss","Jr.","OF","44","31"
"","Brenton Peters","Cornell","Jr.","INF","43","31"
"","Nick Purdy","Northwestern St.","Jr.","C","39","31"
"","Drew Steckenrider","Tennessee","Jr.","OF","43","31"
"","Darnell Sweeney","UCF","Jr.","INF","44","31"
"70","William Arnold","Central Mich.","Sr.","INF","42","30"
"","Torsten Boss","Michigan St.","Jr.","OF","42","30"
"","Ryan Brown","William & Mary","Jr.","OF","45","30"
