"Rank","Name","Team","Cl","Pos","G","3B"
"","Eric Cheray","Missouri St.","Jr.","INF","21","2"
"","Donandre Clark","St. Mary's (CA)","Jr.","OF","23","2"
"","Andrew Coffman","Northern Colo.","Sr.","C","21","2"
"","Tyler Cohen","Loyola Marymount","Fr.","INF","19","2"
"","Adam Collins","Central Mich.","Fr.","INF","22","2"
"","Dennis Colon","Illinois St.","Jr.","INF","20","2"
"","Michael Conforto","Oregon St.","Jr.","OF","24","2"
"","Chris Cook","East Tenn. St.","Fr.","INF","15","2"
"","Ryan Coppinger","Canisius","Sr.","OF","18","2"
"","Austin Cousino","Kentucky","Jr.","OF","24","2"
"","Gus Craig","Columbia","Jr.","OF","17","2"
"","Nick Crescenzo","Rider","Sr.","OF","19","2"
"","Brandyn Crutcher","Alabama A&M","Jr.","OF","21","2"
"","Bill Cullen","VCU","Sr.","OF","23","2"
"","Bryan Daniello","UConn","So.","INF","20","2"
"","Andre Davis","Ark.-Pine Bluff","Jr.","1B","21","2"
"","Drew DeKerlegand","Citadel","Sr.","OF","24","2"
"","Ben DeLuzio","Florida St.","Fr.","INF","21","2"
"","William Dodd","Belmont","Sr.","OF","17","2"
"","Brian Doran","Maine","Jr.","OF","24","2"
"","Grant Dougherty","Prairie View","Jr.","C","14","2"
"","Edwin Drexler","Grambling","Jr.","OF","21","2"
"","Donny Duschinsky","Southern Ill.","Sr.","INF","22","2"
"","Andrew Ely","Washington","Jr.","INF","22","2"
"","Blaise Fernandez","George Mason","Sr.","INF","21","2"
"","Tyler Filliben","Samford","Jr.","INF","22","2"
"","Justen Folger","Alabama A&M","Jr.","2B","19","2"
"","Emmanuel Forcier","Oral Roberts","Jr.","OF","21","2"
"","Michael Fuhrman","Niagara","So.","INF","22","2"
"","Ben Fultz","East Carolina","Sr.","OF","23","2"
"","Spencer Gaa","Bradley","Fr.","INF","19","2"
"","Josh Gardiner","Radford","Jr.","INF","22","2"
"","Jeff Gardner","Louisville","Sr.","OF","22","2"
"","Kyle Garlick","Oregon","Jr.","OF","21","2"
"","Rolando Gautier","Austin Peay","Sr.","OF","22","2"
"","Joe Giacchino","Delaware","Jr.","OF","22","2"
"","Zac Gilcrease","South Fla.","Jr.","3B","21","2"
"","Anthony Gingerelli","Bucknell","Jr.","INF","19","2"
"","Tyler Girouard","La.-Lafayette","Jr.","3B","16","2"
"","Dan Glevenyak","Auburn","Sr.","INF","25","2"
"","Curtis Gomez","Pacific","Jr.","INF","11","2"
"","Josh Greene","High Point","Fr.","OF","19","2"
"","Greg Guers","Penn St.","So.","OF","22","2"
"","Eric Gutierrez","Texas Tech","So.","INF","26","2"
"","Zach Hagaman","Charleston So.","Sr.","OF","24","2"
"","Hunter Haley","Oklahoma","So.","INF","22","2"
"","Trevin Hall","Troy","Jr.","OF","24","2"
"","Hunter Hanks","Lipscomb","Fr.","INF","8","2"
"","Matt Harris","St. John's (NY)","Jr.","1B","22","2"
"","Blake Headley","Nebraska","Jr.","INF","15","2"
"","Bret Heath","St. Bonaventure","Jr.","OF","10","2"
"","Dylan Hipp","N.C. A&T","Jr.","OF","16","2"
"","Kurt Hoekstra","Western Mich.","So.","INF","20","2"
"","Zach Hoffpauir","Stanford","So.","OF","16","2"
"","Wesley Hoover","Central Ark.","Jr.","OF","20","2"
"","Tommy Houmard","UNC Asheville","Jr.","INF","20","2"
"","Alec Humphreys","Texas Tech","So.","INF","17","2"
"","Stanford Hunt","Chicago St.","Fr.","INF","17","2"
"","Jacob Hunter","Yale","Sr.","INF","15","2"
"","Lou Iannotti","Quinnipiac","So.","C","17","2"
"","Ben Johnson","Texas","So.","OF","25","2"
"","Kevin Kaczmarski","Evansville","Jr.","OF","19","2"
"","L.J. Kalawaia","UNC Greensboro","Jr.","OF","17","2"
"","Tyler Kirksey","Southern U.","Jr.","OF","10","2"
"","Sam Koenig","Milwaukee","Sr.","3B","10","2"
"","Louie Lechich","San Diego","Sr.","P","23","2"
"","Andy Lennington","Southeast Mo. St.","Jr.","SS","23","2"
"","Steven Leonard","Campbell","So.","C","21","2"
"","Ryan Leonards","La.-Lafayette","Sr.","SS","24","2"
"","Tyler Lesch","USC Upstate","Sr.","OF","25","2"
"","Zach Lucas","Louisville","Jr.","INF","23","2"
"","Connor Lyons","Northeastern","Sr.","OF","19","2"
"","Zac MacAneney","UNC Greensboro","Jr.","OF","21","2"
"","Will Maddox","Tennessee","Jr.","INF","23","2"
"","Luke Maglich","South Fla.","So.","OF","23","2"
"","Benigno Marrerro","UNC Greensboro","So.","OF","16","2"
"","Michael Massi","Mercer","Sr.","INF","25","2"
"","Anthony Massicci","Canisius","So.","INF","19","2"
"","Robinson Mateo","Southern U.","So.","INF","16","2"
"","Taylor Matthews","Murray St.","So.","OF","21","2"
"","Tyler Mautner","Buffalo","Jr.","INF","17","2"
"","Connor McKay","Kansas","Jr.","OF","24","2"
"","Sean McMullen","LSU","Sr.","OF","22","2"
"","Kenny Meimerstorf","Arizona","Fr.","OF","19","2"
"","Andre Mercurio","San Jose St.","Jr.","OF","15","2"
"","DJ Miller","Delaware St.","Sr.","INF","17","2"
"","Anderson Miller","Western Ky.","So.","OF","24","2"
"","Kris Minter","Grambling","Sr.","OF","22","2"
"","Eros Modena","Bethune-Cookman","Sr.","OF","24","2"
"","Riley Moore","Arizona","Jr.","C","20","2"
"","Charles Morton","Nicholls St.","Jr.","OF","25","2"
"","Taylor Murphy","Pacific","Jr.","3B","26","2"
"","A.J. Murray","Georgia Tech","Jr.","1B","22","2"
"","Aaron Nardone","Delaware St.","Sr.","OF","19","2"
"","Jake Nath","Ill.-Chicago","Jr.","OF","18","2"
"","Joe Ogren","Bucknell","So.","INF","20","2"
"","Zach Olszewski","Bethune-Cookman","Fr.","C","14","2"
"","Sam Ott","Eastern Mich.","Sr.","OF","19","2"
"","Ryan Padilla","New Mexico","Jr.","OF","21","2"
"","Chester Pak","Cal St. Northridge","Jr.","OF","23","2"
"","Connor Panas","Canisius","Jr.","INF","18","2"
"","Danny Pardo","Campbell","Fr.","OF","24","2"
"","Ryan Pater","Saint Joseph's","Jr.","OF","13","2"
"","Trent Pell","Oakland","Jr.","INF","12","2"
"","Michael Perez","Old Dominion","Jr.","C","22","2"
"","Jimmy Pickens","Michigan St.","Jr.","OF","20","2"
"","Matt Pollock","Buffalo","Sr.","OF","17","2"
"","Scott Price","Tennessee","Sr.","1B","23","2"
"","Richard Prigatano","Long Beach St.","Jr.","OF","22","2"
"","Justin Protacio","Kansas","Jr.","INF","23","2"
"","Austin Rei","Washington","So.","C","19","2"
"","Al Robbins","South Dakota St.","Jr.","INF","22","2"
"","Alex Robles","Austin Peay","Fr.","INF","22","2"
"","Casey Roche","Pittsburgh","Sr.","P","22","2"
"","Tyler Rocklein","Fla. Atlantic","Sr.","OF","24","2"
"","Mattingly Romanin","Chicago St.","Jr.","INF","19","2"
"","Reid Roper","Illinois","Jr.","INF","21","2"
"","Mike Rosenfeld","Duke","Jr.","C","25","2"
"","Daniel Salters","Dallas Baptist","So.","C","23","2"
"","Oscar Sanay","Bakersfield","Sr.","INF","22","2"
"","Ricky Sanchez","Notre Dame","So.","C","5","2"
"","Brendon Sanger","Fla. Atlantic","So.","INF","24","2"
"","Josh Savakinus","La Salle","Jr.","INF","17","2"
"","CJ Saylor","San Diego St.","Fr.","C","9","2"
"","Michael Scarcello","Buffalo","Sr.","INF","17","2"
"","Connor Schaefbauer","Minnesota","So.","INF","19","2"
"","Kyle Schwarber","Indiana","Jr.","C","21","2"
"","Brady Sheetz","Hartford","Jr.","INF","17","2"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","2"
"","Hayden Simerly","Sam Houston St.","Jr.","OF","24","2"
"","Jordan Simpson","Furman","So.","SS","24","2"
"","Austin Slater","Stanford","Jr.","INF","16","2"
"","Ryan Sliwak","UMBC","Jr.","INF","10","2"
"","Dakota Smith","Kansas","Jr.","OF","21","2"
"","Stephen Smith","Texas Tech","Fr.","OF","18","2"
"","Justin Steelmon","UALR","Jr.","INF","21","2"
"","Cole Sturgeon","Louisville","Sr.","OF","23","2"
"","Michael Suchy","FGCU","Jr.","OF","24","2"
"","Tyler Sullivan","Pacific","Jr.","OF","26","2"
"","Kyle Survance","Houston","So.","OF","23","2"
"","Matt Tenaglia","James Madison","Sr.","1B","21","2"
"","Jared Theisen","Oakland","Sr.","OF","15","2"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","2"
"","Brandon Tierney","A&M-Corpus Christi","Sr.","INF","24","2"
"","Jonathon Tineo","Grambling","Jr.","INF","22","2"
