"Rank","Name","Team","Cl","Pos","G","HR"
"1","Brandon Miller","Samford","Sr.","OF","44","17"
"","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","17"
"","Matthew Scruggs","East Tenn. St.","Sr.","OF","43","17"
"4","Sean Bignall","UALR","Sr.","OF","43","16"
"","Zach Stephens","Tennessee Tech","So.","1B","43","16"
"6","Daniel Kassouf","Appalachian St.","Sr.","INF","41","15"
"","Dylan Pratt","East Tenn. St.","Sr.","OF","43","15"
"8","Chris Cowell","Richmond","Sr.","C","40","14"
"","Ben Waldrip","Jacksonville St.","Sr.","1B","36","14"
"10","Trevor Edwards","UNC Greensboro","Jr.","C","42","13"
"","D.J. Peterson","New Mexico","So.","3B","45","13"
"","Mac Williamson","Wake Forest","Jr.","OF","41","13"
"13","Nick Backlund","Mercer","So.","1B","47","12"
"","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","12"
"","Goose Kallunki","Utah Valley","Sr.","1B","41","12"
"","Ryan McCauley","Niagara","Jr.","1B","40","12"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","12"
"","Jared Schlehuber","Oral Roberts","Sr.","1B","44","12"
"","Mike Zunino","Florida","Jr.","C","44","12"
"20","Chris Cruz","Cornell","So.","P","44","11"
"","Logan Gaines","Mercer","Jr.","OF","47","11"
"","Tyler Horan","Virginia Tech","So.","OF","45","11"
"","Zach Kirksey","Ole Miss","Sr.","OF","35","11"
"","Garrett Koster","Elon","Sr.","INF","44","11"
"","Luke Maile","Kentucky","Jr.","C","45","11"
"","Trent Miller","Middle Tenn.","So.","C","46","11"
"","Jensen Painter","Ohio","Sr.","OF","43","11"
"","Daniel Palka","Georgia Tech","So.","1B","45","11"
"","Preston Tucker","Florida","Sr.","OF","45","11"
"30","Kris Bryant","San Diego","So.","3B","44","10"
"","Saxon Butler","Samford","Sr.","INF","45","10"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","10"
"","Chase Griffin","Ga. Southern","Fr.","C","40","10"
"","Zack Helgeson","George Mason","Sr.","1B","47","10"
"","Jabari Henry","FIU","Jr.","OF","39","10"
"","D.J. Hicks","UCF","Jr.","1B","45","10"
"","Eli Hynes","Memphis","Sr.","OF","44","10"
"","Stewart Ijames","Louisville","Sr.","OF","44","10"
"","Eric Jagielo","Notre Dame","So.","OF","42","10"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","10"
"","Kendall Logan","Jackson St.","Sr.","OF","42","10"
"","Tyler Molinaro","UNC Wilmington","Jr.","OF","44","10"
"","Jacob Morley","VMI","Sr.","OF","44","10"
"","Brandon Murray","Col. of Charleston","So.","OF","41","10"
"","Robby Newman","Longwood","Sr.","OF","40","10"
"","Peter O'Brien","Miami (FL)","Sr.","C","36","10"
"","Jimmy Risi","Butler","Jr.","1B","41","10"
"","Abe Ruiz","Arizona St.","Sr.","INF","43","10"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","10"
"","Matt Snyder","Ole Miss","Sr.","INF","44","10"
"","Bryan Soloman","Eastern Ky.","So.","INF","41","10"
"","Alex Williams","Louisiana Tech","Sr.","1B","43","10"
"","Jacob Wilson","Memphis","Sr.","INF","42","10"
"54","Taylor Ard","Washington St.","Jr.","1B","39","9"
"","Greg Bachman","Austin Peay","Sr.","3B","42","9"
"","Preston Beck","Texas-Arlington","Jr.","INF","40","9"
"","Royce Bolinger","Gonzaga","Sr.","OF","41","9"
"","Tom Bourdon","Boston College","So.","OF","45","9"
"","Chris Burke","Iona","Sr.","INF","43","9"
"","Alex Close","Liberty","Fr.","DH","42","9"
"","Coley Crank","Michigan","Sr.","C","44","9"
"","Mac Doyle","Wofford","Sr.","C","43","9"
"","Cameron Flynn","Kentucky","Sr.","OF","42","9"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","9"
"","Rhys Hoskins","Sacramento St.","Fr.","INF","41","9"
"","Derek Jones","Washington St.","Sr.","OF","39","9"
"","Hunter Lockwood","Oklahoma","Fr.","C","42","9"
"","Jeremy Lucas","Indiana St.","Jr.","C","45","9"
"","Jacob Mayers","Richmond","Jr.","P","38","9"
"","L.J. Mazzilli","Connecticut","Jr.","INF","43","9"
"","Zak Messer","Lipscomb","Sr.","INF","44","9"
"","James Ramsey","Florida St.","Sr.","OF","43","9"
"","Jeremy Schaffer","Tulane","Sr.","C","44","9"
"","Jordan Sivertsen","Southern Ill.","Sr.","OF","43","9"
"","Anthony Stokes","Bethune-Cookman","So.","1B","35","9"
"","Ben Thoma","Eastern Ill.","Sr.","OF","40","9"
"77","Danny Avella","Monmouth","Jr.","INF","47","8"
"","James Brooks","Utah","Sr.","INF","42","8"
"","Blake Brown","Missouri","Jr.","OF","41","8"
"","Chad Bunting","California","Sr.","OF","41","8"
"","William Carmona","Stony Brook","Jr.","INF","44","8"
"","Danny Collins","Troy","So.","INF","44","8"
"","Michael Conforto","Oregon St.","Fr.","OF","40","8"
"","Shaun Cooper","Utah","Sr.","OF","42","8"
