"Rank","Name","Team","Cl","Pos","G","BB"
"1","Michael Knox","Mount Olive","Jr.","DH","46","47"
"2","Jonathan Keppler","Mercyhurst","Sr.","INF","44","45"
"","Robert Skinner","Lander","Sr.","INF","49","45"
"4","Trey Buck","Southern Ark.","Jr.","SS","45","43"
"5","Rashad Ingram","St. Augustine's","Sr.","INF","54","42"
"","Richard Pirkle","Georgia College","Sr.","C","50","42"
"7","Brian Giles","North Greenville","Sr.","P","44","41"
"8","Robert LaRusso","Molloy","Sr.","1B","45","39"
"","Austin Moyer","Catawba","Jr.","P","41","39"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","39"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","39"
"12","Alexi Colon","Tusculum","Jr.","OF","50","38"
"13","Khatim Butler","Elizabeth City St.","Sr.","P","40","37"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","37"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","37"
"","Dylan Schuch","St. Edward's","Sr.","OF","43","37"
"17","Justin Bagbey","Chowan","Jr.","INF","46","36"
"","Dean Green","Barry","Sr.","1B","50","36"
"","Jake Rierson","Limestone","Jr.","P","52","36"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","36"
"","Troy Snitker","North Ga.","Jr.","C","49","36"
"22","Justin Miller","Southeastern Okla.","Sr.","OF","45","35"
"","Michael Schmidt","North Ala.","Jr.","INF","44","35"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","35"
"25","Sean Cotten","Tusculum","Sr.","C","50","34"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","34"
"","Joe Maloney","Limestone","Jr.","C","52","34"
"","Ryan Morrow","St. Mary's (TX)","Sr.","C","50","34"
"","Michael Robbins","Winston-Salem","Jr.","C","49","34"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","34"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","34"
"","Kyle Wallace","Colorado Mines","Fr.","INF","44","34"
"","Josh Young","Georgia College","Jr.","OF","49","34"
"34","Brandon Brewer","West Fla.","Sr.","SS","48","33"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","33"
"","Tyler Choate","Southern Ind.","Sr.","P","45","33"
"","Anthony Foulk","North Greenville","Jr.","C","44","33"
"","Alex Frederick","Armstrong","Jr.","SS","46","33"
"","Colin Kaline","Fla. Southern","Sr.","INF","39","33"
"","Jj Loker","S.C. Aiken","So.","INF","50","33"
