"Rank","Name","Team","Cl","Pos","G","2B"
"1","Danny Poma","Hofstra","Sr.","OF","42","26"
"2","Bill Cullen","VCU","So.","OF","44","22"
"","Chad Pinder","Virginia Tech","So.","INF","44","22"
"4","Jimmy Rider","Kent St.","Sr.","INF","44","21"
"5","Mitchell Garver","New Mexico","Jr.","C","45","20"
"","Travis Isaak","Murray St.","Sr.","INF","42","20"
"7","Brian Blasik","Dayton","Sr.","INF","45","19"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","19"
"","Matt Frazer","West Virginia","So.","OF","43","19"
"","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","19"
"","Ryan Haas","Delaware St.","Jr.","INF","42","19"
"","Spiker Helms","Missouri St.","Sr.","OF","45","19"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","19"
"14","Jayce Boyd","Florida St.","Jr.","1B","42","18"
"","Jeff Cammans","Rhode Island","Sr.","OF","45","18"
"","Austin Cousino","Kentucky","Fr.","OF","44","18"
"","Alex Friedrich","UCF","Sr.","OF","44","18"
"","Marty Gantt","Col. of Charleston","Sr.","OF","44","18"
"","Justin Glass","Cincinnati","So.","OF","45","18"
"","Zack Haley","Liberty","Sr.","2B","48","18"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","18"
"","Ryan McCauley","Niagara","Jr.","1B","40","18"
"","Greg Zebrack","Penn","Jr.","OF","39","18"
"","Mike Zunino","Florida","Jr.","C","44","18"
"25","Jordan Betts","Duke","So.","INF","45","17"
"","Tom Bourdon","Boston College","So.","OF","45","17"
"","Tadd Bower","William & Mary","Sr.","INF","38","17"
"","Chris Burke","Iona","Sr.","INF","43","17"
"","Ryan Deitrich","Penn","Jr.","P","39","17"
"","Jared Hammer","Hofstra","Jr.","1B","42","17"
"","Zack Helgeson","George Mason","Sr.","1B","47","17"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","17"
"","D.J. Peterson","New Mexico","So.","3B","45","17"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","17"
"","Kevin Plawecki","Purdue","Jr.","C","41","17"
"","Logan Vick","Baylor","Jr.","OF","45","17"
"37","Nick Backlund","Mercer","So.","1B","47","16"
"","Evan Boyd","Mercer","Jr.","SS","47","16"
"","Bob Donato","Bucknell","Sr.","OF","46","16"
"","Kyle Farmer","Georgia","Jr.","INF","44","16"
"","Zac Fisher","New Mexico St.","Jr.","C","43","16"
"","Jordan Hagel","Maryland","Jr.","OF","47","16"
"","Alex Jones","Northern Ill.","Sr.","INF","41","16"
"","Jeff Kemp","Radford","Jr.","INF","41","16"
"","D.J. Long","Delaware","Jr.","INF","42","16"
"","Anthony Melchionda","Boston College","Sr.","INF","44","16"
"","Tom Murphy","Buffalo","Jr.","C","39","16"
"","Dario Pizzano","Columbia","Jr.","OF","44","16"
"","Abe Ruiz","Arizona St.","Sr.","INF","43","16"
"","Jacob Stallings","North Carolina","Sr.","C","43","16"
"","Johnny Thomas","Middle Tenn.","Jr.","INF","46","16"
"","Devon Travis","Florida St.","Jr.","2B","43","16"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","16"
"54","Barrett Barnes","Texas Tech","Jr.","OF","47","15"
"","Brandon Bayardi","UNLV","Jr.","OF","44","15"
"","Cameron Bentley","UALR","Sr.","OF","42","15"
"","James Brooks","Utah","Sr.","INF","42","15"
"","Stephen Bruno","Virginia","Jr.","INF","44","15"
"","Evan Campbell","Kent St.","Jr.","INF","42","15"
"","Danny Canela","North Carolina St.","Jr.","C","41","15"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","15"
"","Danny Collins","Troy","So.","INF","44","15"
"","Nick Colwell","North Dakota St.","Sr.","OF","43","15"
"","Joey Cujas","VCU","So.","INF","44","15"
"","Andrew Daniel","San Diego","Fr.","INF","43","15"
"","Anthony Defabio","Pittsburgh","Sr.","C","41","15"
"","Dylan DelaCruz","Central Conn. St.","So.","INF","42","15"
"","Will Fadness","Milwaukee","Jr.","C","40","15"
"","Nick Ferraresi","Columbia","Jr.","OF","43","15"
"","Matt Fleishman","Villanova","Sr.","OF","45","15"
"","Mike Garza","Georgetown","Jr.","INF","43","15"
"","Jake Gronsky","Monmouth","So.","INF","47","15"
"","Bryan Haar","San Diego","Sr.","INF","43","15"
"","Taylor Johnson","Furman","Sr.","1B","42","15"
"","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","15"
"","Chadd Krist","California","Sr.","C","41","15"
"","Thomas McCarthy","Kentucky","Sr.","INF","45","15"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","15"
"","Austin Montgomery","Southern Ill.","Jr.","INF","44","15"
"","Robby Newman","Longwood","Sr.","OF","40","15"
"","David Olson","Campbell","Jr.","P","43","15"
"","Logan Pierce","Troy","Jr.","INF","44","15"
"","Matt Pollock","Buffalo","Jr.","OF","38","15"
"","Robbie Rea","Oklahoma St.","Jr.","INF","43","15"
"","Matt Snyder","Ole Miss","Sr.","INF","44","15"
"","Jordan Steranka","Penn St.","Sr.","3B","44","15"
"","Richard Stock","Nebraska","Jr.","C","39","15"
"","Cody Stubbs","North Carolina","Jr.","1B","43","15"
"","Jose Trevino","Oral Roberts","Fr.","INF","44","15"
"","Tyler White","Western Caro.","Jr.","INF","44","15"
"91","Judah Akers","Belmont","Jr.","INF","42","14"
"","Joey Bielek","Cincinnati","Fr.","INF","45","14"
"","Brandon Boudreaux","Tulane","Jr.","OF","44","14"
"","Michael Chiaravalloti","Iona","Sr.","1B","40","14"
"","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","14"
"","Aaron Cieslak","Oakland","Sr.","OF","43","14"
"","Patrick Claussen","Washington St.","Sr.","3B","38","14"
"","Joe Conaway","Lehigh","Jr.","1B","45","14"
"","Garrett Custons","Air Force","Jr.","OF","36","14"
"","Hunter Dozier","Stephen F. Austin","So.","INF","44","14"
"","Phillip Ervin","Samford","So.","P","45","14"
"","Carlos Escobar","Nevada","Jr.","C","40","14"
"","Collin Ferguson","St. Mary's (CA)","Fr.","P","38","14"
"","Drew Gadaire","Davidson","Sr.","OF","41","14"
"","Bobby Glover","Dayton","Sr.","OF","45","14"
"","Chase Greenwell","Morehead St.","Jr.","SS","43","14"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","14"
"","Daniel Kassouf","Appalachian St.","Sr.","INF","41","14"
"","Scott LeJeune","Texas Tech","Jr.","OF","47","14"
"","Jason Leblebijian","Bradley","Jr.","INF","41","14"
"","Michael Lorenzen","Cal St. Fullerton","So.","OF","40","14"
"","L.J. Mazzilli","Connecticut","Jr.","INF","43","14"
"","Ryan McMillin","Western Mich.","Sr.","INF","40","14"
"","Kevin Medrano","Missouri St.","Sr.","2B","41","14"
"","Trey Nielsen","Utah","So.","INF","42","14"
"","Ryan Padilla","New Mexico","Fr.","OF","40","14"
"","Sal Pezzino","High Point","Sr.","INF","40","14"
"","Joey Rapp","La.-Monroe","Sr.","INF","44","14"
"","Robert Refsnyder","Arizona","Jr.","OF","42","14"
"","Joey Rickard","Arizona","Jr.","OF","38","14"
"","Lance Roenicke","UC Santa Barbara","Sr.","OF","41","14"
"","Daniel Scahill","Buffalo","Sr.","OF","38","14"
"","Tyler Sciacca","Villanova","Sr.","SS","45","14"
"","Brent Seifert","Missouri St.","Sr.","INF","45","14"
"","Richie Shaffer","Clemson","Jr.","INF","45","14"
"","Creede Simpson","Auburn","Sr.","OF","44","14"
"","Eric Stamets","Evansville","Jr.","INF","44","14"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","14"
"","Thomas Troelstrup","UNC Greensboro","Sr.","INF","42","14"
"","Wes Van Boom","Brown","So.","C","42","14"
"131","Andrew Aplin","Arizona St.","Jr.","OF","43","13"
"","Danny Avella","Monmouth","Jr.","INF","47","13"
"","Roger Bernal","Tex.-Pan American","Sr.","INF","36","13"
"","Pat Blair","Wake Forest","Jr.","INF","45","13"
"","Greg Brody","Belmont","So.","INF","41","13"
"","Thomas Brown","Grambling","So.","INF","35","13"
"","Eddie Brown","Wagner","Sr.","INF","40","13"
"","Kris Bryant","San Diego","So.","3B","44","13"
"","Scott Burkett","Longwood","So.","C","38","13"
"","Michael Burruss","Ga. Southern","Jr.","OF","45","13"
"","William Carmona","Stony Brook","Jr.","INF","44","13"
"","Bryan Conway","Richmond","Sr.","C","40","13"
"","Chris Cook","George Mason","Jr.","INF","46","13"
"","Trent Cook","UNLV","Sr.","1B","44","13"
"","Chris Cowell","Richmond","Sr.","C","40","13"
"","Casey Coy","Northern Colo.","Sr.","INF","39","13"
"","Rick Devereaux","Pittsburgh","Sr.","C","42","13"
"","Kenny Diekroeger","Stanford","Jr.","INF","39","13"
"","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","13"
"","Ryan Dunn","Oregon St.","Sr.","INF","42","13"
"","Greg Dupell","Navy","Jr.","INF","48","13"
"","Donny Duschinsky","Southern Ill.","So.","INF","44","13"
"","Kevin Flynn","Hofstra","Sr.","DH","35","13"
"","Michael Fransoso","Maine","Jr.","2B","41","13"
