"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Nathan Minnich","Shepherd","Sr.","1B","46","136","68","50","12","3","0","0.647"
"2","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","68","26","12","1","0","0.616"
"3","David Weber","Benedict","Jr.","1B","35","101","45","28","3","2","1","0.567"
"4","Michael Jordan","Benedict","Sr.","INF","36","101","38","38","7","3","2","0.557"
"5","Jacob Rogers","Mount Olive","Sr.","3B","48","169","70","53","3","4","0","0.550"
"6","Kyle Koeneman","Carson-Newman","Sr.","1B","49","154","60","51","8","4","0","0.548"
"7","Keith Morrisroe","Concord","Sr.","SS","50","149","60","43","8","3","2","0.547"
"8","A Jones","Winston-Salem","Fr.","-","50","173","81","27","7","6","1","0.540"
"9","Ben Cox","Central Mo.","Jr.","INF","35","90","37","26","0","2","5","0.534"
"10","Patrick Grady","Lander","So.","OF","47","161","55","38","29","1","0","0.533"
"11","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","154","62","36","8","1","2","0.533"
"12","Matt Barr","Davis & Elkins","Jr.","INF","47","138","53","20","25","1","2","0.533"
"13","Phil Imholte","St. Cloud St.","Jr.","OF","44","153","60","22","25","1","3","0.532"
"14","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","68","26","3","3","0","0.527"
"15","Jon Kemmer","Clarion","Jr.","OF","40","119","46","29","7","1","1","0.526"
"16","Nick Whitty","Indianapolis","Jr.","C","41","106","39","25","9","0","2","0.521"
"17","Weston Dodson","Elizabeth City St.","So.","OF","29","94","38","20","5","2","0","0.521"
"18","Brayan Cacique","Lake Erie","Sr.","OF","43","124","50","30","4","4","6","0.519"
"19","Christian Ludlum","Stillman","So.","INF","34","96","35","17","14","1","3","0.516"
"20","Chad Murphy","Shepherd","Jr.","C","46","145","54","41","6","4","5","0.515"
"21","Igor Molina","Charleston (WV)","Jr.","INF","41","123","46","33","3","1","1","0.513"
"22","Adam Gemuenden","Winona St.","Sr.","1B","40","124","48","30","5","3","0","0.512"
"23","Jos Catalano","Chowan","Fr.","-","48","170","67","34","7","0","0","0.512"
"24","Jeff Popick","Colorado Mesa","Sr.","OF","43","153","61","26","10","1","1","0.511"
"25","Christian Glisson","Valdosta St.","Sr.","C","42","162","68","20","9","0","0","0.508"
"26","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","65","20","14","3","5","0.508"
"27","Jarius Brown","Stillman","Sr.","OF","44","163","68","20","12","2","2","0.508"
"28","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","69","24","2","4","0","0.505"
"29","Ryan McChesney","Florida Tech","Sr.","C","45","151","59","26","11","2","0","0.505"
"30","Geno Escalante","Mount Olive","Jr.","C","48","195","84","21","10","2","0","0.504"
"31","Cody Coffman","Tusculum","Sr.","INF","54","201","82","40","1","2","2","0.504"
"32","Josh McMahon","N.M. Highlands","Jr.","INF","43","129","55","16","6","2","8","0.503"
"33","Alexi Colon","Tusculum","Sr.","OF","54","178","57","64","3","3","2","0.500"
"","Michael Leviseur","Seton Hill","Sr.","C","48","148","53","40","5","3","0","0.500"
"","Kevin Rufus","Newberry","Sr.","OF","37","123","44","20","18","3","2","0.500"
"36","Nicholas Sell","Seton Hill","Fr.","INF","42","134","54","22","5","2","4","0.497"
"37","Jared Wright","Central Okla.","Jr.","OF","40","108","45","15","2","0","6","0.496"
"38","William VanWinkle","Paine","Jr.","1B","46","144","48","44","6","4","0","0.495"
"39","German Reyes","Winston-Salem","Jr.","INF","47","173","78","17","2","4","2","0.495"
"40","Derek Mendoza","Grand Canyon","Jr.","INF","46","164","70","16","8","2","2","0.495"
"41","Champ Stuart","Brevard","So.","OF","42","148","62","24","1","3","1","0.494"
"42","Andre Rodriguez","Lincoln Memorial","Jr.","INF","46","145","60","22","4","3","0","0.494"
"43","Blake Miller","Western Ore.","Jr.","SS","39","142","58","19","8","3","0","0.494"
"44","David Allday","Southern Ark.","Sr.","1B","46","162","58","32","15","4","1","0.493"
"45","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","162","67","17","12","4","2","0.492"
"46","Eric McGlauflin","Northwest Mo. St.","So.","3B","41","142","57","24","3","2","4","0.491"
"","Joe Wendle","West Chester","Sr.","2B","41","142","58","21","5","3","0","0.491"
"48","William Smalls","Albany St. (GA)","Sr.","SS","38","134","49","29","4","0","2","0.491"
"49","Mike Nadratowski","Grand Valley St.","Fr.","OF","42","138","56","20","4","1","8","0.491"
"50","Sean Collette","Alderson-Broaddus","Jr.","OF","45","160","65","20","8","2","4","0.489"
"51","Shayne Houck","Kutztown","Sr.","INF","46","140","49","30","10","2","3","0.489"
"52","Colton Jones","Drury","Jr.","INF","39","102","37","11","15","1","2","0.488"
"53","Justin Riddle","Ala.-Huntsville","So.","C","46","137","50","20","13","0","4","0.488"
"54","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","146","50","38","3","0","0","0.487"
"55","Gabe Thibodeau","Central Mo.","Sr.","OF","40","138","48","35","3","1","7","0.486"
"56","Ty Gilmore","Mont. St. Billings","Fr.","INF","38","137","53","24","3","1","3","0.485"
"57","Justin Langdale","Miles","Fr.","C","38","122","41","28","8","1","2","0.484"
"58","Ty Coleman","Virginia St.","Fr.","-","42","124","45","31","0","2","3","0.484"
"59","Ryan Abernathy","Northwest Mo. St.","So.","OF","39","162","67","17","5","0","0","0.484"
"60","Aj Alexander","N.M. Highlands","Sr.","OF","36","128","52","12","8","1","8","0.483"
"61","Eric Ringblom","Neb.-Kearney","Jr.","1B","43","139","48","28","10","1","2","0.483"
"62","Michael Pomeroy","Grand Canyon","Jr.","OF","48","181","77","13","8","1","1","0.483"
"63","Michael Schmidt","North Ala.","Sr.","INF","50","179","66","38","3","2","4","0.482"
"64","Joe Petosa","Felician","Jr.","OF","40","136","51","28","1","1","1","0.482"
"65","Anthony Boza","Lynn","Sr.","1B","43","164","68","16","8","3","0","0.482"
"66","Travis Parsons","Wayne St. (NE)","Sr.","1B","40","133","51","21","6","2","1","0.481"
"67","Aaron Lupia","Indiana (PA)","So.","C","48","132","40","41","9","5","1","0.481"
"68","Jeffery Jones","Miles","Sr.","SS","41","121","39","25","12","0","4","0.481"
"69","Dan Hennigan","Franklin Pierce","Sr.","2B","45","170","63","32","6","2","7","0.481"
"70","Derek Fulmer","North Greenville","Sr.","P","53","204","85","21","7","3","0","0.481"
"71","Jon Cotter","Central Mo.","Jr.","INF","43","117","37","29","9","1","10","0.481"
"","Billy O'Connor","West Fla.","Jr.","C","39","122","42","31","2","1","2","0.481"
"73","Cade Stallings","Tusculum","Jr.","INF","54","201","75","32","16","7","0","0.480"
"74","Trey Buck","Southern Ark.","Sr.","SS","46","173","59","42","9","5","1","0.480"
"75","Ethan Satterfield","Catawba","So.","OF","52","189","77","19","12","5","1","0.480"
"","Jaron Shimmel","Tex. A&M Int'l","Jr.","INF","42","98","34","23","3","1","2","0.480"
"77","Charlie Gorzo","Northwest Nazarene","Jr.","OF","39","117","41","16","14","1","3","0.480"
"78","Kc Weber","Tiffin","Jr.","C","38","93","30","23","5","0","5","0.479"
"79","Alex Haag","Regis (CO)","Sr.","OF","43","142","55","25","1","1","0","0.479"
"80","Drew Walker","Armstrong","Sr.","INF","48","160","49","42","12","1","3","0.479"
"81","Landon Wilson","Stillman","Jr.","OF","39","140","55","21","4","2","1","0.479"
"82","Brian Wuest","Neb.-Kearney","Jr.","1B","44","160","62","28","1","1","0","0.479"
"83","Marc Rogier","Oakland City","Jr.","OF","39","124","40","33","5","1","1","0.479"
"84","Jarvis Smith","West Tex. A&M","Jr.","OF","37","113","42","21","3","1","1","0.478"
"85","Kyle O'Boyle","Saginaw Valley","Jr.","OF","38","103","34","24","6","1","0","0.478"
"86","Jordan Coons","Central Mo.","Sr.","INF","44","140","49","22","14","2","5","0.478"
"87","Aaron Priestes","Quincy","Jr.","OF","37","123","43","14","16","0","0","0.477"
"88","John Calhoun","Washburn","Sr.","INF","39","149","61","14","8","3","0","0.477"
"89","Andrew Ciennik","Wayne St. (MI)","Sr.","2B","41","121","45","20","7","3","10","0.477"
"90","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","143","54","21","7","1","1","0.477"
"91","Zack Wiley","Le Moyne","Jr.","INF","42","151","52","32","8","2","1","0.477"
"92","Tyler Adams","Upper Iowa","So.","OF","42","171","73","17","0","1","2","0.476"
"","Nick Gumm","Ark.-Fort Smith","Jr.","SS","44","135","49","28","3","2","6","0.476"
"94","Lucas Swartzentruber","Oakland City","Jr.","OF","33","90","28","18","12","2","6","0.475"
"95","Nick Eversole","Bloomsburg","Jr.","C","40","101","29","31","7","2","5","0.475"
"96","Jordan Wlodarczyk","West Chester","Jr.","C","38","123","52","10","3","1","0","0.474"
"97","Zach Thompson","Ashland","Sr.","OF","40","117","37","22","14","1","4","0.474"
"98","Josh Haley","UNC Pembroke","Sr.","OF","49","197","77","23","8","0","6","0.474"
"99","Kolin McMillen","Mercyhurst","Fr.","INF","42","158","61","26","2","2","8","0.473"
"100","Cameron Dullnig","Tex. A&M-Kingsville","Sr.","2B","44","138","52","15","13","3","5","0.473"
"101","Stephan Arcieri","Lenoir-Rhyne","Sr.","OF","49","168","61","32","4","1","5","0.473"
"102","Trevor Funk","Fairmont St.","Jr.","SS","37","119","43","25","1","1","1","0.473"
"103","Bradon Reitano","Mount Olive","So.","SS","47","158","53","38","3","0","4","0.472"
"104","R.J. Dennard","Armstrong","Fr.","C","45","161","60","28","5","3","1","0.472"
"105","James Katsiroubas","Mass.-Lowell","Sr.","3B","43","154","53","30","9","2","1","0.472"
"106","Shane Latshaw","Mercyhurst","Sr.","OF","48","175","67","24","8","3","1","0.471"
"107","Blake Loran","Mont. St. Billings","So.","INF","30","66","21","16","4","1","4","0.471"
"108","Demetrius Morris","Lincoln (PA)","So.","INF","27","92","38","10","1","1","2","0.471"
"109","Blake Gibbs","Cal St. Chico","Jr.","OF","46","155","52","24","19","4","2","0.470"
"110","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","142","55","19","5","2","5","0.470"
"111","Mike Blanchard","Hillsdale","Sr.","OF","42","128","48","20","3","0","5","0.470"
"112","Tyler Gans","Rockhurst","So.","2B","33","107","38","22","2","1","2","0.470"
"113","Peter Bako","Southeastern Okla.","Sr.","OF","39","130","45","17","15","2","0","0.470"
"114","Kale Sumner","Hawaii Pacific","Jr.","INF","44","131","42","30","10","4","3","0.469"
"115","Ty Chancelor","Ala.-Huntsville","Sr.","OF","43","136","46","19","16","2","2","0.468"
"116","Kameron McCreless","Stillman","So.","INF","42","136","50","26","4","5","5","0.468"
"117","Tony Blake","Dominican (NY)","Jr.","OF","44","156","49","30","15","0","0","0.468"
"118","Justi Bagbey","Chowan","Fr.","-","49","152","51","40","2","5","0","0.467"
"119","Brett Botsford","Le Moyne","Sr.","OF","44","176","62","33","5","0","2","0.467"
"","null Joey Belviso","Mars Hill","Fr.","-","48","188","76","15","9","2","1","0.467"
"121","Matt Albaugh","Kutztown","Jr.","C","38","96","34","13","10","3","1","0.467"
"","Zach Taylor","Armstrong","Jr.","OF","48","205","77","30","7","2","0","0.467"
"123","Travis Murrary","Palm Beach Atl.","Sr.","C","40","143","58","14","6","4","2","0.467"
"124","Braden Box","Colorado Mesa","Jr.","INF","43","156","62","14","8","2","10","0.467"
"","Jake Warner","Pitt.-Johnstown","So.","C","48","168","66","22","3","2","0","0.467"
"126","Mike Eckhart","Minn. St. Mankato","Jr.","OF","32","91","37","9","2","1","0","0.466"
"127","Pat Curtin","Tiffin","Sr.","C","43","130","54","7","7","2","1","0.466"
"128","Keegan Ghidotti","Ouachita Baptist","So.","P","46","161","56","26","13","4","3","0.466"
"129","Coty Pate","Mars Hill","Sr.","INF","42","167","69","17","2","3","1","0.466"
"","Bret Schwartz","Central Mo.","Sr.","INF","44","154","54","26","8","1","14","0.466"
"131","Aaron Guinn","Tusculum","Sr.","1B","54","212","84","20","10","3","8","0.465"
"132","Carter Haponski","Slippery Rock","Sr.","OF","36","120","45","15","7","2","0","0.465"
"133","Robert Brown","Clark Atlanta","Sr.","OF","34","108","41","14","5","2","0","0.465"
"134","Chuck Duarte","Abilene Christian","Jr.","INF","50","169","64","25","4","2","6","0.465"
"135","Vincente Andrews","Montevallo","Jr.","OF","46","163","53","29","17","4","0","0.465"
"136","Steven Alexander","LeMoyne-Owen","Jr.","OF","30","96","28","16","15","0","0","0.465"
"137","Daniel Binz","Eastern N.M.","Jr.","INF","45","130","42","28","8","2","2","0.464"
"138","Tarron Robinson","Brevard","Fr.","C","49","179","64","31","7","3","0","0.464"
"139","Devon Zenn","Sonoma St.","Jr.","INF","41","138","52","21","3","2","0","0.463"
"140","Garrett Kiser","West Virginia St.","Jr.","1B","45","136","45","27","10","4","0","0.463"
"141","Sheldon Howell","Fort Hays St.","Sr.","INF","44","158","62","17","9","6","3","0.463"
"142","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","182","74","18","2","1","5","0.463"
