"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Jimmy Brenneman","Campbell","Jr.","OF","43","30"
"2","Jamodrick McGruder","Texas Tech","So.","INF","46","25"
"3","Chris Cook","George Mason","So.","INF","43","24"
"4","Tyler Robbins","Dallas Baptist","Sr.","INF","43","20"
"5","Jonathan Koscso","South Fla.","Sr.","INF","43","18"
"","John Koszulinski","Western Ill.","Sr.","C","44","18"
"7","Nick Ciardiello","Holy Cross","Sr.","OF","48","17"
"","Justin Cook","Texas Southern","Jr.","P","42","17"
"","Juluis Green","Savannah St.","Jr.","INF","45","17"
"","Jeremy Gum","West Virginia","Sr.","DH","41","17"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","17"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","17"
"13","Cody Cotter","Saint Louis","Sr.","OF","43","16"
"","Alan Denman","Campbell","Sr.","INF","42","16"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","16"
"","Jack Marder","Oregon","So.","INF","41","16"
"","Mark Onorati","Manhattan","Sr.","OF","38","16"
"18","Marlon Calbi","Villanova","Jr.","SS","42","15"
"","David Herbek","James Madison","Sr.","SS","45","15"
"","Kash Kalkowski","Nebraska","So.","OF","42","15"
"","Danny Marcuzzo","Western Ill.","Jr.","INF","37","15"
"","Andrew Parker","Towson","So.","C","40","15"
"","Neal Pritchard","Elon","Sr.","INF","46","15"
"","Kevin Quaranto","Siena","Sr.","1B","44","15"
"","Ronnie Richardson","UCF","So.","OF","44","15"
"","George Springer","Connecticut","Jr.","OF","45","15"
"","Brian Stinson","Le Moyne","So.","C","41","15"
"","Ivory Thomas","Cal St. Fullerton","So.","OF","33","15"
"29","Landon Appling","Houston","Fr.","OF","45","14"
"","Blake Bergeron","Nicholls St.","Jr.","INF","44","14"
"","Eddie Brown","Wagner","Jr.","INF","39","14"
"","Scott Davis","Delaware St.","Jr.","INF","43","14"
"","Taylor Featherston","TCU","Jr.","SS","44","14"
"","Cole Frenzel","Arizona","So.","INF","43","14"
"","Mike Lang","Rutgers","Sr.","OF","40","14"
"","Alex Lee","Wofford","Sr.","INF","44","14"
"","Trey Martin","Southeastern La.","Sr.","OF","33","14"
"","Kevin Plawecki","Purdue","So.","C","42","14"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","14"
"","Anthony Trajano","Cal St. Fullerton","Jr.","INF","39","14"
"","Chad Zurcher","Memphis","Jr.","INF","42","14"
"42","Jeff Bland","Navy","Sr.","C","45","13"
"","Billy Burns","Mercer","Jr.","OF","45","13"
"","Trevor Edwards","UNC Greensboro","Jr.","C","41","13"
"","Justin Gonzalez","Florida St.","So.","SS","44","13"
"","Ivan Hartle","Western Ky.","Jr.","INF","44","13"
"","Dexter Kelley","Savannah St.","Sr.","OF","48","13"
"","Eric Lane","Gonzaga","Jr.","INF","39","13"
"","Ryan Lindemuth","William & Mary","Fr.","INF","46","13"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","13"
"","Todd McRae","Troy","Sr.","C","42","13"
"","Mike Mercurio","High Point","So.","INF","35","13"
"","Cameron Perkins","Purdue","So.","INF","42","13"
"","Bryan Peters","Nebraska","So.","2B","45","13"
"","Evan Richard","Prairie View","Jr.","C","30","13"
"","Taylor Shaw","Southern Utah","So.","C","37","13"
"","Ryan Still","Houston","Sr.","2B","45","13"
"","Zach Tessier","High Point","So.","C","31","13"
"","Tyler White","Western Caro.","So.","INF","41","13"
"","Austin Wulf","Tennessee Tech","So.","OF","41","13"
"61","Brandon Beans","Navy","Fr.","OF","38","12"
"","Chris Burke","Iona","Jr.","INF","41","12"
"","Jon Edgington","Miami (OH)","Sr.","INF","44","12"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","12"
"","Cody Gougler","Southeastern La.","Jr.","OF","45","12"
"","Brock Hebert","Southeastern La.","So.","INF","45","12"
"","Adam Hilker","Northern Colo.","Jr.","INF","43","12"
"","Josh Holskey","Campbell","Jr.","INF","41","12"
"","Kale Kiser","Nebraska","Jr.","OF","41","12"
"","Brian Knuckles","Grambling","Jr.","OF","39","12"
"","William Ladd","Citadel","Sr.","OF","43","12"
"","Joe Meggs","Washington","Jr.","OF","30","12"
"","Paul Nice","VCU","Jr.","INF","41","12"
"","Jonathan Ogden","Mississippi St.","Sr.","SS","43","12"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","12"
"","Jordan Patterson","South Ala.","Fr.","OF","43","12"
"","James Rodriguez","Prairie View","Jr.","C","38","12"
"","Taylor Roy","Southern U.","Jr.","OF","37","12"
"","Bradley Shaban","James Madison","So.","INF","44","12"
"","Owen Stewart","Monmouth","Jr.","INF","41","12"
"","Stephen Talbott","Purdue","So.","OF","43","12"
"","Brett Williams","North Carolina St.","Jr.","OF","45","12"
"","Chad Wright","Kentucky","Jr.","OF","45","12"
"84","Beau Amaral","UCLA","So.","OF","38","11"
"","Chris Barker","UNC Greensboro","Sr.","OF","33","11"
"","Sean Bignall","UALR","Jr.","OF","42","11"
"","Garrett Buechele","Oklahoma","Jr.","INF","44","11"
"","Brannon Champagne","Missouri","So.","OF","43","11"
"","Derrick Chung","Sacramento St.","Sr.","INF","46","11"
"","Aaron Conway","Missouri St.","Sr.","OF","40","11"
"","Tyler Cook","Winthrop","Sr.","2B","43","11"
"","Peter Copa","Massachusetts","Sr.","3B","35","11"
"","Bobby Crocker","Cal Poly","Jr.","OF","37","11"
"","Josh Cryer","Southeastern La.","Sr.","INF","45","11"
"","Dan DiBartolomeo","West Virginia","Jr.","2B","38","11"
"","Kurt Farmer","Nebraska","So.","1B","45","11"
"","Elliot Frey","Murray St.","Sr.","OF","40","11"
"","Rob Gilles","High Point","Jr.","C","26","11"
"","Lucas Herbst","Santa Clara","Jr.","OF","39","11"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","11"
"","Matt Juengel","Texas A&M","Jr.","INF","43","11"
"","Brandon Macias","Kansas","Sr.","INF","43","11"
"","Jeramie Marek","A&M-Corpus Christi","Jr.","INF","45","11"
"","Jeff McVaney","Texas St.","Jr.","OF","44","11"
"","Nick Melino","Nevada","Jr.","OF","39","11"
"","Andrew Miller","Alabama","So.","OF","45","11"
"","Will Miller","Furman","Jr.","OF","46","11"
"","Clint Ourso","Southern U.","Jr.","C","30","11"
"","James Roberts","Southern California","Fr.","SS","43","11"
"","Eddie Rohan","Winthrop","Sr.","C","45","11"
"","Jesse Sawyer","South Dakota St.","Sr.","3B","36","11"
"","Corey Shaylor","Charlotte","Sr.","INF","43","11"
"","Ryan Shober","Ill.-Chicago","So.","INF","35","11"
"","Kevin Wager","Villanova","Jr.","1B","40","11"
"","Will Watson","Northwestern St.","So.","1B","45","11"
"","Dylan Wheeler","Navy","So.","INF","47","11"
"","Greg Zebrack","Penn","So.","OF","39","11"
"118","Tyler Albright","Harvard","Sr.","C","41","10"
"","Bryan Barnes","Ohio","Sr.","INF","40","10"
"","T.J. Baumet","Ball St.","Sr.","SS","36","10"
"","Jarod Berggren","Northern Colo.","Jr.","OF","40","10"
"","Joe Betcher","Ill.-Chicago","So.","INF","21","10"
"","Paul Biocic","Bethune-Cookman","Fr.","-","30","10"
"","Johnny Bladel","James Madison","So.","OF","40","10"
"","C.T. Bradford","Mississippi St.","Fr.","OF","43","10"
"","Ryan Brown","William & Mary","So.","OF","46","10"
"","Grant Buckner","West Virginia","Sr.","SS","43","10"
"","Tom Burkett","Charleston So.","Sr.","OF","44","10"
"","Jann Butler","Alcorn St.","Jr.","OF","38","10"
"","Nick Camastro","Manhattan","So.","INF","38","10"
"","Jeff Cammans","Rhode Island","Jr.","OF","42","10"
"","Pat Cantwell","Stony Brook","Jr.","C","40","10"
"","Eric Charles","Purdue","Jr.","INF","43","10"
"","Ryan Court","Illinois St.","Sr.","INF","40","10"
"","Casey Coy","Northern Colo.","Jr.","INF","42","10"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","10"
"","Kyle DeMerritt","Santa Clara","Fr.","3B","40","10"
"","Tennyson Dodd","Lipscomb","Jr.","INF","44","10"
"","Matt Duffy","Tennessee","Sr.","3B","42","10"
"","Cameron Edman","Gonzaga","Sr.","C","39","10"
"","Chris Gruarin","Canisius","Jr.","OF","41","10"
"","Frank Hager","Cornell","Jr.","INF","39","10"
"","Zack Haley","Liberty","Jr.","2B","34","10"
"","Louie Haseltine","Southeast Mo. St.","Sr.","1B","39","10"
"","Craig Hertler","San Jose St.","Sr.","INF","43","10"
"","Cody Hudson","Austin Peay","So.","OF","39","10"
"","Matt Igara","Western Ill.","Jr.","OF","44","10"
"","Weston Lewis","Chicago St.","Jr.","OF","37","10"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","10"
"","Chris Marconcini","Duke","Fr.","1B","46","10"
"","Dan Marsh","Wright St.","Sr.","OF","40","10"
"","Jason Martin","San Jose St.","Sr.","OF","46","10"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","10"
"","Michael Mutcheson","Creighton","Sr.","INF","36","10"
"","Kyle Nisson","Quinnipiac","Jr.","C","40","10"
"","Chase Okey","UT Martin","Jr.","C","41","10"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","10"
"","Drew Pettit","Canisius","Jr.","INF","42","10"
"","Victor Ramos","Marshall","Sr.","INF","41","10"
"","Ryan Retz","High Point","So.","1B","44","10"
"","Brance Rivera","TCU","Jr.","OF","44","10"
"","Kevin Roundtree","Southern California","Jr.","C","42","10"
"","Aaron Schultz","TCU","Jr.","OF","41","10"
"","Trevor Stevens","Northwestern","Jr.","1B","39","10"
"","Zach Stewart","Dayton","Jr.","OF","44","10"
"","Zach Vincej","Pepperdine","So.","SS","38","10"
"","Will Walsh","Seton Hall","Jr.","OF","36","10"
"","Dan Williams","Penn","Sr.","SS","40","10"
"169","Willie Argo","Illinois","Jr.","OF","39","9"
"","Alex Azor","Navy","Jr.","OF","49","9"
