"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Blaine O'Brien","Keystone","Sr.","P","9","58.0","28","4.34"
"2","Ryan Spengler","Saint John's (MN)","Jr.","P","9","41.3","20","4.36"
"3","Nate Schepers","Calvin","Fr.","P","11","47.7","25","4.72"
"4","Ray Angelucci","SUNY Cortland","Jr.","P","10","59.3","32","4.86"
"5","Brian Rauh","Chapman","Jr.","P","11","79.0","43","4.90"
"6","Aaron Benusis","Alvernia","So.","P","10","57.7","33","5.15"
"7","Nick Visconti","Illinois Col.","So.","P","11","41.7","24","5.18"
"8","Oliver Van Zant","Bowdoin","Jr.","SS","8","51.3","30","5.26"
"9","Trevor Breton","Western New Eng.","Fr.","P","9","45.3","27","5.36"
"10","Ryan Lucero","Trinity (TX)","Jr.","P","11","68.7","41","5.37"
"11","David Mueller","Webster","Sr.","P","12","66.0","40","5.45"
"12","Cam Seidl","Wis.-Stevens Point","Jr.","P","11","59.3","37","5.62"
"13","Kevin Osaki","Chapman","Jr.","P","11","44.7","28","5.64"
"14","Aaron Schuldt","SUNY Cortland","Sr.","P","10","66.3","42","5.70"
"15","Phil Richmond","Coe","Jr.","P","11","36.3","23","5.70"
"16","Corey Armentrout","Bridgewater (VA)","Fr.","P","13","60.3","39","5.82"
"17","Austin Blaski","Marietta","Sr.","P","13","70.7","46","5.86"
"18","Pj Cerreto","Ramapo","Jr.","P","11","50.7","33","5.86"
"19","Eddie Nogay","Wash. & Jeff.","So.","P","9","46.0","30","5.87"
"20","James Simmons","Hardin-Simmons","Jr.","P","21","42.7","28","5.90"
"21","Ben Krusen","North Central (IL)","Fr.","-","9","49.7","33","5.98"
"22","Sean Meekins","Trinity (CT)","Fr.","P","7","36.0","24","6.00"
"23","Steve Maher","St. Thomas (MN)","So.","P","10","61.3","41","6.02"
"24","Chris Chismar","SUNY New Paltz","Jr.","P","9","53.7","36","6.03"
"","Michael Straub","Mary Washington","Jr.","P","10","53.7","36","6.03"
"26","Brian Gasser","Marietta","Sr.","P","11","56.3","38","6.07"
"27","David Massengill","Greenville","Sr.","OF","6","37.0","25","6.08"
"28","Brad Warnecke","Aurora","So.","P","8","47.0","32","6.13"
"29","Ryan Mestnik","Augsburg","Fr.","P","12","55.7","38","6.14"
"30","Miles Nordgren","Birmingham-So.","So.","P","18","52.7","36","6.15"
"31","Hayden Zimmerman","Saint John's (MN)","Sr.","P","11","57.0","39","6.16"
"32","Ben Klimesh","Trinity (TX)","Sr.","P","15","97.7","67","6.17"
"33","Russ Gilliam","Neumann","Jr.","P","14","71.3","49","6.19"
"34","Isaac Behme","Webster","Fr.","OF","10","50.3","35","6.26"
"35","Seth Davis","Augustana (IL)","Fr.","P","10","38.7","27","6.28"
"36","David Trushel","Wash. & Jeff.","Sr.","P","9","63.0","44","6.29"
"37","Kevin Caldwell","Piedmont","Jr.","P","12","82.7","58","6.31"
"38","Andy Eggleston","Keystone","Sr.","P","8","36.7","26","6.38"
"39","Tim Welch","Bowdoin","Sr.","P","6","35.0","25","6.43"
"40","Mike Hughes","SUNY Cortland","Jr.","P","11","57.3","41","6.44"
"41","Tyler Erickson","Castleton","Sr.","P","11","89.0","64","6.47"
"42","Joel Pulliam","Central (IA)","Sr.","P","10","65.0","47","6.51"
"43","Dalton Zimmerman","MacMurray","Fr.","-","8","39.7","29","6.57"
"44","Dirk Lindaman","Central (IA)","Jr.","P","11","53.3","39","6.59"
"45","Brad Orosey","Texas Lutheran","Sr.","P","13","81.3","60","6.64"
"46","Jamey Minnemeyer","Gwynedd-Mercy","Fr.","P","8","43.0","32","6.70"
"47","Kyle Longernecker","Moravian","Sr.","P","11","40.3","30","6.70"
"48","Paul Piccirillo","St. Joseph's (Brkln)","Jr.","P","9","64.3","48","6.72"
"49","Eric Palmer","Aurora","Fr.","P","7","45.0","34","6.80"
"50","Trevor Lubking","Pacific Lutheran","Fr.","P","22","63.0","48","6.86"
