"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Derek Johnson","Redlands","Sr.","P","14","90.0","12","1","0.923"
"2","Greg Ross","Frostburg St.","Sr.","P","13","76.0","10","1","0.909"
"","Greg Van Sickler","Shenandoah","Sr.","P","12","80.3","10","1","0.909"
"","Ben Klimesh","Trinity (TX)","Jr.","P","16","81.3","10","2","0.833"
"5","Brendan Close","Moravian","Jr.","P","10","71.7","9","0","1.000"
"","Brian Gasser","Marietta","Jr.","P","9","55.0","9","0","1.000"
"","Brian Rauh","Chapman","So.","P","11","82.3","9","0","1.000"
"","Sean Chitsaz","Chris. Newport","Jr.","P","12","78.0","9","2","0.818"
"9","Jeff Donovan","Wis.-Whitewater","Sr.","INF","10","61.3","8","0","1.000"
"","Clay Malcolm","Birmingham-So.","Sr.","P","11","65.3","8","0","1.000"
"","Mike Russo","Kean","Jr.","P","10","62.0","8","0","1.000"
"","John Apostolo","Mitchell","Jr.","P","11","56.0","8","1","0.889"
"","Justin D'Amato","St. John Fisher","Fr.","P","10","57.0","8","1","0.889"
"","Russell Gilliam","Neumann","So.","P","10","52.0","8","1","0.889"
"","Bryan Henrick","Haverford","Jr.","P","12","57.0","8","1","0.889"
"","Nick Laracuente","Skidmore","Sr.","P","9","61.0","8","1","0.889"
"","Bryce Murphy","Manchester","So.","P","11","36.3","8","1","0.889"
"","Chad Sherman","Texas-Tyler","Sr.","P","11","72.7","8","1","0.889"
"","Kyle Smith","Brockport","Sr.","P","9","67.3","8","1","0.889"
"","Kevin Baranowski","Coe","Sr.","P","10","56.0","8","2","0.800"
"","Kevin Caldwell","Piedmont","So.","P","13","88.7","8","2","0.800"
"","David Colvin","Pomona-Pitzer","Sr.","P","13","94.3","8","2","0.800"
"","Derek Dallas","Texas-Dallas","So.","P","12","92.3","8","2","0.800"
"","Chris Greiner","Salisbury","Sr.","P","12","81.3","8","2","0.800"
"","Kyle Hart","Redlands","So.","P","15","78.3","8","2","0.800"
"","Michael Helbig","Randolph-Macon","So.","INF","12","75.7","8","2","0.800"
"","Cole Prejean","Louisiana Col.","Fr.","P","17","40.7","8","2","0.800"
"","Brian Ranta","George Fox","Jr.","P","12","84.3","8","2","0.800"
"","Scott Williams","Wis.-Stevens Point","Sr.","P","10","68.3","8","2","0.800"
"","Ryan Arsenault","Husson","Sr.","P","12","79.0","8","3","0.727"
"","Tre' Britt","Methodist","Sr.","P","17","100.0","8","3","0.727"
"","Rob Dittrick","Pacific (OR)","So.","P","11","87.7","8","3","0.727"
"","Brad Watson","Wartburg","Sr.","P","11","74.0","8","3","0.727"
"34","Justin Kohls","Bethany Lutheran","Sr.","P","10","41.7","7","0","1.000"
"","Matt Lewis","St. Scholastica","Sr.","P","8","44.7","7","0","1.000"
"","John McGrath","Brandeis","Sr.","P","13","72.3","7","0","1.000"
"","Cory Metcalf","Grove City","Sr.","P","9","56.0","7","0","1.000"
"","Eric Robinson","Macalester","Fr.","-","10","44.7","7","0","1.000"
"","David Vogelgesang","St. Scholastica","So.","OF","8","38.7","7","0","1.000"
"","Kory Cleveland","Texas-Tyler","Sr.","P","11","63.0","7","1","0.875"
"","Zach Cloft","Western New Eng.","Sr.","P","10","51.0","7","1","0.875"
"","James Connelly","La Roche","So.","P","8","45.0","7","1","0.875"
"","Glenn Cox","FDU-Florham","Jr.","P","10","59.0","7","1","0.875"
"","Greg Goldsmith","Chris. Newport","So.","P","11","60.7","7","1","0.875"
