"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Trevor Bauer","UCLA","Jr.","P","11","91.7","45","4.42"
"2","John Taylor","South Carolina","Sr.","P","28","44.0","23","4.70"
"3","Taylor Jungmann","Texas","Jr.","P","11","89.7","49","4.92"
"4","Andrew Mitchell","TCU","Fr.","P","17","45.3","25","4.97"
"5","Matt Barnes","Connecticut","Jr.","P","11","83.0","46","4.99"
"6","Matt Murray","Ga. Southern","Jr.","P","19","44.7","25","5.03"
"7","Greg Gonzalez","Fresno St.","Sr.","P","11","73.7","43","5.25"
"8","Vinny Lally","Yale","Sr.","P","13","67.3","40","5.35"
"9","Caleb Smith","Sam Houston St.","Fr.","P","14","49.7","30","5.43"
"10","Cody Martin","Gonzaga","Sr.","P","17","41.0","25","5.49"
"11","Andrew Chafin","Kent St.","Jr.","P","10","63.3","39","5.55"
"12","Hunter Scantling","Florida St.","Jr.","P","11","40.3","25","5.58"
"13","Sean Gilmartin","Florida St.","Jr.","P","12","79.0","50","5.70"
"14","Evan Marshall","Kansas St.","Jr.","P","21","41.0","26","5.71"
"15","Tyler Anderson","Oregon","Jr.","P","11","83.3","53","5.73"
"16","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","42","5.75"
"17","Derek Self","Louisville","Jr.","P","16","48.3","31","5.78"
"18","Emilio Pagan","Gardner-Webb","So.","-","12","43.0","28","5.86"
"19","Brian Muransky","Xavier","Sr.","P","15","51.7","34","5.92"
"20","Danny Hultzen","Virginia","Jr.","P","11","75.7","50","5.94"
"21","Sonny Gray","Vanderbilt","Jr.","P","11","75.3","50","5.98"
"22","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","54","6.00"
"23","Kyle Winkler","TCU","Jr.","P","11","79.3","53","6.02"
"24","Jonas Dufek","Creighton","Sr.","P","12","73.3","49","6.02"
"25","Sam Stafford","Texas","Jr.","P","13","55.3","37","6.02"
"26","E.J. Encinosa","Miami (FL)","So.","P","11","61.0","41","6.05"
"27","Corey Roberts","Charlotte","So.","P","11","74.3","50","6.06"
"28","Patrick Dolan","Charleston So.","Jr.","P","10","46.0","31","6.07"
"29","Matt Summers","UC Irvine","Jr.","P","11","70.7","48","6.11"
"30","Mark Pope","Georgia Tech","Jr.","P","11","86.3","59","6.15"
"31","Lex Rutledge","Samford","So.","P","12","54.0","37","6.17"
"32","Tyler Moore","North Florida","Fr.","P","13","43.7","30","6.18"
"33","Erik Johnson","California","Jr.","P","11","69.7","48","6.20"
"34","Justin Amlung","Louisville","So.","P","11","76.7","53","6.22"
"35","Andrew Gagnon","Long Beach St.","Jr.","P","11","72.3","50","6.22"
"36","Mike Schneider","Milwaukee","Fr.","P","10","44.3","31","6.30"
"37","Dominic Leone","Clemson","So.","P","10","40.0","28","6.30"
"38","Steven Ewing","Miami (FL)","So.","P","10","61.3","43","6.31"
"39","Greg Nappo","Connecticut","Sr.","P","10","54.0","38","6.33"
"40","Hoby Milner","Texas","So.","P","17","55.3","39","6.35"
"","Josh Osich","Oregon St.","Jr.","P","11","55.3","39","6.35"
