"Rank","Name","Team","Cl","Pos","G","HR"
"1","Julian Barzilli","Whittier","Sr.","3B","20","8"
"2","Derek Dixon","George Fox","Sr.","1B","23","6"
"","Keegan Dolan","Wash. & Lee","Sr.","OF","18","6"
"","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","6"
"","Billy Steel","Chris. Newport","Sr.","INF","18","6"
"","Corey Wallace","Guilford","Sr.","INF","21","6"
"7","Andrew Gronski","Case","Jr.","INF","16","5"
"","Pat Hirschberg","Trinity (TX)","Sr.","OF","23","5"
"","Tanner Nishioka","Pomona-Pitzer","Fr.","OF","22","5"
"","Connor Wise","Emory & Henry","Sr.","C","19","5"
"11","Christopher Bianchi","Trinity (TX)","Sr.","C","22","4"
"","Andrew Frey","Case","Sr.","INF","16","4"
"","Matt Gandy","Chapman","Jr.","C","19","4"
"","Casey Grimes","Rowan","Jr.","INF","12","4"
"","Ryan Hayes","Earlham","Sr.","1B","12","4"
"","Sean Kettering","Otterbein","Jr.","INF","14","4"
"","Trevor Kimm","Manchester","Jr.","INF","16","4"
"","Robbie Lynch","Manhattanville","Fr.","3B","13","4"
"","Kody McHugh","Wis.-Stevens Point","So.","P","11","4"
"","Michael Paul","Shenandoah","Jr.","P","18","4"
"","Simon Rosenbaum","Pomona-Pitzer","So.","P","21","4"
"","Grayson Tuttle","Guilford","So.","C","12","4"
"","DJ Utley","Wartburg","---","DH/P","10","4"
"","Michael Whited","Guilford","Sr.","INF","20","4"
"","Phil Windham","East Tex. Baptist","Sr.","INF","22","4"
"","Scott Windler","Franklin","Sr.","OF","16","4"
"","Dave Wolak","Elmhurst","Sr.","OF","6","4"
"","Ty Wyatt","Willamette","Fr.","INF","17","4"
"29","Kevin Alvarez","Averett","Jr.","INF","22","3"
"","Keaton Bohrmann","Texas Lutheran","So.","3B","21","3"
"","Ozzy Braff","Whitman","So.","INF","25","3"
"","Tanner Branneky","Westminster (MO)","Fr.","C","10","3"
"","Colton Brown","Howard Payne","---","CF","20","3"
"","Nicko Burnett","Swarthmore","Sr.","1B","14","3"
"","Drew Butler","Trinity (TX)","So.","INF","16","3"
"","Zach Bynum","Transylvania","Sr.","P","14","3"
"","Nathan Chamberlin","Hampden-Sydney","Sr.","3B","22","3"
"","Danny Clifford","George Fox","Sr.","3B","23","3"
"","Ronald Cotton","Mt. St. Joseph","---","CF","9","3"
"","Justin Cox","Ferrum","Sr.","OF","21","3"
"","Jacob Craft","Anderson (IN)","Jr.","OF","12","3"
"","Matthew Daniel","Howard Payne","---","C","19","3"
"","Breck Davidson","Piedmont","Fr.","1B","21","3"
"","Boston Fields","Anderson (IN)","So.","OF","11","3"
"","Michael Fischbach","Albion","So.","OF","14","3"
"","Sam Fischer","Adrian","Sr.","OF","13","3"
"","Nick Flemister","St. John Fisher","Sr.","C","13","3"
"","Eli Freese","Grinnell","Jr.","1B","11","3"
"","Ryan Freitag","Wis.-Stout","Jr.","OF","11","3"
"","Nick Gencarelli","Rutgers-Newark","Jr.","3B","13","3"
"","Warren Hartmann","Merchant Marine","Sr.","INF","13","3"
"","Andrew Hershey","York (PA)","Sr.","OF","12","3"
"","Mitchell Keeler","Randolph-Macon","So.","C","16","3"
"","Jay Kenyon","Lynchburg","Jr.","C","16","3"
"","Sean Knepper","Manchester","So.","INF","16","3"
"","Brett Lake","Emory","Jr.","OF","25","3"
"","Sam Liggett","Transylvania","Sr.","C","14","3"
"","Travis Lodge","Randolph-Macon","So.","INF","19","3"
"","Logan Madill","Penn St.-Altoona","Fr.","3B","14","3"
"","Mike Marchitto","Gwynedd Mercy","So.","P","15","3"
"","Scott Matthews","Washington Col.","Jr.","OF","16","3"
"","Turner Mattson","Sul Ross St.","Jr.","INF","22","3"
"","Pat McHenry","Penn St.-Altoona","Fr.","1B","14","3"
"","Sean McMillan","Redlands","Jr.","C","25","3"
"","Georgie Montes","Denison","So.","OF","10","3"
"","Jimmy Napolitano","Rutgers-Newark","Sr.","OF","15","3"
"","A.J. Nicely","Chris. Newport","Fr.","OF","11","3"
"","Kyle Norris","Manchester","Jr.","C","16","3"
"","Ciro Norzagaray","N.C. Wesleyan","So.","INF","23","3"
"","Timmy Novom","Pomona-Pitzer","Sr.","OF","19","3"
"","Nate Pajka","Bates","Jr.","OF","11","3"
"","Wes Peacock","Emory","Jr.","OF","25","3"
"","Eddie Reese","Wooster","Sr.","INF","11","3"
"","Will Roberts","Howard Payne","---","DH","18","3"
"","Robbie Rushing","Central (IA)","Sr.","INF","11","3"
"","Jordan Swisher","Case","Jr.","C","16","3"
"","Griff Tewksbury","Bates","Sr.","INF","11","3"
"","Zach Tsiodras","Elmhurst","Jr.","INF","7","3"
"","Justin Weaver","Chris. Newport","Sr.","OF","18","3"
"","Jack Witte","Claremont-M-S","So.","INF","24","3"
"","Kevin Wu","Stevenson","So.","OF","13","3"
"","Nick Yip","Old Westbury","Jr.","INF","13","3"
"","Stephen Zavala","Whittier","Jr.","C","22","3"
"","null null","John Carroll","Fr.","2B","10","3"
