"Rank","Name","Team","Cl","Pos","G","HR"
"1","Chase Larsson","Cameron","Jr.","OF","44","28"
"2","Michael Knox","Mount Olive","Jr.","DH","46","22"
"3","Kenny Held","Cameron","Sr.","OF","44","20"
"4","Dean Green","Barry","Sr.","1B","50","18"
"5","Dodson McPherson","Wingate","Jr.","OF","54","17"
"6","Joe Maloney","Limestone","Jr.","C","52","16"
"","Brian Yeung","Wingate","So.","INF","54","16"
"8","Chris Casazza","Tarleton St.","Sr.","INF","45","15"
"9","Andrew Durden","Nova Southeastern","Sr.","OF","44","14"
"","Drew Dwelly","Barry","Sr.","3B","50","14"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","14"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","14"
"","Logan Williams","Southern Ark.","Sr.","3B","44","14"
"14","Brandon Choate","Southern Ark.","Sr.","C","40","13"
"","Nathan Minnich","Shepherd","Jr.","1B","33","13"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","13"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","13"
"18","Alexi Colon","Tusculum","Jr.","OF","50","12"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","12"
"","Logan Dollar","Columbus St.","Jr.","1B","46","12"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","12"
"","Richard Pirkle","Georgia College","Sr.","C","50","12"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","12"
"24","Garrett Furr","Catawba","So.","DH","50","11"
"","Shayne Houck","Kutztown","Jr.","INF","39","11"
"","Robert Kelly","St. Anselm","So.","1B","44","11"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","11"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","11"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","11"
"","Erick Sanderson","Anderson (SC)","So.","P","49","11"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","11"
"32","Bruce Alter","Columbus St.","Sr.","3B","45","10"
"","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","10"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","10"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","10"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","10"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","10"
"","Andy Leach","Fairmont St.","Sr.","OF","30","10"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","10"
"","Austin Rycroft","Central Okla.","Jr.","OF","40","10"
"","Nate Wilder","Arkansas Tech","Jr.","3B","38","10"
"","Casey Winckowski","Erskine","Sr.","INF","51","10"
"43","Casey Allison","Wingate","Jr.","OF","54","9"
"","Bryce Baugh","West Tex. A&M","Jr.","INF","45","9"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","9"
"","John Bolding","Erskine","Sr.","INF","51","9"
"","Garrett Cook","King (TN)","Fr.","OF","41","9"
"","Josh Dabbs","Montevallo","Sr.","OF","41","9"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","9"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","9"
"","Chris Dula","Catawba","Fr.","3B","53","9"
