"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"83","Jake Heissler","Central Mo.","Sr.","P","6","34.2","36","9.35"
"84","Cole Warren","Southern N.H.","Jr.","P","4","28.0","29","9.32"
"85","Austin Klein","Lindenwood (MO)","Jr.","P","7","37.2","39","9.32"
"86","Nevin Wilson","Colorado Mesa","Jr.","P","5","21.1","22","9.28"
"87","Ben Currie","Wingate","Sr.","P","8","48.2","50","9.25"
"88","Brandon Pierce","Okla. Christian","Sr.","P","6","38.0","39","9.24"
"89","Jon Fees","Pitt.-Johnstown","Sr.","P","6","26.1","27","9.23"
"90","Brendan O'Rourke","Franklin Pierce","Jr.","P","5","28.1","29","9.21"
"91","Adam McCreery","Azusa Pacific","Jr.","P","6","34.1","35","9.17"
"92","Matt McAllister","West Chester","Sr.","P","4","17.2","18","9.17"
"93","null 07-Fender","Albany St. (GA)","---","P","7","36.1","37","9.17"
"","Zak Mickens","Newman","Sr.","P","6","36.1","37","9.17"
"95","Aaron Johnson","Arkansas Tech","Jr.","P","8","40.1","41","9.15"
"96","Chris Murphy","Millersville","Jr.","P","6","40.2","41","9.07"
"97","Jeremy Stawychny","Lee","Sr.","P","9","49.2","50","9.06"
"98","Nathan Arnold","Pittsburg St.","Jr.","C","6","34.0","34","9.00"
"","Fred Breidenbach","West Chester","Sr.","P","4","21.0","21","9.00"
"","Dalton Brown","St. Edward's","Jr.","P","6","29.0","29","9.00"
"","Mark Curtis","Shippensburg","Fr.","P","4","22.0","22","9.00"
"","Tanner Delahoy","Mercyhurst","Sr.","P","4","17.0","17","9.00"
"","Paul Fahey","Franklin Pierce","Jr.","P","9","25.0","25","9.00"
"","Corey Fitzgerald","St. Cloud St.","Sr.","P","5","23.0","23","9.00"
"","Matt Iosue","Walsh","Fr.","P","5","25.0","25","9.00"
"","Matt Kastelic","Notre Dame (OH)","Sr.","P","5","25.0","25","9.00"
"","Dallas Ponder","Tex. A&M-Kingsville","Sr.","P","9","43.0","43","9.00"
"","null Zgardowski","Angelo St.","---","P","8","44.0","44","9.00"
"109","Yumezo Densaki","Southern Ark.","Jr.","P","9","31.1","31","8.90"
"110","Kyle Gehrs","Central Mo.","Sr.","P","8","29.1","29","8.90"
"111","Tyler Sturges","Okla. Christian","Sr.","P","6","28.1","28","8.89"
"112","Jordan Peterson","St. Joseph's (IN)","Jr.","P","4","24.1","24","8.88"
"113","Randy Dobnak","Alderson Broaddus","Fr.","P","4","20.1","20","8.85"
"114","Dan Bartlett","Caldwell","Sr.","P","3","17.1","17","8.83"
"","Ryan Calby","Dominican (NY)","Sr.","P","4","17.1","17","8.83"
"116","Ben O'Bryan","Cal St. East Bay","Sr.","P","6","33.2","33","8.82"
"117","Kaleb Earls","Limestone","Jr.","P","10","48.0","47","8.81"
"","Fernando Gonzalez","West Ala.","Jr.","P","9","48.0","47","8.81"
"119","Taylor Gentry","Washburn","Sr.","P","5","28.2","28","8.79"
"120","Jerry Vasto","Felician","Jr.","P","6","27.2","27","8.78"
