"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","92"
"2","Dodson McPherson","Wingate","Jr.","OF","54","222","91"
"3","Michael Bueker","Mars Hill","Jr.","INF","48","210","87"
"","Brian Yeung","Wingate","So.","INF","54","238","87"
"5","Matt Roohan","Incarnate Word","Sr.","INF","47","184","81"
"6","Zach Smith","Erskine","Fr.","INF","51","206","80"
"7","Jess Cooper","West Tex. A&M","Jr.","INF","46","160","79"
"8","William Calhoun","Abilene Christian","Sr.","DH","47","181","78"
"","Stuart Drew","West Ga.","Jr.","2B","48","182","78"
"10","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","77"
"","Chris Dula","Catawba","Fr.","3B","53","200","77"
"","Tanner Funk","Georgia College","Jr.","SS","50","196","77"
"","Kenny Held","Cameron","Sr.","OF","44","167","77"
"","Chase Larsson","Cameron","Jr.","OF","44","167","77"
"15","Kendall Boone","West Tex. A&M","Jr.","INF","48","177","75"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","174","75"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","181","75"
"18","Dean Green","Barry","Sr.","1B","50","184","74"
"","Greg Pron","West Fla.","Sr.","OF","48","168","74"
"","Cale Rogers","Wingate","Sr.","OF","54","221","74"
"","Shawn Ward","Georgia College","Sr.","OF","49","189","74"
"22","Michel Coffey","Ga. Southwestern","So.","C","48","203","73"
"","Mike Williams","Newman","Sr.","INF","46","175","73"
"24","Ryan Brnovich","Saint Leo","So.","INF","45","179","72"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","193","72"
"26","Drew Dwelly","Barry","Sr.","3B","50","223","71"
"","R.J. Etchebarren","Grand Canyon","Sr.","OF","46","188","71"
"","Michael Wilson","Francis Marion","Fr.","INF","47","189","71"
"29","K.C. Clabough","Florida Tech","Jr.","INF","47","173","70"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","178","70"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","173","70"
"32","Josh Haley","UNC Pembroke","Jr.","OF","48","191","69"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","172","69"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","69"
"","John Roberts","Armstrong","Jr.","C","46","198","69"
"36","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","190","68"
"","Cody Baker","Lincoln Memorial","So.","OF","51","198","68"
"","John Bolding","Erskine","Sr.","INF","51","207","68"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","192","68"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","185","68"
"","Adam Taylor","North Greenville","So.","P","44","167","68"
"42","John Couch","Lincoln Memorial","Sr.","INF","51","192","67"
"","Josh Dawson","Cameron","Jr.","INF","44","168","67"
"","Eric Grabe","Tampa","Jr.","2B","45","175","67"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","162","67"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","200","67"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","172","67"
"48","Kenny Bellavance","North Ga.","So.","OF","49","205","66"
"","Kellen Bozeman","Delta St.","Sr.","DH","46","175","66"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","173","66"
"","Adrian English","Barry","Fr.","INF","50","194","66"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","161","66"
"","Kevin Mager","Rollins","Jr.","INF","45","176","66"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","156","66"
"","Troy Snitker","North Ga.","Jr.","C","49","185","66"
"","John Willner","Valdosta St.","Sr.","OF","47","182","66"
"57","Andrew Durden","Nova Southeastern","Sr.","OF","44","171","65"
"","Adam Lewis","Mars Hill","Sr.","C","49","197","65"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","166","65"
"","Josh Miller","S.C. Aiken","So.","C","46","182","65"
"","Billy Ninemire","Harding","So.","INF","46","174","65"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","161","65"
"","Rusty Smith","Mars Hill","Sr.","OF","49","193","65"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","160","65"
"","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","177","65"
"66","Eric Dorton","West Tex. A&M","Fr.","OF","48","158","64"
"","Derek Fulmer","North Greenville","Jr.","P","44","159","64"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","161","64"
"","Andrew Jones","Tampa","Jr.","OF","45","155","64"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","64"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","179","64"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","168","64"
"","Ryan McChesney","Florida Tech","Jr.","C","47","182","64"
"","Chase Presley","Harding","Jr.","INF","46","183","64"
"","Chris Ross","Montevallo","Jr.","OF","43","158","64"
"","Adam Shank","St. Edward's","Jr.","OF","44","168","64"
"","Jason Simone","Mount Olive","Sr.","OF","37","150","64"
"","Danny Susdorf","UC San Diego","So.","OF","46","181","64"
"","Jacob Yates","Pfeiffer","So.","INF","49","193","64"
"80","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","182","63"
"","Madison Beaird","Arkansas Tech","So.","OF","46","184","63"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","187","63"
"","John Duran","Ga. Southwestern","So.","INF","46","191","63"
"","Jacob Karr","Wingate","Jr.","INF","52","183","63"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","179","63"
"","Andy Marinelli","West Ga.","Fr.","-","48","169","63"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","172","63"
"","Heath Peterson","Montevallo","Jr.","1B","43","173","63"
"","Austin Smith","Lynn","Jr.","OF","46","184","63"
"90","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","62"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","177","62"
"","Brandon Brewer","West Fla.","Sr.","SS","48","151","62"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","165","62"
"","Andrew Garcia","Cameron","Jr.","1B","44","170","62"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","152","62"
"","Taylor Johnson","St. Edward's","So.","2B","44","171","62"
