"Rank","Name","Team","Cl","Pos","G","2B"
"1","Jordan Walton","Randolph-Macon","Jr.","1B","42","30"
"2","Kyle Felix","Trinity (TX)","Sr.","C","44","23"
"","Connor Madden","Chris. Newport","Jr.","INF","44","23"
"4","Michael Pratt","St. Joseph's (ME)","So.","INF","40","21"
"5","Timothy Novom","Pomona-Pitzer","Fr.","OF","36","20"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","20"
"7","Sam Alexander","Case","Jr.","OF","42","19"
"","Conor Cavanagh","Lasell","Sr.","OF","36","19"
"9","Dave Ahern","Babson","Sr.","P","38","18"
"","Nick Alosco","Johnson & Wales (RI)","Sr.","INF","41","18"
"","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","18"
"","Trey Forbes","Manchester","Sr.","C","36","18"
"","Ken Gregory","Kean","Sr.","OF","37","18"
"","Dan Haugh","Wheaton (MA)","Jr.","INF","35","18"
"","Brian Inghram","Methodist","Sr.","INF","44","18"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","18"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","18"
"","Jacob Pierce","Va. Wesleyan","So.","C","35","18"
"19","Jason Henning","Redlands","So.","INF","36","17"
"","Jay Hiller","Hardin-Simmons","So.","OF","40","17"
"","Nate Rasmussen","Pacific (OR)","Jr.","INF","36","17"
"","Kyle Wooden","Guilford","Sr.","INF","35","17"
"23","Kevin Allan","Linfield","Jr.","INF","37","16"
"","Kenny Durling","Misericordia","So.","OF","34","16"
"","Mike Galetta","Haverford","Sr.","3B","38","16"
"","Sam Hill","Birmingham-So.","Sr.","C","38","16"
"","David Kinney","Clarkson","Jr.","INF","30","16"
"","Justin Kline","Presentation","Jr.","C","29","16"
"","Drew Leachman","Birmingham-So.","Sr.","INF","39","16"
"","Chad Mullins","Case","Sr.","3B","43","16"
"","Brady Roundtree","Anderson (IN)","Sr.","2B","35","16"
"","Derek Smith","Pitt.-Bradford","So.","INF","31","16"
"","Christian Spurr","Ramapo","So.","INF","36","16"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","16"
"","Scott Witte","Claremont-M-S","Fr.","SS","39","16"
"36","Tommy Barksdale","Gallaudet","So.","INF","42","15"
"","William Bissell","Gallaudet","Fr.","OF","42","15"
"","Cole Bixenman","Linfield","Sr.","C","37","15"
"","Alex Boone","Franklin","Sr.","INF","33","15"
"","Nick Broyles","Bluffton","Jr.","OF","36","15"
"","Charlie Carluccio","Haverford","Sr.","SS","39","15"
"","Forrest Chadwick","Southern Me.","Fr.","INF","32","15"
"","Jhon Comas Disla","Lehman","Jr.","SS","26","15"
"","Curtis Cornett","Piedmont","Jr.","INF","43","15"
"","Tyler Hardcastle","Muskingum","Sr.","2B","34","15"
"","Justin Hebert","Hampden-Sydney","Sr.","1B","33","15"
"","Ryan Jones","Emory","Sr.","1B","40","15"
"","Jason Lash","Heidelberg","Sr.","SS","36","15"
"","T.C. Lee","Willamette","Sr.","OF","40","15"
"","Ryan McIntosh","Plymouth St.","Jr.","INF","32","15"
"","Greg Mitro","Randolph-Macon","Sr.","INF","41","15"
"","Erik Munzer","Pomona-Pitzer","So.","OF","39","15"
"","Jake Northrup","Endicott","Fr.","P","40","15"
"","Bill Pace","Neumann","So.","C","35","15"
"","Eric Rosenberg","Brandeis","Sr.","1B","39","15"
"","David Seibel","Wabash","Sr.","INF","41","15"
"","Brennyn Smith","Sul Ross St.","So.","3B","36","15"
"","John Snyder","Marietta","Sr.","OF","32","15"
"","Greg Suryn","Grinnell","Sr.","OF","27","15"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","15"
"61","Andy Athans","North Park","Sr.","OF","35","14"
"","Beau Banglesdorf","East. Mennonite","Jr.","OF","36","14"
"","Kyle Billig","Washington-St. Louis","Fr.","OF","43","14"
"","William Chapman","Gallaudet","Jr.","OF","41","14"
"","Jacob Clifton","Roanoke","Fr.","INF","35","14"
"","Josh Denny","Mt. St. Joseph","Jr.","INF","35","14"
"","Joey Donofrio","Shenandoah","So.","OF","37","14"
"","Jordan Edgett","Bowdoin","Jr.","INF","30","14"
"","Ryan Grau","Hanover","So.","INF","34","14"
"","Matt Guida","Wis.-Stout","So.","C","30","14"
"","Will Hawkins","Millsaps","Sr.","INF","42","14"
"","Michael Hoffman","Buena Vista","Sr.","OF","33","14"
"","Matt Keen","Case","So.","SS","43","14"
"","Michael Kovacs","Rose-Hulman","Sr.","OF","35","14"
"","Jacob Ludvik","La Verne","Jr.","OF","39","14"
"","Corey Marchant","Manchester","So.","INF","36","14"
"","Garrett Methvin","LeTourneau","So.","P","40","14"
"","Brad Murphy","Manchester","So.","OF","36","14"
"","Kevin O'Connor","Emory","Jr.","2B","43","14"
"","Shayne Paskanik","Va. Wesleyan","Jr.","OF","36","14"
"","Caleb Rangel","Central (IA)","Sr.","OF","34","14"
"","Ethan Rieker","Susquehanna","Jr.","INF","33","14"
"","Drew Rossi","Mitchell","Sr.","INF","28","14"
"","Ryan Schilter","Concordia (WI)","So.","C","31","14"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","14"
"","Steve Seminerio","FDU-Florham","Jr.","SS","32","14"
"","Matt Skinner","Washington-St. Louis","Sr.","1B","46","14"
"","Cam Stephens","Concordia Chicago","Jr.","OF","31","14"
"","Chris Sweeney","King's (PA)","So.","OF","34","14"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","14"
"","Montana Timmons","Wabash","So.","OF","41","14"
"","Tony Trubia","Western New Eng.","Sr.","3B","40","14"
"","Andrew Vallejo","Whittier","Jr.","OF","39","14"
"","Mike Waterhouse","Swarthmore","Jr.","C","34","14"
"95","Zach Alexander","N.C. Wesleyan","Sr.","3B","38","13"
"","Jimmy Baum","Penn St.-Altoona","Jr.","OF","34","13"
"","Brian Benander","John Carroll","Sr.","3B","31","13"
"","Shane Bennett","Mississippi Col.","Sr.","INF","40","13"
"","Stephen Bishop","Huntingdon","Sr.","OF","40","13"
"","Kevin Brashears","Shenandoah","Sr.","OF","39","13"
"","Robert Brown","Concordia (TX)","Sr.","OF","42","13"
"","Nicko Burnett","Swarthmore","Fr.","OF","32","13"
"","Matt Butorac","Saint John's (MN)","Sr.","INF","27","13"
"","Alex Caghan","Rochester (NY)","Jr.","OF","32","13"
"","Jake Cintolo","Suffolk","Fr.","3B","39","13"
"","Nick Clifton","Texas-Tyler","Sr.","1B","39","13"
"","Chris Creen","Worcester St.","So.","P","34","13"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","13"
"","Andrew Dunn","Kenyon","So.","C","30","13"
"","Nick Fluegge","Worcester St.","Sr.","INF","32","13"
"","Ty Foster","Manchester","Sr.","INF","36","13"
"","Danny Gallinot","Cal Lutheran","Sr.","OF","31","13"
"","Drew Harrell","Huntingdon","Sr.","DH","40","13"
"","Cord Heine","Penn St.-Altoona","Jr.","OF","35","13"
"","Brian Henry","Keystone","Sr.","C","33","13"
"","Benny Lyman","Drew","Fr.","1B","32","13"
"","Josh Markwith","Northwestern (MN)","Jr.","C","30","13"
"","Jake Martin","Merchant Marine","Fr.","P","29","13"
"","Chris Mauro","Sewanee","Sr.","C","31","13"
"","Mark McCormack","Mass.-Boston","Jr.","OF","34","13"
"","Wes Meadows","Otterbein","So.","3B","36","13"
"","Luke Merrill","Plymouth St.","Jr.","INF","32","13"
"","Steve Motika","Elizabethtown","Jr.","C","32","13"
"","Jake Mullin","McMurry","Sr.","OF","41","13"
"","Chris Nardozzi","Manhattanville","Jr.","1B","30","13"
"","Mike Petti","Carthage","Sr.","OF","31","13"
"","John Phelan","Fitchburg St.","Sr.","INF","34","13"
"","Matt Ruch","Wilkes","Jr.","INF","35","13"
"","Ian Sanders","Franklin","Sr.","INF","34","13"
"","John Schall","Penn St.-Altoona","Jr.","OF","32","13"
"","John Smolinski","Manchester","Sr.","C","36","13"
"","Julian Sonnenfeld","Wesleyan (CT)","Sr.","INF","34","13"
"","Nick Stein","Coe","So.","OF","34","13"
"","Max Stepan","Willamette","Sr.","C","39","13"
"","Tyler Stephenson","Bluffton","Jr.","3B","36","13"
"","Dillon Tagle","Elizabethtown","So.","C","31","13"
"","Nick Turano","Rowan","Jr.","C","35","13"
"","Tim Wiand","Westminster (PA)","Jr.","1B","31","13"
"","Drew Yoder","Wartburg","So.","OF","34","13"
"","Mike Zubia","Moravian","Sr.","OF","37","13"
"141","Mark Annese","Suffolk","Sr.","C","35","12"
"","Michael Ball","Lewis & Clark","Jr.","OF","36","12"
"","Tyler Bennett","Salisbury","Jr.","C","32","12"
"","Connor Bierfeldt","Western Conn. St.","So.","P","29","12"
"","Nate Carlson","Redlands","Sr.","INF","37","12"
"","Jake Chaplin","Haverford","Jr.","1B","40","12"
"","Alex Chetelat","Newbury","Jr.","P","35","12"
"","James Chiorello","McDaniel","Fr.","P","31","12"
"","Chris Cocci","Salem St.","Jr.","SS","34","12"
"","Justin Cohen","York (PA)","So.","C","35","12"
"","Daniel Collins","Merchant Marine","Fr.","P","29","12"
"","Matt Cornetti","Mt. Aloysius","Jr.","C","28","12"
"","Tony Deshler","Brandeis","Sr.","INF","41","12"
"","Zach Deutscher","North Park","Sr.","C","35","12"
"","Jason Diemer","Texas-Dallas","Sr.","OF","43","12"
"","Chris Dominguez","Endicott","Sr.","INF","38","12"
"","Phil Double","Thiel","Jr.","OF","35","12"
"","Mike Eaton","Southern Me.","Sr.","OF","33","12"
"","LeJuan Edwards","Hardin-Simmons","Sr.","OF","42","12"
"","Andy Fallon","Anna Maria","Sr.","INF","39","12"
"","Kevin Flannigan","Neumann","Jr.","3B","35","12"
"","Grant Friddell","Texas-Dallas","Sr.","C","41","12"
"","Mike Galeotafiore","TCNJ","Jr.","C","35","12"
"","Ben Gardner","DePauw","Sr.","INF","38","12"
"","Brendan Garner","Bowdoin","Sr.","OF","30","12"
"","Joe Giaimo","Wesleyan (CT)","Sr.","1B","33","12"
"","Matt Gilbert","Rhodes","Sr.","P","43","12"
"","Brett Gorman","Bowdoin","Sr.","INF","30","12"
"","Brian Gose","Claremont-M-S","Jr.","2B","38","12"
"","Mike Guarnieri","Anna Maria","So.","OF","39","12"
"","Ethan Guerette","Husson","Sr.","INF","42","12"
"","Matt Hampshire","Ohio Northern","Jr.","INF","34","12"
"","Tyler Hawthorne","Frostburg St.","Fr.","P","29","12"
"","Tom Hickey","John Carroll","Jr.","1B","31","12"
"","Kyle Hobar","Greenville","Sr.","INF","32","12"
"","Brett Howell","Bridgewater (VA)","Sr.","INF","44","12"
"","Oscar Ibieta","Schreiner","Sr.","1B","37","12"
"","Taylor Irwin","Sewanee","Sr.","3B","27","12"
"","Cory Jackson","Randolph-Macon","Sr.","C","41","12"
"","Steve Just","Rochester (NY)","Sr.","INF","32","12"
