"Rank","Name","Team","Cl","Pos","G","2B"
"1","Spencer Wiles","Hampden-Sydney","Jr.","OF","25","17"
"2","Jeff Gray","Hampden-Sydney","Jr.","1B","24","12"
"","Corbin Lucas","Shenandoah","Jr.","OF","18","12"
"","Jake Petersen","Cal Lutheran","Sr.","P","19","12"
"5","Aaron Cohen","Whitman","Sr.","P","25","11"
"","Nick Fisher","Linfield","Sr.","INF","21","11"
"","Ryan Medeiros","UMass Dartmouth","Jr.","OF","12","11"
"","Simon Rosenbaum","Pomona-Pitzer","So.","P","21","11"
"9","Johnathon Brooks","Occidental","Jr.","1B","22","10"
"","Brandon Carroll","East. Mennonite","Jr.","SS","19","10"
"","Patrick Kulick","Oglethorpe","Jr.","P","20","10"
"","Brett Lake","Emory","Jr.","OF","25","10"
"13","Mark Benak","Rowan","Sr.","INF","11","9"
"","Kyle Buckham","Whitman","Sr.","OF","25","9"
"","Derek Dixon","George Fox","Sr.","1B","23","9"
"","Jared Eaker","St. Mary's (MD)","Jr.","C","21","9"
"","Connor Hancock","Redlands","Jr.","OF","25","9"
"","Ryan Luke","Moravian","Jr.","INF","14","9"
"","Nick Marinelli","Washington Col.","Sr.","SS","16","9"
"","Scott Matthews","Washington Col.","Jr.","OF","16","9"
"","Jacob Mayfield","Birmingham-So.","Jr.","C","23","9"
"","Adam Posey","East. Mennonite","Sr.","P","23","9"
"","Tony Remund","Wis.-Superior","Sr.","SS","11","9"
"","Ryan Ritz","Hendrix","Jr.","INF","22","9"
"","Robbie Rushing","Central (IA)","Sr.","INF","11","9"
"","Brett Sutyrk","Va. Wesleyan","Sr.","INF","23","9"
"27","Ryan Bertram","LeTourneau","Jr.","INF","21","8"
"","Connor Bertsch","Concordia (TX)","So.","INF","18","8"
"","Chase Burrow","Mary Hardin-Baylor","So.","OF","19","8"
"","Richie Carbone","Johns Hopkins","Sr.","P","12","8"
"","Davey Casciola","Cal Lutheran","So.","INF","19","8"
"","Lincoln Evans","Lynchburg","Jr.","OF","18","8"
"","Nick Flemister","St. John Fisher","Sr.","C","13","8"
"","Jon Frericks","Ill. Wesleyan","Sr.","OF","12","8"
"","Scott Gillespie","Covenant","Jr.","INF","18","8"
"","Isaac Glenn","Millsaps","So.","OF","23","8"
"","Lee Grosscup","Mount Union","Sr.","INF","11","8"
"","Shaun Hansen","SUNY New Paltz","Jr.","1B","17","8"
"","Derek Hug","Heidelberg","So.","OF","17","8"
"","Derek Kanas","Texas Lutheran","Sr.","P","22","8"
"","Tiras Koon","Willamette","Jr.","C","20","8"
"","Kramer Lindell","Linfield","Sr.","OF","21","8"
"","David Lockwood","Covenant","Sr.","OF","18","8"
"","Creed Mangrum","MIT","Sr.","OF","6","8"
"","Wes Peacock","Emory","Jr.","OF","25","8"
"","Matt Reynolds","Ferrum","Jr.","INF","22","8"
"","Perry Rigby","Covenant","So.","INF","14","8"
"","Brian Tougher","La Roche","Jr.","INF","17","8"
"","Stephen Zavala","Whittier","Jr.","C","22","8"
"","Mark Zimmerman","Baldwin Wallace","So.","INF","16","8"
