year	division_id	ranking_id	conference_key
2017	1	18367	AAC
2017	1	18367	ASUN
2017	1	18367	America East
2017	1	18367	Atlantic 10
2017	1	18367	Atlantic Coast
2017	1	18367	Big 12
2017	1	18367	Big East
2017	1	18367	Big South
2017	1	18367	Big Ten
2017	1	18367	Big West
2017	1	18367	Colonial
2017	1	18367	Conference USA
2017	1	18367	Horizon
2017	1	18367	Independent
2017	1	18367	Ivy League
2017	1	18367	Metro Atlantic
2017	1	18367	Mid-American
2017	1	18367	Mid-Eastern
2017	1	18367	Missouri Valley
2017	1	18367	Mountain West
2017	1	18367	Northeast
2017	1	18367	OVC
2017	1	18367	Pac-12
2017	1	18367	Patriot
2017	1	18367	Southeastern
2017	1	18367	Southern
2017	1	18367	Southland
2017	1	18367	Southwestern
2017	1	18367	Summit League
2017	1	18367	Sun Belt
2017	1	18367	West Coast
2017	1	18367	Western Athletic
2016	1	17072	AAC
2016	1	17072	ASUN
2016	1	17072	America East
2016	1	17072	Atlantic 10
2016	1	17072	Atlantic Coast
2016	1	17072	Big 12
2016	1	17072	Big East
2016	1	17072	Big South
2016	1	17072	Big Ten
2016	1	17072	Big West
2016	1	17072	Colonial
2016	1	17072	Conference USA
2016	1	17072	Horizon
2016	1	17072	Independent
2016	1	17072	Ivy League
2016	1	17072	Metro Atlantic
2016	1	17072	Mid-American
2016	1	17072	Mid-Eastern
2016	1	17072	Missouri Valley
2016	1	17072	Mountain West
2016	1	17072	Northeast
2016	1	17072	OVC
2016	1	17072	Pac-12
2016	1	17072	Patriot
2016	1	17072	Southeastern
2016	1	17072	Southern
2016	1	17072	Southland
2016	1	17072	Southwestern
2016	1	17072	Summit League
2016	1	17072	Sun Belt
2016	1	17072	West Coast
2016	1	17072	Western Athletic
2015	1	13003	AAC
2015	1	13003	ASUN
2015	1	13003	America East
2015	1	13003	Atlantic 10
2015	1	13003	Atlantic Coast
2015	1	13003	Big 12
2015	1	13003	Big East
2015	1	13003	Big South
2015	1	13003	Big Ten
2015	1	13003	Big West
2015	1	13003	Colonial
2015	1	13003	Conference USA
2015	1	13003	Horizon
2015	1	13003	Independent
2015	1	13003	Ivy League
2015	1	13003	Metro Atlantic
2015	1	13003	Mid-American
2015	1	13003	Mid-Eastern
