"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Mike Weinhold","Alvernia","Fr.","P","7","35.7","17","4.29"
"2","Brian Gasser","Marietta","Jr.","P","9","55.0","27","4.42"
"3","Zack Rudman","Skidmore","Jr.","1B","9","42.7","21","4.43"
"4","Zach Guiles","Penn St.-Berks","Fr.","3B","9","46.0","24","4.70"
"5","Kendall Paluch","Loras","Fr.","P","9","53.0","28","4.75"
"6","Mike Russo","Kean","Jr.","P","10","62.0","33","4.79"
"7","Michael Schweiss","Dallas","Jr.","P","19","54.3","29","4.81"
"8","Matt Paz","Purchase St.","So.","P","8","43.0","24","5.02"
"9","Phillip Bertocci","Clark (MA)","Sr.","P","13","38.3","22","5.17"
"10","Mark Williams","Marietta","Sr.","P","14","49.7","29","5.25"
"11","Nick Laracuente","Skidmore","Sr.","P","9","61.0","36","5.31"
"12","Brendan Close","Moravian","Jr.","P","10","71.7","43","5.40"
"13","Chris Chismar","SUNY New Paltz","So.","P","9","54.7","33","5.43"
"14","Mike Pereslucha","Allegheny","Sr.","P","7","38.0","23","5.45"
"15","Pat Gale","Staten Island","Sr.","P","8","52.0","32","5.54"
"16","Brian Rauh","Chapman","So.","P","11","82.3","51","5.58"
"17","Jason Pankau","Ill. Wesleyan","Sr.","P","10","64.0","40","5.63"
"18","Andrew Kirk","Alvernia","Jr.","P","7","49.0","31","5.69"
"19","Pj Cerreto","Ramapo","So.","P","8","45.3","29","5.76"
"20","Christopher Smith","SUNY Oneonta","Jr.","P","9","47.7","31","5.85"
"21","Sylvestor Nino","Heidelberg","Jr.","P","9","41.3","27","5.88"
"22","Jared McIntosh","Augustana (IL)","So.","OF","8","50.3","33","5.90"
"23","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","44","5.91"
"24","Robert Vaughn","Linfield","Sr.","P","9","54.7","36","5.92"
"25","Liam O'Brien","Whitworth","Sr.","P","11","47.7","32","6.04"
"26","Dj Keckler","Wesley","Jr.","P","11","56.0","38","6.11"
"27","Greg Ross","Frostburg St.","Sr.","P","13","76.0","52","6.16"
"28","Matt Wiegand","Johns Hopkins","Sr.","P","10","53.7","37","6.20"
"29","Travis Zilg","Ramapo","So.","P","11","59.3","41","6.22"
"30","Mike Swietanski","Rowan","Sr.","P","8","44.7","31","6.24"
"31","Mike Moyer","Penn St.-Behrend","So.","P","7","41.7","29","6.26"
"","Lee Schurlknight","Sewanee","Fr.","P","11","41.7","29","6.26"
"33","John Peters","Augustana (IL)","Jr.","P","10","37.3","26","6.27"
"34","Andrew Janiga","Trinity (CT)","Sr.","P","9","50.0","35","6.30"
"","Byron Minnich","Cal Lutheran","Jr.","P","24","40.0","28","6.30"
"36","Greg Ball","Principia","Jr.","P","13","67.0","47","6.31"
"37","Michael Mahay","SUNY Cortland","Sr.","P","9","51.3","36","6.32"
"38","Aric Dama","MIT","So.","OF","13","52.7","37","6.32"
"39","Kevin Culbert","Widener","Sr.","P","8","48.3","34","6.34"
"40","Jason Wierschke","Ripon","Sr.","P","8","41.0","29","6.37"
"41","Matt Vucovich","Benedictine (IL)","So.","P","8","36.7","26","6.38"
"42","David Massengill","Greenville","Sr.","OF","8","43.7","31","6.38"
"43","Glenn Nowell","Edgewood","Jr.","P","8","38.0","27","6.39"
"44","Andrew Grann","SUNY New Paltz","Fr.","P","8","47.7","34","6.42"
"45","Nathan Adams","Husson","Jr.","P","11","74.3","53","6.42"
"46","Chris Greiner","Salisbury","Sr.","P","12","81.3","58","6.42"
