"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Robert Trucott","Lyndon St.","Jr.","C","29","81","1","81.0"
"2","Greg Mehuron","Colby-Sawyer","Sr.","SS","41","135","2","67.5"
"3","Kyle Allaire","Rhode Island Col.","Sr.","SS","31","125","2","62.5"
"4","Mitch Glasser","Macalester","Sr.","INF","37","122","2","61.0"
"5","Eric Dawson","Hope","So.","3B","35","111","2","55.5"
"6","Pete O'Hara","Delaware Valley","So.","OF","38","160","3","53.3"
"7","Anthony Longhitano","Baldwin-Wallace","Sr.","SS","24","97","2","48.5"
"8","Shawn Miller","Concordia Chicago","Jr.","OF","36","145","3","48.3"
"9","Justin Jirschele","Wis.-Stevens Point","Sr.","3B","34","143","3","47.7"
"10","Colton Houseal","Penn St.-Harrisburg","So.","OF","38","133","3","44.3"
"11","A.J. Nathan","Ill. Wesleyan","Jr.","C","35","127","3","42.3"
"12","Chris Ray","Alvernia","Jr.","INF","36","111","3","37.0"
"13","Justin Anderson","Stevenson","Sr.","1B","44","183","5","36.6"
"14","null J.Lapp","Messiah","So.","-","39","107","3","35.7"
"15","Anthony Delury","St. Joseph's (L.I.)","Sr.","OF","39","102","3","34.0"
"16","Rob Benedict","Wesley","Sr.","INF","42","169","5","33.8"
"17","Cameron D'Agostino","Newbury","Fr.","INF","34","97","3","32.3"
"18","Joe Corey","Becker","Sr.","OF","37","129","4","32.3"
"19","Andre Nichols","N.C. Wesleyan","Sr.","INF","38","161","5","32.2"
"20","Cole Heberling","Anderson (IN)","Fr.","C","28","96","3","32.0"
"21","Jack Montanile","Wm. Paterson","Sr.","OF","38","154","5","30.8"
"22","Zack Vesco","Wooster","Sr.","INF","34","92","3","30.7"
"23","Jon Ponte","Hope","Sr.","C","35","118","4","29.5"
"24","Andrew Goldstick","Washington-St. Louis","Fr.","-","33","116","4","29.0"
"","Kyle DiFranco","Springfield","Jr.","OF","27","87","3","29.0"
"26","Evin Eichelberger","LaGrange","So.","INF","36","114","4","28.5"
"27","Dave Zubia","Moravian","Sr.","INF","38","135","5","27.0"
"28","Dave Prager","Eastern","Jr.","1B","37","134","5","26.8"
"29","Steve DiNanno","Oberlin","So.","C","36","107","4","26.8"
"30","John Martin","Merchant Marine","Fr.","-","32","106","4","26.5"
"31","null Goeggelman","Waynesburg","Fr.","-","36","105","4","26.3"
"32","Nick Turano","Rowan","Sr.","C","38","157","6","26.2"
"33","Matt Busse","Carroll (WI)","Sr.","INF","29","104","4","26.0"
"34","Adam Nisenson","Coe","Sr.","OF","35","123","5","24.6"
"35","Donny Lee","Alma","Sr.","INF","31","98","4","24.5"
"36","Christian Muscarello","Trinity (TX)","So.","INF","44","171","7","24.4"
"37","Cody Nevils","Wis. Lutheran","So.","OF","32","121","5","24.2"
"38","Quinn Griffith","Salisbury","So.","INF","36","120","5","24.0"
"","Nick Perrotte","Minn.-Morris","So.","P","30","96","4","24.0"
"40","Ben Esser","Guilford","Jr.","INF","32","118","5","23.6"
"41","Dan Savage","Lynchburg","Jr.","2B","41","160","7","22.9"
"42","Tristan Keyser","Rutgers-Camden","Sr.","OF","34","114","5","22.8"
"43","Nic Lops","St. Joseph's (ME)","Fr.","C","35","112","5","22.4"
"44","Pat Cody","Gettysburg","Jr.","OF","34","134","6","22.3"
"45","Jimmy Dercks","Rockford","Sr.","INF","34","133","6","22.2"
"46","Connor Cline","Saint John's (MN)","Jr.","P","31","88","4","22.0"
"47","Marc Magliaro","Rowan","Sr.","INF","38","173","8","21.6"
"48","Brett Detty","Anderson (IN)","Sr.","SS","33","129","6","21.5"
"49","T.J. Alcorn","Stevens","Sr.","C","35","107","5","21.4"
"50","Ryan Scheetz","Buena Vista","Jr.","OF","34","127","6","21.2"
