"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Jordan Walton","Randolph-Macon","Jr.","1B","42","176","127"
"2","Kyle Felix","Trinity (TX)","Sr.","C","44","170","124"
"3","Chad Mullins","Case","Sr.","3B","43","169","122"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","169","122"
"5","Connor Madden","Chris. Newport","Jr.","INF","44","170","120"
"6","T.C. Lee","Willamette","Sr.","OF","40","144","113"
"7","Spencer Brunson","Mississippi Col.","Jr.","INF","42","168","111"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","123","111"
"9","Dave Ahern","Babson","Sr.","P","38","144","110"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","138","110"
"11","Sam Alexander","Case","Jr.","OF","42","173","108"
"","Mike Eaton","Southern Me.","Sr.","OF","33","130","108"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","175","108"
"14","Matt Shoemaker","Chris. Newport","Jr.","INF","44","168","107"
"15","Nick Broyles","Bluffton","Jr.","OF","36","142","106"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","156","106"
"17","Kevin Callahan","Ill. Wesleyan","So.","1B","34","122","105"
"","Drew Leachman","Birmingham-So.","Sr.","INF","39","162","105"
"","Nick Skala","Concordia Chicago","Jr.","C","33","135","105"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","155","105"
"21","Nick Boggan","Cal Lutheran","So.","INF","40","149","104"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","135","104"
"23","Trey Forbes","Manchester","Sr.","C","36","144","103"
"","Will Hawkins","Millsaps","Sr.","INF","42","171","103"
"25","John Holm","Wabash","Jr.","INF","39","140","102"
"26","Brendan Pilger","Oglethorpe","Sr.","OF","42","154","100"
"27","Bobby Doyon","Keene St.","Sr.","OF","37","153","99"
"","Ty Foster","Manchester","Sr.","INF","36","151","99"
"","Max Stepan","Willamette","Sr.","C","39","134","99"
"30","Nick Pappas","Trinity (TX)","Jr.","INF","44","163","97"
"31","Cole Bixenman","Linfield","Sr.","C","37","141","96"
"","Nick Clifton","Texas-Tyler","Sr.","1B","39","136","96"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","139","96"
"","Wes Meadows","Otterbein","So.","3B","36","133","96"
"","Andrew Vallejo","Whittier","Jr.","OF","39","153","96"
"36","Kevin Brashears","Shenandoah","Sr.","OF","39","156","95"
"","Charlie Carluccio","Haverford","Sr.","SS","39","148","95"
"","Patrick Riebsame","Emory","Sr.","OF","42","154","95"
"","Brennyn Smith","Sul Ross St.","So.","3B","36","151","95"
"40","Andrew Thole","Thomas More","Jr.","1B","28","100","94"
"41","John Apostolo","Mitchell","Jr.","P","25","93","93"
"","Kyle Niermann","Bluffton","So.","P","36","166","93"
"","Matt Thompson","McMurry","Jr.","1B","41","153","93"
"44","Matt Forgatch","Denison","Sr.","3B","36","124","92"
"","Jordan Marks","Louisiana Col.","Jr.","INF","43","141","92"
"","Chase Tucker","Redlands","Jr.","INF","36","143","92"
"47","Brandon Benton","Mississippi Col.","Sr.","OF","37","126","91"
"","William Bissell","Gallaudet","Fr.","OF","42","128","91"
"","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","152","91"
"","Ken Gregory","Kean","Sr.","OF","37","138","91"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","91"
"","Landon Scott","Whitworth","Jr.","INF","40","149","91"
"","Ryan Yezak","East Tex. Baptist","Sr.","INF","40","153","91"
"54","Kyle Davis","Piedmont","Jr.","OF","38","164","90"
"","Brian Henry","Keystone","Sr.","C","33","116","90"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","147","90"
"","Matt Keen","Case","So.","SS","43","177","90"
"","Nick Stoia","Franklin","So.","INF","34","141","90"
