"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Josh Pond","Cal St. San B'dino","Jr.","P","21","21.7","16"
"2","Heath Wyatt","Southeastern Okla.","Sr.","P","28","63.7","15"
"3","Michael Cotter","Emporia St.","Sr.","P","15","18.7","14"
"4","Brian Thompson","Quincy","Jr.","P","17","18.7","13"
"","Cameron Culp","Limestone","So.","P","28","41.3","13"
"","Sammy Rivas","St. Mary's (TX)","Sr.","P","28","36.0","13"
"7","Brett Macari","Fort Hays St.","Jr.","INF","18","41.0","12"
"","Ryan Turner","Tarleton St.","Jr.","P","23","35.0","12"
"","Elroy Urbina","Incarnate Word","Sr.","P","28","34.0","12"
"10","Philip Forbis","Bellarmine","So.","P","20","26.0","11"
"","Juan Guerra","Cal St. Chico","Jr.","P","20","26.3","11"
"","Kaleb Wilson","Saint Martin's","Sr.","OF","21","38.7","11"
"","Mitch Rossi","New Haven","Sr.","P","22","29.0","11"
"","Jacob Rickett","North Ga.","Sr.","P","24","40.0","11"
"15","Brenden Shepard","Stonehill","Sr.","P","17","19.7","10"
"","Shane Waller","West Fla.","Sr.","P","17","20.3","10"
"17","Ryan Harper","Saint Rose","Fr.","P","15","20.7","9"
"","Michael Johnston","Southern Conn. St.","Sr.","P","16","24.3","9"
"","Sean Albury","Nova Southeastern","Sr.","P","20","22.3","9"
"","Daniel Zapata","Dixie St.","Jr.","P","20","24.7","9"
"","Wil Huneycutt","Catawba","Sr.","P","29","38.0","9"
"22","Mahlon Zimmermann","Minn. St. Mankato","So.","P","15","20.7","8"
"","Josh Wesson","Henderson St.","Sr.","P","18","17.3","8"
"","Jordan Cudney","Belmont Abbey","Sr.","P","19","31.7","8"
"","Braxton Lewis","UNC Pembroke","Jr.","P","21","36.3","8"
"","Max Rusch","Flagler","Jr.","P","27","62.3","8"
"27","Chris Saroff","Indianapolis","Jr.","P","10","19.3","7"
"","Evan Kendall","West Virginia St.","Sr.","P","12","14.0","7"
"","Bret Severtson","Augustana (SD)","Sr.","P","14","20.7","7"
"","Zach Eckley","Millersville","Sr.","P","15","15.7","7"
"","Dallas Nunes","Mass.-Lowell","Jr.","P","15","23.0","7"
"","Ryan Oglesby","Slippery Rock","Fr.","P","16","29.3","7"
"","Jeremy Flores","Tex. A&M-Kingsville","So.","P","17","35.0","7"
"","Tyler King","Barry","Sr.","P","19","31.3","7"
"","Tyler Sturkie","Newberry","So.","INF","22","28.0","7"
"","Tony Hearell","Mars Hill","Jr.","P","23","36.7","7"
"","Tanner Moore","Georgia College","Sr.","P","23","27.0","7"
"","James Conlee","Angelo St.","So.","P","28","53.7","7"
"39","Ty Jacobs","Metro St.","Jr.","SS","10","11.3","6"
"","Matt Frahm","Lewis","So.","P","13","16.0","6"
"","Billy Hurley","Wayne St. (MI)","Jr.","P","13","26.0","6"
"","Brad Zambron","Grand Valley St.","So.","P","17","26.3","6"
"","Alejandro De Moya","Palm Beach Atl.","So.","P","18","31.0","6"
"","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","6"
"","Kody Kibler","Shippensburg","Sr.","P","20","15.7","6"
"","Tim Kiley","Tampa","Jr.","P","20","32.0","6"
"","Brian Satterfield","Columbus St.","Sr.","P","20","38.0","6"
"","Eilas Tuma","UC San Diego","Jr.","P","21","34.0","6"
"","Kris Carlson","Abilene Christian","Jr.","P","22","33.0","6"
"","Jayson Huett","Northwest Mo. St.","Sr.","P","25","62.3","6"
"51","Brett Julian","Merrimack","So.","P","10","9.7","5"
"","Brian Howe","Mont. St. Billings","Sr.","P","12","16.3","5"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","12","12.0","5"
"","Andrew Pinkleman","Ashland","Jr.","P","12","18.7","5"
"","Steve Varela","Queens (NY)","So.","SS","12","13.0","5"
"","Daniel Pelan","Molloy","So.","P","13","14.0","5"
"","Brian Giles","North Greenville","Sr.","P","14","21.3","5"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","14","46.0","5"
"","Jacob Saxon","Anderson (SC)","Fr.","P","14","13.7","5"
"","Joel Sessions","North Ala.","Sr.","P","14","14.3","5"
"","Jared Bowser","N.M. Highlands","Jr.","P","15","15.0","5"
"","Thomas Landeros","Cal St. L.A.","Sr.","P","15","25.0","5"
"","Kirk Lind","Western Ore.","Jr.","P","15","47.0","5"
"","Ryne Schwenke","St. Cloud St.","Sr.","P","15","22.7","5"
"","Bronson Smith","Harding","Fr.","P","15","23.0","5"
"","Paul Brock","Cal St. Monterey Bay","Jr.","P","16","68.7","5"
"","Matt Casino","Chestnut Hill","Sr.","P","16","25.7","5"
"","Dan Pochmara","Hillsdale","Fr.","P","16","21.7","5"
"","Tyler Riddle","Mo. Western St.","Jr.","P","16","25.3","5"
"","Justin Somers","Wingate","So.","P","16","56.3","5"
"","Sean Stevenson","American Int'l","Sr.","P","16","17.3","5"
"","Jimmy Milani","Adelphi","So.","P","17","17.7","5"
"","Dustin Pannell","King (TN)","Jr.","P","17","18.7","5"
"","Brian Burgess","West Ala.","Sr.","P","18","25.7","5"
"","Jeff Fisher-Gasper","Tex. Permian Basin","Jr.","P","18","18.3","5"
"","James Rhodes","Cameron","Jr.","P","18","58.3","5"
"","Tim Pomierski","Colorado St.-Pueblo","Jr.","P","19","39.3","5"
"","Sheldon Lechuga","Cal St. Chico","Sr.","P","20","27.0","5"
"","Jake Kresse","Neb.-Kearney","Sr.","P","21","36.3","5"
"","Evan Jones","Drury","Sr.","P","23","25.7","5"
"","Luke Wilhelm","Pfeiffer","Sr.","INF","24","36.3","5"
"82","Aaron Short","Christian Bros.","Sr.","C","8","10.3","4"
"","Christian Wise","Southwestern Okla.","Jr.","INF","9","11.3","4"
"","Matt Kline","Bloomsburg","Sr.","P","11","10.0","4"
"","Ian Ocon","Sonoma St.","So.","P","12","42.3","4"
"","Joey Van Cleave","Sonoma St.","Jr.","P","12","22.3","4"
"","Justin Drzewicki","Saginaw Valley","So.","P","13","19.0","4"
"","Matt Atkins","Ky. Wesleyan","Sr.","P","14","32.7","4"
"","Robert Bennetti","Caldwell","Fr.","P","14","32.0","4"
"","Geoff Broussard","Cal Poly Pomona","Jr.","P","14","29.3","4"
"","Harry Dunsford","Missouri S&T","So.","P","14","16.3","4"
"","Alex Naggy","Pitt.-Johnstown","Jr.","P","14","45.0","4"
"","Christian Turnipseed","Charleston (WV)","Fr.","P","14","18.3","4"
"","Brett Hauber","Felician","Jr.","P","15","55.3","4"
"","Dan Marcacci","Southern Ind.","Sr.","P","15","45.3","4"
"","Anthony Smith","Eastern N.M.","Sr.","P","15","55.7","4"
"","Brett Stewart","Ark.-Monticello","Sr.","P","15","21.3","4"
"","Brian Warheit","Seton Hill","Sr.","P","15","29.7","4"
"","Dan Morris","Felician","Sr.","P","16","36.0","4"
"","Ed Schlueter","St. Joseph's (IN)","Sr.","P","17","31.0","4"
"","Zac Treece","Ouachita Baptist","Jr.","P","18","26.7","4"
"","Stephen Vaughn","Wingate","Fr.","P","18","30.0","4"
"","Ross Davis","Lander","Jr.","P","19","22.7","4"
"","Wilson Taylor","Augusta St.","Jr.","P","19","39.3","4"
"","Jacob Valenzuela","Cal St. L.A.","Jr.","P","19","31.3","4"
"","Zach Walker","West Tex. A&M","Jr.","P","19","36.3","4"
"","Jason Whelan","Lynn","Jr.","P","20","35.7","4"
"","Atlee Pearson","Erskine","Sr.","P","21","48.3","4"
"","Laurent Zenoni","Drury","So.","P","22","23.0","4"
"","Gray Carden","Ga. Southwestern","Jr.","P","25","38.7","4"
"","Ryan Fillers","Carson-Newman","So.","P","25","50.3","4"
"","Wes Rich","Montevallo","Jr.","P","25","33.3","4"
"113","Rob Nicholas","Franklin Pierce","Sr.","P","4","4.0","3"
"","Taylor Schwarz","Wis.-Parkside","Sr.","INF","5","5.3","3"
"","John Bolding","Erskine","Sr.","INF","8","11.7","3"
"","Matthew Cummins","San Fran. St.","Jr.","SS","8","17.7","3"
