"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Chad Zurcher","Memphis","Jr.","INF","42","151","71","28","14","3","5","0.577"
"2","Tyler Jones","LIU Brooklyn","Jr.","C","41","137","61","25","11","1","1","0.557"
"3","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","54","43","20","4","1","0.557"
"4","Anthony Rendon","Rice","Jr.","3B","44","143","50","62","4","1","0","0.552"
"5","Tanner Waite","New Mexico St.","Fr.","C","43","124","52","35","3","3","1","0.545"
"6","Brad Miller","Clemson","Jr.","INF","37","126","55","28","0","1","2","0.535"
"7","Scott Davis","Delaware St.","Jr.","INF","43","158","70","17","14","1","6","0.532"
"8","Jarrod Parks","Mississippi St.","Sr.","3B","42","143","58","27","12","1","4","0.530"
"9","Tyler McNeely","Illinois St.","Sr.","OF","40","124","46","31","13","2","3","0.529"
"10","Frazier Hall","Southern U.","Sr.","INF","41","153","65","29","9","6","0","0.523"
"11","Joe Panik","St. John's (NY)","Jr.","INF","39","151","62","31","5","1","0","0.521"
"12","Jimmy Brenneman","Campbell","Jr.","OF","43","141","49","23","30","2","1","0.520"
"13","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","75","31","2","1","2","0.519"
"14","C.J. Cron","Utah","Jr.","C","37","154","69","21","4","3","0","0.516"
"15","Parker Hipp","New Mexico St.","So.","C","38","127","50","34","3","5","1","0.515"
"16","Erich Weiss","Texas","Fr.","3B","44","146","55","36","6","2","9","0.511"
"17","Aaron Westlake","Vanderbilt","Jr.","1B","43","157","60","34","6","0","0","0.508"
"18","Pablo Bermudez","FIU","Jr.","OF","41","159","61","39","1","0","6","0.508"
"19","Eric Phillips","Ga. Southern","Jr.","INF","44","176","76","21","6","1","1","0.505"
"20","A.J. Miller","Lafayette","Sr.","C","38","131","55","26","0","4","0","0.503"
"21","Scott Woodward","Coastal Caro.","Sr.","OF","42","147","54","28","17","5","5","0.503"
"22","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","78","17","8","1","2","0.502"
"23","Bo Cuthbertson","Southern Utah","Jr.","SS","39","149","67","18","1","4","0","0.500"
"24","Dan Gulbransen","Jacksonville","So.","OF","42","163","64","35","2","3","0","0.498"
"25","Peter Copa","Massachusetts","Sr.","3B","35","121","43","23","11","0","2","0.497"
"26","Taylor Davis","Morehead St.","Jr.","C","38","140","55","29","0","1","0","0.494"
"27","Brandon Elliott","Murray St.","So.","INF","34","123","52","9","8","0","10","0.493"
"28","Ricky Pacione","Marist","Sr.","OF","42","167","66","28","6","2","0","0.493"
"29","Cole Frenzel","Arizona","So.","INF","43","162","62","23","14","2","5","0.493"
"30","Johnny Bladel","James Madison","So.","OF","40","148","54","34","10","7","3","0.492"
"31","Eric Helmrich","Marist","Jr.","DH","33","104","43","12","6","2","2","0.492"
"32","Kolten Wong","Hawaii","Jr.","INF","40","151","59","28","3","1","0","0.492"
"33","Adam Brett Walker","Jacksonville","So.","C","42","169","70","22","5","2","0","0.490"
"34","Sean Jamieson","Canisius","Sr.","SS","42","148","56","26","8","2","2","0.489"
"35","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","65","25","5","2","6","0.487"
"36","Mikie Mahtook","LSU","Jr.","OF","45","151","55","34","4","2","0","0.487"
"37","Conrad Gregor","Vanderbilt","Fr.","OF","35","88","32","21","0","0","1","0.486"
"38","Tyler Grimes","Wichita St.","Jr.","INF","47","175","55","42","16","0","2","0.485"
"39","Ross Heffley","Western Caro.","Jr.","OF","40","171","73","20","2","3","0","0.485"
"40","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","134","53","16","9","2","3","0.484"
"41","David Miller","Purdue","Jr.","INF","39","112","33","32","9","0","3","0.484"
"42","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","65","16","6","2","2","0.483"
"43","Mark Micowski","Georgia St.","Sr.","OF","46","190","75","33","2","3","4","0.482"
"44","Levi Michael","North Carolina","Jr.","SS","41","149","50","38","7","3","0","0.482"
"45","Brandon Hairston","Norfolk St.","Sr.","1B","40","132","47","31","2","1","3","0.482"
"46","Zach Price","Army","Jr.","INF","43","150","51","32","9","0","5","0.482"
"47","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","179","70","28","6","3","0","0.481"
"48","Michael Chiaravalloti","Iona","Jr.","1B","35","100","33","28","1","0","0","0.481"
"49","Rob Kral","Col. of Charleston","Jr.","C","45","154","51","45","2","3","2","0.480"
"50","Chris O'Brien","Wichita St.","Jr.","C","47","183","74","25","4","3","0","0.479"
"51","John Rasberry","Norfolk St.","Sr.","OF","37","129","49","18","9","3","5","0.478"
"52","Effrey Valdez","NYIT","Sr.","INF","33","118","48","14","3","1","0","0.478"
"53","Marty Gantt","Col. of Charleston","Jr.","OF","45","175","58","44","6","1","1","0.478"
"54","Kevan Smith","Pittsburgh","Sr.","C","39","151","61","17","7","3","0","0.478"
"55","Jamodrick McGruder","Texas Tech","So.","INF","46","162","48","33","25","2","5","0.477"
"56","Alex Hudak","Fla. Atlantic","Jr.","OF","43","152","61","20","2","0","0","0.477"
"57","John Schultz","Pittsburgh","Sr.","OF","41","152","54","35","2","2","4","0.476"
"58","Jeff Kremer","Duke","So.","C","47","164","59","35","5","4","1","0.476"
"59","Taylor Roy","Southern U.","Jr.","OF","37","125","41","26","12","3","0","0.476"
"","Joe Winker","Mercer","Sr.","OF","45","137","53","22","4","3","4","0.476"
"61","Dan Schafferman","George Mason","Jr.","OF","38","147","53","29","6","3","0","0.476"
"62","Emory Barkley","Savannah St.","Sr.","C","41","115","41","24","2","0","2","0.475"
"63","Mike Nemeth","Connecticut","Sr.","INF","45","175","63","35","5","2","0","0.475"
"64","Tyler Naquin","Texas A&M","So.","OF","43","169","69","18","6","4","0","0.472"
"65","Matt Leeds","Col. of Charleston","Jr.","INF","44","168","62","30","7","5","0","0.471"
"66","Ryan Aguayo","New Mexico St.","Sr.","INF","44","149","53","33","2","3","0","0.471"
"","Mike Mercurio","High Point","So.","INF","35","134","45","22","13","1","2","0.471"
"68","Rob Lind","Georgia St.","Sr.","2B","46","154","49","43","3","2","2","0.470"
"69","Brock Stassi","Nevada","Sr.","P","39","136","48","27","4","1","4","0.470"
"70","Paul Hoilman","East Tenn. St.","Sr.","1B","42","154","49","39","5","0","0","0.470"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","154","53","31","9","4","3","0.470"
"72","Zeke DeVoss","Miami (FL)","So.","OF","44","156","48","41","9","3","2","0.469"
"73","James Taylor","Norfolk St.","So.","OF","39","122","41","26","5","1","1","0.468"
"74","Ryan Court","Illinois St.","Sr.","INF","40","142","45","31","10","1","0","0.467"
"75","Ronnie Freeman","Kennesaw St.","So.","C","43","160","58","28","7","4","0","0.467"
"76","David Coleman","Virginia","Sr.","OF","42","120","48","7","9","1","5","0.467"
"77","C.J. Gillman","Dayton","Jr.","INF","44","175","65","27","6","2","0","0.467"
"","Shane Kennedy","North Florida","Fr.","INF","31","103","40","12","4","1","5","0.467"
"79","Neal Pritchard","Elon","Sr.","INF","46","145","46","28","15","3","3","0.466"
"80","Kris Bryant","San Diego","Fr.","3B","41","151","52","27","9","2","1","0.466"
"81","Danny Muno","Fresno St.","Sr.","INF","38","139","48","29","4","2","1","0.466"
"82","Ben Hammer","Toledo","Jr.","OF","42","145","54","18","8","1","6","0.465"
"","Mike Tauchman","Bradley","So.","OF","39","138","47","29","4","1","2","0.465"
"84","Ryan Burgess","Radford","So.","1B","37","95","36","11","6","2","1","0.465"
"85","Jonathan Davis","Central Ark.","Fr.","INF","36","128","47","17","7","1","3","0.464"
"86","Ivory Thomas","Cal St. Fullerton","So.","OF","33","103","30","19","15","1","3","0.464"
"87","Jann Butler","Alcorn St.","Jr.","OF","38","96","30","17","10","0","1","0.463"
"","Mike McCann","Manhattan","Sr.","OF","38","136","53","19","4","5","3","0.463"
"89","Andrew Parker","Towson","So.","C","40","129","44","16","15","2","1","0.463"
"90","Matt Mack","Radford","Jr.","3B","43","165","65","19","3","1","3","0.463"
"91","Ken Battiston","Eastern Mich.","Sr.","OF","42","169","63","27","3","2","6","0.463"
"","Keith Hernandez","Delaware St.","Sr.","INF","44","158","50","36","7","0","6","0.463"
"","Jeff McVaney","Texas St.","Jr.","OF","44","160","55","27","11","3","2","0.463"
"94","Jon Berti","Bowling Green","Jr.","INF","35","135","50","18","6","1","0","0.463"
"","Greg Kumpel","Saint Joseph's","So.","INF","38","139","54","13","7","1","0","0.463"
"96","Andrew Deeds","Morehead St.","Jr.","OF","40","145","54","18","8","2","0","0.462"
"","Alex Foltz","James Madison","Sr.","OF","37","139","50","24","6","4","2","0.462"
"98","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","161","61","23","8","7","3","0.462"
"99","George Springer","Connecticut","Jr.","OF","45","170","63","20","15","7","0","0.462"
"100","Kilby Perdomo","Alcorn St.","Sr.","OF","37","136","53","14","6","2","0","0.462"
"101","Tyler Ogle","Oklahoma","Jr.","C","44","148","50","26","9","1","1","0.462"
"102","Marc Bourgeois","Southern Miss.","Sr.","OF","39","142","54","21","2","2","4","0.461"
"","Andrew Caron","Mt. St. Mary's","Sr.","C","41","133","44","28","5","1","0","0.461"
"104","Chris Burke","Iona","Jr.","INF","41","147","54","16","12","3","3","0.461"
"105","Sam Dove","Georgia Tech","So.","INF","36","104","38","15","5","2","2","0.460"
"","John Lenherr","VCU","Sr.","OF","41","164","62","21","4","0","1","0.460"
"107","Steve Antolik","High Point","Sr.","OF","44","174","66","21","5","0","0","0.460"
"108","Dave Ciocchi","Binghamton","Jr.","1B","37","133","46","26","2","0","0","0.460"
"109","James Ramsey","Florida St.","Jr.","OF","44","164","59","26","6","2","1","0.460"
"110","Trever Adams","Creighton","Sr.","INF","41","163","67","13","4","3","1","0.459"
"111","Nick Ciardiello","Holy Cross","Sr.","OF","48","168","58","20","17","2","0","0.459"
"112","Clark Wise","Wofford","So.","OF","39","119","40","20","7","0","4","0.459"
"113","Joey Rapp","La.-Monroe","Jr.","INF","43","157","53","32","4","1","0","0.459"
"114","Xavier Macklin","N.C. A&T","Jr.","OF","43","143","49","29","5","4","0","0.459"
"115","Ryan Haas","Delaware St.","So.","INF","43","166","63","22","3","1","1","0.458"
"116","Sam Roberts","VMI","Sr.","INF","44","168","62","28","3","4","0","0.458"
"117","Mike Zunino","Florida","So.","C","44","155","59","20","3","1","1","0.458"
"118","Khayyan Norfork","Tennessee","Sr.","2B","42","157","55","25","7","1","2","0.458"
"119","Nick Chinners","Charleston So.","Sr.","1B","39","136","47","26","3","1","0","0.458"
"","Beau Hanowski","South Dakota St.","Jr.","OF","37","139","50","21","5","1","3","0.458"
"121","Tyler Sibley","Texas St.","Jr.","INF","41","169","61","28","3","1","5","0.458"
"","Matt Skole","Georgia Tech","Jr.","3B","43","164","58","34","0","3","0","0.458"
"123","Jarryd Reid","Florida A&M","Jr.","OF","38","133","51","19","0","1","0","0.458"
"124","John Koszulinski","Western Ill.","Sr.","C","44","143","41","27","18","0","1","0.457"
"125","Matt Pace","Ark.-Pine Bluff","Sr.","3B","41","137","44","30","6","2","0","0.457"
"126","Chris Wolfe","Grambling","Jr.","INF","39","149","50","27","8","2","1","0.457"
"127","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","61","20","9","1","1","0.457"
"128","Matt Gedman","Massachusetts","Sr.","SS","35","148","62","12","0","2","2","0.457"
"129","Chris Cook","George Mason","So.","INF","43","159","51","20","24","5","3","0.457"
"130","Justin Cook","Texas Southern","Jr.","P","42","135","45","17","17","4","0","0.457"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","144","50","20","9","0","2","0.457"
"132","Pat Epps","Central Conn. St.","Sr.","INF","41","141","45","33","6","4","1","0.457"
"133","Christian Walker","South Carolina","So.","INF","43","166","62","22","5","2","0","0.456"
"134","Thomas Carroll","Mercer","Sr.","OF","46","183","66","30","2","0","1","0.456"
"135","Evan Mistich","Oklahoma","Jr.","INF","37","119","42","18","7","3","3","0.456"
"136","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","154","57","18","7","1","0","0.456"
"137","Mike McGee","Florida St.","Sr.","OF","43","150","50","33","3","3","0","0.455"
"138","Brent Tanner","South Ala.","Sr.","C","43","167","60","25","6","2","0","0.455"
"139","Billy Burns","Mercer","Jr.","OF","45","173","57","29","13","3","5","0.454"
"140","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","60","20","4","2","1","0.454"
"141","Tyler Hall","Central Mich.","Jr.","INF","44","169","59","25","9","2","0","0.454"
"142","Colin Moran","North Carolina","Fr.","3B","43","161","56","31","1","1","0","0.454"
"143","Jeremy Schaffer","Tulane","Jr.","C","44","164","61","22","4","2","0","0.453"
"144","Jacob Tanis","Mercer","Jr.","3B","46","184","65","28","8","3","0","0.453"
"145","Dexter Kelley","Savannah St.","Sr.","OF","48","167","52","31","13","1","1","0.453"
"146","Ryan Jones","Michigan St.","So.","INF","38","150","54","21","6","2","2","0.453"
"147","Jordan Castaldo","Arkansas St.","Sr.","INF","46","159","46","42","7","2","2","0.452"
"148","Seth Willoughby","Xavier","So.","INF","43","129","44","19","8","1","4","0.452"
"149","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","65","19","5","0","0","0.452"
"150","Ryan Brown","William & Mary","So.","OF","46","144","42","32","10","0","10","0.452"
"151","Joel Blake","South Dakota St.","Sr.","1B","37","147","54","24","1","3","0","0.451"
"152","Ben Klafczynski","Kent St.","Sr.","OF","42","164","59","29","0","2","0","0.451"
