"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","9","2.64"
"2","Keegan Thompson","Auburn","Fr.","P","6","46.1","18","3.50"
"3","David Bednar","Lafayette","Fr.","P","3","18.2","8","3.86"
"","Sean Newcomb","Hartford","Jr.","P","5","32.2","14","3.86"
"5","Chase Mallard","UAB","Sr.","P","6","43.2","19","3.92"
"6","Chad Martin","Delaware","Fr.","P","6","32.0","14","3.94"
"7","Chris McKenna","Monmouth","Jr.","P","5","30.1","14","4.15"
"8","Aaron Nola","LSU","Jr.","P","6","40.1","19","4.24"
"9","Josh Sborz","Virginia","So.","P","6","31.2","15","4.26"
"10","Tyler Ferguson","Vanderbilt","So.","P","6","33.2","16","4.28"
"","Anthony Magovney","Buffalo","Jr.","P","5","33.2","16","4.28"
"12","Jake Stinnett","Maryland","Sr.","P","6","42.0","20","4.29"
"13","Kyle Hart","Indiana","Jr.","P","8","31.1","15","4.31"
"14","Brent Jurceka","Evansville","So.","P","8","20.2","10","4.35"
"15","Jared Lyons","Liberty","Jr.","P","8","34.1","17","4.46"
"16","Andy Cox","Tennessee","So.","P","14","32.0","16","4.50"
"","Alex Daniele","NJIT","Fr.","P","4","26.0","13","4.50"
"","Grant Gunning","Seattle","So.","P","7","18.0","9","4.50"
"","Spencer Turnbull","Alabama","Jr.","P","6","32.0","16","4.50"
"20","Matt Ditman","Rice","So.","C","10","31.2","16","4.55"
"21","Morgan Pittman","Mercer","Jr.","P","16","25.1","13","4.62"
"22","Devin Kanorik","Texas Southern","Jr.","P","7","33.0","17","4.64"
"23","Cameron Gann","Stephen F. Austin","Jr.","P","7","40.2","21","4.65"
"24","John Chalupa","Fairleigh Dickinson","Jr.","P","4","19.1","10","4.66"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","15","4.66"
"26","Troy Conyers","San Diego","So.","P","6","34.2","18","4.67"
"27","Mike McGee","Buffalo","Jr.","P","5","25.0","13","4.68"
"28","Brett Lilek","Arizona St.","So.","P","6","32.2","17","4.68"
"29","Eric Lauer","Kent St.","Fr.","P","6","30.2","16","4.70"
"","Eric Skoglund","UCF","Jr.","P","6","46.0","24","4.70"
"31","Jared Miller","Vanderbilt","Jr.","P","5","28.2","15","4.71"
"32","Carson Baranik","La.-Lafayette","Jr.","P","6","45.2","24","4.73"
"33","Andrew Morales","UC Irvine","Sr.","P","6","43.2","23","4.74"
"34","Matt Krook","Oregon","Fr.","P","6","36.0","19","4.75"
"35","Ryan Burr","Arizona St.","So.","P","10","22.2","12","4.76"
"","Grant Dyer","UCLA","Fr.","P","9","28.1","15","4.76"
"37","Hobie Harris","Pittsburgh","Jr.","P","9","22.1","12","4.84"
"38","Matt Imhof","Cal Poly","Jr.","P","6","42.2","23","4.85"
"39","Zach Sightler","Winthrop","So.","P","9","24.0","13","4.88"
"40","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","15","4.94"
"41","Kevin Archbold","Albany (NY)","Sr.","P","3","20.0","11","4.95"
"42","Nate Griep","Kansas St.","Fr.","P","7","25.1","14","4.97"
"43","James Barragan","Bakersfield","Jr.","P","5","28.1","16","5.08"
"44","Nick Eicholtz","Alabama","Fr.","P","7","24.2","14","5.11"
"","Austin Stone","Baylor","Jr.","P","6","37.0","21","5.11"
"","Dan VanSickle","North Florida","Jr.","P","9","24.2","14","5.11"
"47","Tyler Beede","Vanderbilt","Jr.","P","6","35.0","20","5.14"
"48","Nick Williams","Tennessee","Sr.","P","6","38.1","22","5.17"
"49","James Norwood","Saint Louis","Jr.","P","6","36.0","21","5.25"
"50","Anthony Parenti","Navy","Jr.","P","6","42.2","25","5.27"
"51","Nathan Thornhill","Texas","Sr.","P","9","35.2","21","5.30"
"52","Nathan Kirby","Virginia","So.","P","6","37.1","22","5.30"
"53","Justin Kamplain","Alabama","Jr.","P","6","33.2","20","5.35"
"54","Jake Lemoine","Houston","So.","P","6","38.2","23","5.35"
"55","Brandon Finnegan","TCU","Jr.","P","6","43.2","26","5.36"
"56","Brett Graves","Missouri","Jr.","P","6","41.2","25","5.40"
"","Greg Mahle","UC Santa Barbara","Jr.","P","11","20.0","12","5.40"
"58","Danny Mooney","Davidson","Sr.","P","6","33.0","20","5.45"
"59","Andrew Chin","Boston College","So.","P","6","29.2","18","5.46"
"60","John Means","West Virginia","Jr.","P","5","31.0","19","5.52"
