"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Josh Michalec","Baylor","Sr.","P","11","15.1","9"
"","Sam Moore","UC Irvine","Jr.","P","12","21.1","9"
"3","Michael Cederoth","San Diego St.","Jr.","P","12","20.2","8"
"4","Chris McCue","North Carolina","Jr.","P","7","11.2","7"
"","Carson Fulmer","Vanderbilt","So.","P","10","19.0","7"
"","Ashton Perritt","Liberty","Jr.","P","10","17.2","7"
"","Travis Stout","Jacksonville St.","Jr.","P","10","14.1","7"
"","Brady Anderson","FGCU","So.","P","11","13.1","7"
"","Eric Karch","Pepperdine","Sr.","P","11","15.0","7"
"","Sutter McLoughlin","Sacramento St.","So.","P","11","16.0","7"
"","Joel Seddon","South Carolina","Jr.","P","11","13.2","7"
"","Ian Tompkins","Western Ky.","Jr.","P","11","12.1","7"
"","Ian Hamilton","Washington St.","Fr.","OF","12","15.2","7"
"14","Bradley Roney","Southern Miss.","Jr.","INF","8","10.1","6"
"","Chase Wellbrock","Houston","Sr.","P","8","14.1","6"
"","Matt Eckelman","Saint Louis","So.","P","9","17.2","6"
"","Sam Johns","Evansville","Sr.","P","9","12.0","6"
"","Ryan Keaffaber","Indiana St.","Fr.","P","10","17.2","6"
"","Bryan Garcia","Miami (FL)","Fr.","P","11","19.0","6"
"","Skylar Hunter","Citadel","So.","P","11","16.0","6"
"","Andres Gracia","Samford","Jr.","P","13","15.0","6"
"","Hunter Lemke","Texas St.","Sr.","P","15","20.0","6"
"","Ben Lumsden","Mercer","Jr.","P","15","20.1","6"
"","Ryan Thompson","Campbell","Sr.","P","15","36.1","6"
"","Brad Gero","Old Dominion","Sr.","P","16","21.0","6"
"","David Berg","UCLA","Jr.","P","18","26.0","6"
"27","Jacob Cronenworth","Michigan","So.","INF","6","9.1","5"
"","Karch Kowalczyk","Valparaiso","Sr.","P","6","6.2","5"
"","Brandon Gonnella","Towson","Sr.","P","8","14.1","5"
"","Brandon Hallford","South Ala.","Sr.","P","8","17.0","5"
"","Tyler Poole","Coastal Caro.","So.","P","8","10.0","5"
"","Dillon Tate","UC Santa Barbara","So.","P","8","7.1","5"
"","Foster Vielock","Wichita St.","Sr.","P","8","7.2","5"
"","Nick Green","Utah","Sr.","P","9","19.0","5"
"","Ryan Pennell","Elon","Sr.","P","9","13.2","5"
"","Zach Stone","UC Davis","Fr.","P","9","13.1","5"
"","Bryce Beeler","Memphis","Jr.","INF","10","13.2","5"
"","Ryan Burr","Arizona St.","So.","P","10","22.2","5"
"","Eric Eck","Wofford","Sr.","P","10","12.2","5"
"","Trevor Hildenberger","California","Sr.","P","10","18.1","5"
"","Nick Howard","Virginia","Jr.","INF","10","11.1","5"
"","Reed Reilly","Cal Poly","Jr.","P","10","15.2","5"
"","Michael Hanzlik","Col. of Charleston","Sr.","P","11","11.1","5"
"","Jeff Kinley","Michigan St.","Sr.","OF","11","11.2","5"
"","Drake Owenby","Tennessee","So.","P","11","13.2","5"
"","Jake Reed","Oregon","Jr.","P","11","12.2","5"
"","Austin Weekley","Charleston So.","Jr.","P","11","15.0","5"
"","Keeton Steele","Missouri","Sr.","P","12","18.2","5"
"","Joe Broussard","LSU","Jr.","P","13","10.1","5"
"","Adam Whitt","Nevada","So.","P","13","21.2","5"
"","Matt McCall","Ga. Southern","Sr.","P","15","28.0","5"
"52","Tyler Dray","Southern Ill.","Sr.","P","6","8.1","4"
"","Mark Maksimow","George Mason","So.","P","6","13.1","4"
"","Adam Anawalt","Missouri St.","Jr.","P","7","5.2","4"
"","Alex Gouin","Hartford","Sr.","P","7","12.2","4"
"","Kevin Alexander","Fla. Atlantic","Sr.","P","8","13.0","4"
"","Trey Gonsalez","New Mexico St.","So.","P","8","10.2","4"
"","Kevin Mooney","Maryland","So.","P","8","10.1","4"
"","Drew Reynolds","East Carolina","Sr.","INF","8","9.1","4"
"","Greg Weissert","Fordham","Fr.","P","8","13.0","4"
"","Jameis Winston","Florida St.","So.","P","8","13.0","4"
"","Jon Young","Rutgers","Jr.","P","8","12.2","4"
"","Luke Alicknavitch","Delaware","Jr.","P","9","15.1","4"
"","John Curtiss","Texas","So.","P","9","10.2","4"
"","Eric Dorsch","Kent St.","Jr.","P","9","11.1","4"
"","Andrew Elliott","Wright St.","Jr.","INF","9","11.1","4"
"","Clinton Freeman","East Tenn. St.","Sr.","INF","9","25.1","4"
"","Kyle Friedrichs","Long Beach St.","Jr.","P","9","9.2","4"
"","Paul Mittura","Middle Tenn.","Sr.","P","9","24.2","4"
"","Jason Simms","Sam Houston St.","Sr.","P","9","12.0","4"
"","Kenny Smith","Gonzaga","Sr.","P","9","12.1","4"
"","Garret Stockton","Southeast Mo. St.","Jr.","P","9","8.2","4"
"","Michael Benson","Pacific","Jr.","P","10","12.2","4"
"","Cody Creamer","Eastern Ky.","Jr.","P","10","10.0","4"
"","Trace Dempsey","Ohio St.","Jr.","P","10","11.2","4"
"","Matt Ditman","Rice","So.","C","10","31.2","4"
"","P.J. Schuster","SIU Edwardsville","So.","P","10","14.2","4"
"","Trevor Dunlap","Washington","Sr.","P","11","16.2","4"
"","Thomas Hackimer","St. John's (NY)","So.","P","11","6.2","4"
"","Seth Lucio","Tennessee Tech","Jr.","P","11","13.2","4"
"","Brendan McCurry","Oklahoma St.","Sr.","INF","11","13.0","4"
"","Jordan Romano","Oral Roberts","Jr.","P","11","16.0","4"
"","Tyler Warmoth","Stetson","So.","P","11","14.1","4"
"","Matt Campbell","Clemson","Sr.","P","12","16.0","4"
