"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Jake Lowery","James Madison","Jr.","C","45","187","158","0.845"
"2","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","158","131","0.829"
"3","C.J. Cron","Utah","Jr.","C","37","154","126","0.818"
"4","A.J. Miller","Lafayette","Sr.","C","38","131","102","0.779"
"5","Victor Roache","Ga. Southern","So.","OF","44","172","133","0.773"
"6","Andrew Rash","Virginia Tech","So.","OF","42","158","120","0.759"
"7","Trever Adams","Creighton","Sr.","INF","41","163","123","0.755"
"8","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","131","0.753"
"9","Frazier Hall","Southern U.","Sr.","INF","41","153","113","0.739"
"10","Bo Cuthbertson","Southern Utah","Jr.","SS","39","149","110","0.738"
"11","Taylor Davis","Morehead St.","Jr.","C","38","140","102","0.729"
"12","Xavier Macklin","N.C. A&T","Jr.","OF","43","143","104","0.727"
"13","Matt Leeds","Col. of Charleston","Jr.","INF","44","168","122","0.726"
"14","Josh Wright","Old Dominion","Jr.","INF","38","137","99","0.723"
"15","David Herbek","James Madison","Sr.","SS","45","179","129","0.721"
"16","Ben Thomas","Xavier","Sr.","1B","40","161","115","0.714"
"17","Sean Jamieson","Canisius","Sr.","SS","42","148","105","0.709"
"18","Adam Brett Walker","Jacksonville","So.","C","42","169","119","0.704"
"19","Paul Hoilman","East Tenn. St.","Sr.","1B","42","154","108","0.701"
"20","Dan Paolini","Siena","Jr.","2B","44","158","109","0.690"
"21","Mikie Mahtook","LSU","Jr.","OF","45","151","104","0.689"
"22","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","112","0.687"
"23","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","134","92","0.687"
"24","Doug Shribman","Bucknell","Sr.","1B","49","181","124","0.685"
"25","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","97","0.678"
"26","George Springer","Connecticut","Jr.","OF","45","170","114","0.671"
"27","Tyler McNeely","Illinois St.","Sr.","OF","40","124","83","0.669"
"28","Joe Winker","Mercer","Sr.","OF","45","137","91","0.664"
"29","Brandon Bayardi","UNLV","So.","OF","38","125","83","0.664"
"30","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","154","102","0.662"
"31","Kendall Logan","Jackson St.","Jr.","OF","38","136","90","0.662"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","136","90","0.662"
"33","Cody Asche","Nebraska","Jr.","3B","44","173","114","0.659"
"34","Ryan Fleming","Georgia St.","Sr.","OF","44","143","94","0.657"
"35","Joey DeMichele","Arizona St.","So.","INF","32","113","74","0.655"
"36","Casey Kalenkosky","Texas St.","Jr.","INF","44","168","110","0.655"
"37","Dario Pizzano","Columbia","So.","OF","43","156","102","0.654"
"38","Dylan Pratt","East Tenn. St.","Jr.","OF","42","153","100","0.654"
"39","Jacob Tanis","Mercer","Jr.","3B","46","184","120","0.652"
"40","Dusty Robinson","Fresno St.","Jr.","OF","35","140","91","0.650"
"41","Aaron Westlake","Vanderbilt","Jr.","1B","43","157","102","0.650"
"42","James Beck","Iona","Jr.","1B","40","148","96","0.649"
"43","Cody Fick","Evansville","Sr.","INF","39","159","103","0.648"
"","Brandon Miller","Samford","Jr.","C","44","159","103","0.648"
"45","Chris O'Brien","Wichita St.","Jr.","C","47","183","118","0.645"
"46","Will Skinner","Middle Tenn.","Sr.","OF","44","177","114","0.644"
"47","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","179","115","0.642"
"48","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","170","109","0.641"
"49","William Carmona","Stony Brook","So.","INF","40","168","107","0.637"
"50","Kevan Smith","Pittsburgh","Sr.","C","39","151","96","0.636"
"51","Effrey Valdez","NYIT","Sr.","INF","33","118","75","0.636"
"52","Andrew Deeds","Morehead St.","Jr.","OF","40","145","92","0.634"
"53","Mike Zunino","Florida","So.","C","44","155","98","0.632"
"54","Chris Andreas","Sam Houston St.","Sr.","OF","46","174","110","0.632"
"55","Ross Heffley","Western Caro.","Jr.","OF","40","171","108","0.632"
"56","Robby Ort","Indiana St.","So.","OF","41","160","101","0.631"
"57","Nick Rickles","Stetson","Jr.","C","44","170","107","0.629"
"58","Joe Panik","St. John's (NY)","Jr.","INF","39","151","95","0.629"
"59","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","98","0.628"
"60","Peter Copa","Massachusetts","Sr.","3B","35","121","76","0.628"
"61","Greg Wallace","Evansville","Sr.","OF","39","153","96","0.627"
"62","Marc Bourgeois","Southern Miss.","Sr.","OF","39","142","89","0.627"
"63","Christian Walker","South Carolina","So.","INF","43","166","104","0.627"
"64","Jarryd Reid","Florida A&M","Jr.","OF","38","133","83","0.624"
"65","Thomas Carroll","Mercer","Sr.","OF","46","183","114","0.623"
