"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Aaron Nardone","Delaware St.","Sr.","OF","19","57","24","21","4","1","3","0.590"
"2","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","37","14","4","1","0","0.585"
"3","David Kimbrough","Delaware St.","Jr.","INF","15","52","27","4","4","1","3","0.574"
"4","Saige Jenco","Virginia Tech","Fr.","OF","21","66","24","28","3","0","3","0.567"
"5","Isaac Smith","Bradley","Jr.","OF","19","54","26","8","1","0","3","0.556"
"6","Michael Conforto","Oregon St.","Jr.","OF","24","75","28","28","5","2","0","0.555"
"7","Brandon Gomez","FIU","Fr.","OF","21","53","23","14","0","0","1","0.552"
"8","Tyler Leffler","Bradley","So.","INF","19","67","28","10","10","0","3","0.552"
"9","Dan Potempa","Iowa","Jr.","OF","18","50","22","8","5","1","2","0.547"
"10","Daniel Miles","Tennessee Tech","Sr.","3B","24","99","44","18","3","0","0","0.542"
"11","Andrew Calica","UC Santa Barbara","So.","OF","20","71","31","8","7","0","1","0.535"
"12","Nick Thompson","William & Mary","Jr.","INF","22","85","35","16","6","0","3","0.533"
"13","Kyle Kleinendorst","North Dakota St.","Sr.","OF","16","54","22","10","4","0","0","0.529"
"14","Mark Payton","Texas","Sr.","OF","25","84","34","21","1","0","5","0.528"
"15","A.J. Reed","Kentucky","Jr.","P","24","82","31","20","7","1","0","0.527"
"16","Alexander Lee","Radford","Sr.","INF","20","79","34","11","4","0","0","0.521"
"17","Matt Tenaglia","James Madison","Sr.","1B","21","78","31","17","3","0","0","0.520"
"18","Mitchell Gunsolus","Gonzaga","Jr.","INF","22","78","30","21","2","1","2","0.520"
"19","Zarley Zalewski","Kent St.","So.","INF","20","78","36","7","2","0","0","0.517"
"20","Scott Mitchell","Southeast Mo. St.","So.","C","18","54","24","8","0","0","0","0.516"
"21","Drew Weeks","North Florida","Jr.","OF","23","93","43","9","3","2","0","0.514"
"22","Sam Koenig","Milwaukee","Sr.","3B","10","33","14","5","1","0","0","0.513"
"","Jacob McNamara","Ill.-Chicago","Sr.","C","16","62","24","5","11","0","1","0.513"
